partner_country,period,net_weight,usd_value
Albania,201005,500000,265830
Albania,201006,139640,87304
Albania,201007,230000,129822
Albania,201008,1012000,559894
Albania,201009,300000,152278
Albania,201010,300000,153452
Albania,201011,1000000,512860
Albania,201110,1080000,80969
Albania,201203,500000,330630
Albania,201204,500000,327489
Albania,201206,1000000,653178
Albania,201207,2000000,1468366
Albania,201209,750000,479674
Albania,201210,2500000,1614717
Albania,201211,774400,324331
Albania,201212,2750000,1715315
Albania,201301,2404040,1323845
Albania,201302,1875000,1049457
Albania,201303,3875000,2187347
Albania,201304,7952280,4480441
Albania,201305,1862000,999344
Albania,201306,2175000,1216549
Albania,201307,1766160,801661
Albania,201308,1500000,837389
Albania,201309,500000,273457
Antigua and Barbuda,201108,7800,9345
Argentina,201003,250,11134
Argentina,201005,55796,9048
Argentina,201008,362440,25332
Argentina,201009,167280,11685
Argentina,201103,805,61157
Australia,201001,1008000,88480
Australia,201002,408000,35828
Australia,201003,20,179
Australia,201005,52,450
Australia,201006,107,891
Australia,201007,10,76
Australia,201009,46172989,26710748
Australia,201010,10664,9476
Australia,201011,80,696
Australia,201012,379,2493
Australia,201101,10485,8127
Australia,201102,443,2911
Australia,201103,137,936
Australia,201104,10173,5843
Australia,201105,427,2706
Australia,201106,390,2873
Australia,201202,60750,49048
Australia,201205,34,2152
Australia,201207,391,2988
Australia,201211,10000,6819
Australia,201212,35088312,32794583
Australia,201303,9352,21510
Australia,201307,10000,7029
Australia,201309,84000000,40275808
Austria,201011,11441,29578
Austria,201201,350,7573
Austria,201207,6200080,874451
Austria,201302,32950455,32132479
Austria,201309,150,593
Bahrain,201004,24000,4690
Bahrain,201006,28126,39554
Bahrain,201007,55955,75559
Bahrain,201009,40,3373
Bahrain,201103,28126,49023
Bahrain,201104,25000,25102
Bahrain,201110,28126,52974
Bahrain,201112,57194,159887
Bahrain,201202,106,1533
Bahrain,201204,26551,46080
Bahrain,201208,94,169
Bahrain,201305,5700,13659
Bahrain,201307,26551,47763
Belarus,201208,20018,47423
Belarus,201209,20018,46746
Belgium,201001,283551268,205372394
Belgium,201002,338531591,235379844
Belgium,201003,328379958,229825201
Belgium,201004,203318005,139179499
Belgium,201005,224648304,154243640
Belgium,201006,94615510,62744219
Belgium,201007,210759608,134398182
Belgium,201008,236341443,148342997
Belgium,201009,281648198,194936112
Belgium,201010,175100181,113884448
Belgium,201011,183269562,123986257
Belgium,201012,208752252,181565980
Belgium,201101,139375132,112341360
