partner_country,period,net_weight,usd_value
Albania,201301,68,407
Argentina,201103,80,20371
Aruba,201003,44483,1034
Aruba,201007,53998,17159
Aruba,201010,114,3148
Aruba,201110,42,2013
Aruba,201303,9,296
Australia,201005,768,4091
Australia,201105,1500,4918
Australia,201111,4500,14752
Australia,201112,2250,4679
Australia,201203,78,930
Australia,201205,1800,12453
Australia,201302,27,1852
Austria,201202,200,1925
Austria,201203,400,3852
Austria,201303,175,1075
Barbados,201001,67586,555883
Barbados,201002,9551,290201
Barbados,201003,3064,23438
Barbados,201004,66164,49197
Barbados,201005,31737,22772
Barbados,201006,35131,35732
Barbados,201007,32079,53197
Barbados,201008,33861,31478
Barbados,201009,17530,11768
Barbados,201010,305,6322
Barbados,201011,1284,6214
Barbados,201012,1208,4036
Barbados,201101,6282,1590706
Barbados,201102,20915,255657
Barbados,201103,3557,18857
Barbados,201104,2572,39979
Barbados,201105,12489,46870
Barbados,201106,1563,5153
Barbados,201107,12158,5926
Barbados,201108,3514,71767
Barbados,201109,333,500
Barbados,201110,26461,86832
Barbados,201111,7895,25083
Barbados,201112,2500,11111
Barbados,201201,15387,1837675
Barbados,201202,5261,12010
Barbados,201203,414,179478
Barbados,201204,1837,113913
Barbados,201205,5558,255816
Barbados,201206,3194,123682
Barbados,201207,3070,8446
Barbados,201208,887,1281
Barbados,201209,1873,17965
Barbados,201210,5525,18228
Barbados,201211,1131,147143
Barbados,201212,618,34566
Barbados,201301,8003,42717
Barbados,201302,7057,14319
Barbados,201303,12864,5038
Barbados,201304,390,203533
Barbados,201305,7989,17974
Barbados,201306,119,43773
Barbados,201307,401,1917
Barbados,201308,546,610
Barbados,201309,1042,18813
Brazil,201009,102,185
Brazil,201010,1880,49997
Brazil,201105,9544,19759
Brazil,201107,51,303
Brazil,201212,727,16475
Canada,201001,5293,20027
Canada,201002,13289,132957
Canada,201003,151,8441
Canada,201004,124,1056
Canada,201006,330,385361
Canada,201007,106230,118660
Canada,201008,453,2316
Canada,201009,235,1664
Canada,201010,13299,98254
Canada,201011,36,370
Canada,201012,80,296
Canada,201101,234,1665
Canada,201102,16624,25955
Canada,201103,324,17115
Canada,201104,167,2208
Canada,201105,25341,190320
Canada,201106,518,3362
Canada,201107,170,2111
Canada,201108,13174,107378
Canada,201109,6523,6574
Canada,201110,141,38386
Canada,201111,28764,108133
Canada,201201,15000,11111
Canada,201202,20,600
Canada,201203,59000,30671
Canada,201205,34,222
Canada,201206,1,161
Canada,201207,294,10192
Canada,201208,26998,215156
Canada,201209,17,38
Canada,201210,13662,130872
Canada,201211,12750,91830
Canada,201301,136,159
Canada,201302,12750,91365
Canada,201303,25,4719
Canada,201306,313,1112
Canada,201307,12750,89114
Canada,201308,200,1255
China,201002,22520,8889
China,201003,1000,2465
China,201005,1200,1208
China,201006,44100,12963
China,201007,37500,9259
China,201008,1500,556
China,201009,20600,7111
China,201010,2232,1959
China,201011,169363,23451
China,201012,85000,23704
China,201101,3900,3260
China,201102,4900,4428
China,201103,24410,7903
China,201104,22200,7699
China,201105,960,1307
China,201106,11000,1208
China,201107,19000,2319
China,201108,38000,7680
China,201109,37446,10185
China,201201,25000,7407
China,201203,24301,3292
China,201204,25000,7407
China,201205,42123,17963
China,201206,81303,28187
China,201207,55123,14630
China,201209,10500,6222
China,201211,1600,444
China,201212,42218,6630
China,201302,1600,2296
China,201303,53600,31036
China,201308,124469,20370
China,201309,99276,18519
"China, Hong Kong SAR",201010,24500,1852
"China, Hong Kong SAR",201103,2200,1230
"China, Hong Kong SAR",201104,1200,1230
"China, Hong Kong SAR",201105,1500,1230
"China, Hong Kong SAR",201106,35800,2268
"China, Hong Kong SAR",201107,1200,1209
"China, Hong Kong SAR",201111,25003,8359
"China, Hong Kong SAR",201112,19000,2778
"China, Hong Kong SAR",201203,43,2003
"China, Hong Kong SAR",201204,17892,3252
"China, Hong Kong SAR",201208,8892,25104
