partner_country,period,net_weight,usd_value
Albania,201001,59849,138048
Albania,201003,84853,378752
Albania,201004,165978,353892
Albania,201005,387100,633517
Albania,201006,794228,1113593
Albania,201007,769888,588335
Albania,201008,911948,737246
Albania,201009,149686,157802
Albania,201010,25000,8750
Albania,201011,11000,50155
Albania,201012,100000,39456
Albania,201101,40765,69940
Albania,201102,207575,355541
Albania,201103,33916,230291
Albania,201104,45323,87999
Albania,201105,444337,329880
Albania,201106,491341,323372
Albania,201107,34764,59618
Albania,201108,59239,203686
Albania,201109,93439,176089
Albania,201110,53251,223569
Albania,201111,60829,126277
Albania,201112,119296,218267
Albania,201202,25790,15203
Albania,201203,42,3310
Albania,201204,53081,95873
Albania,201205,215781,238266
Albania,201206,177604,130281
Albania,201207,182621,246770
Albania,201208,268412,242045
Albania,201209,133761,146812
Albania,201211,25000,20125
Albania,201212,77678,92050
Albania,201301,61964,221264
Albania,201302,6728,58032
Albania,201303,22212,118222
Albania,201304,258440,198726
Albania,201305,619091,531933
Algeria,201001,360797844,93112890
Algeria,201002,226037420,82666530
Algeria,201003,291067999,88559980
Algeria,201004,262968491,77217983
Algeria,201005,272043069,61949757
Algeria,201006,411035307,108592501
Algeria,201007,232186848,66152892
Algeria,201008,337614814,100144485
Algeria,201009,201654188,81520287
Algeria,201010,204583235,95317634
Algeria,201011,153341417,80509124
Algeria,201012,194750890,74939571
Algeria,201101,211141116,100445804
Algeria,201102,258668282,89643885
Algeria,201103,490363881,160112481
Algeria,201104,309204415,118004121
Algeria,201105,411778545,165919006
Algeria,201106,372085899,144660421
Algeria,201107,254122122,144518245
Algeria,201108,368963136,179144972
Algeria,201109,251791639,131625080
Algeria,201110,268393063,164768329
Algeria,201111,294321200,142834708
Algeria,201112,422222420,156951946
Algeria,201201,164924849,50614010
Algeria,201202,468343370,144841525
Algeria,201203,292361881,109582522
Algeria,201204,223782780,89558997
Algeria,201205,494215017,158971199
Algeria,201206,381759892,130149143
Algeria,201207,355218441,115911805
Algeria,201208,294803383,124659870
Algeria,201209,290756582,119586102
Algeria,201210,284810191,128152173
Algeria,201211,400850164,166319411
Algeria,201212,282417913,122443784
Algeria,201301,301579003,133028902
Algeria,201302,163480306,85624103
Algeria,201303,378253100,153684907
Algeria,201304,454538906,158901730
Algeria,201305,450611738,172267286
Antigua and Barbuda,201001,15109,18392
Antigua and Barbuda,201002,113563,111911
Antigua and Barbuda,201004,9485,18029
Antigua and Barbuda,201005,25606,33623
Antigua and Barbuda,201006,14934,27839
Antigua and Barbuda,201007,24682,28643
Antigua and Barbuda,201008,36240,39855
Antigua and Barbuda,201010,41869,72069
Antigua and Barbuda,201011,24564,61858
Antigua and Barbuda,201012,15055,37796
Antigua and Barbuda,201101,10562,24058
Antigua and Barbuda,201102,9401,23893
Antigua and Barbuda,201103,24602,32161
Antigua and Barbuda,201104,26367,61373
Antigua and Barbuda,201105,62130,106177
Antigua and Barbuda,201108,46485,122348
Antigua and Barbuda,201109,105178,109788
Antigua and Barbuda,201110,28077,79518
Antigua and Barbuda,201111,1737,8983
Antigua and Barbuda,201112,24476,30412
Antigua and Barbuda,201201,8429,28450
Antigua and Barbuda,201202,10756,19851
Antigua and Barbuda,201203,12093,29877
Antigua and Barbuda,201204,82304,125309
Antigua and Barbuda,201205,24938,39122
Antigua and Barbuda,201206,23170,52502
Antigua and Barbuda,201207,68614,83270
Antigua and Barbuda,201209,6989,29678
Antigua and Barbuda,201210,9932,41139
Antigua and Barbuda,201211,63616,105798
Antigua and Barbuda,201212,10089,32759
Antigua and Barbuda,201302,13107,37853
Antigua and Barbuda,201303,9813,39956
Antigua and Barbuda,201304,37488,68167
Antigua and Barbuda,201305,24597,34506
Armenia,201001,8902,64611
Armenia,201002,435,33759
Armenia,201005,3808,71371
Armenia,201006,8439,40866
Armenia,201007,223089,1253871
Armenia,201008,60926,191450
Armenia,201009,142,6720
Armenia,201010,30350,81122
Armenia,201011,26000,8840
Armenia,201101,25126,65964
Armenia,201102,25858,241025
Armenia,201103,128725,507999
Armenia,201104,4810,62202
Armenia,201105,49405,155190
Armenia,201106,57014,178790
Armenia,201107,1910,12787
Armenia,201108,237944,1257506
Armenia,201109,5017,56153
Armenia,201110,259247,1381042
Armenia,201111,50500,67035
Armenia,201112,33440,138062
Armenia,201201,430518,1537873
Armenia,201202,257400,1517062
Armenia,201203,86,34009
Armenia,201204,30196,157285
Armenia,201205,30892,123243
Armenia,201206,73934,112556
Armenia,201207,219597,925750
Armenia,201208,34248,238348
Armenia,201209,178748,472996
Armenia,201210,182366,544065
Armenia,201211,25000,83760
Armenia,201212,1739,63263
Armenia,201301,476490,2222188
Armenia,201302,340190,1663773
Armenia,201303,50593,80078
Armenia,201305,32589,141458
Aruba,201001,104951,283888
Aruba,201002,147447,423756
Aruba,201003,202178,151942
Aruba,201004,151610,126218
Aruba,201005,106002,408621
Aruba,201006,147667,172823
Aruba,201007,109686,222123
Aruba,201008,170972,709669
Aruba,201009,66563,29653
Aruba,201010,110265,338848
Aruba,201011,75431,383329
Aruba,201012,47593,325881
Aruba,201101,63316,139623
Aruba,201102,97402,429762
Aruba,201103,56410,240082
Aruba,201104,121074,457912
Aruba,201105,48782,150830
Aruba,201106,135212,725802
Aruba,201107,143763,458537
Aruba,201108,162222,265581
Aruba,201109,87629,142359
Aruba,201110,86704,245082
Aruba,201111,103400,378370
Aruba,201112,36969,245840
Aruba,201201,95507,521858
Aruba,201202,57391,279556
Aruba,201203,72809,317601
Aruba,201204,39715,180664
Aruba,201205,48408,211992
Aruba,201206,42542,125344
Aruba,201207,45665,249294
Aruba,201208,36595,234895
Aruba,201209,94823,407521
Aruba,201210,58868,528510
Aruba,201211,34952,79062
Aruba,201212,100876,488786
Aruba,201301,50584,289495
Aruba,201302,25571,73406
Aruba,201303,17039,167644
Aruba,201304,44759,139100
Aruba,201305,112934,657406
Australia,201001,8828190,13856148
Australia,201002,13460008,10625523
Australia,201003,3710133,8154937
Australia,201004,60382956,24883249
Australia,201005,78578487,38948534
Australia,201006,2523620,11144876
Australia,201007,83748535,45266193
Australia,201008,43419871,30942453
Australia,201009,51522260,32839479
Australia,201010,29078844,20848773
Australia,201011,3626058,24385256
Australia,201012,12291505,24445326
Australia,201101,77817833,65763391
Australia,201102,30880934,26257147
Australia,201103,26294737,18264547
Australia,201104,93474171,64464180
Australia,201105,46219499,49109536
Australia,201106,44000666,37529635
Australia,201107,84974490,49698870
Australia,201108,49594983,61088237
Australia,201109,88145829,65056408
Australia,201110,53498996,55268110
Australia,201111,32391392,40386504
Australia,201112,95879286,55962632
Australia,201201,46203963,44554492
Australia,201202,52295092,30499970
Australia,201203,71668592,59137184
Australia,201204,66191279,43226217
Australia,201205,118162018,75964353
Australia,201206,3161812,18148732
Australia,201207,52184065,47626409
Australia,201208,153990204,93111195
Australia,201209,3656975,18165626
Australia,201210,46021058,46710647
Australia,201211,43239650,40955740
Australia,201212,53028566,60301691
Australia,201301,10915932,25782565
Australia,201302,2393247,21847987
Australia,201303,23603243,53783698
Australia,201304,59612539,72433891
Australia,201305,110900969,79555927
Austria,201001,185004,1175231
Austria,201002,232515,1360851
Austria,201003,124747,1023137
Austria,201004,290917,863473
Austria,201005,236041,681904
Austria,201006,306736,984854
Austria,201007,317476,1045739
Austria,201008,404591,1241058
Austria,201009,480401,1666237
Austria,201010,316262,829943
Austria,201011,258505,2158476
Austria,201012,253279,1002747
Austria,201101,446051,1429101
Austria,201102,415574,1322812
Austria,201103,314154,1611124
Austria,201104,480928,1470992
Austria,201105,263413,744350
Austria,201106,298372,871680
Austria,201107,289449,1357381
Austria,201108,475108,1469854
Austria,201109,312155,934028
Austria,201110,276827,1302315
Austria,201111,394238,1423263
Austria,201112,532438,1227998
Austria,201201,342328,2132265
Austria,201202,133418,1202482
Austria,201203,346682,1424967
Austria,201204,347181,998352
Austria,201205,216709,1422825
Austria,201206,650156,1282346
Austria,201207,228462,994878
Austria,201208,214424,1043226
Austria,201209,265538,821757
Austria,201210,300888,1373609
Austria,201211,213707,568805
Austria,201212,304295,1002288
Austria,201301,294306,629663
Austria,201302,211388,582457
Austria,201303,306427,1239424
Austria,201304,311715,836844
Austria,201305,391228,1071190
