partner_country,period,net_weight,usd_value
Albania,201102,72,12900
Argentina,201003,5,17
Argentina,201010,130,1400
Argentina,201011,400,500
Argentina,201102,70,1000
Argentina,201104,156,450
Argentina,201109,75,200
Argentina,201112,125,350
Argentina,201202,22,169
Argentina,201205,14,87
Argentina,201206,359,575
Argentina,201210,82,200
Argentina,201211,51,59
Australia,201001,65,2425
Australia,201002,312,10660
Australia,201003,4934,37260
Australia,201004,170,5732
Australia,201005,141,7046
Australia,201006,1673,11057
Australia,201008,242,8956
Australia,201009,480,10685
Australia,201010,322,4140
Australia,201011,553,8028
Australia,201012,104821,379721
Australia,201101,150,7225
Australia,201102,22021,15190
Australia,201103,240,9485
Australia,201104,168,6550
Australia,201105,118924,62673
Australia,201106,48559,37472
Australia,201107,160,6540
Australia,201108,23988,16895
Australia,201109,2098,13834
Australia,201110,10163,21413
Australia,201111,1273,5720
Australia,201112,47183,25742
Australia,201201,48480,22770
Australia,201202,1263,7664
Australia,201203,85,4314
Australia,201204,87679,62580
Australia,201205,261,12195
Australia,201206,224,2694
Australia,201207,217,7180
Australia,201208,88,13780
Australia,201209,72,4120
Australia,201210,140,7129
Australia,201211,226,10381
Australia,201212,10350,19981
Australia,201301,720,108
Australia,201302,47,2874
Australia,201303,159,5263
Australia,201304,48847,31845
Australia,201305,678,22054
Australia,201306,100,5210
Australia,201307,163,9320
Australia,201308,162,8726
Australia,201309,1114,16445
Austria,201001,510,6950
Austria,201002,3099185,449787
Austria,201003,3293280,551676
Austria,201004,3304760,731196
Austria,201005,418370,473081
Austria,201006,161880,188575
Austria,201007,252380,320642
Austria,201008,225497,229611
Austria,201009,255984,286650
Austria,201010,482441,523181
Austria,201011,411500,465085
Austria,201012,126315,149952
Austria,201101,200,1871
Austria,201102,216,24850
Austria,201103,1214,2943
Austria,201104,29920,680759
Austria,201105,200,4093
Austria,201106,1201,3228
Austria,201107,1018,17307
Austria,201108,590,21154
Austria,201109,268,5491
Austria,201110,13910,1278130
Austria,201111,270,13118
Austria,201112,79339,741056
Austria,201201,260,2540
Austria,201203,179,13435
Austria,201204,909,5614
Austria,201205,300,3365
Austria,201206,25333,23639
Austria,201207,55393,182198
Austria,201208,111582,381226
Austria,201209,36510,114588
Austria,201210,149063,472389
Austria,201211,55522,186136
Austria,201212,145457,472858
Austria,201301,300,2373
Austria,201302,4660,18288
Austria,201303,260,2563
Austria,201304,17809,57431
Austria,201305,323,7633
Austria,201306,72849,231245
Austria,201307,38634,121113
Austria,201308,147662,289187
Austria,201309,841,27335
Bahrain,201003,2300,8000
Bahrain,201205,1000,2050
Bahrain,201206,7200,14760
Bahrain,201207,5000,10250
Bahrain,201208,2800,5740
Bahrain,201209,5000,10250
Bahrain,201210,5600,11481
Bahrain,201211,800,1640
Bahrain,201212,1300,2665
Bahrain,201301,2000,4100
Bahrain,201303,1100,2255
Bahrain,201304,2200,4510
Bahrain,201305,1600,3280
Bahrain,201306,1500,3075
Bahrain,201307,2400,4920
Belarus,201001,124,4440
Belarus,201002,30505,224139
Belarus,201003,286,28446
Belarus,201004,103038,549751
Belarus,201005,137465,703930
Belarus,201006,104903,193469
Belarus,201007,40458,216668
Belarus,201008,106644,484065
Belarus,201009,69419,418280
Belarus,201010,93697,187072
Belarus,201011,217514,480433
Belarus,201012,567271,1064623
Belarus,201101,14379,72071
Belarus,201102,151662,560766
Belarus,201103,140826,808130
Belarus,201104,61444,203534
Belarus,201105,20536,32545
Belarus,201106,64708,131251
Belarus,201107,103604,306259
Belarus,201108,49719,154480
Belarus,201109,135635,367389
Belarus,201110,157802,1141358
Belarus,201111,162957,732795
Belarus,201112,203579,1258156
Belarus,201201,44015,305906
Belarus,201202,49358,60649
Belarus,201203,117238,519718
Belarus,201204,58762,188698
Belarus,201205,122326,618446
Belarus,201206,199113,891158
Belarus,201207,228579,613983
Belarus,201208,95969,380616
