partner_country,period,net_weight,usd_value
Argentina,201008,1,25
Argentina,201010,11,3106
Argentina,201108,19,230
Argentina,201203,19,527
Argentina,201206,35000,22344
Argentina,201207,5,102
Argentina,201210,2279,27659
Argentina,201212,13,10
Argentina,201302,28000,6
Argentina,201303,10,269
Belgium,201002,6,6666
Belgium,201004,5,4758
Belgium,201005,132524,38870
Belgium,201006,33,16267
Belgium,201007,37,29016
Belgium,201008,8881,48116
Belgium,201009,4,28378
Belgium,201010,5,37207
Belgium,201011,20,28106
Belgium,201012,24,42063
Belgium,201101,2,13344
Belgium,201102,1,1
Belgium,201103,7,83664
Belgium,201104,1,15
Belgium,201105,14,35618
Belgium,201106,22,39129
Belgium,201107,107,44512
Belgium,201108,55,183
Belgium,201109,10,48
Belgium,201111,41,45442
Belgium,201112,1,48
Belgium,201201,2,113
Belgium,201202,7,20709
Belgium,201203,5,5675
Belgium,201204,6,103803
Belgium,201205,2,187
Belgium,201206,19350,47486
Belgium,201207,1,55
Belgium,201208,2,1418
Belgium,201209,4696,40048
Belgium,201210,10,244
Belgium,201211,28801,3192
Brazil,201002,134,251
Brazil,201006,51,867
Brazil,201011,140,6753
Brazil,201102,13,70
Brazil,201108,2,50
Brazil,201109,1,66
Brazil,201111,1,130
Brazil,201201,24774,90259
Brazil,201202,12,392
Brazil,201203,9,193
Brazil,201204,1,208
Brazil,201206,30062,134825
Brazil,201209,1,302
Brazil,201210,14403,68649
Canada,201001,1,92
Canada,201002,1,1
Canada,201003,270,7062
Canada,201004,42,50
Canada,201007,342,4401
Canada,201009,1,485
Canada,201011,7,928
Canada,201101,1,5
Canada,201102,35,2715
Canada,201103,2,16
Canada,201104,58,319
Canada,201106,1000,23063
Canada,201107,9,97
Canada,201108,590,36996
Canada,201110,11,201
Canada,201111,2,68
Canada,201201,2,156
Canada,201202,2,130
Canada,201203,10,791
Canada,201204,1,150
Canada,201205,30769,8032
Canada,201206,372,21369
Canada,201207,1,63
Canada,201209,2,86
