partner_country,period,net_weight,usd_value
Albania,201001,25,43998
Albania,201002,22,40467
Albania,201003,26,69570
Albania,201007,20,56123
Albania,201008,2,49840
Albania,201009,57,72801
Albania,201010,137,396530
Albania,201011,77,147451
Albania,201012,64,167610
Albania,201101,129323,131284
Albania,201102,24995,204667
Albania,201103,32317,171203
Albania,201104,157739,334781
Albania,201105,1158539,862477
Albania,201106,156734,284062
Albania,201107,80000,250056
Albania,201108,55650,90230
Albania,201109,108780,177201
Albania,201110,73030,125714
Albania,201111,169850,402461
Albania,201112,111300,235469
Albania,201201,40055,116018
Albania,201202,92750,295772
Albania,201203,1212,252957
Albania,201204,1801,59840
Albania,201205,8960,174443
Albania,201206,13445,373745
Albania,201207,1180,86378
Albania,201208,9004,67068
Albania,201209,295,26186
Albania,201210,704,91382
Albania,201211,76600,127734
Albania,201212,89,21150
Albania,201302,1398,40072
Albania,201303,156,240333
Albania,201304,12356,139653
Albania,201305,37100,137167
Albania,201306,27,109904
Albania,201307,325,285099
Albania,201308,49567,125707
Albania,201309,37100,313225
Albania,201310,115212,441894
Algeria,201001,289,618481
Algeria,201002,18,115215
Algeria,201003,77,211159
Algeria,201007,220,756159
Algeria,201008,437,1618583
Algeria,201009,26,226881
Algeria,201010,815,3767220
Algeria,201011,200,1409169
Algeria,201012,602,2289998
Algeria,201101,2313807,2302755
Algeria,201102,1259945,4469194
Algeria,201103,931975,5315590
Algeria,201104,750000,2960739
Algeria,201105,905075,1834512
Algeria,201106,2168250,1575202
Algeria,201107,2101060,1365481
Algeria,201108,1166061,935351
Algeria,201109,1183502,1462642
Algeria,201110,1063000,1007357
Algeria,201111,6194617,22143
Algeria,201112,162,99786
Algeria,201201,228000,737581
Algeria,201202,273600,1015562
Algeria,201203,24012498,123880
Algeria,201204,24877424,8145
Algeria,201205,19654255,40242
Algeria,201206,207092,621673
Algeria,201207,4000191,172840
Algeria,201208,191,61515
Algeria,201209,55943494,60563
Algeria,201210,536875,1073317
Algeria,201211,220130,441121
Algeria,201212,49700,144693
Algeria,201302,310184,1154146
Algeria,201303,79975,238433
Algeria,201304,186247,389220
Algeria,201305,24897,81891
Algeria,201306,224390,783269
Algeria,201307,72934,276214
Algeria,201308,50430,231645
Algeria,201309,229,48543
Algeria,201310,7450893,75076
Antigua and Barbuda,201001,0,2948
Antigua and Barbuda,201002,15,41898
Antigua and Barbuda,201003,0,7822
Antigua and Barbuda,201007,15,69897
Antigua and Barbuda,201008,0,126721
Antigua and Barbuda,201009,1,99987
Antigua and Barbuda,201010,0,10000
Antigua and Barbuda,201011,19,95829
Antigua and Barbuda,201012,0,6145
Antigua and Barbuda,201101,9177,9133
Antigua and Barbuda,201103,332723,4340
Antigua and Barbuda,201104,14500,91623
Antigua and Barbuda,201111,29602,124954
Antigua and Barbuda,201112,25718,107229
Antigua and Barbuda,201201,694016,7672
Antigua and Barbuda,201202,10500,3406
Antigua and Barbuda,201203,23544,6217
Antigua and Barbuda,201205,14339,114409
Antigua and Barbuda,201206,15597,104970
Antigua and Barbuda,201208,14053,73899
Antigua and Barbuda,201211,14500,40415
Antigua and Barbuda,201212,14438,53994
Antigua and Barbuda,201303,787573,4706
Antigua and Barbuda,201304,27205,98670
Antigua and Barbuda,201305,407389,1523727
Antigua and Barbuda,201309,531505,4627
Antigua and Barbuda,201310,14323,55477
Argentina,201001,47426,32367956
Argentina,201002,520,17622057
Argentina,201003,90305,41883669
Argentina,201007,47788,16679983
Argentina,201008,676,20174984
Argentina,201009,45820,23089627
Argentina,201010,93386,27519514
