partner_country,period,net_weight,usd_value
Albania,201001,749900,3019324
Albania,201002,1512300,3619944
Albania,201003,2548700,6305611
Albania,201004,2635900,6112787
Albania,201005,2634800,5780951
Albania,201006,2743900,7687309
Albania,201007,2714800,7754279
Albania,201008,2367200,8971208
Albania,201009,2370000,7063601
Albania,201010,2020200,5107290
Albania,201011,2737900,8025737
Albania,201012,2711500,8238941
Albania,201101,1945200,4093994
Albania,201102,1973900,3910541
Albania,201103,2587800,5962244
Albania,201104,2942800,8920139
Albania,201105,2806700,11445582
Albania,201106,2590700,9137414
Albania,201107,2813800,11507896
Albania,201108,2747400,15337511
Albania,201109,2671300,10438763
Albania,201110,1810200,4759616
Albania,201111,2196200,8246086
Albania,201112,1759100,5376812
Albania,201201,1609900,4050298
Albania,201202,1300200,4830735
Albania,201203,1862400,7381604
Albania,201204,1711800,4696746
Albania,201205,1927400,6900030
Albania,201206,2037600,4350210
Albania,201207,2358500,4764282
Albania,201208,2810600,5238290
Albania,201209,2203800,8788577
Albania,201210,2360200,6661944
Albania,201211,2208900,7548372
Albania,201212,1333600,5235352
Albania,201301,1257000,4721722
Albania,201302,1822500,5092599
Albania,201303,1491100,6349544
Albania,201304,1988000,4897419
Albania,201305,2379400,5600295
Albania,201306,2212600,4112222
Albania,201307,2874200,5948201
Albania,201308,2174900,5886158
Albania,201309,2202500,5069405
Albania,201310,1808500,6825040
Albania,201311,1328200,4715240
Algeria,201001,5310700,15529726
Algeria,201002,8851300,17964854
Algeria,201003,8992300,23140404
Algeria,201004,9310700,14177901
Algeria,201005,4566100,11504362
Algeria,201006,9253200,12417623
Algeria,201007,9258100,20621438
Algeria,201008,7011700,15338242
Algeria,201009,13449200,19613271
Algeria,201010,15707500,11073448
Algeria,201011,14764800,24533120
Algeria,201012,13061300,17939127
Algeria,201101,10724400,16038469
Algeria,201102,8186900,15032931
Algeria,201103,11658800,22368967
Algeria,201104,5979800,15775826
Algeria,201105,9458400,13937268
Algeria,201106,4158100,8912458
Algeria,201107,8133800,24062799
