partner_country,period,net_weight,usd_value
Algeria,201303,12000,240000
Algeria,201305,12160,253210
Algeria,201308,12010,243420
Argentina,201303,2,2241
Argentina,201304,30509,31538
Argentina,201306,16000,25552
Aruba,201305,1873,1971
Australia,201301,19299,40421
Australia,201302,87,7689
Australia,201304,19100,20205
Australia,201305,4922,9800
Australia,201307,17809,35624
Australia,201310,17856,35136
Austria,201301,140121591,115849246
Austria,201304,677712,697222
Austria,201305,475731,505776
Austria,201308,92434820,72710891
Austria,201309,76918843,64121232
Austria,201311,95122532,80230869
Bahrain,201305,16156,16996
Belarus,201301,813915,811253
Belarus,201302,886828,1063738
Belarus,201303,763683,395121
Belarus,201304,1159850,864312
Belarus,201305,680563,830828
Belarus,201306,907186,840634
Belarus,201307,2148234,1825611
Belarus,201308,678491,587066
Belarus,201309,447986,896751
Belarus,201310,862923,522452
Belarus,201311,2000710,2809459
Belgium,201301,211915,85981
Belgium,201302,2368621,1068414
Belgium,201304,382655,310233
Belgium,201305,403578,294373
Belgium,201306,308972,5400449
Belgium,201307,7055,4200
Belgium,201308,304500,125918
Belgium,201309,5528,4815
Belgium,201310,26681,70320
Belgium,201311,270240,261352
Brazil,201301,16034,32368
Brazil,201302,32000,50368
Brazil,201304,21642,31162
Brazil,201305,16027,54498
Brazil,201308,73,180
Brazil,201309,32000,50432
Brazil,201310,32000,50496
Brazil,201311,9214,10983
Bulgaria,201301,2464118,1902848
Bulgaria,201302,76523069,64982315
Bulgaria,201305,73994221,51998631
Bulgaria,201307,22000,6600
Bulgaria,201310,67760,42248
Bulgaria,201311,14583,46504
Canada,201304,6655,7113
Canada,201305,118,699
Canada,201306,6,4702
Canada,201308,135,900
Canada,201309,4,9595
China,201301,1854760,2418619
China,201302,1438276,1460348
"China, Hong Kong SAR",201301,27800000,750600
"China, Hong Kong SAR",201302,12200000,329400
"China, Hong Kong SAR",201303,20000000,540000
"China, Hong Kong SAR",201304,20000000,540000
Colombia,201308,33,1435
Croatia,201306,84010989,65361911
Croatia,201309,84030781,71410527
Croatia,201310,88182964,76478771
Cyprus,201306,28982927,23157359
Czech Rep.,201301,45194972,37332237
Czech Rep.,201302,835,960
Czech Rep.,201303,125626191,109478207
Czech Rep.,201304,256127,292218
Czech Rep.,201305,70126614,52767790
Czech Rep.,201306,20984581,15982107
Czech Rep.,201308,2940,7982
Czech Rep.,201310,19393,20452
Czech Rep.,201311,31223,33407
Denmark,201301,1,155
Denmark,201304,153486,154894
Denmark,201305,6747,47502
Denmark,201306,489,40241
Denmark,201307,29,5593
Denmark,201309,124,11290
Denmark,201311,17946,43045
Egypt,201302,2335,28604
Egypt,201303,25018418,21103036
Egypt,201304,6440,50438
Egypt,201305,24764561,19239146
Egypt,201306,1550,8500
Egypt,201308,1490,7887
Egypt,201311,20920073,17963989
Estonia,201301,65680,17464
Estonia,201302,61824,45678
Estonia,201303,19252,24237
Estonia,201304,92068,80121
Estonia,201305,85951,262860
Estonia,201306,19415,23708
Estonia,201307,19374,22562
Estonia,201310,38099,32126
Estonia,201311,105545,135466
