partner_country,period,net_weight,usd_value
Algeria,201205,2069382,5081819
Argentina,201205,25000,26125
Australia,201205,3742604,10389699
Austria,201205,242000,622034
Belgium,201205,88488,264229
Brazil,201205,1560430,4728256
Canada,201205,3601,103510
China,201205,752591,1428087
"China, Hong Kong SAR",201205,22953,8372
Cyprus,201205,28794,43452
Denmark,201205,394368,1203616
Egypt,201205,2088841,6718078
Ethiopia,201205,435000,1519200
Finland,201205,4986,24354
France,201205,208767,1836035
Germany,201205,361338,1152313
Greece,201205,44184,141971
Guatemala,201205,1020000,2880000
India,201205,67870752,21559536
Indonesia,201205,1444000,2591058
Italy,201205,1695421,5096304
Japan,201205,429750,1273820
Jordan,201205,518353,767411
Malaysia,201205,133310741,26242593
Mauritius,201205,16460,16491
Morocco,201205,2770542,7509209
Mozambique,201205,10000,99371
Netherlands,201205,4137194,14663793
New Zealand,201205,493272,1364286
Norway,201205,390968,1165529
Pakistan,201205,2513213,3009487
Panama,201205,5450,1208
Poland,201205,12220,61788
Rep. of Korea,201205,384617,1000663
Singapore,201205,497533,1307694
South Africa,201205,180000,578750
Spain,201205,40304,73546
Sri Lanka,201205,21045,5410
State of Palestine,201205,23522,29669
Sweden,201205,780804,2095377
Switzerland,201205,1351900,2732513
Thailand,201205,24000,72000
Turkey,201205,8211993,19990186
United Kingdom,201205,564688,1255375
USA,201205,4359379,19174981
