partner_country,period,net_weight,usd_value
Antigua and Barbuda,201101,299506,916416
Antigua and Barbuda,201102,1131169,680286
Antigua and Barbuda,201103,1107840,728573
Antigua and Barbuda,201104,1398454,882703
Antigua and Barbuda,201105,204923,643721
Antigua and Barbuda,201106,1615399,617327
Antigua and Barbuda,201107,2406260,1103347
Antigua and Barbuda,201108,119029,620065
Antigua and Barbuda,201109,1675404,736569
Antigua and Barbuda,201110,77549,475063
Antigua and Barbuda,201111,1721002,871367
Antigua and Barbuda,201112,193785,674109
Antigua and Barbuda,201201,182635,729283
Antigua and Barbuda,201202,198534,510804
Antigua and Barbuda,201203,250048,816672
Antigua and Barbuda,201204,167683,1043294
Antigua and Barbuda,201205,164857,871483
Antigua and Barbuda,201206,276231,1176776
Antigua and Barbuda,201207,101305,403709
Antigua and Barbuda,201208,95633,453534
Antigua and Barbuda,201209,204442,650128
Antigua and Barbuda,201210,229223,1245705
Antigua and Barbuda,201211,239161,870968
Antigua and Barbuda,201212,131830,563749
Antigua and Barbuda,201301,8496,955069
Antigua and Barbuda,201302,334503,744742
Antigua and Barbuda,201303,210020,587623
Antigua and Barbuda,201304,141919,426187
Antigua and Barbuda,201306,1861915,891699
Antigua and Barbuda,201307,120897,700945
Antigua and Barbuda,201308,162543,639112
Antigua and Barbuda,201309,159770,565388
Antigua and Barbuda,201310,118400,572077
Antigua and Barbuda,201311,249222,1225444
Antigua and Barbuda,201312,217016,713667
Argentina,201106,32,10
Argentina,201111,6,160
Argentina,201201,2,59
Argentina,201212,20,200
Argentina,201302,21,450
Argentina,201309,20,416
Argentina,201312,45139,13
Aruba,201101,11252,79340
Aruba,201102,11802,102752
Aruba,201103,4938,88021
Aruba,201104,12145,111859
Aruba,201105,12992,104710
Aruba,201106,12972,96473
Aruba,201107,26832,170405
Aruba,201108,11886,96778
Aruba,201109,11825,101740
Aruba,201110,2652,50920
Aruba,201111,951,58664
Aruba,201112,1171,42046
Aruba,201201,2999,65800
Aruba,201202,990,72848
Aruba,201203,16200,159172
Aruba,201204,11325,95569
Aruba,201205,15229,165300
Aruba,201206,2652,99537
Aruba,201207,12507,100436
Aruba,201208,1178,56921
Aruba,201209,11811,129589
Aruba,201210,4639,65978
Aruba,201211,1937,38616
Aruba,201212,5763,126863
Aruba,201301,2,205181
Aruba,201302,911,67409
Aruba,201303,3706,89771
Aruba,201304,3212,71677
Aruba,201306,3077,79038
Aruba,201307,10749,134913
Aruba,201308,708,19741
Aruba,201309,24,69292
Aruba,201310,1068,20107
Aruba,201311,17332,133377
Aruba,201312,749,34556
Australia,201101,80,2300
Australia,201102,142,7704
Australia,201103,6295,62362
Australia,201104,45,3940
Australia,201105,87,7443
Australia,201106,102,1290
Australia,201107,3397,14603
Australia,201108,5461,59103
Australia,201109,69,8941
Australia,201110,116,8450
Australia,201111,13,1357
Australia,201112,67,3560
Australia,201201,36,4120
Australia,201202,359,10538
Australia,201203,4510,25697
Australia,201204,153,9405
Australia,201205,1211,29146
Australia,201206,13,3795
Australia,201207,7522,65824
Australia,201208,81,28912
Australia,201209,105,11442
Australia,201210,147,8510
Australia,201211,162,13555
Australia,201212,16632,88665
Australia,201301,81,6956
Australia,201302,3993,54374
Australia,201303,22,6427
Australia,201304,2147,191606
Australia,201306,4,360
Australia,201307,18129,56343
Australia,201308,1735,12220
Australia,201309,2935,17530
Australia,201310,8312,43143
Australia,201311,12421,98988
Australia,201312,21,4373
Austria,201105,170,21686
Austria,201107,1,3
Austria,201109,34,6370
Austria,201111,238,10330
Austria,201112,281,1192
Austria,201202,188,17342
Austria,201311,89,50
Bahrain,201106,2,22
Bahrain,201109,1270,12500
Bahrain,201202,17625,3916
Bahrain,201203,584,547
Bahrain,201206,631,12500
Bahrain,201207,2,309
Bahrain,201211,38,47
Bahrain,201212,5608,2584
Bahrain,201301,33,35
Bahrain,201302,356,1797
Bahrain,201310,10,750
Belgium,201101,23,41
Belgium,201102,36,35
Belgium,201103,17,20
Belgium,201104,59,342
Belgium,201105,27,34
Belgium,201106,41,141
Belgium,201107,948,15040
Belgium,201108,11,30
Belgium,201109,51,393
Belgium,201110,52,666
Belgium,201111,16,50
Belgium,201112,8,30
Belgium,201201,18698,2040
Belgium,201202,23,81
Belgium,201203,18,38
Belgium,201204,55,4744
Belgium,201205,12,94
Belgium,201206,55,24
Belgium,201207,1816,10020
Belgium,201208,60,259
Belgium,201209,113,14
Belgium,201210,8383,70012
Belgium,201211,34,14
Belgium,201212,1,5
Belgium,201301,24,4046
Belgium,201302,3,51
Belgium,201304,29,13
Belgium,201306,1,1
Belgium,201307,1285,10002
Belgium,201308,3335,67002
Belgium,201310,14,53
Belgium,201311,76,159
Belgium,201312,1,22
Bolivia (Plurinational State of),201203,2,60
Bosnia Herzegovina,201105,43,8828
Bosnia Herzegovina,201110,45,9525
Bosnia Herzegovina,201201,21,70
Bosnia Herzegovina,201209,27,5798
Bosnia Herzegovina,201301,16,3000
Bosnia Herzegovina,201306,24,6020
Bosnia Herzegovina,201311,2,40
Brazil,201101,633052,109
Brazil,201102,302,734
Brazil,201103,2,1
Brazil,201104,39,16500
Brazil,201105,38345,101115
Brazil,201107,6,8971
Brazil,201108,28049,107875
Brazil,201109,1478506,7
Brazil,201110,231,1029
Brazil,201112,4677,157829
Brazil,201201,19898,462941
Brazil,201202,38262,70478
Brazil,201203,54189,213803
Brazil,201204,19750,28115
Brazil,201205,4718,22529
Brazil,201206,21,173
Brazil,201208,69,649
Brazil,201209,73,1007
Brazil,201210,830,4000
Brazil,201211,3,419489
Brazil,201301,10,31314
Brazil,201302,1664346,2052
Brazil,201303,486,25802
Brazil,201304,101,475
Brazil,201306,195,28553
Brazil,201307,700,2409
Brazil,201308,207,864
Brazil,201309,149,24220
Brazil,201310,26384,62750
Brazil,201312,1,2
Brunei Darussalam,201107,1,24
Brunei Darussalam,201111,53,3667
Bulgaria,201106,154,250
Bulgaria,201206,450,1500
Bulgaria,201207,602,1711
Bulgaria,201209,600,1272
Bulgaria,201210,500,1188
Bulgaria,201211,200,540
Bulgaria,201301,100,276
Bulgaria,201302,500,1200
Bulgaria,201303,150,192
Bulgaria,201304,550,1848
Bulgaria,201307,250,588
Bulgaria,201308,550,1320
Bulgaria,201309,650,1512
Bulgaria,201310,100,300
Bulgaria,201311,500,912
Bulgaria,201312,716,2297
Cabo Verde,201101,84,30154
Cabo Verde,201103,30,235
Cabo Verde,201201,10,68
Cabo Verde,201212,198,11247
Canada,201101,137911,332756
Canada,201102,450995,750671
Canada,201103,423566,361678
Canada,201104,224037,373266
Canada,201105,379493,768902
Canada,201106,235358,499261
Canada,201107,292618,628075
Canada,201108,246963,1049828
Canada,201109,246711,492713
Canada,201110,424494,610117
Canada,201111,280345,617092
Canada,201112,247516,1059685
Canada,201201,594611,1170821
Canada,201202,496081,801018
Canada,201203,203910,613050
Canada,201204,369379,831739
Canada,201205,278367,606943
Canada,201206,473207,998594
Canada,201207,581530,895819
Canada,201208,396277,1014433
Canada,201209,207249,538417
Canada,201210,319813,825443
Canada,201211,190446,455583
Canada,201212,261027,1418710
Canada,201301,134,1060054
Canada,201302,532475,1492610
Canada,201303,536668,1199392
Canada,201304,507558,1153656
Canada,201306,469173,1128395
Canada,201307,281192,721884
Canada,201308,290653,704864
Canada,201309,188524,538040
Canada,201310,312111,1018650
Canada,201311,205318,521328
Canada,201312,278253,1410428
Central African Rep.,201206,1,10
Chile,201101,1,570
Chile,201102,1,1710
Chile,201103,2,2355
Chile,201104,98,15100
Chile,201105,1,1190
Chile,201106,25,7771
Chile,201107,62,10231
Chile,201108,2,2077
Chile,201109,51,8797
Chile,201110,35,9432
Chile,201111,5086,20000
Chile,201112,82,13799
Chile,201203,54,11502
Chile,201206,14,4874
Chile,201210,21,5010
Chile,201211,150,50
Chile,201303,30,10119
Chile,201304,35,16955
Chile,201306,1000,11277
Chile,201309,103,16325
Chile,201310,415,1162
Chile,201311,31,10443
Chile,201312,100,105
China,201101,322954,60501
China,201102,273536,365559
China,201103,527003,600053
China,201104,550096,464678
China,201105,561497,1292419
China,201106,260923,468330
China,201107,777311,82012
China,201108,329737,50740
China,201109,403018,313195
China,201110,744033,552899
China,201111,441396,240514
China,201112,1198533,764920
China,201201,626142,65219
China,201202,951654,808109
China,201203,1441272,782890
China,201204,618292,863472
China,201205,805151,443358
China,201206,146298,14631
China,201207,217574,881843
China,201208,338147,408008
China,201209,166992,796976
China,201210,159966,863089
China,201211,209856,26246
China,201212,183851,552341
China,201301,32182,652691
China,201302,720697,27281
China,201303,154182,693539
China,201304,104292,637414
China,201306,180590,1314796
China,201307,142151,1251144
China,201308,277752,40119
China,201309,102870,1139858
China,201310,153621,743616
China,201311,235444,1164455
China,201312,174624,1281636
"China, Hong Kong SAR",201101,42088,26889
"China, Hong Kong SAR",201102,180,13076
"China, Hong Kong SAR",201103,120,15197
"China, Hong Kong SAR",201104,212,28696
"China, Hong Kong SAR",201105,187412,57326
"China, Hong Kong SAR",201106,102698,31049
"China, Hong Kong SAR",201107,62036,47344
"China, Hong Kong SAR",201108,165843,33798
"China, Hong Kong SAR",201109,79093,35694
"China, Hong Kong SAR",201110,73,6290
"China, Hong Kong SAR",201111,55,4737
"China, Hong Kong SAR",201112,167,57700
"China, Hong Kong SAR",201201,123,19299
"China, Hong Kong SAR",201202,220,37140
"China, Hong Kong SAR",201203,81362,80333
"China, Hong Kong SAR",201204,263,42830
"China, Hong Kong SAR",201205,256,44540
"China, Hong Kong SAR",201206,41783,80673
"China, Hong Kong SAR",201207,336,42928
"China, Hong Kong SAR",201208,6,257
"China, Hong Kong SAR",201209,720,48552
"China, Hong Kong SAR",201210,437,97497
"China, Hong Kong SAR",201211,1828,7600
"China, Hong Kong SAR",201212,10,7825
"China, Hong Kong SAR",201302,88,12180
"China, Hong Kong SAR",201303,3173,70
"China, Hong Kong SAR",201304,59,7349
"China, Hong Kong SAR",201306,449,28305
"China, Hong Kong SAR",201307,164,18078
"China, Hong Kong SAR",201308,193,34416
"China, Hong Kong SAR",201309,272,46718
"China, Hong Kong SAR",201310,243,29386
"China, Hong Kong SAR",201311,231,25011
"China, Hong Kong SAR",201312,113,12271
Colombia,201101,154980,11480
Colombia,201102,183954,304
Colombia,201103,69000,6000
Colombia,201104,23000,2000
Colombia,201105,151,5735
Colombia,201106,1596,5000
Colombia,201107,1610,6400
Colombia,201108,75002,6324
Colombia,201109,23000,2000
Colombia,201110,60342,40886
Colombia,201111,23118,2550
Colombia,201112,97,14362
Colombia,201202,184528,628
Colombia,201203,39000,152000
Colombia,201204,42,807
Colombia,201205,252,2030
Colombia,201206,261487,377
Colombia,201207,13898,36256
Colombia,201209,48,3067
Colombia,201210,24,2293
Colombia,201211,23,1331
Colombia,201212,29,9662
Colombia,201301,305,313
Colombia,201302,14345,38335
Colombia,201304,26,2421
Colombia,201306,19616,15755
Colombia,201307,75003,7637
Colombia,201308,125,1451
Colombia,201310,14377,41043
Colombia,201311,31,500
Colombia,201312,145,1775
Croatia,201106,400,1610
Croatia,201306,1,20
Cyprus,201101,4,200
Cyprus,201103,451,5790
Cyprus,201109,5,25
Cyprus,201110,1,1
Cyprus,201301,4813,3510
Cyprus,201302,7685,10364
Cyprus,201303,33038,25663
Cyprus,201304,4130757,12899
Cyprus,201312,20538,29336
Czech Rep.,201101,1,3800
Czech Rep.,201102,340,55900
Czech Rep.,201103,326,44029
Czech Rep.,201105,152,23994
Czech Rep.,201106,605,95725
Czech Rep.,201108,148,35167
Czech Rep.,201109,11,2320
Czech Rep.,201110,20,35422
Czech Rep.,201111,140,41360
Czech Rep.,201203,102,14484
Czech Rep.,201204,141,57668
Czech Rep.,201205,18,8100
Czech Rep.,201206,214,10
Czech Rep.,201207,267,96719
Czech Rep.,201209,185,41777
Czech Rep.,201210,60,38448
Czech Rep.,201212,234,31392
Czech Rep.,201301,4,870
Czech Rep.,201303,340,110307
Czech Rep.,201304,113,26227
Czech Rep.,201306,85,42611
Czech Rep.,201309,99,57441
Czech Rep.,201310,4,100
Czech Rep.,201311,17,16938
Czech Rep.,201312,224,55051
Denmark,201101,7528,24449
Denmark,201102,1,75
Denmark,201103,117,273
Denmark,201104,64,4200
Denmark,201105,105,1777
Denmark,201106,534,2280
Denmark,201107,177,2274
Denmark,201110,200,849
Denmark,201112,1,5
Denmark,201201,93,3678
Denmark,201202,89,42516
Denmark,201203,3836,74905
Denmark,201204,62,60
Denmark,201205,3907,45870
Denmark,201206,207,2000
Denmark,201207,266,90155
Denmark,201210,529,98488
Denmark,201301,1245,6946
Denmark,201303,3,5
Denmark,201304,82,24545
Denmark,201307,308,43646
Denmark,201308,17,6400
Denmark,201309,2,400
Denmark,201310,190,837
Denmark,201312,170,2345
Dominica,201101,734371,306552
Dominica,201102,107079,338360
Dominica,201103,1088661,488409
Dominica,201104,50462,235259
Dominica,201105,97770,546352
Dominica,201106,7031522,255689
Dominica,201107,1541577,380685
Dominica,201108,110936,600936
