partner_country,period,net_weight,usd_value
Albania,201104,7,1500
Albania,201107,2,400
Albania,201204,1513900,928100
Albania,201205,1549327,960600
Albania,201207,10,1800
Albania,201303,267860,138100
Albania,201305,17108,200
Albania,201308,21581,8500
Albania,201309,65888,25200
Albania,201311,10,1600
Algeria,201103,19500,62800
Algeria,201104,12309,33000
Algeria,201105,149069,969300
Algeria,201107,195795,835400
Algeria,201108,121110,524900
Algeria,201109,5299,52400
Algeria,201110,16650,79400
Algeria,201111,324233,1208300
Algeria,201112,333077,1281800
Algeria,201202,80208,369300
Algeria,201203,29014,218000
Algeria,201205,39000,153000
Algeria,201208,76290,466700
Algeria,201209,60,52000
Algeria,201210,11010,49200
Algeria,201211,96386,476100
Algeria,201212,10118,49900
Algeria,201301,29952,149700
Algeria,201302,10353,29500
Algeria,201304,44715,305500
Algeria,201305,189134,743500
Algeria,201306,44685,117600
Algeria,201307,33129,203500
Algeria,201308,13635,70500
Algeria,201309,75708,325200
Algeria,201310,20652,164200
Algeria,201311,76110,325200
Argentina,201101,249767,787800
Argentina,201102,25088,206500
Argentina,201103,49924,151200
Argentina,201104,49832,172200
Argentina,201105,6271959,3720500
Argentina,201106,53849854,16477900
Argentina,201107,51601,176200
Argentina,201108,10596230,3643300
Argentina,201109,40720221,12253100
Argentina,201110,48224117,15738600
Argentina,201111,8937570,2530400
Argentina,201112,18072367,4394200
Argentina,201201,165038,182700
Argentina,201205,4,300
Argentina,201206,420,17600
Argentina,201207,1,400
Argentina,201208,26643224,7312500
Argentina,201209,91205,230000
Argentina,201210,22303,202100
Argentina,201211,57601,27300
Argentina,201212,34290296,100
Argentina,201302,26700083,100
Argentina,201303,2200,102000
Argentina,201304,30526,404400
Argentina,201305,24935,52200
Argentina,201306,32369534,100
Argentina,201307,3,200
Argentina,201308,19764792,300
Argentina,201309,3,3700
Argentina,201310,31198,425600
Armenia,201101,293337,896100
Armenia,201102,661112,1666100
Armenia,201103,786824,2002700
Armenia,201104,373935,1347800
Armenia,201105,904281,2243400
Armenia,201106,529912,1336600
Armenia,201107,1077941,2826400
Armenia,201108,736617,2439500
Armenia,201109,726732,2113700
Armenia,201110,658449,2338300
Armenia,201111,752090,2683300
Armenia,201112,614091,2261400
