partner_country,period,net_weight,usd_value
Albania,201001,154469,1450535
Albania,201002,221735,1509173
Albania,201003,13070421,4715810
Albania,201004,200851,1704915
Albania,201005,683952,1049389
Albania,201006,298095,1076344
Albania,201007,253166,1252303
Albania,201008,472733,1716319
Albania,201009,574246,1171678
Albania,201010,468108,4420074
Albania,201011,341499,1945819
Albania,201012,307704,1494346
Albania,201101,393847,2920287
Albania,201102,12500767,7276273
Albania,201103,696749,1645397
Albania,201104,285151,1679279
Albania,201105,289569,990926
Albania,201106,289447,1379447
Albania,201107,355549,1091476
Albania,201108,369936,1446106
Albania,201109,346801,2050794
Albania,201110,349904,1925427
Albania,201111,182325,1626662
Albania,201112,208692,1680566
Albania,201201,210824,1532035
Albania,201202,194864,1052257
Albania,201203,228541,1994028
Albania,201204,297157,871927
Albania,201205,508042,2215937
Albania,201206,364577,2249895
Albania,201207,350027,1649309
Albania,201208,300250,2071045
Albania,201209,390265,1699189
Albania,201210,383199,2007957
Albania,201211,569737,1369580
Albania,201212,394100,1533325
Albania,201301,603456,2011119
Albania,201302,385599,2008999
Albania,201303,293111,1905007
Albania,201304,619967,2466036
Albania,201305,303177,1987779
Albania,201306,716527,2650878
Albania,201307,1171000,2069668
Albania,201308,802700,1433994
Albania,201309,764200,1822870
Albania,201310,851900,2444153
Albania,201311,1123600,2251891
Algeria,201001,41606700,135071695
Algeria,201002,19949586,108222044
Algeria,201003,100400927,149176630
Algeria,201004,33435868,144977189
Algeria,201005,69026246,106591677
Algeria,201006,28417837,153573930
Algeria,201007,67956327,102609265
Algeria,201008,28060737,81870278
Algeria,201009,30644068,143741319
Algeria,201010,29434473,103617904
Algeria,201011,52428682,122784026
Algeria,201012,22810313,114261687
Algeria,201101,21798870,89763750
Algeria,201102,32278758,131835079
Algeria,201103,32700149,138222329
Algeria,201104,25544533,144966954
Algeria,201105,22736073,125686045
Algeria,201106,56599921,131204795
Algeria,201107,44153987,117438194
Algeria,201108,20968591,98768624
Algeria,201109,24571330,108916753
Algeria,201110,29905488,118188773
Algeria,201111,33485006,98954302
Algeria,201112,22793494,95319677
Algeria,201201,22820772,81990022
Algeria,201202,17712754,98674822
Algeria,201203,26697261,123190593
Algeria,201204,50096554,151017603
Algeria,201205,21977319,145136093
Algeria,201206,27520689,111566245
