partner_country,period,net_weight,usd_value
Albania,201008,15000,3300
Albania,201112,19600,69849
Algeria,201105,2412319,2998006
Algeria,201106,2537681,3153805
Argentina,201001,73347152,25226660
Argentina,201002,78091557,33939232
Argentina,201003,145633232,50770229
Argentina,201004,111324223,40901740
Argentina,201005,142672333,52220476
Argentina,201006,161048612,47370049
Argentina,201007,178924485,57810438
Argentina,201008,153231170,48767807
Argentina,201009,135477324,46034689
Argentina,201010,145643550,49163019
Argentina,201011,117711036,43586569
Argentina,201012,145191943,55172681
Argentina,201101,160081572,61144749
Argentina,201102,167385515,64347024
Argentina,201103,190034804,72460019
Argentina,201104,168363413,73675128
Argentina,201105,186930309,81886282
Argentina,201106,175327566,77049286
Argentina,201107,191225111,97010861
Argentina,201108,180929623,92158618
Argentina,201109,182990464,94441304
Argentina,201110,196966815,104246534
Argentina,201111,192298240,102279346
Argentina,201112,256150612,135838960
Argentina,201201,246959151,132805515
Argentina,201202,216528755,114834534
Argentina,201301,321548856,172052032
Argentina,201302,356194634,185996800
Argentina,201303,394377504,208992931
Aruba,201010,284,1296
Aruba,201104,41,1960
Australia,201001,163317,405159
Australia,201002,181269,547068
Australia,201003,269290,916580
Australia,201004,166497,665793
Australia,201005,2046305,10607653
Australia,201006,3736538,13951585
Australia,201007,149592,806230
Australia,201008,177593,722000
Australia,201009,4152031,12365044
Australia,201010,5537219,24667514
Australia,201011,225980,1160962
Australia,201012,187613,687836
Australia,201101,90504,342587
Australia,201102,58289,270705
Australia,201103,54657,278414
Australia,201104,159201,1010608
Australia,201105,20352525,64479046
Australia,201106,292443,1676751
Australia,201107,295017,1356888
Australia,201108,10739571,47167216
Australia,201109,320132,2322599
Australia,201110,107849,686506
Australia,201111,189618,1362925
Australia,201112,933988,3954012
Australia,201201,2125618,7019105
Australia,201202,11253295,16998387
Australia,201301,12282723,20140745
Australia,201302,7224458,12310274
Australia,201303,8289879,27605738
Austria,201001,60763,273908
Austria,201002,61063,610578
Austria,201003,59680,254406
Austria,201004,80513,292763
Austria,201005,54209,366964
Austria,201006,78062,267890
Austria,201007,58051,347082
Austria,201008,83818,503017
Austria,201009,119203,734355
Austria,201010,137164,683452
Austria,201011,80767,418536
Austria,201012,39545,437721
Austria,201101,150894,500324
Austria,201102,79604,454668
Austria,201103,86450,270671
Austria,201104,98178,490158
