partner_country,period,net_weight,usd_value
Albania,201001,1922717,943387
Albania,201002,1266784,774976
Albania,201003,4237786,2344161
Albania,201004,5831302,3465540
Albania,201005,2578490,1718824
Albania,201006,3238287,1638833
Albania,201007,9270900,3813613
Albania,201008,9041891,4283184
Albania,201009,6502189,3114553
Albania,201010,5513148,2225335
Albania,201011,5030073,2236066
Albania,201012,3718669,2392339
Albania,201101,5858801,3102156
Albania,201102,4540522,3095107
Albania,201103,7908310,4854189
Albania,201104,12714515,8087736
Albania,201105,6943867,4100557
Albania,201106,7119880,4074808
Albania,201107,7908540,4314269
Albania,201108,5759790,3363763
Albania,201109,9376426,5033712
Albania,201110,6967201,3795286
Albania,201111,6123003,3002857
Albania,201112,5892689,2981576
Albania,201201,3629563,1783147
Albania,201202,2511162,1537416
Albania,201203,4475628,2264030
Albania,201204,4696372,2089556
Albania,201205,7751007,4345842
Albania,201206,6346865,3657075
Albania,201207,6275761,3596727
Albania,201208,6375038,3343626
Albania,201209,5681285,2834778
Albania,201210,5155075,2278559
Albania,201211,6615494,3325419
Albania,201212,2888075,1411249
Albania,201301,3275167,1743698
Albania,201302,2111191,1045206
Albania,201303,6033920,3154408
Albania,201304,3082746,1367390
Albania,201305,7545426,4300940
Albania,201306,6960361,3051547
Albania,201307,5959577,2412522
Albania,201308,8777965,4798610
Albania,201309,4455274,1724930
Albania,201310,3497057,1191778
Albania,201311,6079517,2746182
Albania,201312,5487644,2193920
Algeria,201001,27111,2418319
Algeria,201003,5,292
Algeria,201004,779813,1589985
Algeria,201005,750000,144175
Algeria,201006,3057132,1562033
Algeria,201007,178,5242
Algeria,201008,10196328,1033888
Algeria,201009,203678,568186
Algeria,201010,10764,115277
Algeria,201011,599833,655318
Algeria,201012,401234,433276
Algeria,201101,1404906,1543083
Algeria,201103,47117,103083
Algeria,201104,5784,119315
Algeria,201105,1580,7473
Algeria,201109,291,3113
Algeria,201203,760,7952
Algeria,201204,204405,392765
Algeria,201207,3787,70690
Algeria,201208,20160,45125
Algeria,201209,968218,1236794
Algeria,201211,1215672,1517740
Algeria,201301,52916,201638
Algeria,201302,89911,331047
Algeria,201303,20237,50591
Algeria,201304,125315,1457884
Algeria,201305,224946,909803
Algeria,201306,17441,1179368
Algeria,201307,6914,88699
Algeria,201308,20140,44702
Algeria,201309,3831,192853
Algeria,201310,80120,71118
Algeria,201311,5733,18748
Algeria,201312,14903,62422
Argentina,201008,722,13188
Argentina,201012,40,5
Argentina,201101,1602,13736
Argentina,201102,1402,10543
Argentina,201106,2291,18323
Argentina,201108,2830,49207
Argentina,201110,27575,39555
Argentina,201201,61581,88768
Argentina,201203,22000,19784
Argentina,201206,53307,42994
Argentina,201208,328,16558
Argentina,201209,2789,29197
Argentina,201210,2610,18528
Argentina,201211,80380,78889
Argentina,201212,83799,130926
Argentina,201301,1924,17471
Argentina,201302,24,1725
Argentina,201303,105134,100696
Argentina,201305,105094,87302
Argentina,201306,104623,85312
Argentina,201307,276,9414
Argentina,201308,1217,14347
Argentina,201310,473,17364
Argentina,201311,159,1450
Armenia,201003,7,493
Armenia,201107,4,1000
Armenia,201108,5950,85487
Armenia,201212,303,295
Aruba,201006,9,1953
Australia,201001,27049,108546
Australia,201002,31344,85966
Australia,201003,24248,62866
Australia,201004,16636,48386
Australia,201005,25383,90706
Australia,201006,24560,92402
Australia,201007,54023,113889
Australia,201008,38383,66430
Australia,201009,20370,75769
Australia,201010,114087,167237
Australia,201011,41399,54622
Australia,201012,37230,79214
Australia,201101,35987,44233
Australia,201102,37246,74072
Australia,201103,10371,43270
Australia,201104,73312,177914
Australia,201105,59032,140495
Australia,201106,36834,113113
Australia,201107,43950,168599
Australia,201108,17469,80380
Australia,201109,27379,64100
Australia,201110,26747,90513
Australia,201111,41199,142559
Australia,201112,2833,72610
Australia,201201,49086,117613
Australia,201202,19567,78566
Australia,201203,50028,152378
Australia,201204,52604,107484
Australia,201205,67289,126736
Australia,201206,58682,77890
Australia,201207,52101,195130
Australia,201208,25996,63505
Australia,201209,27917,52012
Australia,201210,33845,95862
Australia,201211,24349,66866
Australia,201212,52625,111075
Australia,201301,40065,58564
Australia,201302,23492,35268
Australia,201303,33791,114001
Australia,201304,47223,141214
Australia,201305,38755,150589
Australia,201306,74831,138271
Australia,201307,25937,120886
Australia,201308,1066,7920
Australia,201309,1540,8316
Australia,201310,81265,197865
Australia,201311,64395,143287
Australia,201312,53203,188733
Austria,201001,11860392,16364629
Austria,201002,13621306,17001238
Austria,201003,18438024,23807666
Austria,201004,16782486,24027227
Austria,201005,22125753,27921497
Austria,201006,25833376,29274756
Austria,201007,34575989,32550004
Austria,201008,30081906,27888711
Austria,201009,30454479,33656244
Austria,201010,21332561,28816464
Austria,201011,23786892,31667326
Austria,201012,17332432,26282195
Austria,201101,17233967,26697734
Austria,201102,21322563,32887583
Austria,201103,23093518,37611978
Austria,201104,27707979,39821734
Austria,201105,30598312,44555056
Austria,201106,24691844,40243172
Austria,201107,27018666,38266950
Austria,201108,27013983,38621264
Austria,201109,29669839,41130975
Austria,201110,26341158,36286838
Austria,201111,25973926,36525666
Austria,201112,21868512,28864606
Austria,201201,16227871,28960870
Austria,201202,12513609,25681534
Austria,201203,19370851,35821931
Austria,201204,21134004,38511189
Austria,201205,24117438,40256517
Austria,201206,26608300,40149627
Austria,201207,23534022,37863131
Austria,201208,23940771,39209721
Austria,201209,23818825,37120239
Austria,201210,25542109,39509128
Austria,201211,25237195,40687287
Austria,201212,15171739,26307656
Austria,201301,16698772,31694380
Austria,201302,16133382,34469036
Austria,201303,16480328,34254422
Austria,201304,22838820,44858871
Austria,201305,23229143,38284766
Austria,201306,23685991,40374620
Austria,201307,26555007,38356290
Austria,201308,27530710,36875493
Austria,201309,27171439,39703448
Austria,201310,28462791,42466308
Austria,201311,31307641,45421517
Austria,201312,28353543,35192741
Azerbaijan,201004,678,13233
Azerbaijan,201005,49430,151082
Azerbaijan,201006,35,2954
Azerbaijan,201008,2370,45351
Azerbaijan,201009,357,94384
Azerbaijan,201010,150,2752
Azerbaijan,201011,2305,40621
Azerbaijan,201012,330,48968
Azerbaijan,201102,300,5401
Azerbaijan,201105,210,7020
Azerbaijan,201106,384,23953
Azerbaijan,201107,39187,276794
Azerbaijan,201108,2415,134150
Azerbaijan,201109,2926,35889
Azerbaijan,201110,216,10978
Azerbaijan,201112,747,32092
Azerbaijan,201202,1583,51286
Azerbaijan,201203,159,3152
Azerbaijan,201204,3003,100721
Azerbaijan,201205,80,5353
Azerbaijan,201206,231,9413
Azerbaijan,201207,27,424
Azerbaijan,201208,862,82096
Azerbaijan,201209,3184,34390
Azerbaijan,201211,206,3868
Azerbaijan,201212,16967,78933
Azerbaijan,201301,2823,51232
Azerbaijan,201303,4953,66639
Azerbaijan,201304,192,3466
Azerbaijan,201305,238,85978
Azerbaijan,201306,14655,145458
Azerbaijan,201307,57,53
Azerbaijan,201308,400,6976
Azerbaijan,201309,987,39388
Azerbaijan,201311,1086,38296
Azerbaijan,201312,4473,184501
Bahrain,201007,5500,12791
Bahrain,201010,5100,9852
Bahrain,201106,3738,71894
Bahrain,201111,3945,4645
Bahrain,201206,7570,5125
Bahrain,201209,99800,91832
Bahrain,201210,72000,63757
Bahrain,201303,154,394
Bahrain,201306,6450,27545
Bahrain,201307,62,300
Bahrain,201308,5,33
Bahrain,201310,13,62
Barbados,201009,4731,37244
Belarus,201004,16500,69497
Belarus,201010,4280,46312
Belarus,201106,1800,4314
Belarus,201110,39,787
Belarus,201301,11050,9847
Belarus,201302,11050,9847
Belarus,201307,19250,7630
Belgium,201001,1014642,1982760
Belgium,201002,930958,1803266
Belgium,201003,879446,2306521
Belgium,201004,646444,1899167
Belgium,201005,22212504,11519330
Belgium,201006,13847064,8101795
Belgium,201007,2521480,1965060
Belgium,201008,795784,1693794
Belgium,201009,570976,1585533
Belgium,201010,667296,2050344
Belgium,201011,558951,2084259
Belgium,201012,493052,1582158
Belgium,201101,672521,1762030
Belgium,201102,780777,1758505
Belgium,201103,638533,1646566
Belgium,201104,791416,2065406
Belgium,201105,835822,2367018
Belgium,201106,899850,2346588
Belgium,201107,447163,1506089
Belgium,201108,555276,1773807
Belgium,201109,814841,2241309
Belgium,201110,782041,1985034
Belgium,201111,848332,2338753
Belgium,201112,900155,1870512
Belgium,201201,594728,1770921
Belgium,201202,818719,2053569
Belgium,201203,665046,1479704
Belgium,201204,698663,1542324
Belgium,201205,741425,1984804
Belgium,201206,702915,2068350
Belgium,201207,391320,1176293
Belgium,201208,681133,1713387
Belgium,201209,966188,1864240
Belgium,201210,1109029,2489936
Belgium,201211,948814,2061282
Belgium,201212,861298,1933740
Belgium,201301,940483,2222135
Belgium,201302,1174068,2337455
Belgium,201303,832278,1587281
Belgium,201304,882265,2129590
Belgium,201305,1051193,1963058
Belgium,201306,608341,2014411
Belgium,201307,722892,2041817
Belgium,201308,462495,1864023
Belgium,201309,758485,1967488
Belgium,201310,706813,1850951
Belgium,201311,623773,1758541
Belgium,201312,547453,1899076
Bolivia (Plurinational State of),201010,1368,14426
Brazil,201007,4866,27155
Brazil,201008,15,173
Brazil,201012,22,3677
Brazil,201102,1,941
Brazil,201107,22052,81569
Brazil,201109,24830,78857
Brazil,201202,650,5396
Brazil,201203,907060,938068
Brazil,201208,3115,40809
Brazil,201209,3771,52792
Brazil,201210,262186,313286
Brazil,201211,43115,91577
Brazil,201212,4447,90752
Brazil,201301,330,1261
Brazil,201302,1200,9804
Brazil,201304,214,1094
Brazil,201305,2992,54244
Brazil,201306,18977,87946
Brazil,201307,3110,81107
Brazil,201308,23497,118088
Brazil,201309,15614,78475
Brazil,201310,1445,20003
Brazil,201311,30370,134114
Brazil,201312,17357,90311
Brunei Darussalam,201110,4,308
Bulgaria,201001,77156,84988
Bulgaria,201002,90316,582349
Bulgaria,201003,1089413,1153138
Bulgaria,201004,459895,499651
Bulgaria,201005,804531,901796
Bulgaria,201006,575497,540729
Bulgaria,201007,411967,834098
Bulgaria,201008,622104,767754
Bulgaria,201009,434904,664582
Bulgaria,201010,276509,331366
Bulgaria,201011,723986,1013841
Bulgaria,201012,77037,182410
Bulgaria,201101,324229,718299
Bulgaria,201102,147285,269710
Bulgaria,201103,168306,305600
Bulgaria,201104,764940,1044504
Bulgaria,201105,947646,787881
Bulgaria,201106,272512,630145
Bulgaria,201107,552299,976145
Bulgaria,201108,1837402,1589586
Bulgaria,201109,198073,316145
Bulgaria,201110,3298255,2451465
Bulgaria,201111,1092770,566579
Bulgaria,201112,2945054,1531887
Bulgaria,201201,2773108,2335852
Bulgaria,201202,329286,605784
Bulgaria,201203,968686,1527130
Bulgaria,201204,1827348,2265907
Bulgaria,201205,1634671,1194421
Bulgaria,201206,1783505,1718221
Bulgaria,201207,3518767,2506319
Bulgaria,201208,5486975,3568863
Bulgaria,201209,3175598,1379446
Bulgaria,201210,3898677,1834883
Bulgaria,201211,2431505,1897641
Bulgaria,201212,5395591,3910450
Bulgaria,201301,3696066,3293242
Bulgaria,201302,2759281,3173232
Bulgaria,201303,5193217,3540941
Bulgaria,201304,11707818,7516086
Bulgaria,201305,7667323,5492986
Bulgaria,201306,3601953,3149171
Bulgaria,201307,7947352,7402443
Bulgaria,201308,3244348,2448955
Bulgaria,201309,4584971,3821567
Bulgaria,201310,3608195,3170392
Bulgaria,201311,5827391,4117855
Bulgaria,201312,5104946,3218260
Cameroon,201006,11,760
Cameroon,201110,15645,15088
Cameroon,201202,66,355
Cameroon,201304,17180,33527
Cameroon,201307,154959,112790
Canada,201001,59201,138913
Canada,201002,24903,136271
Canada,201003,121979,269821
Canada,201004,72448,277641
Canada,201005,19705,132526
Canada,201006,13307,252067
Canada,201007,71652,396422
Canada,201008,20297,21237
Canada,201009,73543,537886
Canada,201010,16340,363871
Canada,201011,44489,376330
Canada,201012,24732,540281
Canada,201101,24829,61167
Canada,201102,34057,284972
Canada,201103,10699,264146
Canada,201104,15395,310171
Canada,201105,223091,491683
Canada,201106,21912,394629
Canada,201107,16463,329743
Canada,201108,950341,1209722
Canada,201109,1294866,1595818
Canada,201110,85593,639810
Canada,201111,344349,594636
Canada,201112,954668,1090822
Canada,201201,1231818,924680
Canada,201202,761182,915458
Canada,201203,1174896,1348724
Canada,201204,650445,514410
Canada,201205,11817,344644
Canada,201206,63527,435687
Canada,201207,5792,278838
Canada,201208,21071,443708
Canada,201209,33594,376688
Canada,201210,92435,597335
Canada,201211,30367,410564
Canada,201212,36583,453021
Canada,201301,21440,399132
Canada,201302,17622,261186
Canada,201303,9118,319707
Canada,201304,34469,344153
Canada,201305,30287,263576
Canada,201306,5902,273288
Canada,201307,21536,412930
Canada,201308,22345,283842
Canada,201309,55941,381760
Canada,201310,33197,413573
Canada,201311,54280,517825
Canada,201312,57387,425737
Central African Rep.,201003,60000,11559
Central African Rep.,201005,45000,7511
Chile,201007,441,4299
Chile,201009,537,5163
Chile,201012,34,135
Chile,201101,1100,9942
Chile,201104,909,10824
Chile,201205,608,5923
Chile,201302,22,502
Chile,201307,850,29102
Chile,201311,51169,36269
Chile,201312,25360,19779
China,201001,70923,307549
China,201002,338129,254580
China,201003,283773,342282
China,201004,634423,591876
China,201005,402548,444000
China,201006,385069,672932
China,201007,204956,545648
China,201008,167728,180602
China,201009,383790,397342
