partner_country,period,net_weight,usd_value
Albania,201001,851324,1715131
Albania,201002,1401277,2894533
Albania,201003,1680759,2850066
Albania,201004,1335936,2360489
Albania,201005,1799573,3402582
Albania,201007,1286394,2222593
Albania,201008,1131786,2559499
Albania,201009,1284117,2869978
Albania,201010,2212257,3637522
Albania,201011,1337980,2440907
Albania,201012,1404078,2666840
Albania,201101,520000,1870735
Albania,201102,2056153,3562979
Albania,201103,1050595,2983995
Albania,201104,1376831,3648498
Albania,201105,1914675,5357721
Albania,201106,3860315,6746108
Albania,201107,6348030,6767539
Albania,201108,3723564,5106853
Albania,201109,3288869,5336800
Albania,201110,2540132,4212497
Albania,201111,4292511,6420232
Albania,201112,5733730,12240960
Albania,201201,3040221,5781894
Albania,201202,1767387,2574096
Albania,201203,2310879,2511417
Albania,201204,657224,1584333
Albania,201205,1278249,2428345
Albania,201206,959317,2592096
Albania,201207,3155158,3678527
Albania,201208,2713522,2857226
Albania,201209,2497617,3557345
Albania,201210,6068387,5712065
Albania,201211,3242493,4184228
Albania,201212,806333,2064913
Albania,201301,2426918,3014366
Albania,201302,2722406,3504314
Albania,201303,1819164,4396746
Albania,201304,1416075,2939640
Albania,201305,6533088,5261331
Albania,201306,6597547,5052461
Albania,201307,5740992,4803452
Albania,201308,6427462,5021131
Albania,201309,6409588,4785023
Albania,201310,4816539,5546628
Albania,201311,6589255,5636322
Algeria,201001,104588518,63442969
Algeria,201002,31810395,29906582
Algeria,201003,11251233,23849226
Algeria,201004,57703576,37489649
Algeria,201005,109043561,67218626
Algeria,201007,53201385,36068460
Algeria,201008,193682634,93638553
Algeria,201009,286908045,132183733
Algeria,201010,208569355,101201652
Algeria,201011,302552022,115108767
Algeria,201012,90702150,31502702
Algeria,201101,357809263,134079449
Algeria,201102,237997722,83309705
Algeria,201103,455845147,178911505
Algeria,201104,156594855,96855639
Algeria,201105,140957840,92811033
Algeria,201106,221932456,145251858
Algeria,201107,186682827,132446828
Algeria,201108,367759522,184562064
Algeria,201109,175714474,94764217
Algeria,201110,283052679,122253372
Algeria,201111,183878887,126104073
Algeria,201112,156912489,102412791
Algeria,201201,145805009,75784968
Algeria,201202,114869449,79547458
Algeria,201203,87702064,68053713
Algeria,201204,88848383,52069608
Algeria,201205,222036469,145232359
Algeria,201206,213090545,110956706
Algeria,201207,130020619,80767816
Algeria,201208,167541606,109826356
Algeria,201209,221383960,108004087
Algeria,201210,284802675,145451398
Algeria,201211,154092880,95874300
Algeria,201212,190980740,97940753
Algeria,201301,105013972,48904748
Algeria,201302,165970957,84952147
Algeria,201303,132103191,70052235
Algeria,201304,227039260,110796785
Algeria,201305,170910403,87749587
Algeria,201306,174567874,118751322
Algeria,201307,137338596,89078812
Algeria,201308,132075994,97273925
Algeria,201309,344793995,110280918
Algeria,201310,361260766,141094310
Algeria,201311,250040054,102760179
Antigua and Barbuda,201001,262949,383058
Antigua and Barbuda,201002,447424,463288
Antigua and Barbuda,201003,271408,308505
Antigua and Barbuda,201004,409707,652394
Antigua and Barbuda,201005,322254,491137
Antigua and Barbuda,201007,287455,301574
Antigua and Barbuda,201008,426818,471692
Antigua and Barbuda,201009,520113,519568
Antigua and Barbuda,201010,281691,386458
Antigua and Barbuda,201011,138092,233719
Antigua and Barbuda,201012,175560,190524
Antigua and Barbuda,201101,328582,241062
Antigua and Barbuda,201102,288302,356250
Antigua and Barbuda,201103,105870,160345
Antigua and Barbuda,201104,281637,552675
Antigua and Barbuda,201105,263363,309093
Antigua and Barbuda,201106,257143,314695
Antigua and Barbuda,201107,219486,388230
Antigua and Barbuda,201108,358443,415471
Antigua and Barbuda,201109,198406,311302
Antigua and Barbuda,201110,390578,638301
Antigua and Barbuda,201111,216891,579854
Antigua and Barbuda,201112,228003,519452
Antigua and Barbuda,201201,170976,233938
Antigua and Barbuda,201202,306810,538042
Antigua and Barbuda,201203,268091,379584
Antigua and Barbuda,201204,464083,595490
Antigua and Barbuda,201205,318848,623187
Antigua and Barbuda,201206,394766,1322650
Antigua and Barbuda,201207,195439,259424
Antigua and Barbuda,201208,417221,609824
Antigua and Barbuda,201209,286327,395027
Antigua and Barbuda,201210,359822,546551
Antigua and Barbuda,201211,397718,405833
Antigua and Barbuda,201212,254202,437538
Antigua and Barbuda,201301,243373,322055
Antigua and Barbuda,201302,248695,450226
Antigua and Barbuda,201303,566123,632902
Antigua and Barbuda,201304,269819,509008
Antigua and Barbuda,201305,274139,419920
Antigua and Barbuda,201306,567214,615959
Antigua and Barbuda,201307,346566,466417
Antigua and Barbuda,201308,256925,402434
Antigua and Barbuda,201309,156461,183425
Antigua and Barbuda,201310,535760,843283
Antigua and Barbuda,201311,448780,602412
Argentina,201001,1019318313,977465119
Argentina,201002,966807872,1158406632
Argentina,201003,1363200037,1413556241
Argentina,201004,994297813,1306622763
Argentina,201005,1089204922,1461352739
Argentina,201007,1255818550,1626067836
Argentina,201008,1493323954,1725114003
Argentina,201009,1177607822,1869296168
Argentina,201010,1084553088,1653754162
Argentina,201011,943158918,1769122318
Argentina,201012,1002054730,2066801075
Argentina,201101,816926709,1394709910
Argentina,201102,969895040,1619904709
Argentina,201103,1416706784,1757110202
Argentina,201104,1249691635,1760288111
Argentina,201105,1609241792,1920313954
Argentina,201106,1445618506,1985701604
Argentina,201107,1535587001,2040659792
Argentina,201108,1387933865,2205010005
Argentina,201109,1717443737,2206327885
Argentina,201110,1262630384,1992538827
Argentina,201111,1263650446,2056074629
Argentina,201112,926480287,1770704811
Argentina,201201,625329371,1432417579
Argentina,201202,830069266,1701547320
Argentina,201203,1192123116,1426846153
Argentina,201204,1130473224,1351320898
Argentina,201205,1345151432,1614071116
Argentina,201206,1228022957,1310601909
Argentina,201207,1274329959,1489787222
Argentina,201208,1346332828,1668269261
Argentina,201209,803864172,1480007128
Argentina,201210,901483060,1623994103
Argentina,201211,1010372505,1553286769
Argentina,201212,549841517,1345556929
Argentina,201301,1101566556,1398391978
Argentina,201302,715526586,1290216938
Argentina,201303,1048215182,1397442112
Argentina,201304,1236363802,1765660336
Argentina,201305,1416871632,1825797447
Argentina,201306,1279297051,1643669483
Argentina,201307,1623448734,1866350822
Argentina,201308,1293261089,1813632480
Argentina,201309,1498887365,1915138684
Argentina,201310,1343317633,1822124881
Argentina,201311,694711459,1509460757
Armenia,201001,812965,1358113
Armenia,201002,980284,1689423
Armenia,201003,1535917,2614119
Armenia,201004,673152,1223849
Armenia,201005,1614695,2537064
