partner_country,period,net_weight,usd_value
Albania,201207,1122914,9511
Algeria,201210,405787,82
Argentina,201212,1343940,41
Australia,201201,3000,115078882
Australia,201202,4,61923567
Australia,201203,29650000,93151333
Australia,201204,19,191305290
Australia,201205,31,70111386
Australia,201206,34820,29931191
Australia,201207,1122914,99552673
Australia,201208,120,229339
Australia,201209,993815,33590823
Australia,201210,405787,33182923
Australia,201211,1429157,136545532
Australia,201212,1343940,102615982
Austria,201201,3000,13
Austria,201207,1122914,3337
Bahrain,201208,120,1296
Belgium,201203,29650000,57814
Belgium,201207,1122914,2506
Belgium,201208,120,6728
Belgium,201209,993815,7772
Brazil,201203,29650000,50016
Brazil,201209,993815,366
Canada,201201,3000,927
Canada,201202,4,98104
Canada,201203,29650000,29195
Canada,201204,19,11003
Canada,201205,31,113
Canada,201206,34820,468235
Canada,201207,1122914,90638
Canada,201208,120,169699
Canada,201209,993815,46195
Canada,201210,405787,4643
Canada,201211,1429157,9136
Canada,201212,1343940,4299
China,201201,3000,3072291
China,201202,4,104273
China,201203,29650000,823517
China,201204,19,118305
China,201205,31,60976496
China,201206,34820,1205933
China,201207,1122914,3023228
China,201208,120,70623782
China,201209,993815,69847970
China,201210,405787,65458600
China,201211,1429157,75428134
China,201212,1343940,983392
"China, Hong Kong SAR",201201,3000,447286
"China, Hong Kong SAR",201202,4,657075
"China, Hong Kong SAR",201203,29650000,811612
"China, Hong Kong SAR",201204,19,382141
"China, Hong Kong SAR",201205,31,253221
"China, Hong Kong SAR",201206,34820,422063
"China, Hong Kong SAR",201207,1122914,36653
"China, Hong Kong SAR",201208,120,524502
"China, Hong Kong SAR",201209,993815,311873
"China, Hong Kong SAR",201210,405787,332868
"China, Hong Kong SAR",201211,1429157,83367
"China, Hong Kong SAR",201212,1343940,230934
Denmark,201202,4,336173
Denmark,201204,19,101
Denmark,201205,31,15052
Denmark,201206,34820,5456
Denmark,201208,120,9018
Denmark,201209,993815,610
Denmark,201210,405787,754
Egypt,201202,4,11590
Egypt,201206,34820,782
Egypt,201207,1122914,17461
France,201202,4,21590
France,201203,29650000,34744
France,201204,19,60436
France,201205,31,217045
France,201206,34820,39977
France,201207,1122914,110552
France,201208,120,1026497
France,201209,993815,9098
France,201210,405787,129679
France,201211,1429157,1634643
France,201212,1343940,71926
Germany,201201,3000,167236
Germany,201202,4,894399
Germany,201203,29650000,762478
Germany,201204,19,712639
Germany,201205,31,470876
Germany,201206,34820,334412
Germany,201207,1122914,978874
Germany,201208,120,2270005
Germany,201209,993815,450283
Germany,201210,405787,7457726
Germany,201211,1429157,130219
Germany,201212,1343940,298794
India,201201,3000,137848178
India,201202,4,80965687
India,201203,29650000,80881353
India,201204,19,193224953
India,201205,31,69604673
India,201206,34820,61557309
India,201207,1122914,127911791
India,201208,120,74623107
India,201209,993815,70129151
India,201210,405787,190030957
India,201211,1429157,66870351
India,201212,1343940,784283
Indonesia,201201,3000,144321708
Indonesia,201202,4,38318629
Indonesia,201203,29650000,20864
Indonesia,201204,19,87702
Indonesia,201205,31,1699045
Indonesia,201206,34820,61789131
Indonesia,201207,1122914,1003741
Indonesia,201208,120,122592
Indonesia,201209,993815,71071510
Indonesia,201210,405787,831504
Indonesia,201211,1429157,1492099
Indonesia,201212,1343940,137532139
Israel,201201,3000,6102
Italy,201201,3000,10
Italy,201203,29650000,2
Italy,201204,19,1
Italy,201205,31,3960
Italy,201206,34820,57039
Italy,201207,1122914,841
Italy,201210,405787,557
Italy,201211,1429157,8175
Italy,201212,1343940,393406
Japan,201201,3000,565487876
Japan,201202,4,519973796
Japan,201203,29650000,349990042
Japan,201204,19,551883733
Japan,201205,31,424000742
Japan,201206,34820,451656729
Japan,201207,1122914,600034644
Japan,201208,120,450122472
Japan,201209,993815,436089716
Japan,201210,405787,498478543
Japan,201211,1429157,454679712
Japan,201212,1343940,423201637
Jordan,201205,31,206181
Jordan,201206,34820,11734
Kenya,201209,993815,2437
Malaysia,201201,3000,3171053
Malaysia,201202,4,9471907
Malaysia,201203,29650000,7664666
Malaysia,201204,19,5687696
Malaysia,201205,31,6583506
Malaysia,201206,34820,7918224
Malaysia,201207,1122914,6887136
Malaysia,201208,120,13810362
Malaysia,201209,993815,5069720
Malaysia,201210,405787,10860698
Malaysia,201211,1429157,4572340
Malaysia,201212,1343940,7456324
Mexico,201201,3000,1119
Mexico,201205,31,1694
Mexico,201208,120,2618
Morocco,201205,31,317
Morocco,201206,34820,391
Morocco,201209,993815,23396
Morocco,201210,405787,245
Netherlands,201201,3000,81535
Netherlands,201202,4,13638
Netherlands,201203,29650000,113289
Netherlands,201204,19,382212
Netherlands,201205,31,60466
Netherlands,201206,34820,187583
Netherlands,201207,1122914,711228
Netherlands,201208,120,219079
Netherlands,201209,993815,509819
Netherlands,201210,405787,217313
Netherlands,201211,1429157,135995
Netherlands,201212,1343940,47963
New Zealand,201201,3000,45273753
New Zealand,201202,4,111182981
New Zealand,201203,29650000,77509582
New Zealand,201204,19,36287
New Zealand,201205,31,12000
New Zealand,201206,34820,59535655
New Zealand,201207,1122914,81065729
New Zealand,201208,120,104510676
New Zealand,201209,993815,78992668
New Zealand,201210,405787,30547139
New Zealand,201211,1429157,188029
New Zealand,201212,1343940,70837182
Nigeria,201205,31,308
Nigeria,201207,1122914,57434
Nigeria,201208,120,282732
Nigeria,201209,993815,148190
Nigeria,201210,405787,28333
Norway,201202,4,1331751
Norway,201203,29650000,410
Norway,201204,19,409
Norway,201205,31,40
Norway,201206,34820,8940
Norway,201208,120,4042
Norway,201209,993815,92051
Norway,201210,405787,82
Pakistan,201202,4,865
Pakistan,201203,29650000,67
Pakistan,201204,19,67
Pakistan,201205,31,67
Pakistan,201206,34820,227
Pakistan,201207,1122914,107
Pakistan,201208,120,135
Pakistan,201209,993815,20868
Pakistan,201210,405787,1093
Pakistan,201211,1429157,69
Pakistan,201212,1343940,69
Philippines,201201,3000,872816
Philippines,201202,4,1452058
Philippines,201203,29650000,47699577
Philippines,201204,19,126206
Philippines,201205,31,148453
Philippines,201206,34820,1802448
Philippines,201207,1122914,1040427
Philippines,201208,120,544919
Philippines,201209,993815,2311325
Philippines,201210,405787,1162397
Philippines,201211,1429157,1912803
Philippines,201212,1343940,1121006
Rep. of Korea,201201,3000,91033138
Rep. of Korea,201202,4,196175273
Rep. of Korea,201203,29650000,366015561
Rep. of Korea,201204,19,115243246
Rep. of Korea,201205,31,71232989
Rep. of Korea,201206,34820,218369992
Rep. of Korea,201207,1122914,184623941
Rep. of Korea,201208,120,74874749
Rep. of Korea,201209,993815,103059650
Rep. of Korea,201210,405787,164099656
