partner_country,period,net_weight,usd_value
Albania,201001,6606100,5987522
Albania,201002,5730000,4920831
Albania,201003,5824800,5112206
Albania,201004,8936800,7596133
Albania,201005,6975000,7653860
Albania,201006,6374100,7566811
Albania,201007,5425400,5398349
Albania,201008,9776600,8337274
Albania,201009,6571800,6732679
Albania,201010,5570900,5779361
Albania,201011,4652800,6167131
Albania,201012,5520800,6665570
Albania,201101,7533100,6391555
Albania,201102,4738100,4675036
Albania,201103,6285700,6252652
Albania,201104,5797900,5483977
Albania,201105,3940300,4438324
Albania,201106,2552700,4023468
Albania,201107,4296100,5752631
Albania,201108,5869200,6891349
Albania,201109,5413900,6405346
Albania,201110,4647900,7587913
Albania,201111,6013200,7468382
Albania,201112,3730300,6116927
Albania,201201,2664192,4111434
Albania,201202,10579390,6759377
Albania,201203,3422925,5050134
Albania,201204,5964617,5346793
Albania,201205,3395672,4616026
Albania,201206,4412338,4969580
Albania,201207,6401500,5203851
Albania,201208,7602120,5890179
Albania,201209,7842331,5672919
Albania,201210,4813519,5694430
Albania,201211,4814892,5007976
Albania,201212,5503892,6033644
Albania,201301,2564561,3365995
Albania,201302,2440652,3472886
Albania,201303,7617063,6578929
Albania,201304,10997300,10214446
Albania,201305,3505000,4705443
Albania,201306,4447100,5307449
Albania,201307,18046900,16495538
Albania,201308,9297700,6519649
Albania,201309,8617300,7224745
Albania,201310,4713100,5727440
Albania,201311,3850200,5085082
Algeria,201001,83700,607566
Algeria,201002,8600500,3905391
Algeria,201003,4494400,1963316
Algeria,201004,1724800,1528358
Algeria,201005,7763500,3836274
Algeria,201006,4519200,2010057
Algeria,201007,7856500,4861146
Algeria,201008,9660900,5755357
Algeria,201009,9725300,5601401
Algeria,201010,6255300,4568918
Algeria,201011,2940800,1475149
Algeria,201012,15146200,30658789
Algeria,201101,4829600,2491651
Algeria,201102,4232100,2253723
Algeria,201103,5786100,2542711
Algeria,201104,826800,1412846
Algeria,201105,5525000,4353609
Algeria,201106,6085000,3812833
Algeria,201107,58639500,20146845
Algeria,201108,5876000,4123972
Algeria,201109,6405100,3469806
Algeria,201110,492800,746814
Algeria,201111,44471300,16702699
Algeria,201112,3274700,4203311
Algeria,201201,7836034,3538341
Algeria,201202,5227174,3739966
Algeria,201203,4870295,4816096
Algeria,201204,4536184,3058316
Algeria,201205,4984493,3074095
Algeria,201206,36999995,29945505
Algeria,201207,3902154,2269293
Algeria,201208,3485827,1586258
Algeria,201209,456377,760934
Algeria,201210,5373717,6925959
Algeria,201211,4180402,8357769
Algeria,201212,2758208,5689132
Algeria,201301,4697824,2902813
Algeria,201302,731371,3165816
Algeria,201303,11075885,8862231
Algeria,201304,2488500,8490049
Algeria,201305,6762900,7051937
Algeria,201306,9524300,8646578
Algeria,201307,9158100,6664573
Algeria,201308,2208400,5756072
Algeria,201309,18163800,5715251
Algeria,201310,69523000,16416127
Algeria,201311,31075400,28932791
Antigua and Barbuda,201001,779200,429435
Antigua and Barbuda,201002,48200,109256
Antigua and Barbuda,201003,75000,57048
Antigua and Barbuda,201004,74300,13153
Antigua and Barbuda,201005,160400,131491
Antigua and Barbuda,201006,172900,120569
Antigua and Barbuda,201007,49700,55854
Antigua and Barbuda,201008,269600,193076
Antigua and Barbuda,201009,539200,284160
Antigua and Barbuda,201010,258500,186747
Antigua and Barbuda,201011,1296500,693999
Antigua and Barbuda,201012,69400,59034
Antigua and Barbuda,201101,200100,270887
Antigua and Barbuda,201102,209100,315416
Antigua and Barbuda,201103,777600,797131
Antigua and Barbuda,201104,60600,194692
Antigua and Barbuda,201105,120100,182259
Antigua and Barbuda,201106,1500,104500
Antigua and Barbuda,201107,124300,158460
Antigua and Barbuda,201108,159000,236372
Antigua and Barbuda,201109,135000,204994
Antigua and Barbuda,201110,171600,248723
Antigua and Barbuda,201111,120800,192265
Antigua and Barbuda,201112,700,49185
Antigua and Barbuda,201201,615,70895
Antigua and Barbuda,201202,26085,66133
Antigua and Barbuda,201203,151428,220409
Antigua and Barbuda,201204,45114,136158
Antigua and Barbuda,201205,430,33152
Antigua and Barbuda,201206,79,70908
Antigua and Barbuda,201207,25254,50087
Antigua and Barbuda,201208,54506,157503
Antigua and Barbuda,201209,1033,82116
Antigua and Barbuda,201210,11365,66825
Antigua and Barbuda,201211,15126,92743
Antigua and Barbuda,201212,3552,71298
Antigua and Barbuda,201301,110020,143184
Antigua and Barbuda,201302,50360,75827
Antigua and Barbuda,201303,27,35065
Antigua and Barbuda,201304,20914500,58564
Antigua and Barbuda,201305,25300,52888
Antigua and Barbuda,201306,200,34291
Antigua and Barbuda,201307,40200,73731
Antigua and Barbuda,201308,49100,89657
Antigua and Barbuda,201309,128500,177982
Antigua and Barbuda,201310,200,61071
Antigua and Barbuda,201311,104200,1133
Argentina,201001,493500,847756
Argentina,201002,131300,978796
Argentina,201003,46000,687172
Argentina,201004,35100,192427
Argentina,201005,54000,378034
Argentina,201006,94900,757009
Argentina,201007,97800,588130
Argentina,201008,63200,402767
Argentina,201009,58800,519361
Argentina,201010,133000,1118708
Argentina,201011,57600,265905
Argentina,201012,101100,673628
Argentina,201101,89500,854811
Argentina,201102,87300,681917
Argentina,201103,59400,619120
Argentina,201104,23927300,7750501
Argentina,201105,84600,697727
Argentina,201106,28041700,7569411
