partner_country,period,net_weight,usd_value
Algeria,201001,3000,27819
Algeria,201003,19710,36963
Algeria,201110,2725,5786
Australia,201001,60,113
Australia,201005,150,104
Australia,201008,113,60
Australia,201009,465,61
Australia,201011,342,63
Australia,201012,158,872
Australia,201101,240,155
Australia,201103,5,333
Australia,201104,477,66
Australia,201105,222,8038
Australia,201106,2865,15372
Australia,201109,35,105
Australia,201110,10,2908
Australia,201112,23,2593
Austria,201107,472,8522
Austria,201112,482,1390
Belarus,201001,378,491
Belgium,201002,11100881,15166153
Belgium,201003,3028,137875
Belgium,201005,2684,15553
Belgium,201006,13300,13500
Belgium,201007,3787,995551
Belgium,201008,2114,83779
Belgium,201009,6759,144020
Belgium,201010,91,1536414
Belgium,201011,552,168618
Belgium,201012,1442,195687
Belgium,201101,6080,24608
Belgium,201102,6054682,9521159
Belgium,201103,90,1531793
Belgium,201104,72485,236322
Belgium,201105,258600,269299
Belgium,201106,11121383,29683917
Belgium,201107,7206,171497
Belgium,201108,4200,63715
Belgium,201109,23462,156255
Belgium,201110,11708,125570
Belgium,201111,23400,382269
Belgium,201112,5051066,9283990
Bosnia Herzegovina,201112,90,1651
Brazil,201008,19558,61939
Brazil,201009,12096,15538
Brazil,201010,1654,40619
Bulgaria,201004,4300,18267
Bulgaria,201102,30125,19466
Bulgaria,201106,8500,8971
Burundi,201002,4000,84400
Burundi,201005,2722,16526
Cabo Verde,201112,1000,6381
Cameroon,201004,480,4579
Cameroon,201011,528000,16780
Cameroon,201109,19000,72652
Cameroon,201110,19000,72427
Cameroon,201112,34570,339957
Canada,201001,532980,407991
Canada,201002,716000,1082175
Canada,201003,1950,34560
Canada,201004,18275,868932
Canada,201005,25560,325845
Canada,201006,4533,1191361
Canada,201007,23811,249676
Canada,201008,138200,97440
Canada,201009,1314,18805
Canada,201012,17080,17390
Canada,201101,10538,233337
Canada,201102,186200,197409
Canada,201103,19108,25599
Canada,201104,270,1620
Canada,201105,1000310,3284875
Canada,201106,831,3574
Canada,201107,21131,41580
Canada,201109,105,121
Canada,201110,275,402
Canada,201111,1600,1984774
China,201001,724285,536043
China,201002,99060,92890
China,201003,210556,231799
China,201005,134000,130219
China,201006,9165,35339
China,201007,44755,52464
China,201009,6068144,1028342
China,201011,6020000,1006379
China,201012,3000000,479997
China,201101,875030,770279
China,201102,470200,520247
China,201103,390180,227712
China,201105,1000000,330829
China,201107,500000,1630274
China,201109,1,16768
China,201110,1300,7000
China,201111,3001675,300912
China,201112,1158453,760127
"China, Hong Kong SAR",201002,5000000,286825
"China, Hong Kong SAR",201004,525,1072
"China, Hong Kong SAR",201005,5000000,263313
"China, Hong Kong SAR",201007,20000,14415
"China, Hong Kong SAR",201008,175000,26478
"China, Hong Kong SAR",201009,4000000,376121
"China, Hong Kong SAR",201011,8000000,785852
"China, Hong Kong SAR",201012,4000000,380464
"China, Hong Kong SAR",201101,8000000,769131
"China, Hong Kong SAR",201102,4000000,392885
"China, Hong Kong SAR",201110,4025000,396991
"China, Hong Kong SAR",201112,16296,25374
