partner_country,period,net_weight,usd_value
Albania,201108,19200,109771
Australia,201011,2210200,9732520
Australia,201106,22293,172097
Australia,201107,44706,351967
Australia,201108,300,159
Australia,201110,44700,352789
Australia,201112,86,1322
Austria,201011,2207200,9682056
Austria,201012,2237700,13899810
Austria,201101,22147,137870
Austria,201105,22303,170908
Austria,201107,44646,350845
Austria,201108,22438,177529
Austria,201109,44740,351821
Austria,201111,22491,178191
Austria,201112,45069,378510
Austria,201201,22382,189443
Austria,201202,44682,380630
Austria,201203,45460,375643
Austria,201204,70333,593020
Austria,201205,98676,801940
Austria,201206,71717,563859
Austria,201207,70907,568498
Belgium,201001,4947300,59954105
Belgium,201002,4688100,12224639
Belgium,201003,9029200,35167617
Belgium,201004,1548300,11731173
Belgium,201005,1639700,30286231
Belgium,201006,5089500,52856506
Belgium,201007,65154100,231922328
Belgium,201008,103265300,366523472
Belgium,201009,27873900,124186544
Belgium,201010,59392500,301129307
Belgium,201011,75324000,262950582
Belgium,201012,15236100,47765919
Belgium,201101,176795,287113
Belgium,201102,545972,3317493
Belgium,201103,409055,2633290
Belgium,201104,192108,930800
Belgium,201105,37113,474639
Belgium,201106,52688,263237
Belgium,201107,304043,1992158
Belgium,201108,242823,1547569
Belgium,201109,559389,3472754
Belgium,201110,389977,2124743
Belgium,201111,116054,532118
Belgium,201112,187057,882116
Belgium,201201,58588,267972
Belgium,201202,82227,615657
Belgium,201203,27913,31996
Belgium,201204,49785,938507
Belgium,201205,48684,990348
Belgium,201206,115976,301445
Belgium,201207,82986,640841
Bosnia Herzegovina,201107,637,727
Burkina Faso,201010,35500,29999
Burkina Faso,201107,132,29
Burkina Faso,201112,854,43578
Burkina Faso,201205,636,2675
Cameroon,201007,10200,298483
Cameroon,201205,896,2527
Canada,201004,20000,10812
Canada,201007,12300,29501
Canada,201010,37000,30137
Canada,201011,85000,63033
Canada,201012,350000,6744297
Canada,201102,182,198
Canada,201103,200,1405
Canada,201104,200,97
Canada,201105,624,2476
Canada,201107,212,1590
Canada,201108,19200,108865
Canada,201112,115,81
Central African Rep.,201002,20300,180000
Central African Rep.,201004,8300,150000
Central African Rep.,201008,16300,127305
China,201001,280500,720371
China,201002,1380000,7099999
China,201003,1750500,738680
China,201004,2017800,1181000
China,201006,1800000,740000
China,201008,7200000,3973202
China,201009,9638600,6135000
China,201011,6027600,419640
China,201012,3220000,1165915
China,201101,24000,7292
China,201103,66660,16606
China,201105,38326,24282
China,201106,169,403
China,201107,21338,839162
China,201109,72220,128764
China,201110,638,11546
China,201111,144000,219400
China,201112,21890,26132
China,201201,48000,48716
China,201203,144000,156727
China,201204,48000,54066
China,201205,120000,135203
China,201206,96000,108007
China,201207,121103,394653
"China, Hong Kong SAR",201001,2230000,8040172
"China, Hong Kong SAR",201002,2235000,8076395
"China, Hong Kong SAR",201003,2010000,26651039
"China, Hong Kong SAR",201004,2230000,8035136
"China, Hong Kong SAR",201005,3298800,26214002
"China, Hong Kong SAR",201006,24300,424829
"China, Hong Kong SAR",201007,2318100,9719952
"China, Hong Kong SAR",201008,28629500,24214962
"China, Hong Kong SAR",201009,12558200,28419498
"China, Hong Kong SAR",201011,10847400,44671483
"China, Hong Kong SAR",201012,1615000,36614560
"China, Hong Kong SAR",201103,58670,767243
"China, Hong Kong SAR",201104,264,4487
"China, Hong Kong SAR",201108,21640,859220
"China, Hong Kong SAR",201109,24010,35298
"China, Hong Kong SAR",201110,11191,403427
"China, Hong Kong SAR",201111,14773,116252
"China, Hong Kong SAR",201112,17535,623348
"China, Hong Kong SAR",201202,66213,982379
"China, Hong Kong SAR",201203,220,6298
"China, Hong Kong SAR",201204,16713,606536
"China, Hong Kong SAR",201205,30074,1064505
"China, Hong Kong SAR",201206,34195,557157
"China, Hong Kong SAR",201207,20192,751815
Denmark,201004,86300,200000
Denmark,201008,28500,200000
Denmark,201012,500,619579
Denmark,201101,30,33602
Denmark,201103,70,30234
Denmark,201104,46,21728
Denmark,201105,16,12812
Denmark,201106,64,30816
Denmark,201107,21,10491
Denmark,201108,10,3621
Denmark,201109,155,33664
Denmark,201110,25,16716
Denmark,201205,7,4594
Denmark,201206,310,1923
Dominican Rep.,201104,63615,82578
Dominican Rep.,201105,18473,17747
Dominican Rep.,201201,7500,8614
Egypt,201101,956,5061
Egypt,201108,31,670
Egypt,201201,261,30223
Ethiopia,201007,27100,1239170
Ethiopia,201109,346,1578
Ethiopia,201110,51,195
France,201001,18700,429951
France,201003,100000,100000
France,201004,41000,798114
France,201005,494600,3747775
