partner_country,period,net_weight,usd_value
Belgium,201203,3,6
Brazil,201008,1000,10941
Brazil,201009,580765,696573
Brazil,201103,18,51
Canada,201105,21,700
China,201110,130,4787
"China, Hong Kong SAR",201103,729,21134
El Salvador,201110,476825,1136850
El Salvador,201111,645653,1219898
El Salvador,201206,1260493,2517245
France,201001,650,28698
France,201002,350,19174
France,201003,250,7061
France,201008,8284,17761
France,201010,89300,171623
France,201012,700,44354
France,201101,570,30365
France,201102,600,26190
France,201104,60,589
France,201108,1240158,2249743
France,201111,9085,15733
France,201205,650,5659
France,201206,648,6494
France,201207,660,5764
France,201208,600,7058
France,201212,320,863
Germany,201106,2676364,5926448
India,201001,160000,8022
India,201002,320000,23389
India,201003,214000,43542
India,201004,200000,12405
India,201005,200000,14297
India,201006,200000,14763
India,201007,200000,15040
India,201008,279800,33711
India,201009,356600,21342
India,201010,400000,30621
India,201011,315000,31665
India,201012,600000,27850
India,201101,488000,38779
India,201102,119440,13703
India,201103,632750,28238
India,201104,440710,32005
India,201105,759400,25755
India,201107,411200,5713
India,201108,540000,54292
India,201109,1262750,29803
India,201110,644000,17264
India,201203,3,7
Italy,201007,258,191
Italy,201205,422,2866
Italy,201209,440,3838
Italy,201210,1390,12435
Italy,201211,960,9697
Kenya,201102,210,2693
Malaysia,201103,30800,8016
Malaysia,201104,55400,9639
Malaysia,201105,75450,9977
Malaysia,201107,86400,14833
Malaysia,201108,212040,26157
Malaysia,201109,20000,1752
Mozambique,201110,52,71
Netherlands,201010,17648,55985
Netherlands,201011,13066,74507
Netherlands,201102,115000,4287
Netherlands,201104,84233,13590
Netherlands,201105,12500,32563
Netherlands,201109,6200,30089
Netherlands,201110,2602,9552
Netherlands,201112,6239,23393
Netherlands,201205,15520,35016
Netherlands,201209,7298,25465
Netherlands,201211,4100,7326
Netherlands,201212,9562,19177
Norway,201107,7,62
Norway,201201,7,56
Norway,201203,6,50
Norway,201204,7,57
Portugal,201001,648295,1026261
Portugal,201002,461578,1473441
Portugal,201003,899888,1692437
Portugal,201004,1431375,1653911
Portugal,201005,495629,1041211
Portugal,201006,47361,810199
Portugal,201007,58003,935362
Portugal,201008,206663,534978
Portugal,201009,128621,434906
Portugal,201010,25651,665287
Portugal,201011,136801,637575
Portugal,201012,15598,859467
Portugal,201101,51795,910603
Portugal,201102,17218,810670
Portugal,201103,36148,1120563
Portugal,201104,119221,1057384
Portugal,201105,40100,1275288
Portugal,201107,111395,1343796
Portugal,201108,7335,255886
Portugal,201109,29408,712938
Portugal,201110,21377,711745
Portugal,201111,20095,898317
Portugal,201112,160004,1526625
Portugal,201201,26344,813351
Portugal,201202,44886,958244
Portugal,201203,59984,1205301
Portugal,201204,44667,950849
Portugal,201205,6580,382494
Portugal,201206,23452,694703
Portugal,201207,8269,353357
Portugal,201208,48100,651677
Portugal,201209,23109,451288
Portugal,201210,10874,471468
Portugal,201211,33714,761901
Portugal,201212,12537,825028
Senegal,201007,25000,2884
Senegal,201101,13000,1099
Senegal,201107,26080,27406
Senegal,201108,12000,1092
Singapore,201001,125000,7150
Singapore,201003,165000,13444
Singapore,201004,5000,334
Singapore,201007,109770,6982
Singapore,201008,70000,4517
Singapore,201009,50000,3254
Singapore,201010,132000,9165
Singapore,201012,40000,9900
Singapore,201101,62850,36621
Singapore,201102,19800,1470
Singapore,201103,51500,11547
Singapore,201105,68200,11775
Singapore,201109,160000,14018
Spain,201001,703628,1332985
Spain,201002,766910,1918777
Spain,201003,745598,2981486
Spain,201004,1634196,3322959
Spain,201005,359497,2123686
Spain,201006,2178057,3751168
Spain,201007,136358,727120
Spain,201008,1342811,2629319
Spain,201009,176758,1007500
Spain,201010,1385615,4749769
Spain,201011,1270701,4008130
Spain,201012,1308645,3690259
Spain,201101,1331561,2685412
Spain,201102,1152142,3476831
Spain,201103,1463068,4626951
Spain,201104,2131402,5225096
Spain,201105,1955963,6265317
Spain,201107,604130,4342287
Spain,201108,1168236,3301212
Spain,201109,708873,2834406
Spain,201110,1380180,3523267
Spain,201111,1532811,5466305
Spain,201112,832072,3618231
Spain,201201,1280260,3395680
Spain,201202,644250,1957562
Spain,201203,520511,3425718
Spain,201204,578222,2536644
Spain,201205,1278374,4376419
Spain,201206,1408111,4595734
Spain,201207,2187143,4669484
Spain,201208,1734980,4420358
Spain,201209,1201981,3459331
Spain,201210,401852,2475396
Spain,201211,1259407,2815536
Spain,201212,330571,2090119
Sweden,201207,50,737
Sweden,201210,45,700
Sweden,201211,40,615
Togo,201203,23000,1653
USA,201003,18777,59015
USA,201004,21108,112698
USA,201005,37507,184810
USA,201008,15150,86293
USA,201010,15045,78957
USA,201011,25800,194853
USA,201103,30870,79335
USA,201105,35170,59258
USA,201107,10220,24405
USA,201108,14895,77164
USA,201109,27941,105984
USA,201111,80,148
USA,201202,10380,52157
USA,201203,8645,17500
USA,201204,50,955
USA,201205,6639,15335
USA,201206,12205,90445
USA,201207,9405,28633
USA,201209,7575,21804
USA,201210,87065,452763
USA,201211,330,6272
