partner_country,period,net_weight,usd_value
Albania,201112,18906,20981
Albania,201201,42343,40984
Albania,201202,19726,21846
Albania,201207,27733,20069
Albania,201212,19816,21837
Algeria,201101,219740,306348
Algeria,201103,874800,1893927
Algeria,201104,144000,345365
Algeria,201105,360000,810688
Algeria,201106,68687,38258
Algeria,201107,213428,436542
Algeria,201108,600300,1208789
Algeria,201109,129080,509723
Algeria,201111,156705,260144
Algeria,201201,1181,1577
Algeria,201202,23838,15222
Algeria,201203,100332,131690
Algeria,201204,392637,598836
Algeria,201205,144000,262855
Algeria,201207,365265,614579
Algeria,201208,1686041,744671
Algeria,201211,100320,211883
Algeria,201212,182667,253529
Antigua and Barbuda,201107,232924,405150
Antigua and Barbuda,201206,22000,36401
Argentina,201101,40320,177218
Argentina,201107,42544,111594
Argentina,201108,18852,22032
Argentina,201109,78356,89646
Argentina,201110,33741,27316
Argentina,201203,125,201
Argentina,201206,37747,39245
Argentina,201210,38843,38026
Argentina,201211,59150,62053
Argentina,201212,37265,39453
Australia,201102,63388,40916
Australia,201103,133749,90120
Australia,201105,141756,164388
Australia,201106,125940,143056
Australia,201107,208778,180509
Australia,201108,111560,105652
Australia,201109,259006,260710
Australia,201110,130875,120942
Australia,201111,20,52
Australia,201201,45381,34572
Australia,201202,14432,12614
Australia,201204,75228,78603
Australia,201205,5339,311
Australia,201206,28238,22952
Australia,201207,31723,14862
Australia,201209,12098,276
Australia,201211,70,4618
Austria,201103,20,128
Austria,201202,4500,3175
Austria,201203,50,50
Austria,201211,960,196
Azerbaijan,201109,52,16515
Bahrain,201104,149911,542309
Bahrain,201110,15000,248328
Belgium,201101,6442151,5011769
Belgium,201102,10077784,6510510
Belgium,201103,15868471,10427082
Belgium,201104,16545395,15530038
Belgium,201105,17574460,12685367
Belgium,201106,15841920,11789830
Belgium,201107,17185464,11693976
Belgium,201108,14486262,10367095
Belgium,201109,10547045,6778495
Belgium,201110,17153720,9552184
Belgium,201111,12899218,7571199
Belgium,201112,18455334,10865732
Belgium,201201,14931223,7156555
Belgium,201202,12163853,6930505
Belgium,201203,14573418,8547804
Belgium,201204,11501458,6733594
Belgium,201205,16358032,9805411
Belgium,201206,17707468,10060470
Belgium,201207,14187574,7457336
Belgium,201208,13607142,7197176
Belgium,201209,13310874,8413635
Belgium,201210,12005920,8780461
Belgium,201211,14382007,12215116
Belgium,201212,19741720,23238456
Bolivia (Plurinational State of),201102,505,32155
Bolivia (Plurinational State of),201104,205,19972
Brazil,201101,22376,51538
Brazil,201102,61950,29707
Brazil,201103,32841,18264
Brazil,201106,147970,77158
Brazil,201107,32783,100935
Brazil,201108,404000,1028410
Brazil,201109,313372,726145
Brazil,201110,260940,518396
Brazil,201111,168140,293535
Brazil,201112,82636,208326
Brazil,201201,126504,288000
Brazil,201202,83196,203352
Brazil,201203,231000,402126
Brazil,201204,16702773,2965989
Brazil,201205,41203,100832
Brazil,201207,247821,463320
Brazil,201209,249865,407989
Brazil,201210,188760,289696
Brazil,201211,297730,389679
Brazil,201212,458356,770362
Bulgaria,201101,17422,7915
Bulgaria,201102,8677,6086
Bulgaria,201103,14552,6926
Bulgaria,201107,21000,55084
Bulgaria,201108,21600,41348
Bulgaria,201109,411017,158710
Bulgaria,201110,21000,50224
Bulgaria,201203,9562,48427
Bulgaria,201204,19068,5739
Bulgaria,201209,600,20611
Bulgaria,201210,51137,109163
Bulgaria,201211,6950,56763
Burkina Faso,201101,307784,453681
Burkina Faso,201102,356580,519149
Burkina Faso,201103,872657,926106
Burkina Faso,201105,41325,78543
Burkina Faso,201106,1202444,1235768
Burkina Faso,201107,346216,473966
Burkina Faso,201109,392859,737582
Burkina Faso,201110,84900,118237
Burkina Faso,201111,261216,336114
Burkina Faso,201112,733500,812062
Burkina Faso,201201,126000,179931
Burkina Faso,201202,1363313,1154524
Burkina Faso,201203,919146,1276481
Burkina Faso,201204,57404,39045
Burkina Faso,201205,371440,522603
Burkina Faso,201206,57578,97615
Burkina Faso,201207,32787,27301
Burkina Faso,201208,87163,84283
Burkina Faso,201209,513060,650109
Burkina Faso,201210,152820,213797
Burkina Faso,201211,169800,221376
Burkina Faso,201212,104840,154263
Burundi,201103,220,49
Burundi,201109,46,42
Burundi,201210,1375,15655
Burundi,201211,110,95
Canada,201101,96864,248933
Canada,201102,134929,155961
Canada,201103,196339,510101
Canada,201104,22154,27293
Canada,201105,100831,122974
Canada,201106,60778,86169
Canada,201107,54066,52028
Canada,201108,238623,319831
Canada,201109,411499,767392
Canada,201110,205621,427352
Canada,201111,121774,146446
Canada,201112,61005,55024
Canada,201201,385235,294161
Canada,201202,124134,155022
Canada,201203,148520,151570
Canada,201204,107961,114677
Canada,201205,19211,26083
Canada,201206,106290,226481
Canada,201207,281939,354410
Canada,201208,319430,1168666
Canada,201209,288587,377211
Canada,201210,429041,661061
Canada,201211,231791,441825
Central African Rep.,201101,660104,1772064
Central African Rep.,201102,1402136,1781463
Central African Rep.,201103,1113702,2125776
Central African Rep.,201104,1855186,2154792
Central African Rep.,201105,3355771,4251039
Central African Rep.,201106,1423490,1877603
Central African Rep.,201107,1212049,1735425
Central African Rep.,201108,1810233,2223624
Central African Rep.,201109,1871398,2314383
Central African Rep.,201110,1710190,2019164
Central African Rep.,201111,1656883,1692470
Central African Rep.,201112,654091,970815
Central African Rep.,201201,1572366,1515903
Central African Rep.,201202,1386063,1793892
Central African Rep.,201203,4082849,3768054
Central African Rep.,201204,3304482,3290839
Central African Rep.,201205,6144304,5138807
Central African Rep.,201206,3430746,3183744
Central African Rep.,201207,2744615,1933207
Central African Rep.,201208,1744140,2690847
Central African Rep.,201209,1421527,1896957
Central African Rep.,201210,2664024,1833614
Central African Rep.,201211,2399280,2346412
Central African Rep.,201212,5474747,3825759
Chile,201112,18253,6494
China,201101,18999156,9273425
China,201102,25846532,17622479
China,201103,40520244,24280317
China,201104,35062286,16902382
China,201105,25859288,13743622
China,201106,37055339,16159483
China,201107,27935360,19702224
China,201108,30208506,17624089
China,201109,36391841,15713168
China,201110,23396367,10132540
China,201111,18723673,6626286
China,201112,36013366,14783247
China,201201,155797077,107465695
China,201202,36227642,26197105
China,201203,168130100,108902386
China,201204,149406745,107439343
China,201205,158220541,118470602
China,201206,37173844,24911880
China,201207,33210591,16785338
China,201208,29514276,17276449
China,201209,136165797,99288553
