partner_country,period,net_weight,usd_value
Albania,201001,132457,1118160
Albania,201002,319694,2217965
Albania,201003,600249,1615143
Albania,201004,394348,6567095
Albania,201005,178543,3014415
Albania,201006,69485,719902
Albania,201007,57233,906009
Albania,201008,95440,3288801
Albania,201009,129938,1883189
Albania,201010,212361,2012779
Albania,201011,417944,2192324
Albania,201012,814302,8387271
Albania,201101,173531,3899652
Albania,201102,104454,3072300
Albania,201103,157719,7037718
Albania,201104,524556,8053182
Albania,201105,246872,5450767
Albania,201106,320753,7357087
Albania,201107,188316,3829821
Albania,201108,201690,6648787
Albania,201109,288730,4148452
Albania,201110,201774,3557464
Albania,201111,499550,4531589
Albania,201112,141120,4041103
Albania,201201,333160,6357962
Albania,201202,150831,3346534
Albania,201203,283093,3246959
Albania,201204,57712,4785203
Albania,201205,230387,1688857
Albania,201206,106388,2786551
Albania,201207,6955,2877161
Albania,201208,2190,707084
Albania,201209,1259166,7896244
Albania,201210,56889,1158285
Albania,201211,221145,3201057
Albania,201212,265871,4335389
Albania,201301,389218,1006350
Albania,201302,418733,2021214
Albania,201303,186344,3234842
Albania,201304,240994,2195415
Albania,201305,759072,4581351
Albania,201306,322405,3132377
Albania,201307,210516,3076167
Albania,201308,13848,2982809
Albania,201309,30374,2311337
Albania,201310,186163,3280031
Albania,201311,290213,4592606
Albania,201312,201777,3177136
Algeria,201001,44113173,24193014
Algeria,201002,42628835,25300946
Algeria,201003,18090653,30986946
Algeria,201004,184320187,41995598
Algeria,201005,76347045,26490664
Algeria,201006,115268337,30219034
Algeria,201007,42200589,16171612
Algeria,201008,91458169,29432179
Algeria,201009,39996853,19652171
Algeria,201010,38696117,23396289
Algeria,201011,8739545,10575830
Algeria,201012,13270054,11123294
Algeria,201101,4160358,7791104
Algeria,201102,11323186,11288819
Algeria,201103,11431628,15746106
Algeria,201104,42701400,27352007
Algeria,201105,4113296,12270824
Algeria,201106,12262951,17129155
Algeria,201107,48538466,28455750
Algeria,201108,13775790,16224907
Algeria,201109,32732076,29867358
Algeria,201110,15292763,18636406
Algeria,201111,111693759,59017112
Algeria,201112,3655937,6224150
Algeria,201201,368365,2572324
Algeria,201202,1825806,7683499
Algeria,201203,1365935,5858289
Algeria,201204,98064594,46335058
Algeria,201205,270475697,102409951
Algeria,201206,29727661,12863864
Algeria,201207,3500412,5538231
