partner_country,period,net_weight,usd_value
Albania,201011,18000,18546
Albania,201012,18000,9576
Austria,201102,23875,6721
Belgium,201001,196012,3852730
Belgium,201002,162214,2338513
Belgium,201003,19171,4224022
Belgium,201004,25773,4705711
Belgium,201005,33305,4154186
Belgium,201006,8886,1659150
Belgium,201007,19796,3343381
Belgium,201008,39049,2322851
Belgium,201009,8834,1541439
Belgium,201010,31640,2447056
Belgium,201011,12789,2734426
Belgium,201012,72402,3392306
Belgium,201101,271042,106545
Belgium,201102,23874,6721
Belgium,201103,56685,3226
Belgium,201104,300349,69847
Belgium,201105,406644,62082
Belgium,201106,592452,64426
Belgium,201107,536628,63117
Belgium,201108,343498,67084
Belgium,201109,3005800,1022321
Belgium,201110,70367,6003
Belgium,201111,171968,52778
Brazil,201103,24003,6931
Brazil,201104,24010,7152
Brazil,201106,290210,31453
Brazil,201111,24562,6867
Bulgaria,201106,24831,4165
Bulgaria,201111,683548,91405
Cameroon,201001,103879,139444
Cameroon,201002,271873,34660
Cameroon,201003,1300,2793
Cameroon,201005,28000,149337
Cameroon,201006,26100,14850
Cameroon,201007,114600,365619
Cameroon,201008,35461,60011
Cameroon,201009,4400,15899
Cameroon,201011,40055,11303
Cameroon,201012,106288,144593
Cameroon,201101,435044,63844
Cameroon,201102,526929,66860
Cameroon,201103,276867,1741120
Cameroon,201104,1123845,187871
Cameroon,201105,743635,150709
Cameroon,201106,1913808,699772
Cameroon,201107,986356,2306326
Cameroon,201108,520754,124524
Cameroon,201109,150623,25076
Cameroon,201110,88939,109433
Cameroon,201111,671925,91564
Cameroon,201112,419903,4407609
Canada,201003,887,15414
Canada,201006,322,41127
Canada,201106,94960,16663
Canada,201111,10000,11882
China,201001,3676965,440943
China,201002,4559502,617963
China,201003,3687330,590577
China,201004,5148173,713054
China,201005,3447989,486184
China,201006,2969597,369827
China,201007,3204599,457037
China,201008,4925534,638010
China,201009,5392765,832981
China,201010,5258425,853124
China,201011,3157680,499807
China,201012,5643149,749654
China,201101,572535,93482
China,201102,382567,74697
China,201103,443799,111915
China,201104,867287,153641
China,201105,1184178,2556651
China,201106,766945,149432
China,201107,2732517,1427960
China,201108,290908,79965
China,201109,1597084,264709
China,201110,2147096,1353141
China,201111,463485,2335470
China,201112,1236619,153023
"China, Hong Kong SAR",201002,99258,26689
"China, Hong Kong SAR",201003,706730,72014
"China, Hong Kong SAR",201004,641241,80534
"China, Hong Kong SAR",201006,15542,434
"China, Hong Kong SAR",201007,638835,72030
"China, Hong Kong SAR",201008,119920,4595
"China, Hong Kong SAR",201105,287779,40730
"China, Hong Kong SAR",201106,24766,7350
"China, Hong Kong SAR",201108,24927,4168
"China, Hong Kong SAR",201109,489658,66898
"China, Hong Kong SAR",201111,24480,6845
Croatia,201009,20267,5480
Croatia,201111,493903,35724
Cyprus,201104,16833,483
Denmark,201001,21181,3987
Denmark,201002,10319,2922
Denmark,201003,291233,58050
Denmark,201101,123075,29278
Denmark,201102,299688,61015
Denmark,201103,113958,9576
Denmark,201104,78687,94659
Denmark,201106,39217,19790
Denmark,201107,28000,782
Denmark,201108,182155,31667
Denmark,201109,23805,6751
Denmark,201110,21685,9364
Egypt,201006,51108,13567
Egypt,201103,24070,6950
Egypt,201106,66713,17720
Egypt,201107,469157,73416
Egypt,201108,885221,118282
Egypt,201109,48050,13626
Finland,201102,24199,6812
France,201001,3200811,450090
France,201002,2248790,375031
France,201003,2057944,2210468
France,201004,2483143,533129
France,201005,5530787,2145470
France,201006,2801691,538450
France,201007,4119529,3366698
France,201008,2218843,510100
France,201009,2421547,489501
France,201010,2344070,442882
France,201011,2936069,511120
France,201012,4720526,2344404
France,201101,5050178,1672239
France,201102,5588803,2628224
France,201103,7192220,1454654
France,201104,4671277,1035418
France,201105,4119353,4302687
France,201106,4255970,2181990
France,201107,3320912,1187429
France,201108,3732852,3895053
France,201109,4981291,742178
France,201110,4196722,5276771
France,201111,5213888,2423516
France,201112,1575613,578723
Germany,201001,4401296,641101
Germany,201002,8463798,1141480
Germany,201003,5228102,842514
Germany,201004,6117961,884568
Germany,201005,3371009,483492
Germany,201006,7222126,925426
Germany,201007,621104,120427
Germany,201008,7614768,968420
Germany,201009,4525610,676051
Germany,201010,2235736,295395
Germany,201011,3822121,597708
Germany,201012,5703197,810752
Germany,201101,339641,42651
Germany,201102,545396,692479
Germany,201103,331801,69807
Germany,201104,85867,17214
Germany,201105,717035,114185
Germany,201106,477050,1711945
Germany,201107,432872,71498
Germany,201108,541165,77259
Germany,201109,1233710,2674098
Germany,201110,3188007,565781
Germany,201111,1627564,595726
Germany,201112,24123,6557
India,201001,124636,32129
India,201003,131595,6666
India,201007,631136,40764
India,201009,182741,9659
India,201010,318845,28083
India,201011,53762,2591
India,201012,109917,5129
India,201101,149074,34627
India,201102,118690,11858
India,201104,462616,70285
India,201105,221955,25129
India,201106,183105,40612
India,201107,939813,154927
India,201108,418004,105761
India,201109,93801,20061
India,201110,16200,24881
India,201111,10,406208
India,201112,242956,18438
Indonesia,201101,5221,1497107
Indonesia,201105,150599,26352
Indonesia,201106,28495,4204
Indonesia,201107,24664,10919
Ireland,201108,24688,4128
Ireland,201112,116918,25777
Israel,201003,86,41444
Israel,201004,3605,499338
Israel,201005,8889,1409733
Israel,201006,6703,972164
Israel,201007,4815,797300
Israel,201008,8729,1219954
Israel,201009,5879,1054816
Israel,201010,2713,484609
Israel,201105,24055,7119
Israel,201106,138803,11840
Israel,201109,4616,151925
Italy,201002,674689,102416
Italy,201005,161697,39902
Italy,201006,628,18891
Italy,201007,184077,44942
Italy,201008,212544,25024
Italy,201009,112035,17857
Italy,201010,219485,42430
Italy,201011,573626,96795
Italy,201012,59820,4688
Italy,201101,24045,6626
Italy,201102,184279,29021
Italy,201103,365622,87829
Italy,201104,242753,404315
Italy,201105,680759,111998
Italy,201106,55016,17393
Italy,201107,72726,18287
Italy,201108,23804,3785
Italy,201109,295406,65879
Italy,201110,1356861,178606
Italy,201111,959135,136492
Italy,201112,60967,8574
Japan,201004,126077,26575
Japan,201011,27666,7422
Japan,201101,2945797,675700
Japan,201102,3722285,3301333
Japan,201103,1696873,1077652
Japan,201104,2120222,1910258
Japan,201105,2331953,782311
Japan,201106,2513852,1428572
Japan,201107,1700997,2383622
Japan,201108,845501,2752157
Japan,201109,1375062,213599
Japan,201111,431486,770994
Japan,201112,3348921,446333
Kenya,201011,2500,13108
Kenya,201103,33908,8513
Kenya,201104,47257,7956
Kenya,201106,24956,7406
Kenya,201108,24388,7215
Lithuania,201007,17066,2826
Luxembourg,201103,24056,6946
Luxembourg,201104,173822,52227
Malaysia,201009,64056,16165
Malaysia,201011,42896,11310
Malaysia,201012,21141,5396
Malaysia,201101,24098,3753
Malaysia,201103,67974,12660
Malaysia,201104,24053,7165
Malaysia,201105,53249,14591
Malaysia,201106,26931,82272
Malaysia,201107,103274,19188
Malaysia,201108,24021,7106
Malaysia,201109,48305,13698
Morocco,201002,43261,5415
Morocco,201003,21267,2644
Morocco,201004,64284,10761
Morocco,201007,64455,10265
Morocco,201008,21106,2489
Morocco,201010,21450,2727
Morocco,201101,655160,105308
Morocco,201104,180504,50780
Morocco,201105,24103,7133
Morocco,201107,98825,29048
Morocco,201108,24181,7153
Morocco,201110,74691,11350
Morocco,201111,29876,926
Mozambique,201003,850,14276
Namibia,201101,172799,64885
Namibia,201102,320207,44110
Namibia,201103,431398,56263
Namibia,201104,626436,112277
Namibia,201105,24057,7119
Namibia,201106,567535,99131
Namibia,201107,1697996,766989
Namibia,201108,110854,28186
Namibia,201109,75370,12638
Netherlands,201010,42691,11456
Netherlands,201011,21304,5617
Netherlands,201012,43672,11147
Netherlands,201101,73050,17200
Netherlands,201102,472640,63787
Netherlands,201103,532117,2377571
Netherlands,201104,603172,616840
Netherlands,201105,214775,37882
Netherlands,201106,24404,7242
Netherlands,201107,622325,78419
Netherlands,201108,330008,56043
Netherlands,201109,229670,24260
Netherlands,201111,349066,35673
Nigeria,201112,1475561,372130
Pakistan,201102,230841,25686
Poland,201003,21200,5962
Poland,201009,20059,5424
Poland,201109,48238,4163
Poland,201110,46478,10499
Portugal,201001,110729,16106
Portugal,201008,94595,13520
Portugal,201009,116618,16898
Portugal,201010,77697,11972
Portugal,201011,73802,13655
Portugal,201101,181,41753
Portugal,201104,114582,16323
Portugal,201107,6757,1986
Portugal,201110,469262,78306
Rep. of Korea,201008,2368,32602
Rep. of Korea,201010,56171,15338
Rep. of Korea,201105,24202,7162
Rep. of Korea,201106,22412,737
Rep. of Korea,201107,16250,177
Rep. of Korea,201109,24707,7006
Rep. of Korea,201112,414112,53836
Senegal,201008,40,12184
Senegal,201012,22,443
Senegal,201101,99425,8067
Senegal,201103,5092,1048
Senegal,201104,229086,80700
Senegal,201105,441866,65450
Senegal,201106,26937,4866
Senegal,201107,102221,3501
Senegal,201109,24517,6952
Senegal,201110,921984,456863
Senegal,201111,213077,43931
Senegal,201112,245435,55112
Singapore,201103,90836,16155
Singapore,201106,227992,30561
Singapore,201108,8722,3926
Singapore,201110,24068,6804
Slovakia,201103,24043,6942
Slovakia,201104,24041,7161
Slovakia,201108,23970,4008
South Africa,201001,30,3412
South Africa,201005,517,89432
South Africa,201101,35659,1682
South Africa,201102,2771571,3855727
South Africa,201103,72658,17983
South Africa,201104,459058,72809
South Africa,201105,136824,18959
South Africa,201107,29173,26814
South Africa,201108,743200,95465
South Africa,201109,411925,35551
South Africa,201111,89057,21438
South Africa,201112,738461,84658
Spain,201001,270289,69064
Spain,201002,439200,80989
Spain,201003,612803,64758
Spain,201004,24996,6585
Spain,201005,682328,85053
Spain,201006,1117458,137254
Spain,201007,565880,64457
Spain,201008,613247,69568
Spain,201009,340280,32793
Spain,201010,746547,98761
Spain,201011,106317,25047
Spain,201012,55601,1461
Spain,201101,98265,24147
Spain,201103,483793,67101
Spain,201104,46050,7753
Spain,201105,71616,21193
Spain,201106,119312,2165681
Spain,201108,23609,6984
Spain,201109,64162,10324
Spain,201110,152319,14150
Spain,201111,264405,523723
Sweden,201101,30070,4454
Sweden,201102,21732,6137
Sweden,201103,3523,769655
Sweden,201104,47819,14244
Sweden,201105,21427,5936
Sweden,201106,24824,7367
Sweden,201108,24064,7119
Switzerland,201001,587066,152503
Switzerland,201003,19324,76411
Switzerland,201004,870,12470
Switzerland,201005,1153,15457
Switzerland,201006,655,8609
Switzerland,201011,4908,548321
Switzerland,201012,9977,318797
Switzerland,201101,439698,54727
Switzerland,201103,489161,71304
Switzerland,201104,71691,16904
Switzerland,201105,23957,7090
Switzerland,201106,128811,18787
Switzerland,201107,1900,869
Switzerland,201108,47595,14079
Switzerland,201109,150953,37208
Switzerland,201110,418367,56564
Switzerland,201111,193374,54067
Thailand,201106,24123,7159
Togo,201101,105835,20633
Togo,201102,478958,70094
Togo,201103,177982,36524
Togo,201104,131832,54039
Togo,201105,82556,14137
Togo,201106,24897,7388
Togo,201107,61580,9565
Togo,201108,1621,454505
Ukraine,201011,2587,387521
Ukraine,201107,24370,4049
Ukraine,201108,23939,7082
United Kingdom,201001,75034,19197
United Kingdom,201002,130743,33766
United Kingdom,201003,105856,27393
United Kingdom,201004,21275,5508
United Kingdom,201006,87946,22212
United Kingdom,201007,21343,5266
United Kingdom,201012,17000,19903
United Kingdom,201101,23574,6496
United Kingdom,201102,35996,2177473
United Kingdom,201104,303585,88867
United Kingdom,201105,26867,413614
United Kingdom,201106,677790,112458
United Kingdom,201107,23935,7035
United Kingdom,201108,170019,36794
United Kingdom,201109,460741,62334
United Kingdom,201111,20964,5880
United Kingdom,201112,253040,35053
United Rep. of Tanzania,201002,18000,70624
USA,201001,113398,29890
USA,201002,21245,5614
USA,201003,753080,169540
USA,201004,21436,5946
USA,201005,49400,12836
USA,201007,221844,80863
USA,201008,21857,5441
USA,201009,21985,5944
USA,201010,85659,24208
USA,201011,88073,24467
USA,201101,28624,16166
USA,201102,523551,78388
USA,201103,484877,66656
USA,201104,482778,72819
USA,201105,231898,36926
USA,201106,122189,65323
USA,201107,327522,45767
USA,201108,195945,52156
USA,201109,202034,49334
USA,201110,441901,56426
