partner_country,period,net_weight,usd_value
Albania,201005,24,38190
Albania,201103,21,52256
Albania,201104,21,52246
Albania,201106,1,26041
Albania,201110,1,3966
Albania,201201,23808,40741
Albania,201203,23423,97267
Albania,201206,200677,114116
Albania,201303,1,866
Albania,201305,21000,139056
Albania,201312,2500,12975
Algeria,201001,401,993091
Algeria,201002,69,166655
Algeria,201003,60,105225
Algeria,201004,100,187975
Algeria,201005,346,628375
Algeria,201006,741,1397491
Algeria,201007,130,225088
Algeria,201008,46,132847
Algeria,201009,300,915000
Algeria,201010,43,51385
Algeria,201101,571,1988580
Algeria,201103,339,1255632
Algeria,201104,511,1257236
Algeria,201105,683,908151
Algeria,201106,515,941471
Algeria,201107,60,169826
Algeria,201108,85,63126
Algeria,201109,80,69535
Algeria,201111,20,159917
Algeria,201112,1,9226
Algeria,201201,28475,149790
Algeria,201202,122317,335105
Algeria,201203,350627,485420
Algeria,201204,184040,320696
Algeria,201205,740996,868841
Algeria,201206,626920,1076549
Algeria,201209,25226,110007
Algeria,201302,60000,120766
Algeria,201303,113613,315007
Algeria,201304,276398,431968
Algeria,201305,654249,809101
Algeria,201306,646194,781952
Algeria,201307,42336,41858
Algeria,201308,100000,75500
Algeria,201309,100184,475900
Algeria,201310,6000,31479
Algeria,201312,90240,420750
Antigua and Barbuda,201001,1,38964
Antigua and Barbuda,201002,688,109959
Antigua and Barbuda,201003,131,58679
Antigua and Barbuda,201004,1,12119
Antigua and Barbuda,201005,67,48401
Antigua and Barbuda,201006,28,96038
Antigua and Barbuda,201007,9,98780
Antigua and Barbuda,201008,19,71977
Antigua and Barbuda,201009,2,122909
Antigua and Barbuda,201010,336,23168
Antigua and Barbuda,201011,9,63626
Antigua and Barbuda,201012,22,111641
Antigua and Barbuda,201101,337,55778
Antigua and Barbuda,201102,369,44375
Antigua and Barbuda,201103,407,90056
Antigua and Barbuda,201104,19,183135
Antigua and Barbuda,201105,9,65818
Antigua and Barbuda,201106,408,25192
Antigua and Barbuda,201107,32,71990
Antigua and Barbuda,201108,9,57226
Antigua and Barbuda,201109,18,92609
Antigua and Barbuda,201111,8,111324
Antigua and Barbuda,201112,366,39208
Antigua and Barbuda,201201,21922,80713
Antigua and Barbuda,201202,624746,25724
Antigua and Barbuda,201203,18531,135329
Antigua and Barbuda,201204,705898,51183
Antigua and Barbuda,201205,312604,85748
Antigua and Barbuda,201206,33052,103077
Antigua and Barbuda,201207,9240,33660
Antigua and Barbuda,201208,21210,77265
Antigua and Barbuda,201209,21560,118206
Antigua and Barbuda,201210,12,28569
Antigua and Barbuda,201301,21375,208859
Antigua and Barbuda,201302,223841,23020
Antigua and Barbuda,201303,200471,33819
Antigua and Barbuda,201304,360978,88990
Antigua and Barbuda,201305,23171,110987
Antigua and Barbuda,201306,9255,54278
Antigua and Barbuda,201307,23702,39617
Antigua and Barbuda,201308,9240,34540
Antigua and Barbuda,201309,21144,142262
Antigua and Barbuda,201310,323176,42497
Antigua and Barbuda,201311,21846,225478
Antigua and Barbuda,201312,11,30424
Argentina,201001,36965,62254395
Argentina,201002,38415,72255500
Argentina,201003,37949,72145552
Argentina,201004,32065,70106202
Argentina,201005,42493,85716524
Argentina,201006,53735,83412813
Argentina,201007,50582,86700655
Argentina,201008,43891,82318535
Argentina,201009,60092,86168865
Argentina,201010,51216,97207535
Argentina,201011,50846,115471560
Argentina,201012,44113,83000762
Argentina,201101,42050,83099333
Argentina,201102,42550,78946752
Argentina,201103,46800,93689232
Argentina,201104,41228,96056682
Argentina,201105,55826,100866445
Argentina,201106,47520,95300582
Argentina,201107,42009,90330189
Argentina,201108,50351,100825917
Argentina,201109,54962,117568310
Argentina,201110,52297,104149618
Argentina,201111,56523,121504602
Argentina,201112,70492,103981422
Argentina,201201,47891646,91937337
Argentina,201202,67828026,93572438
Argentina,201203,36119283,71045957
Argentina,201204,40424879,79237832
Argentina,201205,73206382,88875107
Argentina,201206,42096543,78779175
Argentina,201207,51420504,88611203
Argentina,201208,45439504,103770342
Argentina,201209,41847079,84724127
Argentina,201210,46507017,97537387
Argentina,201301,35497349,83341645
Argentina,201302,34545710,76433990
Argentina,201303,36639383,82731779
Argentina,201304,37249384,90497557
Argentina,201305,44482831,96147700
Argentina,201306,64943876,77973178
Argentina,201307,39444483,88430210
Argentina,201308,55794849,94518880
Argentina,201309,39955755,77522185
Argentina,201310,54727038,105724893
Argentina,201311,86043660,95266406
Argentina,201312,38921531,77618179
Armenia,201002,1,29995
Armenia,201006,262,28578
Armenia,201008,46,27816
Armenia,201009,800,56771
Armenia,201101,30,100
Armenia,201103,1,33220
Armenia,201105,4,14520
Armenia,201106,27,19092
Armenia,201107,530,27900
Armenia,201109,199,33190
Armenia,201202,18465,13020
Armenia,201204,275967,30376
Armenia,201207,51500,59027
Armenia,201208,52000,92393
Armenia,201209,75300,87186
Armenia,201210,17459,14975
Armenia,201301,103985,134810
Armenia,201303,52000,70317
Armenia,201304,78000,188173
Armenia,201305,52000,67924
Armenia,201307,119790,265082
Armenia,201308,67560,95731
Armenia,201310,129975,213846
Armenia,201311,104005,149391
Aruba,201001,40,108734
Aruba,201002,8,69506
Aruba,201003,12,127789
Aruba,201004,24,88138
Aruba,201005,39,238882
Aruba,201006,21,156256
Aruba,201007,13,226402
Aruba,201008,9,419131
Aruba,201009,28,222905
Aruba,201010,11,192044
Aruba,201011,10,89246
Aruba,201012,30,296235
Aruba,201101,300251,88674
Aruba,201102,6,96979
Aruba,201103,24,91599
Aruba,201104,15,192821
Aruba,201105,23,267275
Aruba,201106,46,107283
Aruba,201107,9,221596
Aruba,201108,12,250975
Aruba,201109,10,215851
Aruba,201110,17,169028
Aruba,201111,27,398998
Aruba,201112,2,103568
Aruba,201201,24838,96377
Aruba,201202,39853,192021
Aruba,201203,12720,85799
Aruba,201204,11479,180410
Aruba,201205,20794,106058
Aruba,201206,6994,112643
Aruba,201207,59113,284779
Aruba,201208,2,137967
Aruba,201209,37261,248002
Aruba,201210,164404,49792
Aruba,201301,129283,399291
Aruba,201302,13674,134341
Aruba,201303,5506,178921
Aruba,201304,31,200732
Aruba,201305,23681,177531
Aruba,201306,45195,97550
Aruba,201307,23424,75849
Aruba,201308,34442,251157
Aruba,201309,6065,60258
Aruba,201310,2,73620
Aruba,201311,70495,560040
Aruba,201312,30,57905
Australia,201001,6642,10192874
Australia,201002,9808,43187012
Australia,201003,13847,94131705
Australia,201004,12086,70153719
Australia,201005,12628,70651013
Australia,201006,8489,44380245
Australia,201007,15257,72340251
Australia,201008,14863,60551802
Australia,201009,9277,51153504
Australia,201010,7234,16978556
Australia,201011,10088,15202726
Australia,201012,9698,55242472
Australia,201101,21163,148396528
Australia,201102,7421,15605892
Australia,201103,7294,20157325
Australia,201104,16298,109539296
Australia,201105,15453,84571835
Australia,201106,36251,19249598
Australia,201107,20767,101142313
Australia,201108,11979,20991694
Australia,201109,26709,136723477
Australia,201110,25021,131107358
Australia,201111,22691,23566329
Australia,201112,29316,113774159
Australia,201201,26940463,188171816
Australia,201202,11956777,18219870
Australia,201203,15549772,103831951
Australia,201204,23158491,163768235
Australia,201205,14349902,75066480
Australia,201206,23391892,141253680
Australia,201207,19189431,96924526
Australia,201208,8516776,18975640
Australia,201209,6602821,14354771
Australia,201210,27509597,123619051
Australia,201301,20497029,120627654
Australia,201302,5673445,11585451
Australia,201303,13621121,85918267
Australia,201304,41624818,63645927
Australia,201305,23563165,140315498
Australia,201306,7679475,19083410
Australia,201307,31451486,184069985
Australia,201308,9994601,21958435
Australia,201309,7153278,14573945
Australia,201310,41510959,23379647
Australia,201311,6958606,16925410
Australia,201312,20049747,96420534
Austria,201001,176,1316956
Austria,201002,230,4845755
Austria,201003,354,2718326
Austria,201004,631,14598255
Austria,201005,447,7415999
Austria,201006,262,3771373
Austria,201007,406,3545135
Austria,201008,422,8933230
Austria,201009,112,1670117
Austria,201010,428,4687012
Austria,201011,220,4985590
Austria,201012,178,2497133
Austria,201101,408,6032800
Austria,201102,178,3152781
Austria,201103,575,6425223
Austria,201104,428,5319287
Austria,201105,271,5777181
Austria,201106,264,3553869
Austria,201107,1379,4494846
Austria,201108,355,5636241
Austria,201109,244,3400857
Austria,201110,269,4822938
Austria,201111,252,4113984
Austria,201112,164,2650443
Austria,201201,225377,4122144
Austria,201202,236960,3562814
Austria,201203,462177,7501510
Austria,201204,210742,2659942
Austria,201205,165613,1840497
Austria,201206,330184,4529038
Austria,201207,229317,3570250
Austria,201208,231177,3802903
Austria,201209,273790,4850199
Austria,201210,265582,5016952
Austria,201301,187680,2280411
Austria,201302,136455,2836991
Austria,201303,689109,5206369
Austria,201304,456627,1615441
Austria,201305,418411,5141397
Austria,201306,575409,7500101
Austria,201307,495200,4978200
Austria,201308,276043,4018510
Austria,201309,287704,1941926
Austria,201310,324728,5463331
Austria,201311,179108,2432743
Austria,201312,228821,3306582
Azerbaijan,201001,21,48266
Azerbaijan,201002,18,42279
Azerbaijan,201004,18,31251
Azerbaijan,201006,15,109619
Azerbaijan,201009,21,63364
Azerbaijan,201104,85,68763
Azerbaijan,201105,82,95197
Azerbaijan,201106,41,71245
Azerbaijan,201108,90,310247
Azerbaijan,201109,22,63647
Azerbaijan,201204,84202,73723
Azerbaijan,201205,38450,100471
Azerbaijan,201206,79992,222931
Azerbaijan,201208,20000,46444
Azerbaijan,201209,20000,45819
Azerbaijan,201301,40984,196373
Azerbaijan,201305,41403,78492
Azerbaijan,201306,19251,119604
Azerbaijan,201307,21071,130301
Azerbaijan,201308,33462,320372
Azerbaijan,201310,43980,182601
Azerbaijan,201312,17795,116341
Bahrain,201001,49566,5600
Bahrain,201002,20,18032
Bahrain,201003,37,48770
Bahrain,201004,48,57866
Bahrain,201005,282,334375
Bahrain,201006,172,748474
Bahrain,201007,197,175542
Bahrain,201008,112,90854
Bahrain,201009,20,99278
Bahrain,201011,6412,36141
Bahrain,201012,53489,391658
Bahrain,201101,10756,222438
Bahrain,201102,22,27795
Bahrain,201103,461,335597
Bahrain,201104,410,389185
Bahrain,201105,699,640495
Bahrain,201106,433,359011
Bahrain,201107,444,842123
Bahrain,201108,295,650840
Bahrain,201109,120,117727
Bahrain,201110,24,15598
Bahrain,201112,111837,16290
Bahrain,201201,19600,18580
Bahrain,201202,69093,625687
Bahrain,201203,489414,552325
Bahrain,201204,613627,1278769
Bahrain,201205,379574,408694
Bahrain,201206,142142282,20058771
Bahrain,201207,400326,377196
Bahrain,201208,156267730,19936794
Bahrain,201209,96285,851341
Bahrain,201210,153976000,14010755
Bahrain,201301,20240,695367
Bahrain,201302,102349,123017
Bahrain,201303,154172015,23835680
Bahrain,201304,537412,625837
Bahrain,201305,152642765,20542401
Bahrain,201306,582043,571561
Bahrain,201307,405054,890711
Bahrain,201308,154917314,16903181
Bahrain,201309,219583,225608
Bahrain,201310,150758884,18288587
Bahrain,201311,303192000,35659841
Bahrain,201312,4738,24723
Barbados,201001,40,333282
Barbados,201002,83411,175490
Barbados,201003,137987,219969
Barbados,201004,54,157178
Barbados,201005,52,183509
Barbados,201006,61,219836
Barbados,201007,100,273590
Barbados,201008,3,264327
Barbados,201009,80,70873
Barbados,201010,66,364393
Barbados,201011,93,526457
Barbados,201012,21,151727
Barbados,201101,2,69822
Barbados,201102,35,140848
Barbados,201103,69,245909
Barbados,201104,26,131695
Barbados,201105,82,342201
Barbados,201106,24,63325
Barbados,201107,110,270689
Barbados,201108,21,162780
Barbados,201109,103,418150
Barbados,201110,80,29535
Barbados,201111,149662,180981
Barbados,201112,24,154648
Barbados,201201,48309962,238651
Barbados,201202,16590,263699
Barbados,201203,40028,275160
Barbados,201204,16622,171647
Barbados,201205,51843,212391
Barbados,201206,1210,165278
Barbados,201207,46989,63867
Barbados,201208,22087,198522
Barbados,201209,46444,274892
Barbados,201210,50760,164882
Barbados,201301,60017,176751
Barbados,201302,50632,273577
Barbados,201303,417,144440
Barbados,201304,58304,233436
Barbados,201305,48413,192413
Barbados,201306,2980,67412
Barbados,201307,110429,319532
Barbados,201308,98342,248272
Barbados,201309,21,47361
Barbados,201310,40349,241066
Barbados,201311,88364,317138
Barbados,201312,39370,282978
Belarus,201004,22,151696
Belarus,201005,24,110780
Belarus,201006,7,89349
Belarus,201007,1191,60916
Belarus,201008,10,125229
Belarus,201009,34,250216
Belarus,201010,82,97325
Belarus,201011,60,109490
Belarus,201101,45,74537
Belarus,201102,21,39095
Belarus,201103,23,157152
Belarus,201105,244,240672
Belarus,201106,2990000,98376
Belarus,201108,56,63280
Belarus,201109,1,75545
Belarus,201110,27,51395
Belarus,201111,416,26900
Belarus,201202,24000,95410
Belarus,201203,43732,257962
Belarus,201204,44000,89020
Belarus,201205,3514701,45016
Belarus,201207,23930,58412
Belarus,201208,30,58324
Belarus,201209,45000,174169
Belarus,201210,54733,233102
Belarus,201301,107018,185900
Belarus,201302,90000,206208
Belarus,201303,91000,378498
Belarus,201304,86902,298822
Belarus,201305,289959,935094
Belarus,201306,96000,294792
Belarus,201307,120360,496530
Belarus,201308,168241,725985
Belarus,201309,136991,667336
Belarus,201310,221945,1144015
Belarus,201311,88169,357569
Belarus,201312,45000,274655
Belgium,201001,37077,59073659
Belgium,201002,88357,77485376
Belgium,201003,18892,94693000
Belgium,201004,94354,150041401
Belgium,201005,28354,115500167
Belgium,201006,64835,110616699
Belgium,201007,90045,152023355
Belgium,201008,94184,163870699
Belgium,201009,60250,237064548
Belgium,201010,39090,174647348
Belgium,201011,66912,183356110
Belgium,201012,85228,243054138
Belgium,201101,21489,84167444
Belgium,201102,214347,141799046
Belgium,201103,161199,134828179
Belgium,201104,26090,104497532
Belgium,201105,118762,141874512
Belgium,201106,52568,120615966
Belgium,201107,49233,82868568
Belgium,201108,41310,131445706
Belgium,201109,6741,88817787
Belgium,201110,24077,113701347
Belgium,201111,63504,118007886
Belgium,201112,9535,106979664
Belgium,201201,116369561,110126931
Belgium,201202,16276784,112330527
Belgium,201203,59987158,119512481
Belgium,201204,39679348,111393734
Belgium,201205,21830738,95008225
Belgium,201206,29859215,88438838
Belgium,201207,8285730,78445502
Belgium,201208,58793063,114995765
Belgium,201209,37527221,113399399
Belgium,201210,31518431,55813155
Belgium,201301,8996161,100719933
Belgium,201302,31686730,93536928
Belgium,201303,93427029,92094206
Belgium,201304,35132434,144732447
Belgium,201305,78892230,175252510
Belgium,201306,7227969,76665827
Belgium,201307,41581694,119941905
Belgium,201308,42214192,108278500
Belgium,201309,44683088,113644564
Belgium,201310,8008035,134084242
Belgium,201311,14920429,95470473
Belgium,201312,49491703,113638772
Bolivia (Plurinational State of),201001,14174,91910476
Bolivia (Plurinational State of),201002,13347,66214463
Bolivia (Plurinational State of),201003,17156,100087994
Bolivia (Plurinational State of),201004,14202,82559020
Bolivia (Plurinational State of),201005,18092,70792607
Bolivia (Plurinational State of),201006,19922,91146509
Bolivia (Plurinational State of),201007,15214,115708108
Bolivia (Plurinational State of),201008,14178,105563831
Bolivia (Plurinational State of),201009,8575,105544455
Bolivia (Plurinational State of),201010,17799,110765273
Bolivia (Plurinational State of),201011,19027,110163230
Bolivia (Plurinational State of),201012,11485,101828115
Bolivia (Plurinational State of),201101,21121,107345408
Bolivia (Plurinational State of),201102,18100,107506090
Bolivia (Plurinational State of),201103,19073,107446707
Bolivia (Plurinational State of),201104,18521,127743181
Bolivia (Plurinational State of),201105,14179,113167746
Bolivia (Plurinational State of),201106,17414,104814073
Bolivia (Plurinational State of),201107,17911,145005663
Bolivia (Plurinational State of),201108,16463,134277492
Bolivia (Plurinational State of),201109,18451,158856034
Bolivia (Plurinational State of),201110,13352,153475192
Bolivia (Plurinational State of),201111,20779,136530253
Bolivia (Plurinational State of),201112,14730,147188539
Bolivia (Plurinational State of),201201,14944477,107597444
Bolivia (Plurinational State of),201202,16030565,106400578
Bolivia (Plurinational State of),201203,31483196,127591006
Bolivia (Plurinational State of),201204,21130342,110844127
Bolivia (Plurinational State of),201205,23763611,127935068
Bolivia (Plurinational State of),201206,18066899,137932783
Bolivia (Plurinational State of),201207,19548172,121957586
Bolivia (Plurinational State of),201208,20410960,140176610
Bolivia (Plurinational State of),201209,23145247,125645019
Bolivia (Plurinational State of),201210,27824106,154807075
Bolivia (Plurinational State of),201301,18644538,138036939
Bolivia (Plurinational State of),201302,19670110,104687706
Bolivia (Plurinational State of),201303,23313803,150226857
Bolivia (Plurinational State of),201304,19706481,148904864
Bolivia (Plurinational State of),201305,18123594,139593543
Bolivia (Plurinational State of),201306,12760553,133496553
Bolivia (Plurinational State of),201307,20389937,148801504
Bolivia (Plurinational State of),201308,24787606,153255522
Bolivia (Plurinational State of),201309,44897924,137694722
Bolivia (Plurinational State of),201310,26403768,168883955
Bolivia (Plurinational State of),201311,18140427,136184992
Bolivia (Plurinational State of),201312,22745801,144410554
Bosnia Herzegovina,201001,22,41423
Bosnia Herzegovina,201012,25,33738
Bosnia Herzegovina,201103,21,41405
Bosnia Herzegovina,201105,31,60642
Bosnia Herzegovina,201109,21,41449
Bosnia Herzegovina,201112,25,34048
Bosnia Herzegovina,201201,44275,66592
Bosnia Herzegovina,201203,21000,44470
Bosnia Herzegovina,201204,20000,42100
Bosnia Herzegovina,201207,15000,30392
Bosnia Herzegovina,201210,20000,39622
Bosnia Herzegovina,201307,20000,55000
Brazil,201001,196748,279132514
Brazil,201002,109308,272450196
Brazil,201003,104227,225124726
Brazil,201004,204113,302577996
Brazil,201005,319661,480201812
Brazil,201006,268072,295523442
Brazil,201007,147684,318412690
Brazil,201008,195285,369185398
Brazil,201009,140872,418188081
Brazil,201010,196535,387937573
Brazil,201011,133037,437932139
Brazil,201012,122307,434724500
Brazil,201101,286065,343536977
Brazil,201102,99652,332636744
Brazil,201103,283216,387991202
Brazil,201104,139510,433983389
Brazil,201105,213178,408831442
Brazil,201106,184669,363513456
Brazil,201107,131803,442419560
Brazil,201108,166053,329351219
Brazil,201109,140131,364085511
Brazil,201110,251536,395762776
Brazil,201111,90634,338288199
Brazil,201112,136274,349164236
Brazil,201201,95776827,282229958
Brazil,201202,159596194,336450261
Brazil,201203,217068689,357499410
Brazil,201204,266894805,369447017
Brazil,201205,264280136,366888652
Brazil,201206,323074345,470267380
Brazil,201207,241406017,336642949
Brazil,201208,181879638,285223372
Brazil,201209,157988544,313220494
Brazil,201210,257311341,474492685
Brazil,201301,273564772,362295788
Brazil,201302,149087512,259793769
Brazil,201303,193355997,313503091
Brazil,201304,252846273,349824100
Brazil,201305,315020141,434407718
Brazil,201306,153216926,408984994
Brazil,201307,175205642,430777267
Brazil,201308,172288553,429074042
Brazil,201309,208210871,373339939
Brazil,201310,275562988,399637455
Brazil,201311,190973191,405337700
Brazil,201312,337675696,297236918
Brunei Darussalam,201009,24,25368
Brunei Darussalam,201303,23100,13860
Bulgaria,201001,50,222386
Bulgaria,201002,8701,51200285
Bulgaria,201003,3412,24582380
Bulgaria,201004,337406,885
Bulgaria,201005,6490,41753397
Bulgaria,201006,6035,26899273
Bulgaria,201008,3543,28370240
Bulgaria,201009,5010,26657948
Bulgaria,201010,3849,35316403
Bulgaria,201011,2521,21797814
Bulgaria,201012,49,155618
Bulgaria,201101,58513,112213
Bulgaria,201102,38,59537
Bulgaria,201103,7644,66358546
Bulgaria,201104,121,412114
Bulgaria,201105,2140,16577090
Bulgaria,201106,4457,33360351
Bulgaria,201107,22,236529
Bulgaria,201108,3473,24530710
Bulgaria,201109,5745,42705851
Bulgaria,201110,5526,34369799
Bulgaria,201111,2534,20568762
Bulgaria,201112,3580,26131432
Bulgaria,201201,41529,77514
Bulgaria,201202,6647835,45926411
Bulgaria,201203,3475182,25576575
Bulgaria,201204,5048829,34637314
Bulgaria,201205,10125336,85734439
Bulgaria,201206,78762,327924
Bulgaria,201207,55614,1018094
Bulgaria,201208,42000,139647
Bulgaria,201209,174617,139798
Bulgaria,201210,9559527,60992092
Bulgaria,201301,6090597,44301359
Bulgaria,201302,68981,181964
Bulgaria,201303,4480060,29619883
Bulgaria,201304,11076718,75878696
Bulgaria,201305,3766865,26281415
Bulgaria,201306,4165412,23962232
Bulgaria,201307,11141432,75753767
Bulgaria,201308,8791171,61422135
Bulgaria,201309,2961117,21334290
Bulgaria,201310,8494405,58704469
Bulgaria,201311,2649083,17545705
Bulgaria,201312,11812465,78430989
Burkina Faso,201002,778517,21995
Burkina Faso,201004,236761,53693
Burkina Faso,201011,10,22040
Burkina Faso,201101,720233,42776
Burkina Faso,201108,8,26777
Burkina Faso,201111,716404,30715
Burkina Faso,201112,2000,827891
Burkina Faso,201201,1392,143485
Burkina Faso,201204,59,8966
Burkina Faso,201206,700,24265
Burkina Faso,201301,29830,28195
Burkina Faso,201302,40573,114136
Burkina Faso,201304,7534,12865
Burkina Faso,201309,103,47577
Burkina Faso,201310,10463,59221
Burkina Faso,201311,37,53974
Burkina Faso,201312,7,3450
Cabo Verde,201001,401,15840
Cabo Verde,201006,19,103917
Cabo Verde,201010,200,1699700
Cabo Verde,201011,19,71225
Cabo Verde,201012,9,37135
Cabo Verde,201102,8,37728
Cabo Verde,201103,11,59100
Cabo Verde,201104,19,71175
Cabo Verde,201107,17,91000
Cabo Verde,201108,18,90044
Cabo Verde,201109,8,66260
Cabo Verde,201209,157,3031
Cabo Verde,201301,17760,81400
Cabo Verde,201311,1764,24489
Cameroon,201001,72,75490
Cameroon,201002,24,17740
Cameroon,201003,48,35410
Cameroon,201004,48,152513
Cameroon,201005,24,17910
Cameroon,201006,24,18360
Cameroon,201008,24,17570
Cameroon,201009,72,54280
Cameroon,201010,72,147412
Cameroon,201011,48,109957
Cameroon,201012,24,84786
Cameroon,201101,75,100099
Cameroon,201102,24,17860
Cameroon,201103,39,64326
Cameroon,201104,299,323015
Cameroon,201106,4938,147625
Cameroon,201108,63,98016
Cameroon,201109,24,28369
Cameroon,201110,481,834905
Cameroon,201111,2868,24696
Cameroon,201112,39,118180
Cameroon,201201,24308,161933
Cameroon,201202,3840,20723
Cameroon,201203,22721,66635
Cameroon,201204,145840,219581
Cameroon,201205,72000,243438
Cameroon,201206,24000,29416
Cameroon,201208,24000,133526
Cameroon,201209,48000,70232
Cameroon,201210,68024,55889
Cameroon,201301,3513700,4885982
Cameroon,201302,9126000,11294950
Cameroon,201303,503122,686823
Cameroon,201304,3840,54138
Cameroon,201305,1108000,1424350
Cameroon,201306,324000,484752
Cameroon,201307,64947,80880
Cameroon,201308,18669,62187
Cameroon,201309,51840,123404
Cameroon,201310,24000,102980
Cameroon,201311,52840,162525
Cameroon,201312,1,76066
Canada,201001,80618,69691081
Canada,201002,18652,138683656
Canada,201003,27404,186716260
Canada,201004,18076,89202373
Canada,201005,25574,101991688
Canada,201006,53168,137940624
Canada,201007,36725,111541140
Canada,201008,13046,71781285
Canada,201009,11628,81636542
Canada,201010,20050,117315608
Canada,201011,7812,63250974
Canada,201012,13135,117115542
Canada,201101,55704,107883366
