partner_country,period,net_weight,usd_value
Albania,201001,5494189,11607643
Albania,201002,8057766,13372708
Albania,201003,5583821,9397273
Albania,201004,8664918,19769358
Albania,201005,9643419,20587779
Albania,201006,7605194,19265230
Albania,201007,9602545,19895944
Albania,201008,7223969,14014459
Albania,201009,7032429,14933998
Albania,201010,9626569,17748373
Albania,201011,11041715,20831331
Albania,201012,11405997,17946546
Albania,201101,10977701,21338769
Albania,201102,5015270,12586807
Albania,201103,11261591,26608566
Albania,201104,10593672,23081041
Albania,201105,13306341,24274343
Albania,201106,13201763,27359397
Albania,201107,17452764,28770117
Albania,201108,10830961,20821006
Albania,201109,13043309,24855332
Albania,201110,9452141,20180493
Albania,201111,11907289,26918087
Albania,201112,13727249,24604219
Albania,201201,11508567,26467013
Albania,201202,7449410,11985999
Albania,201203,10098574,23134506
Albania,201204,13324786,29173861
Albania,201205,13798120,51588013
Albania,201206,18612997,54637357
Albania,201207,8568652,23972940
Albania,201208,12433833,22964328
Albania,201209,11316415,22223986
Algeria,201001,98156590,338006907
Algeria,201002,114316169,329285042
Algeria,201003,121375979,318516131
Algeria,201004,103429158,362056431
Algeria,201005,171082105,441994685
Algeria,201006,129614069,402806034
Algeria,201007,114386084,343347466
Algeria,201008,96096480,295478534
Algeria,201009,104547520,278451602
Algeria,201010,83528454,268701621
Algeria,201011,106573357,301967268
Algeria,201012,102987049,319516920
Algeria,201101,112150882,348498319
Algeria,201102,62285777,169374838
Algeria,201103,85806488,324961884
Algeria,201104,89560151,349794289
Algeria,201105,112205262,425352972
Algeria,201106,112024145,433727340
Algeria,201107,154204998,452406280
Algeria,201108,118244640,439165498
Algeria,201109,120186577,409688449
Algeria,201110,83332195,292648709
Algeria,201111,94601814,359480155
Algeria,201112,112069845,468173230
Algeria,201201,114174908,465712335
Algeria,201202,48652656,250262810
Algeria,201203,102243908,457649114
Algeria,201204,129053129,493646044
Algeria,201205,132937194,605879265
Algeria,201206,131399402,496257399
Algeria,201207,127722312,532753822
Algeria,201208,104034590,493880951
Algeria,201209,106169244,464902074
Antigua and Barbuda,201001,8680861,57633410
Antigua and Barbuda,201002,9300112,41045874
Antigua and Barbuda,201003,8029762,48379590
Antigua and Barbuda,201004,6903693,67078569
Antigua and Barbuda,201005,8207895,171907631
Antigua and Barbuda,201006,8136133,56154212
Antigua and Barbuda,201007,10707871,61478697
Antigua and Barbuda,201008,6138226,4238804
Antigua and Barbuda,201009,11674716,44527949
Antigua and Barbuda,201010,8688317,84658474
Antigua and Barbuda,201011,9028177,111714323
Antigua and Barbuda,201012,8396454,57343037
Antigua and Barbuda,201101,3890509,60583643
Antigua and Barbuda,201102,9008670,17251182
Antigua and Barbuda,201103,3366128,84314144
Antigua and Barbuda,201104,9542707,34348662
Antigua and Barbuda,201105,5475825,114656184
Antigua and Barbuda,201106,11289137,37021362
Antigua and Barbuda,201107,13555870,20322989
Antigua and Barbuda,201108,4470001,116287329
Antigua and Barbuda,201109,8845308,6473273
Antigua and Barbuda,201110,9321294,101642464
Antigua and Barbuda,201111,11994180,9920733
Antigua and Barbuda,201112,9864716,54875669
Antigua and Barbuda,201201,4255988,86732872
Antigua and Barbuda,201202,4713675,36135990
Antigua and Barbuda,201203,6726187,52439460
Antigua and Barbuda,201204,6338424,56593950
Antigua and Barbuda,201205,20665734,65194962
Antigua and Barbuda,201206,11254083,125429022
Antigua and Barbuda,201207,9188120,56904452
Antigua and Barbuda,201208,27491206,78887418
Antigua and Barbuda,201209,20095643,27670496
Argentina,201001,117376800,359521925
Argentina,201002,67175168,324245511
Argentina,201003,66163231,326122498
Argentina,201004,76974478,396731162
Argentina,201005,92154884,494077527
Argentina,201006,99300836,523528036
Argentina,201007,139947178,656850758
Argentina,201008,145743234,600482291
Argentina,201009,221545437,688273161
Argentina,201010,118178701,553912741
Argentina,201011,150284989,602260502
Argentina,201012,133983747,592413510
Argentina,201101,126381684,590647238
Argentina,201102,56935851,370827576
Argentina,201103,136762982,722986292
Argentina,201104,83392451,554312997
Argentina,201105,123643563,672769455
Argentina,201106,118709919,707937690
Argentina,201107,151716410,789795761
Argentina,201108,250026535,963368090
Argentina,201109,183755299,814406929
Argentina,201110,123663322,750218671
Argentina,201111,144090363,880933000
Argentina,201112,112780561,686326565
Argentina,201201,101301836,695672468
Argentina,201202,30760864,294040936
Argentina,201203,61056351,433459025
Argentina,201204,104409031,502969023
Argentina,201205,102518790,677006189
Argentina,201206,88162012,676289885
Argentina,201207,109840485,692598164
Argentina,201208,147668661,776470471
Argentina,201209,142562783,803965644
Armenia,201001,2700741,6876709
Armenia,201002,1766203,7706704
Armenia,201003,3089837,9822721
Armenia,201004,3799155,11070123
Armenia,201005,2387653,13459958
Armenia,201006,2293596,9557226
Armenia,201007,4453725,11040907
Armenia,201008,2628543,12966177
Armenia,201009,2533344,11172043
Armenia,201010,3533236,9170695
Armenia,201011,2257904,8419707
Armenia,201012,1716149,5861183
Armenia,201101,2244253,8174524
Armenia,201102,1139899,4820439
Armenia,201103,2298981,10822009
Armenia,201104,2308683,6154062
Armenia,201105,4523747,9605221
Armenia,201106,5112168,10494974
