partner_country,period,net_weight,usd_value
Albania,201003,310,7390
Algeria,201002,9,7393
Algeria,201003,3,3364
Antigua and Barbuda,201001,122844,110260
Antigua and Barbuda,201002,14176,43689
Antigua and Barbuda,201003,18383,66752
Argentina,201001,2742582,7139359
Argentina,201002,1908487,4910265
Argentina,201003,4303396,7791657
Armenia,201003,13926,118129
Aruba,201001,614889,874745
Aruba,201002,2017780,1058136
Aruba,201003,7400524,5737823
Australia,201001,479996,1657190
Australia,201002,591442,1438155
Australia,201003,753109,2124214
Austria,201001,2116,32092
Austria,201002,43460,188182
Austria,201003,17693,114814
Azerbaijan,201001,306,1405
Azerbaijan,201002,932,4838
Azerbaijan,201003,5193,121381
Bahrain,201001,54337,227186
Bahrain,201002,26294,78469
Bahrain,201003,74254,508785
Barbados,201001,264437,270000
Barbados,201002,288985,380579
Barbados,201003,687955,600965
Belarus,201001,667,5564
Belarus,201002,2089,19218
Belarus,201003,8085,51600
Belgium,201001,40897709,31066167
Belgium,201002,119635648,33764324
Belgium,201003,88462403,43140563
Bolivia (Plurinational State of),201001,3593549,8147516
Bolivia (Plurinational State of),201002,4808880,7867835
Bolivia (Plurinational State of),201003,3550753,6156278
Brazil,201001,153627141,53922741
Brazil,201002,113168875,53196925
Brazil,201003,256878547,78139456
Brunei Darussalam,201001,10558,20150
Brunei Darussalam,201002,5030,12908
Bulgaria,201001,4446,35150
Bulgaria,201002,1964,9790
Bulgaria,201003,18204,21271
Burundi,201001,232,5150
Burundi,201003,2620,54540
Cameroon,201001,39313,112331
Cameroon,201002,81669,178008
Cameroon,201003,57614,185748
Canada,201001,128000365,26198261
Canada,201002,109339385,33282844
Canada,201003,121181012,39752199
Chile,201001,515612940,64846318
Chile,201002,300684538,65547764
Chile,201003,379781938,58982465
China,201001,287521857,175474808
China,201002,808855658,221367772
China,201003,665580838,233017510
"China, Hong Kong SAR",201001,1292322,5324996
"China, Hong Kong SAR",201002,854294,3009293
"China, Hong Kong SAR",201003,650238,4485931
Croatia,201001,4963,58726
Croatia,201002,7228,50096
Croatia,201003,29364,43024
Cyprus,201002,12160,48010
Cyprus,201003,265298,183941
Czech Rep.,201001,23250,91455
Czech Rep.,201002,20127,124709
Czech Rep.,201003,58221,299897
Denmark,201001,478163698,33730644
Denmark,201002,155878142,10968580
Denmark,201003,214357,1199451
Dominica,201001,28679,319168
Dominica,201002,102168,147361
Dominica,201003,3118,79688
Dominican Rep.,201001,104226214,39868439
Dominican Rep.,201002,110161359,60861115
Dominican Rep.,201003,262187279,114994166
Ecuador,201001,42126775,86174283
Ecuador,201002,44202488,120737899
Ecuador,201003,74987471,149320262
Egypt,201001,141315,316859
Egypt,201002,49305,87045
Egypt,201003,222553,378803
El Salvador,201001,2829165,3898000
El Salvador,201002,1317504,2579543
El Salvador,201003,2225870,4258157
Estonia,201001,21266,233980
Estonia,201002,19476,91597
Estonia,201003,20278,98370
Ethiopia,201003,22207,82256
Finland,201001,767023,2784143
Finland,201002,526754,2498171
Finland,201003,996261,4478023
France,201001,603551097,65561434
France,201002,248274320,33681203
France,201003,186859424,29891263
Georgia,201002,69244,232776
Germany,201001,17750631,18297302
Germany,201002,32038891,19500486
Germany,201003,31017850,23778915
Greece,201001,171813,836438
Greece,201002,270451,1548135
Greece,201003,331774,1493065
Guatemala,201001,52089189,13239944
Guatemala,201002,53703221,15557160
Guatemala,201003,56095070,18441203
Hungary,201001,46916,179498
Hungary,201002,30305,116226
Hungary,201003,22966,145294
Iceland,201002,19199,88673
India,201001,33543134,8202273
India,201002,209678360,85399371
India,201003,23445469,8488811
Indonesia,201001,3325576,5269972
Indonesia,201002,1134220,1536681
Indonesia,201003,2288704,3075645
Ireland,201001,163114017,8883199
Ireland,201002,21760,85109
Israel,201001,349205194,26107421
Israel,201002,174298600,13313818
Israel,201003,185589190,17144418
Italy,201001,252978283,52243686
Italy,201002,171249845,44223312
Italy,201003,16374447,18165607
Japan,201001,7911088,32105829
Japan,201002,6972038,30844311
Japan,201003,13179010,56175242
Jordan,201001,38749,174914
Jordan,201002,62935,261266
Jordan,201003,39171,205397
Kazakhstan,201001,3191,24599
Kazakhstan,201002,2753,28471
Kazakhstan,201003,961,33029
Kenya,201001,2799700,1370376
Kenya,201002,700004,376818
Kenya,201003,1534718,706202
Kyrgyzstan,201002,2360,14214
Kyrgyzstan,201003,2393,17684
Latvia,201002,35300,105960
Latvia,201003,22146,131833
Lithuania,201001,0,5000
Lithuania,201002,2760,32894
Lithuania,201003,0,5000
Madagascar,201002,542,1727
