partner_country,period,net_weight,usd_value
Albania,201001,11169785,1597230
Albania,201002,30537126,5763791
Albania,201003,22478905,6048411
Albania,201004,22393862,2750140
Albania,201005,13817663,5416347
Albania,201006,20416381,7470628
Albania,201007,27511789,10271447
Albania,201008,22226892,15272412
Albania,201009,16170887,6844191
Albania,201010,17182183,5646532
Albania,201011,6451364,5690349
Albania,201012,20048072,6242645
Albania,201101,11121873,2775203
Albania,201102,17136104,5526053
Albania,201103,10473123,6562516
Albania,201104,6734180,5578697
Albania,201105,14948076,3487987
Albania,201106,15961413,5858581
Albania,201107,17860654,5668140
Albania,201108,2956935,3967074
Albania,201109,11130057,3305326
Albania,201110,18002729,5406059
Albania,201111,25603250,6764965
Albania,201112,19026576,4630724
Albania,201201,5848053,4307399
Albania,201202,7834587,6721560
Albania,201203,11421986,10651352
Albania,201204,4219383,3928787
Albania,201205,6286912,5335732
Albania,201206,11998667,7995325
Albania,201207,4072456,4610643
Albania,201208,15725036,11214263
Albania,201209,5167969,4243629
Albania,201210,6640928,6955862
Albania,201211,3045614,4107353
Albania,201212,4241108,4683967
Albania,201301,11068120,1382703
Albania,201302,34412758,9726884
Albania,201303,42758130,14557140
Albania,201304,21275315,6253326
Albania,201305,75295549,6487384
Albania,201306,35797028,2667298
Albania,201307,368657404,7826834
Albania,201308,382410033,6825852
Albania,201309,148268888,5514325
Albania,201310,208696471,4094597
Algeria,201001,13355,172018
Algeria,201002,97226,93996
Algeria,201003,318042,3192441
Algeria,201004,2966226,4739492
Algeria,201005,330646,2102800
Algeria,201006,258300,1987777
Algeria,201007,363080,315832
Algeria,201008,122065,330335
Algeria,201009,130153,119439
Algeria,201010,641590,551709
Algeria,201011,76368,83398
Algeria,201012,340598,476459
Algeria,201101,133341,69890
Algeria,201102,3360,143987
Algeria,201103,67594,179862
Algeria,201104,25050,11498
Algeria,201105,54700,125691
Algeria,201106,12037,586327
Algeria,201107,4084,170143
Algeria,201108,244437,1078975
Algeria,201109,25305119,27316225
Algeria,201110,284817,3344324
Algeria,201111,1254628,10102723
Algeria,201112,2231,311125
Algeria,201201,50001,17669
Algeria,201202,130743,297976
Algeria,201203,26647,10686
Algeria,201204,254423,243255
Algeria,201205,34055,210393
Algeria,201206,25262759,22113195
Algeria,201207,27231291,26809883
Algeria,201208,6550,59234
Algeria,201209,816,78578
Algeria,201210,476260,336527
Algeria,201211,5770,58746
Algeria,201212,186893,125117
Algeria,201301,24903,328925
Algeria,201302,262455,93111
Algeria,201303,231663,1509391
Algeria,201304,117208,1193886
Algeria,201305,966612,488198
Algeria,201306,82461,59706
Algeria,201307,3705,67913
Algeria,201308,5302734,4530371
Algeria,201309,998189,4091201
Algeria,201310,806410,350346
Antigua and Barbuda,201001,411,725
Antigua and Barbuda,201003,553,3452
Antigua and Barbuda,201006,7,2227
Antigua and Barbuda,201009,636,782
Antigua and Barbuda,201010,9651,7852
Antigua and Barbuda,201011,45,665
Antigua and Barbuda,201101,1092,5951
Antigua and Barbuda,201112,151,224
Antigua and Barbuda,201202,23,33
Antigua and Barbuda,201205,900,1133
Antigua and Barbuda,201208,111,2637
Antigua and Barbuda,201209,395,550
Antigua and Barbuda,201210,1816,3694
Antigua and Barbuda,201211,4,41
Antigua and Barbuda,201212,403,1567
Antigua and Barbuda,201301,10296,160
Antigua and Barbuda,201302,6,24
Antigua and Barbuda,201306,39097,40322
Antigua and Barbuda,201308,3127508,13146
Antigua and Barbuda,201309,4073788,8081461
Antigua and Barbuda,201310,102000,987
Argentina,201002,3247,33839
Argentina,201003,2530,57308
Argentina,201004,95,5026
Argentina,201005,165,3655
Argentina,201006,22508,13832
Argentina,201007,14493,131146
Argentina,201008,27742,97800
Argentina,201009,6125,61080
Argentina,201010,45321,520404
Argentina,201011,44800,22965
Argentina,201012,6620,21430
Argentina,201101,47164,83060
Argentina,201102,14719,151468
Argentina,201103,13195,172645
Argentina,201104,7269,108322
Argentina,201105,94244,103460
Argentina,201106,13068,240630
Argentina,201107,386,223843
Argentina,201108,13799,209308
Argentina,201109,61693,240378
Argentina,201110,676,12036
Argentina,201111,55623,178646
Argentina,201112,62606,238338
Argentina,201201,147604,1799044
Argentina,201202,11496,158996
Argentina,201203,745,15820
Argentina,201204,44929,53792
Argentina,201205,477,19435
Argentina,201206,12696,151926
Argentina,201207,2952,48796
Argentina,201208,13763,151170
Argentina,201209,76,30628
Argentina,201210,9213,124227
Argentina,201211,12509,163958
Argentina,201212,7238,110658
Argentina,201301,101488,85811
Argentina,201302,1079336,293901
Argentina,201303,105628,159385
Argentina,201304,135062,132006
Argentina,201305,50191,241693
Argentina,201306,100369,134974
Argentina,201308,45955,37071
Argentina,201309,149688,229120
Argentina,201310,80367,86780
Armenia,201001,4034,44939
Armenia,201003,778430,639521
Armenia,201004,1024925,912793
Armenia,201005,318,96661
Armenia,201006,649,90382
Armenia,201007,24371,241920
Armenia,201008,22617,162042
Armenia,201009,3879,16101
Armenia,201010,20284,210242
Armenia,201011,22140,124963
Armenia,201012,685,132383
Armenia,201101,5071,29787
Armenia,201102,19510,155692
Armenia,201104,511,57411
Armenia,201105,1409,91496
Armenia,201106,13493,369097
Armenia,201107,875,12994
Armenia,201108,7826,100039
Armenia,201109,172,1762
Armenia,201110,5,4643
Armenia,201112,230,4167
Armenia,201201,3734,3719
Armenia,201203,2136,31397
Armenia,201204,38,17703
Armenia,201205,1213,1387
Armenia,201206,7,13416
Armenia,201207,1756,8470
Armenia,201209,500,4164
Armenia,201210,3277,69518
Armenia,201211,1822,10391
Armenia,201212,2100,103366
Armenia,201301,5245,55672
