partner_country,period,net_weight,usd_value
Albania,201001,25800,268029
Albania,201002,33800,207344
Albania,201003,27100,70518
Albania,201004,13200,121259
Albania,201005,66000,327070
Albania,201006,109100,337575
Albania,201007,18900,239553
Albania,201008,5000,282149
Albania,201009,68400,281905
Albania,201010,27300,152492
Albania,201011,37300,1065296
Albania,201012,54800,209302
Albania,201101,24600,70488
Albania,201102,31700,187619
Albania,201103,33800,220918
Albania,201104,5299400,369022
Albania,201105,4052700,287069
Albania,201106,14600,227561
Albania,201107,14900,460941
Albania,201108,20200,40433
Albania,201109,13400,274932
Albania,201110,14300,301929
Albania,201111,10500,125434
Albania,201112,14100,248701
Albania,201201,2100,30340
Albania,201202,4100,96350
Albania,201203,17000,85833
Albania,201204,4100,120788
Albania,201205,9800,56796
Albania,201206,5400,150687
Albania,201207,15200,217439
Albania,201208,3300,95207
Albania,201209,2900,86192
Albania,201210,9300,139717
Albania,201211,3200,112373
Albania,201212,3600,136861
Albania,201301,672,63530
Albania,201302,9038,48357
Albania,201303,2520,88391
Albania,201304,11311,198567
Albania,201305,5179,169716
Albania,201306,17295,408213
Albania,201307,8863,323343
Albania,201308,2900,53240
Albania,201309,9400,23465
Albania,201310,9200,172376
Albania,201311,3300,150871
Algeria,201001,27500,659279
Algeria,201003,134500,47493
Algeria,201005,55600,111384
Algeria,201006,2200,409792
Algeria,201007,3100,754208
Algeria,201008,150000,44112
Algeria,201009,4400,28179
Algeria,201010,21400,359822
Algeria,201011,3400,152524
Algeria,201012,1400,52094
Algeria,201102,45600,19327
Algeria,201103,2900,24624
Algeria,201104,1100,16465
Algeria,201105,3500,517923
Algeria,201106,8200,105811
Algeria,201107,3000,29427
Algeria,201108,2000,270236
Algeria,201109,3500,497069
Algeria,201110,4800,288635
Algeria,201111,7200,110305
Algeria,201112,8600,149371
Algeria,201201,12900,1514983
Algeria,201202,5400,364850
Algeria,201203,100,2099
Algeria,201204,3100,307464
Algeria,201205,1500,189904
Algeria,201206,4200,552109
Algeria,201207,10700,531074
Algeria,201208,7000,895230
Algeria,201209,300,9231
Algeria,201210,36800,292174
Algeria,201211,109700,1269420
Algeria,201212,111100,986028
Algeria,201301,127080,1188161
Algeria,201302,172436,1459484
Algeria,201303,259251,2189477
Algeria,201304,76669,782633
Algeria,201305,12306614,2537147
Algeria,201306,5100000,342227
Algeria,201307,205447,1320858
Algeria,201308,130100,1247586
Algeria,201309,94800,919210
Algeria,201310,135000,1144163
Algeria,201311,134500,1154626
Antigua and Barbuda,201002,200,10947
Antigua and Barbuda,201003,13900,17289
Antigua and Barbuda,201005,300,19843
Antigua and Barbuda,201007,300,15257
Antigua and Barbuda,201009,21500,11924
Antigua and Barbuda,201010,300,21262
Antigua and Barbuda,201012,26200,899
Antigua and Barbuda,201104,20700,7380
Antigua and Barbuda,201107,200,19157
Antigua and Barbuda,201108,200,6383
Antigua and Barbuda,201109,100,13467
Antigua and Barbuda,201206,42700,40071
Antigua and Barbuda,201208,200,16120
Antigua and Barbuda,201209,37900,32258
Antigua and Barbuda,201210,200,31449
Antigua and Barbuda,201211,200,10699
Antigua and Barbuda,201302,282,16538
Antigua and Barbuda,201303,25,5658
Antigua and Barbuda,201305,507,11779
Antigua and Barbuda,201306,109,4801
Antigua and Barbuda,201307,558,20065
Antigua and Barbuda,201309,200,5820
Antigua and Barbuda,201311,600,17231
Argentina,201003,303800,204
Argentina,201005,19564900,8038
Argentina,201006,100,4565
Argentina,201011,200,9776
Argentina,201102,100,682
Argentina,201105,5800,22784
Argentina,201106,5000,58271
Argentina,201107,81000,297233
Argentina,201108,5800,24397
Argentina,201109,900,63741
Argentina,201110,15003200,822
Argentina,201111,9300,2536083
Argentina,201112,134600,6062
Argentina,201201,5600,30959
Argentina,201202,43300,29397
Argentina,201204,4000,6581
Argentina,201206,560500,125
Argentina,201207,6800,76492
Argentina,201208,11123900,6200
Argentina,201210,10700,49703
Argentina,201211,221800,1001
Argentina,201301,3,8417
Argentina,201303,193,42214
Argentina,201304,375,15526
Argentina,201309,100,400
Argentina,201310,52200,1364
Armenia,201002,33600,80738
Armenia,201003,64400,132419
Armenia,201004,34500,92875
Armenia,201005,41300,108157
Armenia,201006,47700,122339
Armenia,201007,51200,95991
Armenia,201009,38600,68810
Armenia,201010,11000,32838
Armenia,201011,74000,170042
Armenia,201012,40300,75212
Armenia,201102,69500,175787
Armenia,201103,31900,50173
Armenia,201104,62200,96892
Armenia,201105,77400,225116
Armenia,201106,96200,163519
Armenia,201107,46100,131286
Armenia,201109,79700,204223
Armenia,201110,14600,37445
Armenia,201111,103900,279280
Armenia,201112,30400,87812
Armenia,201202,16500,52579
Armenia,201203,32800,88104
Armenia,201204,19300,62559
Armenia,201205,92400,207617
Armenia,201206,49000,154170
Armenia,201207,60100,156056
Armenia,201208,11900,72118
Armenia,201209,17200,54603
Armenia,201210,66400,126107
Armenia,201211,17700,55738
Armenia,201212,30600,114432
Armenia,201301,4,443
Armenia,201302,76233,219622
Armenia,201303,17528,60085
Armenia,201304,61,1867
Armenia,201305,69936,159620
Armenia,201306,18407,97153
Armenia,201307,67682,188258
Armenia,201308,200,4446
Armenia,201309,1900,40965
Armenia,201310,16900,59325
Armenia,201311,63700,158481
Aruba,201006,200,10645
Aruba,201009,200,13084
Aruba,201105,200,9613
Aruba,201107,200,13508
Aruba,201109,16500,2148
Aruba,201111,200,11306
Aruba,201311,20700,13710
Australia,201001,34600,369732
Australia,201002,75900,552490
Australia,201003,96300,770985
Australia,201004,20900,674461
Australia,201005,3000,119850
Australia,201006,59500,504020
Australia,201007,62600,508585
Australia,201008,36000,207370
Australia,201009,107700,1013974
Australia,201010,106700,1537259
Australia,201011,37300,437885
Australia,201012,97300,1055748
Australia,201101,44700,491273
Australia,201102,67200,711808
Australia,201103,40300,361133
Australia,201104,54700,1261004
Australia,201105,38500,691674
Australia,201106,33800,485581
Australia,201107,76900,1094861
Australia,201108,138000,1220702
Australia,201109,116400,1163856
Australia,201110,120000,1149261
Australia,201111,42100,633567
Australia,201112,21200,206870
Australia,201201,81400,810125
Australia,201202,46200,373168
Australia,201203,127300,1218677
Australia,201204,94300,1063135
Australia,201205,55900,654476
Australia,201206,43400,400319
Australia,201207,62300,989206
Australia,201208,50400,1246546
Australia,201209,119900,794419
Australia,201210,269200,2008013
Australia,201211,119300,1192631
Australia,201212,267300,1524117
Australia,201301,225639,1584596
Australia,201302,107558,932374
Australia,201303,109538,1095817
Australia,201304,80011,1040052
Australia,201305,77929,1002411
Australia,201306,74321,591314
Australia,201307,239784,1454304
Australia,201308,65700,1021570
Australia,201309,100400,1162891
Australia,201310,188100,1966260
Australia,201311,242700,1657514
Austria,201001,455700,494648
Austria,201002,579500,1182501
Austria,201003,714200,1730678
Austria,201004,684400,1284404
Austria,201005,497600,1301581
Austria,201006,64200,604984
Austria,201007,34100,634463
Austria,201008,43000,476360
Austria,201009,25200,222672
Austria,201010,295000,852276
Austria,201011,405300,573083
Austria,201012,635200,1022226
Austria,201101,475900,1179847
Austria,201102,319000,1149627
Austria,201103,409800,1322555
Austria,201104,627800,1060303
Austria,201105,409500,687456
Austria,201106,80500,613950
Austria,201107,44300,577578
Austria,201108,84800,609464
Austria,201109,57600,703743
Austria,201110,78100,274395
Austria,201111,508400,618505
Austria,201112,378600,619187
Austria,201201,255500,1055075
Austria,201202,164900,573273
Austria,201203,283600,943212
Austria,201204,600300,1139012
Austria,201205,749500,1023210
Austria,201206,180400,833567
Austria,201207,1360600,1613380
Austria,201208,1152200,1405529
Austria,201209,839800,1176178
Austria,201210,79900,524838
Austria,201211,409500,920601
Austria,201212,347100,591501
Austria,201301,358488,948674
Austria,201302,231484,959785
Austria,201303,286352,1313737
Austria,201304,548624,1292798
Austria,201305,497463,774442
Austria,201306,128665,602393
Austria,201307,259671,1166743
Austria,201308,133000,940060
Austria,201309,25500,380857
Austria,201310,162200,660253
Austria,201311,342800,1275311
Azerbaijan,201001,700,41040
Azerbaijan,201002,100,7951
Azerbaijan,201003,7300,23217
Azerbaijan,201004,200,5725
Azerbaijan,201005,100,6757
Azerbaijan,201006,800,63074
Azerbaijan,201007,200,2530
Azerbaijan,201008,2900,418686
Azerbaijan,201009,8300,9152
Azerbaijan,201011,300,15360
Azerbaijan,201012,8000,507155
Azerbaijan,201101,800,56713
Azerbaijan,201102,700,54801
Azerbaijan,201103,1300,112216
Azerbaijan,201104,300,29548
Azerbaijan,201105,300,17289
Azerbaijan,201106,500,37941
Azerbaijan,201107,1200,53404
Azerbaijan,201108,100,9753
Azerbaijan,201110,10100,37746
Azerbaijan,201111,2300,69298
Azerbaijan,201112,400,15815
Azerbaijan,201201,5000,36753
Azerbaijan,201202,1000,50370
Azerbaijan,201203,1100,78032
Azerbaijan,201205,1700,64
Azerbaijan,201207,9700,193731
Azerbaijan,201208,8859300,50
Azerbaijan,201210,2200,8303
Azerbaijan,201211,700,73967
Azerbaijan,201212,4100,203465
Azerbaijan,201301,310,17612
Azerbaijan,201302,4431,45782
Azerbaijan,201303,11391,60317
Azerbaijan,201304,3360,91678
Azerbaijan,201305,986,62088
Azerbaijan,201306,185,16123
Azerbaijan,201307,11043,72948
Azerbaijan,201308,7859200,13377
Azerbaijan,201309,500,48774
Azerbaijan,201310,12640400,1854
Azerbaijan,201311,3000,12832
Bahrain,201001,23300,404306
Bahrain,201002,44500,187570
Bahrain,201003,25300,191695
Bahrain,201004,83900,274428
Bahrain,201005,103000,257995
Bahrain,201006,58800,262096
Bahrain,201007,119300,312094
Bahrain,201008,1500,160966
Bahrain,201009,8100,277780
Bahrain,201010,11000,276480
Bahrain,201011,28200,260047
Bahrain,201012,101200,473143
Bahrain,201101,51900,371609
Bahrain,201102,204800,553331
Bahrain,201103,163000,477422
Bahrain,201104,21500,289273
Bahrain,201105,130100,729694
Bahrain,201106,131700,687216
Bahrain,201107,59500,422386
Bahrain,201108,109500,460611
Bahrain,201109,99500,258172
Bahrain,201110,10700,112512
Bahrain,201111,15100,96763
Bahrain,201112,700,52742
Bahrain,201201,38900,120017
Bahrain,201202,41300,139421
Bahrain,201203,65300,1426250
Bahrain,201204,21000,109139
Bahrain,201205,104100,371738
Bahrain,201206,80900,342384
Bahrain,201207,76500,490316
Bahrain,201208,1300,180619
Bahrain,201209,60000,173991
Bahrain,201210,80900,625267
Bahrain,201211,53700,243295
Bahrain,201212,69200,526627
Bahrain,201301,199184,404416
Bahrain,201302,93988,242515
Bahrain,201303,45691,160202
Bahrain,201304,159749,579730
Bahrain,201305,78938,269517
Bahrain,201306,78449,501106
Bahrain,201307,113284,497941
Bahrain,201308,5700,93728
Bahrain,201309,100400,236859
Bahrain,201310,42100,200721
Bahrain,201311,128100,825383
Barbados,201003,3500,72272
Barbados,201006,1000,79725
Barbados,201007,2000,74880
Barbados,201008,500,47283
Barbados,201009,600,50441
Barbados,201010,500,25015
Barbados,201011,5800,31389
Barbados,201104,1400,39557
Barbados,201108,100,16638
Barbados,201109,1700,39892
Barbados,201111,500,16945
Barbados,201112,1200,33435
Barbados,201201,2800,106570
Barbados,201202,400,35731
Barbados,201206,200,14706
Barbados,201208,200,7291
Barbados,201209,600,32708
Barbados,201212,5600,312869
Barbados,201301,83,9722
Barbados,201303,432,33528
Barbados,201304,245,12814
Barbados,201305,20030,16634
Barbados,201307,1576,55131
Barbados,201309,1700,35893
Barbados,201310,400,31715
Barbados,201311,1300,30293
Belarus,201001,29000,722338
Belarus,201002,61000,73046
Belarus,201003,1000,122021
Belarus,201004,11401500,25555
Belarus,201005,10468200,13137
Belarus,201006,25000,140016
Belarus,201007,200,31089
Belarus,201008,62600,232031
Belarus,201009,12900,72612
Belarus,201010,1900,167792
Belarus,201011,31400,96914
Belarus,201012,800,129263
Belarus,201101,61000,62564
Belarus,201102,143100,177205
Belarus,201103,1200,111405
Belarus,201104,200,65220
Belarus,201105,500,82614
Belarus,201106,100,28704
Belarus,201107,1700,113841
Belarus,201108,2549400,7903
Belarus,201109,600,42838
Belarus,201110,100,9540
Belarus,201111,400,34324
Belarus,201112,122200,184150
Belarus,201201,200,30804
Belarus,201202,20500,56440
Belarus,201203,40800,102717
Belarus,201204,5900,543353
Belarus,201205,200,35554
Belarus,201206,11500,104429
Belarus,201207,200,45475
Belarus,201208,64000,6895
Belarus,201209,200,48663
Belarus,201210,100,15296
Belarus,201211,800,81830
Belarus,201212,102500,134104
Belarus,201302,121953,134823
Belarus,201303,659,105513
Belarus,201304,817,111489
Belarus,201305,113,16740
Belarus,201306,946,44989
Belarus,201307,725,127342
Belarus,201308,400,43684
Belarus,201309,1100,72172
Belarus,201310,21700,60730
Belarus,201311,800,111875
Belgium,201001,1006700,1499898
Belgium,201002,902600,733178
Belgium,201003,2057100,1692293
Belgium,201004,1724300,1356056
Belgium,201005,1606800,1322604
Belgium,201006,990400,1014861
Belgium,201007,378900,606569
Belgium,201008,133200,220145
Belgium,201009,296400,311165
Belgium,201010,261400,762405
Belgium,201011,632300,795500
Belgium,201012,333200,602353
Belgium,201101,485200,535590
Belgium,201102,755200,1075184
Belgium,201103,2016700,1955131
Belgium,201104,2790600,2666440
Belgium,201105,8275700,5163852
Belgium,201106,1436600,1126927
Belgium,201107,388900,721785
Belgium,201108,527100,508747
Belgium,201109,363600,704445
Belgium,201110,389700,894768
Belgium,201111,450200,532696
Belgium,201112,598400,861234
Belgium,201201,621300,856080
Belgium,201202,828200,1016134
Belgium,201203,1662800,2154376
Belgium,201204,2572300,2369291
Belgium,201205,3593000,2543541
Belgium,201206,924100,990442
Belgium,201207,498400,462075
Belgium,201208,297700,609435
Belgium,201209,131600,252959
Belgium,201210,228400,635662
Belgium,201211,293800,627918
