partner_country,period,net_weight,usd_value
Albania,201001,806200,1734366
Albania,201002,781800,2888209
Albania,201003,1068700,2074637
Albania,201004,1318700,4039379
Albania,201005,1772100,3339551
Albania,201006,1364200,1797237
Albania,201007,1642000,2048389
Albania,201008,1200500,2954675
Albania,201009,965600,2564095
Albania,201010,1273200,2592709
Albania,201011,1173700,4686498
Albania,201012,1281500,2063793
Albania,201101,918900,2677945
Albania,201102,1090500,2357337
Albania,201103,1640400,3674420
Albania,201104,1009800,4849783
Albania,201105,919700,3436975
Albania,201106,1015200,3635332
Albania,201107,961000,3733121
Albania,201108,704200,3739361
Albania,201109,550200,2521949
Albania,201110,954300,2857700
Albania,201111,658800,3487298
Albania,201112,447400,2500930
Albania,201201,831300,2161525
Albania,201202,398600,2720703
Albania,201203,967700,3441634
Albania,201204,698700,2067989
Albania,201205,347100,2267807
Albania,201206,426600,1444970
Albania,201207,538500,1738529
Albania,201208,694600,1682964
Albania,201209,1104000,5273241
Albania,201210,504000,2685013
Albania,201211,426800,1775896
Albania,201212,356900,1389529
Albania,201301,443022,1521223
Albania,201302,1324213,2995310
Albania,201303,807981,2220290
Albania,201304,820225,5427965
Albania,201305,541763,1754421
Albania,201306,867462,3528221
Albania,201307,709352,1686638
Albania,201308,496000,1408440
Albania,201309,685877,1981952
Albania,201310,561442,2226054
Albania,201311,735570,2880083
Albania,201312,612545,2119107
Algeria,201001,13126600,12326112
Algeria,201002,15972000,11155344
Algeria,201003,802800,9225377
Algeria,201004,3888800,7549285
Algeria,201005,2288700,5853228
Algeria,201006,1430300,5900560
Algeria,201007,8866400,10840939
Algeria,201008,12295900,13612900
Algeria,201009,2160100,9029969
Algeria,201010,1411900,7744773
Algeria,201011,470500,6193072
Algeria,201012,641600,10954740
Algeria,201101,1237000,10214042
Algeria,201102,921200,7767887
Algeria,201103,1097300,11565095
Algeria,201104,1380200,6636372
Algeria,201105,1321000,7798088
Algeria,201106,3089700,17683036
Algeria,201107,13588800,14664420
Algeria,201108,1104500,8927855
Algeria,201109,1080100,9118046
Algeria,201110,1242000,9037845
Algeria,201111,1068900,10459796
Algeria,201112,2406900,17966161
Algeria,201201,1497300,16291264
Algeria,201202,492100,8086712
Algeria,201203,2421200,17745069
Algeria,201204,1613800,15731285
Algeria,201205,1763700,11911059
Algeria,201206,2011800,16928334
Algeria,201207,1875600,12387678
Algeria,201208,1047200,4870638
Algeria,201209,1846600,16468619
Algeria,201210,2611300,21036423
Algeria,201211,6840600,21866694
Algeria,201212,1378100,9080705
Algeria,201301,1717934,15422128
Algeria,201302,2597368,18545609
Algeria,201303,4580205,22261296
Algeria,201304,4190429,16782317
Algeria,201305,4515383,15068343
Algeria,201306,5457270,35959775
Algeria,201307,6867353,19805276
Algeria,201308,2844490,19331431
Algeria,201309,2601822,10445014
Algeria,201310,1616191,13408350
Algeria,201311,13419920,19222836
Algeria,201312,3211234,23940652
Antigua and Barbuda,201001,100,3239
Antigua and Barbuda,201002,3700,27573
Antigua and Barbuda,201008,72500,941
Antigua and Barbuda,201011,700,223851
Antigua and Barbuda,201101,228500,3340
Antigua and Barbuda,201106,200,791
Antigua and Barbuda,201201,4300,1613
Antigua and Barbuda,201202,4600,41523
Antigua and Barbuda,201302,12,6659
Antigua and Barbuda,201303,13,1936
Antigua and Barbuda,201304,2,410
Antigua and Barbuda,201306,38,12129
Antigua and Barbuda,201307,2,252
Antigua and Barbuda,201308,9,2371
Antigua and Barbuda,201309,1,85
Antigua and Barbuda,201311,5,2174
Argentina,201001,302800,3335050
Argentina,201002,425500,3571071
Argentina,201003,1042400,5286994
Argentina,201004,834800,4084930
Argentina,201005,563300,3964377
Argentina,201006,885000,4416162
Argentina,201007,958800,5008860
Argentina,201008,1013600,6108730
Argentina,201009,1016300,8001852
Argentina,201010,800400,5386233
Argentina,201011,848400,5485100
Argentina,201012,673400,4487589
Argentina,201101,557000,4504690
Argentina,201102,1104000,7643413
Argentina,201103,1086100,7289286
Argentina,201104,892900,5937652
Argentina,201105,654200,6013489
Argentina,201106,956900,7703329
Argentina,201107,920400,7930185
Argentina,201108,1953100,5967893
Argentina,201109,795300,5961718
Argentina,201110,1550800,15016552
Argentina,201111,937000,5528029
Argentina,201112,1184500,6242247
Argentina,201201,954600,6901472
Argentina,201202,291600,4159498
Argentina,201203,574000,6444569
Argentina,201204,565900,5870894
Argentina,201205,681600,5583784
Argentina,201206,1068200,6057942
Argentina,201207,496900,5535654
Argentina,201208,734400,7540825
Argentina,201209,625300,5123180
Argentina,201210,660100,5555418
Argentina,201211,612600,5057720
Argentina,201212,613000,5929601
Argentina,201301,458381,4783831
Argentina,201302,679772,4289818
Argentina,201303,658679,4892209
Argentina,201304,649287,6051508
Argentina,201305,1049381,11790723
Argentina,201306,913211,11716335
Argentina,201307,837845,12331556
Argentina,201308,294673,11804421
Argentina,201309,412532,6992060
Argentina,201310,1042018,12146956
Argentina,201311,695967,6742918
Argentina,201312,710270,7924252
Armenia,201001,174100,2883511
Armenia,201002,154500,962216
Armenia,201003,380700,2037718
Armenia,201004,240100,1405151
Armenia,201005,250000,1460977
Armenia,201006,337400,2065916
Armenia,201007,316800,2204754
Armenia,201008,319300,3282865
