"partner_country","period","net_weight","usd_value"
"Albania",201001,58600,1129860
"Albania",201002,48400,390275
"Albania",201003,73500,643026
"Albania",201004,77000,624688
"Albania",201005,127100,1865475
"Albania",201006,79700,642926
"Albania",201007,79400,217243
"Albania",201008,156000,263161
"Albania",201009,86400,422328
"Albania",201010,206800,891800
"Albania",201011,394300,1126025
"Albania",201012,549700,838726
"Albania",201101,78900,610177
"Albania",201102,83100,428360
"Albania",201103,96300,730398
"Albania",201104,67000,362534
"Albania",201105,51900,575973
"Albania",201106,48200,192236
"Albania",201107,90100,439558
"Albania",201108,84800,200889
"Albania",201109,171300,587362
"Albania",201110,22600,60100
"Albania",201111,101600,340647
"Albania",201112,177700,284573
"Albania",201201,69300,295280
"Albania",201202,80500,627083
"Albania",201203,33400,191518
"Albania",201204,104500,517438
"Albania",201205,113400,628206
"Albania",201206,118300,1005739
"Albania",201207,101500,246186
"Albania",201208,116700,706811
"Albania",201209,110100,193790
"Albania",201210,49400,143365
"Albania",201211,90600,188548
"Albania",201212,87600,216856
"Albania",201301,29100,103938
"Albania",201302,53600,261935
"Albania",201303,37100,313316
"Albania",201304,58500,274690
"Albania",201305,67400,455411
"Albania",201306,50400,526716
"Albania",201307,119200,187463
"Albania",201308,85200,792985
"Albania",201309,65000,498028
"Albania",201310,42400,225592
"Albania",201311,88900,246621
"Algeria",201001,3454200,3633290
"Algeria",201002,292200,9610841
"Algeria",201003,525000,5800412
"Algeria",201004,582600,2793187
"Algeria",201005,557100,9424713
"Algeria",201006,407600,7364215
"Algeria",201007,474400,3690420
"Algeria",201008,657900,5916197
"Algeria",201009,1142300,9834149
"Algeria",201010,728200,9249622
"Algeria",201011,3178500,8374489
"Algeria",201012,8878500,15332207
"Algeria",201101,886100,17028974
"Algeria",201102,2769500,8478350
"Algeria",201103,651900,25981475
"Algeria",201104,1614900,27088513
"Algeria",201105,513400,21351285
"Algeria",201106,722900,19441928
"Algeria",201107,311900,18221771
"Algeria",201108,527600,14042916
"Algeria",201109,648300,20708275
"Algeria",201110,532800,11742985
"Algeria",201111,27457200,19198979
"Algeria",201112,5877700,29829798
"Algeria",201201,6305500,16385054
"Algeria",201202,466000,11385386
"Algeria",201203,448900,17557816
"Algeria",201204,576100,15252439
"Algeria",201205,638200,13501845
"Algeria",201206,566400,12968321
"Algeria",201207,370600,9386830
"Algeria",201208,301200,5628980
"Algeria",201209,20279000,42241082
"Algeria",201210,583900,14765269
"Algeria",201211,3038200,15631802
"Algeria",201212,11873600,23178256
"Algeria",201301,2924200,11381412
"Algeria",201302,2406700,7320370
"Algeria",201303,944900,33100166
"Algeria",201304,1011200,15639193
"Algeria",201305,816600,15935289
"Algeria",201306,462000,8033253
"Algeria",201307,430900,12885958
"Algeria",201308,212000,5356783
"Algeria",201309,368600,10842914
"Algeria",201310,890300,38068165
"Algeria",201311,5379700,18568310
"Antigua and Barbuda",201001,173900,240004
"Antigua and Barbuda",201002,612900,477404
"Antigua and Barbuda",201003,68900,287769
"Antigua and Barbuda",201004,87500,84737
"Antigua and Barbuda",201005,230100,192088
"Antigua and Barbuda",201006,155800,172692
"Antigua and Barbuda",201007,261900,209078
"Antigua and Barbuda",201008,299400,220623
"Antigua and Barbuda",201009,195700,210644
"Antigua and Barbuda",201010,268000,245810
"Antigua and Barbuda",201011,117700,270901
"Antigua and Barbuda",201012,269400,265348
"Antigua and Barbuda",201101,86100,123621
"Antigua and Barbuda",201102,1000,175867
"Antigua and Barbuda",201103,215000,229920
"Antigua and Barbuda",201104,31200,287568
"Antigua and Barbuda",201105,205200,312436
"Antigua and Barbuda",201106,293000,297861
"Antigua and Barbuda",201107,242700,199140
"Antigua and Barbuda",201108,829300,751544
"Antigua and Barbuda",201109,86000,159829
"Antigua and Barbuda",201110,204000,223065
"Antigua and Barbuda",201111,100,161859
"Antigua and Barbuda",201112,96900,197685
"Antigua and Barbuda",201201,77600,89845
