partner_country,period,net_weight,usd_value
Albania,201106,22700,38
Antigua and Barbuda,201101,3300,220349
Antigua and Barbuda,201102,265400,249268
Antigua and Barbuda,201103,7200,215478
Antigua and Barbuda,201104,1200,126297
Antigua and Barbuda,201105,600,100244
Antigua and Barbuda,201106,22700,371698
Antigua and Barbuda,201107,71200,170886
Antigua and Barbuda,201108,5000,112791
Antigua and Barbuda,201109,3700,120188
Antigua and Barbuda,201110,600,298650
Antigua and Barbuda,201111,1500,184052
Antigua and Barbuda,201112,10100,82896
Antigua and Barbuda,201201,2000,242789
Antigua and Barbuda,201202,6900,94979
Antigua and Barbuda,201203,3100,74174
Antigua and Barbuda,201204,27400,116221
Antigua and Barbuda,201205,7800,155840
Antigua and Barbuda,201206,21100,285109
Antigua and Barbuda,201207,9400,154766
Antigua and Barbuda,201208,16700,231747
Antigua and Barbuda,201209,5400,187605
Antigua and Barbuda,201210,6700,126409
Antigua and Barbuda,201211,8300,263084
Antigua and Barbuda,201212,1900,114022
Aruba,201109,3700,39285
Aruba,201205,7800,953
Aruba,201210,6700,36713
Australia,201108,5000,22223
Barbados,201101,3300,70950
Barbados,201102,265400,45465
Barbados,201103,7200,108525
Barbados,201104,1200,127964
Barbados,201105,600,3718
Barbados,201106,22700,137527
Barbados,201107,71200,1204765
Barbados,201108,5000,239318
Barbados,201109,3700,91333
Barbados,201110,600,145207
Barbados,201111,1500,214803
Barbados,201112,10100,66612
Barbados,201201,2000,124705
Barbados,201202,6900,18245
Barbados,201203,3100,71764
Barbados,201204,27400,1186572
Barbados,201205,7800,140470
Barbados,201206,21100,134680
Barbados,201207,9400,119347
Barbados,201208,16700,140642
Barbados,201209,5400,123377
Barbados,201210,6700,74187
Barbados,201211,8300,67251
Barbados,201212,1900,114228
Belgium,201109,3700,44
Belgium,201201,2000,62
Belgium,201204,27400,338
Belgium,201205,7800,95
Brazil,201104,1200,17293
Brazil,201107,71200,926
Brazil,201108,5000,1817
Brazil,201109,3700,1
Brazil,201208,16700,3754
Canada,201101,3300,54001
