partner_country,period,net_weight,usd_value
Albania,201005,26782,10973
Albania,201110,207,1339
Albania,201203,6994,6994
Albania,201205,505,19619
Algeria,201001,82685,39960
Algeria,201002,141563,461974
Algeria,201011,76960,247572
Algeria,201012,75308,369065
Algeria,201201,109533,36073
Algeria,201202,21751,7991
Antigua and Barbuda,201001,3016350,283761
Antigua and Barbuda,201002,1616461,303146
Antigua and Barbuda,201003,183217,140245
Antigua and Barbuda,201004,3775736,805994
Antigua and Barbuda,201005,2673567,295433
Antigua and Barbuda,201006,1431633,395863
Antigua and Barbuda,201007,250216,209670
Antigua and Barbuda,201008,1682958,227086
Antigua and Barbuda,201009,238156,200552
Antigua and Barbuda,201010,244075,197028
Antigua and Barbuda,201011,174519,214074
Antigua and Barbuda,201012,265391,206720
Antigua and Barbuda,201101,1104262,265469
Antigua and Barbuda,201102,249599,184088
Antigua and Barbuda,201103,399658,342161
Antigua and Barbuda,201104,225846,199000
Antigua and Barbuda,201105,175118,146328
Antigua and Barbuda,201106,216888,249921
Antigua and Barbuda,201107,273218,219389
Antigua and Barbuda,201108,250882,205440
Antigua and Barbuda,201109,506647,389727
Antigua and Barbuda,201110,137426,115423
Antigua and Barbuda,201111,4098314,717062
Antigua and Barbuda,201112,752733,428505
Antigua and Barbuda,201201,675112,125703
Antigua and Barbuda,201202,102791,116130
Antigua and Barbuda,201203,205943,153403
Antigua and Barbuda,201204,138782,127904
Antigua and Barbuda,201205,246534,199022
Antigua and Barbuda,201206,238149,225422
Antigua and Barbuda,201207,12696559,9545446
Antigua and Barbuda,201208,866903,190601
Antigua and Barbuda,201209,3641820,316817
Antigua and Barbuda,201210,315514,228169
Antigua and Barbuda,201211,2986897,471073
Antigua and Barbuda,201212,336144,328116
Argentina,201001,232,5335
Argentina,201002,8192,86871
Argentina,201003,1812,34959
Argentina,201004,1771,41139
Argentina,201005,5389,76529
Argentina,201006,3006,6881
Argentina,201007,34358,117763
Argentina,201008,180,8881
Argentina,201009,932,17605
Argentina,201010,587,5482
Argentina,201011,18041,24721
Argentina,201012,1713,45887
Argentina,201101,4841907,3197200
Argentina,201102,2202,30880
Argentina,201103,903,12048
Argentina,201104,1578,22955
Argentina,201105,4651,22788
Argentina,201106,4610,46707
Argentina,201107,1266,102
Argentina,201108,1481,23475
Argentina,201109,5741022,5280615
Argentina,201110,18610,38614
Argentina,201111,112301,31118
Argentina,201112,13552,67623
Argentina,201201,1744,22180
Argentina,201202,69,2675
Argentina,201203,17459103,13557730
Argentina,201204,31,157
Argentina,201205,3367883,3004156
Argentina,201206,2949,37016
Argentina,201207,1118,17913
Argentina,201208,6834,81149
Argentina,201209,9827504,10163392
Argentina,201210,9702,10658
Argentina,201211,416,12150
Argentina,201212,351,1894
Armenia,201205,12,1329
Armenia,201206,40,539
Aruba,201001,3086220,1158517
Aruba,201002,2427168,269290
Aruba,201003,123036,213415
Aruba,201004,40987,57821
Aruba,201005,2317407,256256
Aruba,201006,6343092,221387
Aruba,201007,31629830,377105
Aruba,201008,2824724,113556
Aruba,201009,140722,795662
Aruba,201010,4714987,345928
Aruba,201011,82582,302592
Aruba,201012,57637,89829
Aruba,201101,4139263,614971
Aruba,201102,2966869,124196
Aruba,201103,44451603,6488510
Aruba,201104,6463002,4631490
Aruba,201105,4081324,282272
Aruba,201106,282246,492566
Aruba,201107,197088,251152
Aruba,201108,135942,202191
Aruba,201109,31953418,708165
Aruba,201110,3615244,592124
Aruba,201111,3917674,4293606
Aruba,201112,5360636,4743329
Aruba,201201,74280,146595
Aruba,201202,133147,390359
Aruba,201203,104151,248462
Aruba,201204,32913535,466711
Aruba,201205,100667,195831
Aruba,201206,129796,316890
Aruba,201207,2480168,532996
Aruba,201208,169059,316557
Aruba,201209,24010975,21751737
Aruba,201210,6906506,6601564
Aruba,201211,7407563,904084
Aruba,201212,6017204,1321289
Australia,201001,4221,223905
Australia,201002,28063,693819
Australia,201003,24992,757743
Australia,201004,27087,1073575
Australia,201005,11860,469532
Australia,201006,35347,1097906
Australia,201007,36690,705832
Australia,201008,28726,939029
Australia,201009,5125,209261
Australia,201010,21890,701592
Australia,201011,14180,203105
Australia,201012,21168,707577
Australia,201101,27668,1387274
Australia,201102,25628,764248
Australia,201103,40681,654204
Australia,201104,14722,737007
Australia,201105,19013,383619
Australia,201106,13287,368021
Australia,201107,26970,754524
Australia,201108,16957,565266
Australia,201109,153689,1116533
Australia,201110,31002,742496
Australia,201111,23077,728097
Australia,201112,30225,779881
Australia,201201,17195,243188
Australia,201202,84027,375781
Australia,201203,338,20419
Australia,201204,42252,483620
Australia,201205,73800,1058864
Australia,201206,43394,410038
Australia,201207,79608,581190
Australia,201208,85226,555381
Australia,201209,47764,470786
Australia,201210,46068,1064564
Australia,201211,28681,491313
Australia,201212,35569,618012
Austria,201001,19524,153494
Austria,201002,1619,292643
Austria,201003,3954,347554
Austria,201004,1687,258391
Austria,201005,4434,347381
Austria,201006,5422,60952
Austria,201007,789,14707
Austria,201008,193,4878
Austria,201009,68,6970
Austria,201010,10482,17422
Austria,201011,316,802
Austria,201012,17,4290
Austria,201101,3164,664058
Austria,201102,53,3191
Austria,201103,625,16515
Austria,201104,54,898
Austria,201105,417,1406
Austria,201106,7327,39102
Austria,201108,329,3437
Austria,201111,3345,31957
Austria,201112,1960,2310
Austria,201201,1960,2100
Austria,201202,8939,6021
Austria,201203,470,19305
Austria,201205,3586,5611
Austria,201206,17144,14213
Austria,201207,3514,56489
Austria,201208,3618,4736
Austria,201209,134,5184
Austria,201210,284,127888
Austria,201211,462,70761
Austria,201212,420,19350
