partner_country,period,net_weight,usd_value
Albania,201002,251,117418
Albania,201003,24229,132370
Albania,201005,308556,112590
Albania,201006,1097107,420336
Albania,201007,528961,202662
Albania,201008,940377,360288
Albania,201009,587736,225180
Albania,201010,1111855,425986
Albania,201011,956051,366293
Albania,201012,1454519,729352
Albania,201101,2279823,842093
Albania,201102,956406,347653
Albania,201103,1609920,582048
Albania,201104,1735377,632504
Albania,201105,2245926,927283
Albania,201106,1061745,525945
Albania,201107,698529,252545
Albania,201108,2066747,747208
Albania,201109,1023657,392104
Albania,201110,1515859,551437
Albania,201111,1630128,703008
Albania,201112,2374189,996250
Albania,201201,2089682,780604
Albania,201202,603030,340005
Albania,201203,1778581,675338
Albania,201204,1677861,754181
Albania,201205,3684267,1507219
Albania,201206,1902326,810970
Albania,201207,1824514,813115
Albania,201208,1385689,543724
Albania,201209,1567602,614587
Albania,201210,2294376,997014
Albania,201211,2646336,998031
Albania,201212,3328998,1316829
Albania,201301,2375135,1097723
Albania,201302,3426344,1404768
Albania,201303,3770203,1579019
Albania,201304,4367497,1957935
Albania,201305,1876395,924665
Albania,201306,2045752,970535
Algeria,201001,602190,458052
Algeria,201003,8080245,3470651
Algeria,201004,8501437,3694429
Algeria,201005,7443930,2964129
Algeria,201006,7848669,3075479
Algeria,201007,3805484,1538196
Algeria,201008,7982213,3258176
Algeria,201010,3533965,1430307
Algeria,201011,517773,220547
Algeria,201012,7827954,3128770
Algeria,201101,10725021,5670281
Algeria,201102,8426320,4342750
Algeria,201103,3746845,1527941
Algeria,201104,9908744,3906442
Algeria,201105,11541593,5123197
Algeria,201106,156866,300004
Algeria,201107,3852052,1522914
Algeria,201108,7645566,3013418
Algeria,201109,2967646,2126213
Algeria,201110,7478233,2906370
Algeria,201111,3689894,1434055
Algeria,201112,8607611,3257183
Algeria,201201,12046505,5205374
Algeria,201202,3841726,1959661
Algeria,201203,3754527,1531958
Algeria,201204,7687043,3095145
Algeria,201205,17142391,6949455
Algeria,201206,6508959,2601431
Algeria,201207,8692201,3442260
Algeria,201208,10632707,4250071
Algeria,201209,6944863,2775648
Algeria,201210,9309303,3720642
Algeria,201211,16455737,6469054
Algeria,201212,8074211,3668348
Algeria,201301,20775468,8996334
Algeria,201302,7460347,3187304
Algeria,201303,13800241,5938424
Algeria,201304,17452263,7498487
Algeria,201305,5362028,2308443
Algeria,201306,134850,410302
Antigua and Barbuda,201001,15695,24691
Antigua and Barbuda,201005,2240,6241
Antigua and Barbuda,201007,27787,15545
Antigua and Barbuda,201008,2644,17113
Antigua and Barbuda,201009,14439,30152
Antigua and Barbuda,201104,2267,13754
Antigua and Barbuda,201105,16064,27651
Antigua and Barbuda,201106,2240,5759
Antigua and Barbuda,201109,2412,15917
Antigua and Barbuda,201110,470,2242
Antigua and Barbuda,201111,5268,11206
Antigua and Barbuda,201202,121,553
Antigua and Barbuda,201203,10863,33088
Antigua and Barbuda,201204,2240,8282
Antigua and Barbuda,201205,2048,14470
Antigua and Barbuda,201208,2240,7398
Antigua and Barbuda,201209,2492,17678
Antigua and Barbuda,201210,2240,6426
Antigua and Barbuda,201211,6202,12923
Antigua and Barbuda,201303,6417,11136
Antigua and Barbuda,201305,6610,441
Argentina,201001,21025131,10924820
Argentina,201002,17942721,10271515
Argentina,201003,20477226,9397886
Argentina,201004,17130064,7416401
Argentina,201005,14589605,8962009
Argentina,201006,15660631,6992559
Argentina,201007,17461476,10452912
Argentina,201008,16685754,10499617
Argentina,201009,17549407,9768214
Argentina,201010,21445774,11631307
Argentina,201011,3572874,5240483
Argentina,201012,21640863,12739614
Argentina,201101,4266025,6000484
Argentina,201102,4882136,9176223
Argentina,201103,3947777,6532973
Argentina,201104,3450511,5891643
Argentina,201105,4260240,6173985
Argentina,201106,3353056,5179055
Argentina,201107,5258803,8975343
Argentina,201108,4247769,6069395
Argentina,201109,5433894,11804851
Argentina,201110,5016746,8578211
Argentina,201111,6577890,8135694
Argentina,201112,6308095,6593412
Argentina,201201,6523090,10899369
Argentina,201202,2563374,3673699
Argentina,201203,6059078,7186030
Argentina,201204,5194406,8419991
Argentina,201205,5573620,8933503
Argentina,201206,5096640,7536092
Argentina,201207,8038435,9338434
Argentina,201208,6057404,15593335
Argentina,201209,4739103,9331908
Argentina,201210,6467675,8417740
Argentina,201211,5426118,9159668
Argentina,201212,4077548,6709857
Argentina,201301,4306621,9505423
Argentina,201302,4315370,9100585
Argentina,201303,5473562,9662173
Argentina,201304,4685189,8469817
Argentina,201305,5881434,10535813
Argentina,201306,4162502,7388557
Armenia,201001,763,6906
Armenia,201002,2700,25079
Armenia,201003,432,3620
Armenia,201004,602,4404
Armenia,201005,196,1061
Armenia,201006,441,2165
Armenia,201007,919,3779
Armenia,201008,359,2116
Armenia,201009,518,3279
Armenia,201010,681,3538
