partner_country,period,net_weight,usd_value
Albania,201001,8697338,902257
Albania,201002,11483118,1349741
Albania,201003,10271,1170734
Albania,201004,2039740,749067
Albania,201005,832054,774692
Albania,201006,3457229,657980
Albania,201007,214395,307346
Albania,201008,464184,503876
Albania,201009,4528721,923820
Albania,201010,675070,784360
Albania,201011,4319216,772549
Albania,201012,68262,186022
Albania,201101,9860682,474655
Albania,201102,8499473,1350913
Albania,201103,12771480,406805
Albania,201104,6000,3122517
Albania,201105,13410543,710130
Albania,201106,11468751,693831
Albania,201107,10620852,508567
Albania,201108,24,348110
Albania,201109,17919054,1908850
Albania,201110,0,1077012
Albania,201111,88,682137
Albania,201112,9961073,731858
Albania,201201,7214006,533100
Albania,201202,5226013,1780101
Albania,201203,6904842,1348745
Albania,201204,24000,406397
Albania,201205,10609154,305176
Albania,201206,12644229,534354
Albania,201207,1,792713
Albania,201208,16486882,464961
Albania,201209,1,3043452
Albania,201210,16419579,2090707
Albania,201211,9162203,1539470
Albania,201212,9668433,1071650
Albania,201301,11,1378556
Albania,201302,12707745,3529884
Albania,201303,11295805,1198034
Albania,201304,3,1437083
Albania,201305,18144797,1518881
Albania,201306,10736393,1151875
Albania,201307,16259510,1479937
Albania,201308,14720257,501582
Albania,201309,17320044,1975104
Algeria,201001,8697338,24097079
Algeria,201002,11483118,18917839
Algeria,201003,10271,25555351
Algeria,201004,8476638,22315211
Algeria,201005,15052092,20089086
Algeria,201006,12310744,26035417
Algeria,201007,13835090,22043746
Algeria,201008,12677035,22681360
Algeria,201009,17917878,26135744
Algeria,201010,8456282,19179087
Algeria,201011,8826245,17814924
Algeria,201012,11230677,24338798
Algeria,201101,9860682,17574073
Algeria,201102,8499473,22903062
Algeria,201103,12771480,42185851
Algeria,201104,6000,30276294
Algeria,201105,13410543,47867702
Algeria,201106,11468751,49554618
Algeria,201107,10620852,30244924
Algeria,201108,24,30009557
Algeria,201109,17919054,33201898
Algeria,201110,0,26390838
Algeria,201111,88,25629311
Algeria,201112,9961073,31005057
Algeria,201201,7214006,26424214
Algeria,201202,5226013,30721022
Algeria,201203,6904842,29940848
Algeria,201204,24000,34742431
Algeria,201205,10609154,43709911
Algeria,201206,12644229,40319346
Algeria,201207,1,28967892
Algeria,201208,16486882,25750703
Algeria,201209,1,38904276
Algeria,201210,16419579,31173022
Algeria,201211,9162203,30615373
Algeria,201212,9668433,31503359
Algeria,201301,11,35197826
Algeria,201302,12707745,46200125
Algeria,201303,11295805,55221703
Algeria,201304,3,39801604
Algeria,201305,18144797,49103950
Algeria,201306,10736393,50833999
Algeria,201307,16259510,42997040
Algeria,201308,14720257,26606077
Algeria,201309,17320044,49794932
Antigua and Barbuda,201111,88,412
Antigua and Barbuda,201211,9162203,500
Argentina,201001,8697338,435689
Argentina,201002,11483118,289424
Argentina,201003,10271,749945
Argentina,201004,426922,640000
Argentina,201005,28007614,7442069
Argentina,201006,25021987,6981972
Argentina,201007,389717,673005
Argentina,201008,914850,1174605
Argentina,201009,390020,504039
Argentina,201010,12464420,4519588
Argentina,201011,570189,832227
Argentina,201012,680467,736130
Argentina,201101,9860682,952893
Argentina,201102,8499473,604301
Argentina,201103,12771480,693690
Argentina,201104,6000,821869
Argentina,201105,13410543,587628
Argentina,201106,11468751,732179
Argentina,201107,10620852,628050
Argentina,201108,24,985549
Argentina,201109,17919054,329152
Argentina,201110,0,600912
Argentina,201111,88,277436
Argentina,201112,9961073,347882
Argentina,201201,7214006,582219
Argentina,201202,5226013,244277
Argentina,201203,6904842,33547
Argentina,201204,24000,398337
Argentina,201205,10609154,434548
Argentina,201206,12644229,445686
Argentina,201207,1,390378
Argentina,201208,16486882,433380
Argentina,201209,1,628528
Argentina,201210,16419579,842980
Argentina,201211,9162203,765662
Argentina,201212,9668433,474874
Argentina,201301,11,601307
Argentina,201302,12707745,444746
Argentina,201303,11295805,438468
Argentina,201304,3,21166765
Argentina,201305,18144797,20790682
Argentina,201306,10736393,775332
Argentina,201307,16259510,343783
Argentina,201308,14720257,507504
Argentina,201309,17320044,750722
Armenia,201001,8697338,188774
Armenia,201002,11483118,63462
Armenia,201003,10271,18320
Armenia,201004,113236,132250
Armenia,201005,48145,128879
Armenia,201006,78644,100178
Armenia,201007,2071502,363988
Armenia,201008,36225173,16401653
Armenia,201009,1500,23635
Armenia,201010,328,50071
Armenia,201011,13288,20714
Armenia,201012,25313,28910
Armenia,201101,9860682,80940
Armenia,201102,8499473,32275
Armenia,201103,12771480,163517
Armenia,201104,6000,292083
Armenia,201105,13410543,33802
Armenia,201106,11468751,54353
Armenia,201107,10620852,50400
Armenia,201108,24,43439
Armenia,201109,17919054,281385
Armenia,201110,0,821968
Armenia,201111,88,402799
Armenia,201112,9961073,86590
Armenia,201201,7214006,153183
Armenia,201202,5226013,261046
Armenia,201203,6904842,71748
Armenia,201204,24000,132394
Armenia,201205,10609154,117068
Armenia,201206,12644229,248550
Armenia,201207,1,16664
Armenia,201208,16486882,65845
Armenia,201209,1,520800
Armenia,201210,16419579,65579
Armenia,201211,9162203,143069
Armenia,201212,9668433,37846
Armenia,201301,11,24694
Armenia,201302,12707745,85008
Armenia,201303,11295805,98065
Armenia,201304,3,66875
Armenia,201305,18144797,23612
Armenia,201306,10736393,5551
Armenia,201307,16259510,74986
Armenia,201308,14720257,37476
Armenia,201309,17320044,118867
Australia,201001,8697338,1405880
Australia,201002,11483118,978655
Australia,201003,10271,1236267
Australia,201004,2431821,1693619
Australia,201005,343510,1272654
Australia,201006,970075,2024294
Australia,201007,2499798,2109273
Australia,201008,882350,1896340
Australia,201009,465604,1396340
Australia,201010,715222,1790552
Australia,201011,839172,1948646
Australia,201012,883891,2031327
Australia,201101,9860682,1780004
Australia,201102,8499473,741192
Australia,201103,12771480,2409295
Australia,201104,6000,3795056
Australia,201105,13410543,14981984
Australia,201106,11468751,13004813
Australia,201107,10620852,1622184
Australia,201108,24,1215995
Australia,201109,17919054,3294948
Australia,201110,0,2444920
Australia,201111,88,1020237
Australia,201112,9961073,1709400
Australia,201201,7214006,870044
Australia,201202,5226013,1877406
Australia,201203,6904842,2107703
Australia,201204,24000,10096164
Australia,201205,10609154,2181745
Australia,201206,12644229,1418749
Australia,201207,1,1265873
Australia,201208,16486882,11278151
Australia,201209,1,1478584
Australia,201210,16419579,1658676
Australia,201211,9162203,954188
Australia,201212,9668433,3348126
Australia,201301,11,2833798
Australia,201302,12707745,1461841
Australia,201303,11295805,1665933
Australia,201304,3,1449810
Australia,201305,18144797,1270087
Australia,201306,10736393,1309331
Australia,201307,16259510,1337402
Australia,201308,14720257,1272677
Australia,201309,17320044,1743504
Austria,201001,8697338,459006
Austria,201002,11483118,861068
Austria,201003,10271,903128
Austria,201004,491556,1228569
Austria,201005,306994,834108
Austria,201006,373942,1093512
Austria,201007,590261,1494175
Austria,201008,523209,1004426
Austria,201009,366401,1090892
Austria,201010,60252488,44796444
Austria,201011,272807,1162754
Austria,201012,298677,1127918
Austria,201101,9860682,864583
Austria,201102,8499473,1403840
Austria,201103,12771480,2092670
Austria,201104,6000,2580730
Austria,201105,13410543,2517707
Austria,201106,11468751,2891956
Austria,201107,10620852,612122
Austria,201108,24,1782257
Austria,201109,17919054,740697
Austria,201110,0,2530057
Austria,201111,88,1922271
Austria,201112,9961073,1453965
Austria,201201,7214006,783178
Austria,201202,5226013,1814975
Austria,201203,6904842,1656603
Austria,201204,24000,868877
Austria,201205,10609154,1807724
Austria,201206,12644229,1546547
Austria,201207,1,1633806
Austria,201208,16486882,1579108
Austria,201209,1,1070750
Austria,201210,16419579,1255694
Austria,201211,9162203,707356
Austria,201212,9668433,1018049
Austria,201301,11,1249557
Austria,201302,12707745,1072284
Austria,201303,11295805,819536
Austria,201304,3,539979
Austria,201305,18144797,1438541
Austria,201306,10736393,1593547
Austria,201307,16259510,742051
Austria,201308,14720257,712393
Austria,201309,17320044,1782315
Azerbaijan,201001,8697338,33262
Azerbaijan,201002,11483118,120799
Azerbaijan,201003,10271,19450
Azerbaijan,201004,51249,63317
Azerbaijan,201005,65234,41822
Azerbaijan,201006,50557,89150
Azerbaijan,201007,24216,298657
Azerbaijan,201008,40000,14810
Azerbaijan,201009,144833,62720
Azerbaijan,201010,113664,60161
Azerbaijan,201011,22634,180032
Azerbaijan,201012,13481,66407
