partner_country,period,net_weight,usd_value
Algeria,201003,1451,40638
Algeria,201008,1730,51160
Algeria,201104,1858,68647
Algeria,201109,1613,47090
Algeria,201201,2252,64626
Algeria,201205,2920,59431
Algeria,201212,4006,120141
Algeria,201307,6262,126155
Algeria,201312,4927,162340
Antigua and Barbuda,201003,1,2535
Antigua and Barbuda,201005,3458,4514
Antigua and Barbuda,201010,3496,4922
Antigua and Barbuda,201011,1,136
Antigua and Barbuda,201101,3496,5152
Antigua and Barbuda,201102,36,3361
Antigua and Barbuda,201104,53,733
Antigua and Barbuda,201106,6,77
Antigua and Barbuda,201108,51,4001
Antigua and Barbuda,201112,9,361
Antigua and Barbuda,201202,25,386
Antigua and Barbuda,201203,66,5384
Antigua and Barbuda,201205,36,2262
Antigua and Barbuda,201207,690,17982
Antigua and Barbuda,201208,22,2635
Antigua and Barbuda,201210,506,12915
Antigua and Barbuda,201211,100,5866
Antigua and Barbuda,201301,30,1718
Antigua and Barbuda,201302,38,1644
Antigua and Barbuda,201304,63,3344
Antigua and Barbuda,201305,739,16767
Antigua and Barbuda,201307,72,3785
Antigua and Barbuda,201310,99,6594
Antigua and Barbuda,201311,46,2727
Antigua and Barbuda,201312,30,1000
Argentina,201001,1538,4293
Argentina,201004,437,3750
Argentina,201005,8531,37373
Argentina,201006,8010,39454
Argentina,201007,147,8753
Argentina,201008,22571,64929
Argentina,201009,4971,4471
Argentina,201010,217,4106
Argentina,201011,86057,305703
Argentina,201012,24074,76354
Argentina,201101,33375,98405
Argentina,201102,9549,26464
Argentina,201103,2915,9530
Argentina,201104,219,7234
Argentina,201105,5179,7220
Argentina,201106,28888,144051
Argentina,201107,3097,12538
Argentina,201109,12121,41254
Argentina,201111,5404,47637
Argentina,201201,4338,31102
Argentina,201202,3198,13841
Argentina,201204,1,58
Argentina,201205,72,2811
Argentina,201206,5415,11549
Argentina,201207,66,2933
Argentina,201209,227,10471
Argentina,201210,6,107
Argentina,201211,354,29678
Argentina,201301,35,3335
Argentina,201302,8986,23293
Argentina,201305,358,15117
Argentina,201307,3,159
Argentina,201308,439,14580
Argentina,201309,746,20434
Argentina,201310,1185,11246
Argentina,201311,977,30899
Argentina,201312,91,9164
Armenia,201108,79,4000
Armenia,201204,21284,56814
Armenia,201209,79,4000
Armenia,201308,19865,111548
Aruba,201002,2,8977
Aruba,201003,299,25682
Aruba,201004,228,17778
Aruba,201005,1677,5512
Aruba,201006,23994,17663
Aruba,201007,313,6401
Aruba,201009,75,1708
Aruba,201010,147,4408
Aruba,201011,9538,35941
Aruba,201012,1062,15932
Aruba,201101,59201,34541
Aruba,201102,200,4610
Aruba,201103,3816,11752
Aruba,201104,21,815
Aruba,201105,1969,12945
Aruba,201107,97,2481
Aruba,201108,5004,32910
Aruba,201111,397,11813
Aruba,201112,69,12983
Aruba,201202,752,33970
Aruba,201203,3587,12223
Aruba,201204,125,4299
Aruba,201205,216,6294
Aruba,201206,2,828
Aruba,201207,166,5182
Aruba,201208,1926,10952
Aruba,201209,115,4149
Aruba,201210,3,999
Aruba,201211,295,9950
Aruba,201212,193,6518
Aruba,201301,3,992
Aruba,201302,1985,13687
Aruba,201303,26681,17403
Aruba,201304,12772,39800
Aruba,201305,2,671
Aruba,201306,153,3162
Aruba,201307,242,8076
