partner_country,period,net_weight,usd_value
Albania,201001,8,1471
Albania,201002,79620,117671
Albania,201006,300,10669
Albania,201009,46600,5401
Albania,201010,100,13883
Albania,201104,1400,18544
Albania,201204,23300,3185
Albania,201208,25100,30789
Albania,201209,22800,24261
Albania,201210,45500,48795
Albania,201211,3300,67860
Albania,201212,22100,66445
Albania,201302,22700,25021
Albania,201303,200,6275
Albania,201304,22400,24424
Albania,201305,22400,25899
Albania,201306,43500,51464
Albania,201307,44700,60862
Albania,201308,22300,466836
Albania,201309,44400,51990
Albania,201310,21500,26098
Albania,201311,26100,7448
Algeria,201001,512600,85120
Algeria,201002,1716200,946525
Algeria,201003,279600,44281
Algeria,201004,326200,48750
Algeria,201005,2050400,1260378
Algeria,201006,326200,44275
Algeria,201007,216000,56607
Algeria,201008,1828900,1055689
Algeria,201009,1431200,565368
Algeria,201011,26300,30188
Algeria,201012,3619200,2322028
Algeria,201101,755800,503378
Algeria,201102,1013400,1142776
Algeria,201103,2967900,1853622
Algeria,201104,1176500,960306
Algeria,201105,1764600,1210946
Algeria,201106,1798900,1514582
Algeria,201107,1967600,1014798
Algeria,201108,240000,65978
Algeria,201109,48900,16359
Algeria,201111,483000,175551
Algeria,201112,468700,397584
Algeria,201201,2132500,1218297
Algeria,201202,66600,90465
Algeria,201203,326200,39722
Algeria,201204,48000,15794
Algeria,201205,456300,20974
Algeria,201206,339400,150738
Algeria,201207,99800,84624
Algeria,201208,346600,279062
Algeria,201209,248500,228517
Algeria,201210,27429100,9225189
Algeria,201211,429000,170895
Algeria,201212,439500,247216
Algeria,201301,221700,203041
Algeria,201302,65800,71336
Algeria,201303,206200,1945
Algeria,201304,68000,88732
Algeria,201305,15974000,14656121
Algeria,201307,659300,206127
Algeria,201308,279600,33302
Algeria,201310,17300,55890
Algeria,201311,650300,704684
Antigua and Barbuda,201001,25773,17192
Antigua and Barbuda,201002,46391,29546
Antigua and Barbuda,201004,400,1729
Antigua and Barbuda,201007,6500,14631
Antigua and Barbuda,201009,200,477
Antigua and Barbuda,201010,3300,6768
Antigua and Barbuda,201101,900,7749
Antigua and Barbuda,201107,100,8401
Antigua and Barbuda,201110,200,850
Antigua and Barbuda,201111,14700,7198
Antigua and Barbuda,201203,7100,5016
Antigua and Barbuda,201207,2000,4017
Antigua and Barbuda,201301,200,465
Antigua and Barbuda,201302,500,2472
Antigua and Barbuda,201304,200,508
Antigua and Barbuda,201306,400,857
Argentina,201001,25000,29829
Argentina,201002,97000,49049
Argentina,201003,665,88836
Argentina,201004,9800,114368
Argentina,201005,50800,94768
Argentina,201006,231900,200917
Argentina,201007,93600,448539
Argentina,201008,40700,347143
Argentina,201009,116200,73928
Argentina,201010,167400,9227
Argentina,201011,25000,61605
Argentina,201012,113300,115133
Argentina,201101,8700,149070
Argentina,201102,2900,13553
Argentina,201103,120000,80354
Argentina,201104,900,76455
Argentina,201105,121000,93446
Argentina,201106,109300,138671
Argentina,201107,291600,234857
Argentina,201108,123300,111905
Argentina,201109,235800,504988
Argentina,201110,25600,98697
Argentina,201111,121100,91693
Argentina,201112,900,93387
Argentina,201201,106200,297758
Argentina,201202,400,13674
Argentina,201203,25000,92170
Argentina,201204,100,28825
Argentina,201205,220000,143159
Argentina,201206,184400,104405
Argentina,201207,293300,97597
Argentina,201208,98300,84097
Argentina,201209,73400,80663
Argentina,201210,77000,101405
Argentina,201211,360600,278086
Argentina,201212,78200,92662
Argentina,201301,99000,136933
Argentina,201302,1000,34694
Argentina,201303,272200,197726
Argentina,201304,198400,110434
Argentina,201305,106800,454527
Argentina,201306,73400,129107
Argentina,201307,270000,170290
Argentina,201308,171000,77930
Argentina,201309,76300,95893
Argentina,201310,293400,105399
Argentina,201311,136400,97666
Armenia,201001,10077,41932
Armenia,201003,700,5226
Armenia,201004,4400,30234
Armenia,201005,3300,11053
Armenia,201006,44000,252211
Armenia,201007,2600,486
Armenia,201008,40500,149427
Armenia,201009,48300,4358
Armenia,201010,24200,133605
Armenia,201011,25600,183163
Armenia,201012,13800,7892
Armenia,201101,5200,34536
Armenia,201102,3100,198402
Armenia,201103,15100,196099
Armenia,201104,19100,38286
Armenia,201105,41400,105312
Armenia,201106,15300,91551
Armenia,201107,23300,44376
Armenia,201108,3600,12780
Armenia,201109,25400,216731
Armenia,201110,5700,35018
Armenia,201111,5700,73515
Armenia,201112,3800,57803
Armenia,201201,1600,10272
Armenia,201202,4800,46231
Armenia,201203,20200,96896
Armenia,201204,28500,57190
Armenia,201205,5500,17381
Armenia,201206,3100,14806
Armenia,201207,22200,91307
Armenia,201209,3000,21406
Armenia,201210,38500,83992
Armenia,201211,6000,18408
Armenia,201212,2100,17007
Armenia,201301,10800,5568
Armenia,201302,300,922
Armenia,201303,14800,19083
Armenia,201304,12100,58160
Armenia,201305,31200,95548
Armenia,201306,9400,37667
Armenia,201307,53900,98871
Armenia,201308,200,2714
Armenia,201309,39800,43434
Armenia,201310,4500,45923
Armenia,201311,10300,52799
Aruba,201003,24804,1675
Aruba,201009,20200,1792
Aruba,201103,20800,2226
Aruba,201108,20600,2281
Aruba,201206,100,1916
Aruba,201207,21000,2297
Aruba,201212,200,2652
Aruba,201301,22900,2658
Aruba,201302,46000,30111
Aruba,201304,46000,31848
Aruba,201306,46000,27723
Aruba,201307,225200,115588
Aruba,201309,46000,24320
Aruba,201310,46000,25716
Aruba,201311,46000,25449
Australia,201001,1922814,1688868
Australia,201002,2024308,1680589
Australia,201003,2681077,2354315
Australia,201004,3214800,2690670
Australia,201005,3032300,2480099
Australia,201006,3337700,2916042
Australia,201007,1536000,1551274
Australia,201008,4345100,4207247
Australia,201009,4006600,3699449
Australia,201010,2311800,2619152
Australia,201011,3060400,3295010
Australia,201012,2923600,2826763
Australia,201101,2245400,2291923
Australia,201102,2811800,3120941
Australia,201103,2352500,2829297
Australia,201104,2178300,3067278
Australia,201105,3052300,3357779
Australia,201106,1977500,2467571
Australia,201107,1806400,2483890
Australia,201108,1092200,4057135
Australia,201109,2486200,3421269
Australia,201110,1483200,2290930
Australia,201111,2322200,3013296
Australia,201112,875000,1316806
Australia,201201,1197100,1503176
Australia,201202,861300,1396958
Australia,201203,1967000,2683699
Australia,201204,2654800,2870895
Australia,201205,1864600,2347587
Australia,201206,2115700,2658405
Australia,201207,678600,1427377
Australia,201208,2257600,2512726
Australia,201209,2325600,2674154
Australia,201210,1915000,3728755
Australia,201211,2292600,2593486
Australia,201212,2051900,2738639
Australia,201301,1496500,2243866
Australia,201302,1610600,1991452
Australia,201303,2033300,2359355
Australia,201304,2459600,4264744
Australia,201305,2163100,4433864
Australia,201306,2102600,2633369
Australia,201307,2102800,1978664
Australia,201308,1372800,1617670
Australia,201309,1643600,2153217
Australia,201310,2307900,2589418
Australia,201311,1576700,1853241
Austria,201001,1159411,2621639
Austria,201002,1264388,3382870
Austria,201003,1764238,2659503
Austria,201004,2167800,3932425
Austria,201005,1702300,3104094
Austria,201006,1713800,3054620
Austria,201007,2185400,3347057
Austria,201008,2101200,3599541
Austria,201009,1899500,3718149
Austria,201010,2178600,5263096
Austria,201011,1608600,4614121
Austria,201012,767800,4368188
Austria,201101,1617600,3368765
Austria,201102,2112800,4108457
Austria,201103,2855900,6046408
Austria,201104,3189900,5140989
Austria,201105,2906400,5219959
Austria,201106,1895000,7301386
Austria,201107,2916400,6476624
Austria,201108,2350700,3309118
Austria,201109,2341900,4620036
Austria,201110,2105000,6399512
Austria,201111,1304900,7295252
Austria,201112,964700,4146562
Austria,201201,2058000,5723782
Austria,201202,3122200,5399780
Austria,201203,3143900,5159705
Austria,201204,2255400,4741215
Austria,201205,2051500,4235933
Austria,201206,1175100,4005656
Austria,201207,1250000,2632201
Austria,201208,1855800,2932187
Austria,201209,1810200,4802722
Austria,201210,1911200,5766228
Austria,201211,1537700,6105499
Austria,201212,470200,2899596
Austria,201301,1898500,4558160
Austria,201302,1800100,3708057
Austria,201303,1896500,4615074
Austria,201304,1948000,4260326
Austria,201305,1738600,4022653
Austria,201306,1434700,3920627
Austria,201307,2161900,2910204
Austria,201308,2096600,4596674
Austria,201309,1803900,3851151
Austria,201310,1716000,4479489
Austria,201311,1242200,3975452
Azerbaijan,201001,424597,596137
Azerbaijan,201002,236522,526699
Azerbaijan,201003,140362,245410
Azerbaijan,201004,379100,594833
Azerbaijan,201005,379800,1559942
Azerbaijan,201006,491200,779385
Azerbaijan,201007,458100,5025258
Azerbaijan,201008,584000,956728
Azerbaijan,201009,508000,917453
Azerbaijan,201010,198000,291170
Azerbaijan,201011,167600,628747
Azerbaijan,201012,320800,817498
Azerbaijan,201101,106400,287974
Azerbaijan,201102,716600,917336
Azerbaijan,201103,387500,1275310
Azerbaijan,201104,889000,1851061
Azerbaijan,201105,995400,2467861
Azerbaijan,201106,1285500,2249852
Azerbaijan,201107,511100,1516206
Azerbaijan,201108,557400,1864462
Azerbaijan,201109,417400,1565717
Azerbaijan,201110,456500,1610330
Azerbaijan,201111,629200,2271051
Azerbaijan,201112,596700,1352361
Azerbaijan,201201,339300,1947712
Azerbaijan,201202,189800,454840
Azerbaijan,201203,324500,863796
Azerbaijan,201204,548400,1404820
Azerbaijan,201205,395200,841861
Azerbaijan,201206,290300,643172
Azerbaijan,201207,365700,651593
Azerbaijan,201208,615400,1183221
Azerbaijan,201209,523200,1839201
Azerbaijan,201210,131200,219650
Azerbaijan,201211,332500,910041
Azerbaijan,201212,272500,806760
Azerbaijan,201301,201600,589893
Azerbaijan,201302,215800,698903
Azerbaijan,201303,297100,2456094
Azerbaijan,201304,373100,972461
Azerbaijan,201305,290900,629095
Azerbaijan,201306,269100,874667
Azerbaijan,201307,278300,594276
Azerbaijan,201308,217500,427623
Azerbaijan,201309,293300,749170
Azerbaijan,201310,267600,496672
Azerbaijan,201311,77100,347916
Bahrain,201001,116500,21519
Bahrain,201002,162940,25848
Bahrain,201003,2613,8396
Bahrain,201004,190600,33787
Bahrain,201005,600,14203
Bahrain,201006,140600,29248
Bahrain,201007,135900,24062
Bahrain,201008,75100,200281
Bahrain,201009,36600,86960
Bahrain,201010,205100,154062
Bahrain,201012,24300,2842
Bahrain,201101,164600,31516
Bahrain,201103,47300,10065
Bahrain,201104,164500,33693
Bahrain,201106,116500,17856
Bahrain,201107,227100,36972
Bahrain,201109,48000,17612
Bahrain,201110,24000,6853
Bahrain,201112,26200,10925
Bahrain,201201,24000,6453
Bahrain,201202,2800,19029
Bahrain,201203,144800,42402
Bahrain,201205,51300,25015
Bahrain,201206,95300,263008
Bahrain,201207,139100,573159
Bahrain,201208,641900,1711
Bahrain,201209,86000,38249
Bahrain,201210,183600,86407
Bahrain,201211,211300,100597
Bahrain,201212,163000,96329
Bahrain,201301,207000,79170
Bahrain,201303,335300,195924
Bahrain,201304,219400,101263
Bahrain,201305,24000,7789
Bahrain,201306,383500,204073
Bahrain,201307,139900,27730
Bahrain,201308,414200,226762
Bahrain,201309,71400,20889
Bahrain,201310,165200,44396
Bahrain,201311,116100,25192
Barbados,201111,81645900,3972
Belarus,201001,1791220,5677612
Belarus,201002,2707417,9581572
Belarus,201003,3132654,9840987
Belarus,201004,2963200,6360774
Belarus,201005,3002400,4926712
Belarus,201006,2496400,5442241
Belarus,201007,3021200,5819517
Belarus,201008,2529800,5242994
Belarus,201009,4111700,8572188
Belarus,201010,4007500,8970515
Belarus,201011,5393900,12896089
Belarus,201012,3459300,9567837
Belarus,201101,2340700,8702673
Belarus,201102,4329900,9109296
Belarus,201103,3962900,12478193
Belarus,201104,4096500,12120312
Belarus,201105,3680200,11231631
Belarus,201106,3558500,10259396
Belarus,201107,3533100,7686374
Belarus,201108,3836900,11406040
Belarus,201109,3364300,7951855
Belarus,201110,3663800,8380700
Belarus,201111,3490100,8560329
Belarus,201112,2509600,6463386
Belarus,201201,3047800,6564938
Belarus,201202,2729800,6805890
Belarus,201203,2273800,4432807
Belarus,201204,3043800,6522719
Belarus,201205,3115000,6412474
Belarus,201206,3015200,6100063
Belarus,201207,3264900,6464053
Belarus,201208,3564400,6809944
Belarus,201209,1913600,6460601
Belarus,201210,1599900,5608770
Belarus,201211,2721100,6076152
Belarus,201212,1737500,5872210
Belarus,201301,1489800,3816115
Belarus,201302,1910300,5250673
Belarus,201303,2616400,7083111
Belarus,201304,2695500,5686986
Belarus,201305,2340500,4958488
Belarus,201306,2758100,5943397
Belarus,201307,2731900,5076751
Belarus,201308,2691300,5511717
Belarus,201309,2777500,5558029
Belarus,201310,3432700,9258272
Belarus,201311,2717600,6706594
Belgium,201001,5815433,11006994
Belgium,201002,9969203,11055719
Belgium,201003,17181953,13002820
Belgium,201004,18984600,18065242
Belgium,201005,7639100,11160708
Belgium,201006,9984800,11641909
Belgium,201007,9208700,11621172
Belgium,201008,3127700,10283030
Belgium,201009,8289100,13614718
Belgium,201010,12920700,14217721
Belgium,201011,7701900,13043913
Belgium,201012,13366300,11883396
Belgium,201101,10181700,14814331
Belgium,201102,20173600,16318023
Belgium,201103,11886500,18839680
Belgium,201104,18847200,18306402
Belgium,201105,9466800,20701998
Belgium,201106,6062500,15601364
Belgium,201107,8116700,13034302
Belgium,201108,5351300,17247931
Belgium,201109,10239800,18978163
Belgium,201110,7204600,17171390
Belgium,201111,14586500,16884215
Belgium,201112,8732500,12111367
Belgium,201201,13124100,16550770
Belgium,201202,14967500,18116605
Belgium,201203,16096800,19941126
Belgium,201204,20144500,16030482
Belgium,201205,10261100,17388847
Belgium,201206,10702700,16261399
Belgium,201207,44940800,38574538
Belgium,201208,27287800,38730496
Belgium,201209,35609500,34748140
Belgium,201210,11325700,20215589
Belgium,201211,36170100,37662752
Belgium,201212,23970200,25539989
Belgium,201301,22505700,25808333
Belgium,201302,10312500,23702585
Belgium,201303,34695600,38656468
Belgium,201304,20981300,37056726
Belgium,201305,21233600,35454374
Belgium,201306,26267400,34939468
Belgium,201307,49340800,35994081
Belgium,201308,39962200,35950859
Belgium,201309,23468100,23154932
Belgium,201310,44377100,40010131
Belgium,201311,45302500,40115027
Bolivia (Plurinational State of),201003,23300,11452
Bolivia (Plurinational State of),201004,100,215
Bolivia (Plurinational State of),201005,60800,53840
Bolivia (Plurinational State of),201006,11200,6714
Bolivia (Plurinational State of),201007,18000,13314
Bolivia (Plurinational State of),201008,53600,36016
Bolivia (Plurinational State of),201009,24500,21502
Bolivia (Plurinational State of),201010,13500,13202
Bolivia (Plurinational State of),201102,16100,16925
Bolivia (Plurinational State of),201103,11300,9099
Bolivia (Plurinational State of),201104,18700,18053
Bolivia (Plurinational State of),201105,20600,25969
Bolivia (Plurinational State of),201106,11300,17985
Bolivia (Plurinational State of),201107,18900,26815
Bolivia (Plurinational State of),201108,35400,34136
Bolivia (Plurinational State of),201109,245500,4723
Bolivia (Plurinational State of),201111,15400,22435
Bolivia (Plurinational State of),201203,99200,60975
Bolivia (Plurinational State of),201204,45100,140742
Bolivia (Plurinational State of),201207,12900,19409
Bolivia (Plurinational State of),201208,4900,7192
Bolivia (Plurinational State of),201210,19400,86926
Bolivia (Plurinational State of),201211,54300,42767
Bolivia (Plurinational State of),201212,31800,58686
Bolivia (Plurinational State of),201301,20100,15813
Bolivia (Plurinational State of),201302,74500,60276
Bolivia (Plurinational State of),201303,10600,47928
Bolivia (Plurinational State of),201305,73000,62535
Bolivia (Plurinational State of),201306,53200,87021
Bolivia (Plurinational State of),201307,10500,6867
Bolivia (Plurinational State of),201308,30700,57259
Bolivia (Plurinational State of),201309,47900,135216
Bolivia (Plurinational State of),201310,39600,54854
Bolivia (Plurinational State of),201311,136900,100217
Bosnia Herzegovina,201001,269988,157853
Bosnia Herzegovina,201002,289343,202439
Bosnia Herzegovina,201003,313526,227142
Bosnia Herzegovina,201004,395000,226214
Bosnia Herzegovina,201005,271900,216601
Bosnia Herzegovina,201006,289000,240174
Bosnia Herzegovina,201007,205400,168125
Bosnia Herzegovina,201008,211700,186694
Bosnia Herzegovina,201009,125100,108913
Bosnia Herzegovina,201010,234200,261638
Bosnia Herzegovina,201011,188200,194960
Bosnia Herzegovina,201012,228900,171457
Bosnia Herzegovina,201101,125500,94028
Bosnia Herzegovina,201102,63300,48645
Bosnia Herzegovina,201103,211300,155026
Bosnia Herzegovina,201104,233500,253977
Bosnia Herzegovina,201105,208300,145959
Bosnia Herzegovina,201106,332200,321688
Bosnia Herzegovina,201107,208000,193319
Bosnia Herzegovina,201108,144100,172690
Bosnia Herzegovina,201109,109600,69249
