partner_country,period,net_weight,usd_value
Albania,201001,4148,8448
Albania,201005,21563,33021
Albania,201006,19200,47062
Albania,201103,19000,27222
Albania,201108,19000,27325
Albania,201111,19000,27248
Albania,201203,19000,25089
Albania,201204,19000,25572
Algeria,201003,189620,276127
Algeria,201005,209810,200545
Algeria,201006,130000,124324
Algeria,201012,3800,17523
Algeria,201101,204620,316769
Algeria,201103,189620,264968
Algeria,201105,190370,267893
Algeria,201106,15000,56789
Algeria,201107,113772,159860
Algeria,201108,200,2525
Algeria,201110,15000,34243
Algeria,201111,15000,34443
Algeria,201202,16553,34244
Algeria,201203,379240,478568
Algeria,201204,205000,243677
Antigua and Barbuda,201203,15000,25516
Argentina,201112,240000,194061
Argentina,201204,440,1638
Armenia,201006,120,3138
Armenia,201009,17040,55374
Australia,201001,74206,329999
Australia,201002,148860,675760
Australia,201003,107414,387909
Australia,201004,153622,602211
Australia,201005,296393,1171299
Australia,201006,205246,773175
Australia,201007,340109,1147502
Australia,201008,303970,1137691
Australia,201009,264390,1069617
Australia,201010,340613,1533394
Australia,201011,293603,1142580
Australia,201012,152135,612582
Australia,201101,130823,615130
Australia,201102,46018,254227
Australia,201103,123930,615699
Australia,201104,235150,1264904
Australia,201105,120653,655817
Australia,201106,191332,1133239
Australia,201107,328604,1989773
Australia,201108,103056,605255
Australia,201109,333044,1852942
Australia,201110,246105,1657166
Australia,201111,97052,442618
Australia,201112,139606,765295
Australia,201201,162825,795501
Australia,201202,321235,1870052
Australia,201203,206292,1184114
Australia,201204,395207,2215991
Austria,201001,6,1017
Austria,201002,515,12011
Austria,201004,2,5255
Austria,201005,4,2873
Austria,201006,20,75
Austria,201008,3399,68231
Austria,201009,25,572
Austria,201010,625,2878
Austria,201012,123,424
Austria,201101,11,81
Austria,201102,1734,4745
Austria,201104,15400,56732
Austria,201106,0,1412
Austria,201110,327,3169
Austria,201112,2,910
Austria,201201,277,10646
Austria,201202,22,757
Austria,201203,6,237
Austria,201204,3,121
Azerbaijan,201003,231,107
Azerbaijan,201004,40,151
Azerbaijan,201005,10354,20378
Azerbaijan,201006,2000,7114
Bahrain,201001,14896,35887
Bahrain,201002,13927,28834
Bahrain,201003,20523,42655
Bahrain,201004,30559,52265
Bahrain,201005,32008,65349
Bahrain,201006,34724,68664
Bahrain,201007,39302,83713
Bahrain,201008,69432,149761
Bahrain,201009,57640,98316
Bahrain,201010,120204,213000
Bahrain,201011,58814,105260
Bahrain,201012,72564,148395
Bahrain,201101,55692,136809
Bahrain,201102,62885,172612
Bahrain,201103,65539,182984
Bahrain,201104,40278,98237
Bahrain,201105,55303,155047
Bahrain,201106,57810,151651
Bahrain,201107,53472,144629
Bahrain,201108,69387,171799
Bahrain,201109,64771,176249
Bahrain,201110,60750,162955
Bahrain,201111,44268,109883
Bahrain,201112,54503,153473
Bahrain,201201,84293,278556
Bahrain,201202,60846,196310
Bahrain,201203,59933,187431
Bahrain,201204,83878,293805
Belarus,201111,1070,27208
Belarus,201201,536,14771
Belarus,201202,546,12818
Belarus,201204,398,12521
Belgium,201001,1694894,3588754
Belgium,201002,1750271,4833683
Belgium,201003,2166690,6229955
Belgium,201004,1793184,4109261
Belgium,201005,1948699,4550621
Belgium,201006,3250438,7569786
Belgium,201007,1614359,4789230
Belgium,201008,2067390,6110910
Belgium,201009,1418584,3882849
Belgium,201010,1443579,4466341
Belgium,201011,867377,2157409
Belgium,201012,1177267,3455521
Belgium,201101,2187446,6706123
