partner_country,period,net_weight,usd_value
Albania,201001,4800,360228
Albania,201002,34400,376099
Albania,201003,400,384983
Albania,201004,1792400,866312
Albania,201005,2075500,1209891
Albania,201006,68800,396097
Albania,201007,1666500,874400
Albania,201008,700,264670
Albania,201009,163000,166663
Albania,201010,414000,843617
Albania,201011,590800,427522
Albania,201012,800,75227
Albania,201101,82100,1082798
Albania,201102,22700,100033
Albania,201103,757900,734863
Albania,201104,183300,186966
Albania,201105,22700,118196
Albania,201106,2813700,1169774
Albania,201107,700,107209
Albania,201108,121000,155995
Albania,201109,91500,79342
Albania,201110,1058600,674652
Albania,201111,46200,117232
Albania,201112,52500,40353
Albania,201201,863000,306482
Albania,201202,17800,125298
Albania,201203,300,32487
Albania,201204,1363900,607018
Albania,201205,46600,144758
Albania,201206,67500,174526
Albania,201207,1364900,746129
Albania,201208,51000000,918
Albania,201209,52800,45796
Albania,201210,200,11431
Albania,201211,34000,869805
Albania,201212,1252400,517364
Albania,201301,96798,141592
Albania,201302,725,28136
Albania,201303,63187,203246
Albania,201304,874322,383440
Albania,201305,172554,275822
Albania,201306,1383031,583825
Albania,201307,60500,114972
Albania,201308,90200,213318
Albania,201309,64200,130676
Albania,201310,135300,93456
Albania,201311,26300,32288
Algeria,201001,22870800,30653160
Algeria,201002,18523200,20306926
Algeria,201003,13696700,19677831
Algeria,201004,26047800,19833545
Algeria,201005,25525400,15293817
Algeria,201006,6337200,4062240
Algeria,201007,31829100,18685343
Algeria,201008,6272700,14370415
Algeria,201009,17461100,11960016
Algeria,201010,23755600,16613544
Algeria,201011,27869900,30216609
Algeria,201012,22785600,21870010
Algeria,201101,18800300,15402477
Algeria,201102,9868600,9811652
Algeria,201103,22681700,17125118
Algeria,201104,22207400,21901495
Algeria,201105,100217000,39403360
Algeria,201106,14594100,10070837
Algeria,201107,19085000,12687271
Algeria,201108,15181300,12334421
Algeria,201109,20718500,14425741
Algeria,201110,14591300,9281540
Algeria,201111,23526300,15499293
Algeria,201112,30663100,16373787
Algeria,201201,23737000,13874438
Algeria,201202,20387900,23206784
Algeria,201203,20464700,18241086
Algeria,201204,27741400,16571168
Algeria,201205,19208400,18374685
Algeria,201206,28762900,18231745
Algeria,201207,13133200,8119417
Algeria,201208,25057300,15773990
Algeria,201209,17454400,9940030
Algeria,201210,18063500,9862030
Algeria,201211,32673200,25963322
Algeria,201212,42028600,30828122
Algeria,201301,49547933,59360030
Algeria,201302,30425269,22510158
Algeria,201303,16629700,13960844
Algeria,201304,33972614,22317670
Algeria,201305,14373132,10816454
Algeria,201306,34998442,25797641
Algeria,201307,26671300,17125030
Algeria,201308,12702000,7849480
Algeria,201309,16826400,17406539
Algeria,201310,29270800,21833903
Algeria,201311,26085000,21401323
Antigua and Barbuda,201001,1200,132710
Antigua and Barbuda,201002,2100,163857
Antigua and Barbuda,201003,2100,547115
Antigua and Barbuda,201004,1700,133956
Antigua and Barbuda,201005,1700,225833
Antigua and Barbuda,201006,200,40930
Antigua and Barbuda,201007,170000,182752
Antigua and Barbuda,201008,23800,18420
Antigua and Barbuda,201009,300,26336
Antigua and Barbuda,201010,700,123181
Antigua and Barbuda,201011,17900,178479
Antigua and Barbuda,201012,264300,22220
Antigua and Barbuda,201101,1100,143528
Antigua and Barbuda,201102,500,18618
Antigua and Barbuda,201103,100,26332
Antigua and Barbuda,201104,500,9907
Antigua and Barbuda,201105,80000,2123762
Antigua and Barbuda,201106,1600,169520
Antigua and Barbuda,201107,2900,89164
Antigua and Barbuda,201108,1000,129431
Antigua and Barbuda,201109,1000,143057
Antigua and Barbuda,201110,1058000,39953
Antigua and Barbuda,201111,444800,373874
Antigua and Barbuda,201112,500,44742
Antigua and Barbuda,201201,3200,35540
Antigua and Barbuda,201202,6900,34105
Antigua and Barbuda,201203,400,20447
Antigua and Barbuda,201204,13200,15768
Antigua and Barbuda,201206,509700,50
Antigua and Barbuda,201207,567200,25
Antigua and Barbuda,201209,97000,172449
Antigua and Barbuda,201211,362800,308
Antigua and Barbuda,201212,100,1967
Antigua and Barbuda,201301,2,1430
Antigua and Barbuda,201302,679,44704
Antigua and Barbuda,201303,11,877
Antigua and Barbuda,201304,58,327
Antigua and Barbuda,201305,6,13
Antigua and Barbuda,201306,3,4
Antigua and Barbuda,201307,400,15291
Antigua and Barbuda,201308,100,4432
Antigua and Barbuda,201309,3800,108546
Antigua and Barbuda,201310,1582400,6286
Antigua and Barbuda,201311,1439500,135
Argentina,201001,3497600,6123998
Argentina,201002,5890700,7409814
Argentina,201003,2873900,5877278
Argentina,201004,5177800,9438416
Argentina,201005,3370900,5038229
Argentina,201006,5062600,8229890
Argentina,201007,4313300,9441279
Argentina,201008,3616100,9922295
Argentina,201009,4547400,16248369
Argentina,201010,4615300,11936463
Argentina,201011,4290900,13090285
Argentina,201012,4118800,6721649
Argentina,201101,8736100,12735894
Argentina,201102,6235900,13139112
Argentina,201103,6322100,10385789
Argentina,201104,7078600,14207647
Argentina,201105,4349300,9451222
Argentina,201106,4899700,13008388
Argentina,201107,4366600,12809678
Argentina,201108,4997800,12120489
Argentina,201109,4367400,14231033
Argentina,201110,4596000,17855590
Argentina,201111,4225700,16845358
Argentina,201112,5482700,15152981
Argentina,201201,4249700,11611885
Argentina,201202,1321100,9204222
Argentina,201203,4041800,9674052
Argentina,201204,6011500,14943371
Argentina,201205,5145900,15634301
Argentina,201206,5742100,15228150
Argentina,201207,4102100,8895332
Argentina,201208,4145300,7165526
Argentina,201209,4724000,7923411
Argentina,201210,5004000,9161981
Argentina,201211,5576300,9492372
Argentina,201212,5528000,10079467
Argentina,201301,3916133,10923675
Argentina,201302,2961898,5221971
Argentina,201303,2226538,6506116
Argentina,201304,4268518,9147324
Argentina,201305,5561079,11376541
Argentina,201306,5009912,8410086
Argentina,201307,5852400,8879733
Argentina,201308,4954300,7617197
Argentina,201309,3913700,6309280
Argentina,201310,6231100,10661286
Argentina,201311,7197200,10141758
Armenia,201001,277700,977752
Armenia,201002,300000,768225
Armenia,201003,86000,277193
Armenia,201004,139600,274092
Armenia,201005,96400,525679
Armenia,201006,68200,681815
Armenia,201007,164200,931416
Armenia,201008,131300,862484
Armenia,201009,169200,1101773
Armenia,201010,265000,674659
Armenia,201011,256100,577301
Armenia,201012,85800,404313
Armenia,201101,128800,490283
Armenia,201102,77700,782961
Armenia,201103,192400,778010
Armenia,201104,325600,971053
Armenia,201105,70200,736412
Armenia,201106,307800,615545
Armenia,201107,113700,270545
Armenia,201108,149500,1198802
Armenia,201109,241300,753355
Armenia,201110,458500,936983
Armenia,201111,201500,907965
Armenia,201112,436800,989729
Armenia,201201,252200,260409
Armenia,201202,214200,721104
Armenia,201203,1146500,805985
Armenia,201204,837700,1251759
Armenia,201205,210500,489205
Armenia,201206,305600,516520
Armenia,201207,244000,1887940
Armenia,201208,474300,617496
Armenia,201209,241300,658836
Armenia,201210,719700,3603552
Armenia,201211,477600,2320239
Armenia,201212,185500,461723
Armenia,201301,840217,1002620
Armenia,201302,1075646,972566
Armenia,201303,441666,1229020
Armenia,201304,2459164,1290578
Armenia,201305,546071,758976
Armenia,201306,1392173,944840
Armenia,201307,533600,1012392
Armenia,201308,191200,612499
Armenia,201309,235400,1655152
Armenia,201310,488300,1258028
Armenia,201311,496900,1580290
Aruba,201001,1300,302633
Aruba,201002,27800,855502
Aruba,201003,600,179668
Aruba,201004,300,94591
Aruba,201005,1800,291740
Aruba,201006,100,47718
Aruba,201007,200,52812
Aruba,201008,300,104840
Aruba,201009,16900,480702
Aruba,201010,1100,108965
Aruba,201011,900,54982
Aruba,201012,510400,4100299
Aruba,201101,193700,6537049
Aruba,201102,586500,9748375
Aruba,201103,139000,1706773
Aruba,201104,61500,493874
Aruba,201105,27000,142557
Aruba,201106,8900,278521
Aruba,201107,90800,470184
Aruba,201108,7700,81181
Aruba,201109,3100,62667
Aruba,201110,5700,369267
Aruba,201111,800,10249
Aruba,201112,306147700,9581
Aruba,201201,1300,7976
Aruba,201202,1500,10421
Aruba,201203,12600,155508
Aruba,201204,12300100,16070
Aruba,201205,100,6714
Aruba,201206,1433000,25
Aruba,201207,3000000,1486
Aruba,201208,6400,28557
Aruba,201209,600,4140
Aruba,201210,8600,182
Aruba,201211,1200,196832
Aruba,201212,200,22509
Aruba,201301,186,10229
Aruba,201302,56,14751
Aruba,201303,536,193338
Aruba,201304,769,111293
Aruba,201305,7,1438
Aruba,201306,700,71270
Aruba,201307,165667300,8790
Aruba,201308,100,8957
Aruba,201309,122625000,9504
Aruba,201310,400,818
Aruba,201311,200,17785
Australia,201001,17699100,35215250
Australia,201002,12921200,37318366
Australia,201003,5817600,34927305
Australia,201004,14375500,40052690
Australia,201005,17136200,45508708
Australia,201006,15815500,36598062
Australia,201007,16494800,47338258
Australia,201008,18131100,47447839
Australia,201009,17420400,53110754
Australia,201010,10798500,47148995
Australia,201011,14037600,49173463
Australia,201012,14552500,48034200
Australia,201101,14003500,46108427
Australia,201102,12966500,76585837
Australia,201103,16207200,70975400
Australia,201104,18411300,84477460
Australia,201105,23878400,71062922
Australia,201106,19557800,65945138
Australia,201107,17238000,62711857
Australia,201108,22507900,139633004
Australia,201109,20871700,66816815
