partner_country,period,net_weight,usd_value
Albania,201001,467300,1933871
Albania,201002,456700,1621447
Albania,201003,497400,2150889
Albania,201004,353900,2605841
Albania,201005,297400,1943444
Albania,201006,772800,21680471
Albania,201007,539200,2176347
Albania,201008,9407800,3763016
Albania,201009,19939700,7531260
Albania,201010,382400,2742992
Albania,201011,201200,2006000
Albania,201012,20767100,9113572
Albania,201101,14485100,6314363
Albania,201102,18843600,9140297
Albania,201103,14231900,8893056
Albania,201104,12032000,6376858
Albania,201105,21047000,9793658
Albania,201106,12848200,6779941
Albania,201107,3498400,3493236
Albania,201108,168400,1810925
Albania,201109,329600,1668246
Albania,201110,2005700,4514154
Albania,201111,11050700,12449592
Albania,201112,358200,1941243
Albania,201201,500400,1465604
Albania,201202,11268400,5468554
Albania,201203,3396600,3473157
Albania,201204,3631200,3344203
Albania,201205,432000,2249458
Albania,201206,225800,1920739
Albania,201207,477400,2913217
Albania,201208,80800,1030148
Albania,201209,279600,2142544
Albania,201210,425800,2286150
Albania,201211,3561600,3533492
Albania,201212,418100,2192181
Albania,201301,7174400,4143556
Albania,201302,12048000,6579041
Albania,201303,3644600,3253335
Albania,201304,479000,2725047
Albania,201305,400200,2487086
Albania,201306,408700,2422157
Albania,201307,578800,3877103
Albania,201308,951500,1728252
Albania,201309,3749100,4819803
Albania,201310,2733300,6537515
Albania,201311,555500,2749921
Algeria,201001,462287100,501437506
Algeria,201002,662225000,625632172
Algeria,201003,514494000,618357845
Algeria,201004,503675200,622784836
Algeria,201005,396683800,502715567
Algeria,201006,627021300,569804580
Algeria,201007,480722400,564805942
Algeria,201008,455111400,466343042
Algeria,201009,419212900,489045954
Algeria,201010,397690000,566788408
Algeria,201011,538525700,621835782
Algeria,201012,468733600,778801870
Algeria,201101,260947500,427209870
Algeria,201102,529964500,544962333
Algeria,201103,707986000,762521703
Algeria,201104,632917000,743695330
Algeria,201105,845768100,839397458
Algeria,201106,661536700,652734474
Algeria,201107,572613600,652716778
Algeria,201108,578634800,581832206
Algeria,201109,719167500,684071997
Algeria,201110,723048400,764430047
Algeria,201111,614766500,728463493
Algeria,201112,262630700,619245163
Algeria,201201,284505700,479778568
Algeria,201202,182487300,537392296
Algeria,201203,539356400,759719535
Algeria,201204,270236000,613806812
Algeria,201205,241218200,586052905
Algeria,201206,386904000,705705165
Algeria,201207,274967200,619129398
Algeria,201208,717517300,667530674
Algeria,201209,702737000,723630960
Algeria,201210,639406100,840487702
Algeria,201211,508023600,730602385
Algeria,201212,523513400,880007984
Algeria,201301,430270800,558884897
Algeria,201302,549387900,679419857
Algeria,201303,568627700,781637955
Algeria,201304,447635800,690339170
Algeria,201305,603039600,740145963
Algeria,201306,131997100,531359818
Algeria,201307,221001800,577139935
Algeria,201308,799381600,625942553
Algeria,201309,650944200,576897682
Algeria,201310,641335000,678734572
Algeria,201311,518011500,557591421
Antigua and Barbuda,201001,65300,435786
Antigua and Barbuda,201002,233800,416657
Antigua and Barbuda,201003,218000,318855
Antigua and Barbuda,201004,234000,308309
Antigua and Barbuda,201005,259000,661408
Antigua and Barbuda,201006,119100,327846
Antigua and Barbuda,201007,29700,188569
Antigua and Barbuda,201008,126400,288585
Antigua and Barbuda,201009,44500,252647
Antigua and Barbuda,201010,109200,338948
Antigua and Barbuda,201011,249900,724884
Antigua and Barbuda,201012,27200,2370829
Antigua and Barbuda,201101,80800,460316
Antigua and Barbuda,201102,95400,423708
Antigua and Barbuda,201103,136100,660559
Antigua and Barbuda,201104,156700,343399
Antigua and Barbuda,201105,39700,213825
Antigua and Barbuda,201106,203100,403655
Antigua and Barbuda,201107,38000,182153
Antigua and Barbuda,201108,31200,106080
Antigua and Barbuda,201109,79100,491920
Antigua and Barbuda,201110,33800,314197
Antigua and Barbuda,201111,117100,576359
Antigua and Barbuda,201112,275300,860259
Antigua and Barbuda,201201,101900,765460
