partner_country,period,net_weight,usd_value
Albania,201004,3010375,587023
Albania,201005,2651132,397670
Albania,201006,22,583
Albania,201008,41,101
Albania,201009,6,10
Albania,201010,39,90
Albania,201011,13,20
Albania,201012,13,20
Albania,201102,20,120
Albania,201110,3,17499
Albania,201201,3,15880
Albania,201202,11604,70552
Albania,201203,1,4244
Albania,201204,1,6425
Albania,201205,2,16651
Albania,201206,2,11543
Albania,201207,3,14697
Albania,201208,3,13773
Albania,201209,2,9709
Albania,201210,3,27655
Albania,201211,4,18371
Albania,201212,3,41530
Albania,201301,2,24090
Albania,201302,2,9951
Albania,201303,2,11411
Albania,201306,5,32800
Albania,201307,1,2119
Albania,201308,3,15333
Albania,201309,3,17709
Albania,201311,5,22854
Algeria,201012,480,26692
Algeria,201208,17,132731
Algeria,201210,13000,33665
Algeria,201303,42000,64482
Algeria,201304,56000,85387
Algeria,201307,140104,996447
Antigua and Barbuda,201207,619,3067
Argentina,201103,1411,1939
Argentina,201109,71400,157080
Argentina,201205,10433,13500
Argentina,201208,39838,127482
Argentina,201311,1,5944
Armenia,201001,5806992,11239754
Armenia,201002,9365475,8305598
Armenia,201003,15575496,11940608
Armenia,201004,16781661,10983543
Armenia,201005,11599684,14359811
Armenia,201006,13120619,12786964
Armenia,201007,13275721,16395256
Armenia,201008,11839709,13858687
Armenia,201009,15862891,16278924
Armenia,201010,14992922,17808406
Armenia,201011,9972381,16867302
Armenia,201012,12041071,15929505
Armenia,201101,8712830,12941856
Armenia,201102,5075831,12895735
Armenia,201103,15063429,27953801
Armenia,201104,13367020,16262924
Armenia,201105,17171212,20592494
Armenia,201106,16464513,16255691
Armenia,201107,10377466,16986346
Armenia,201108,23619514,24210680
Armenia,201109,17933583,17809085
Armenia,201110,13371569,19997225
Armenia,201111,11544179,17464342
Armenia,201112,13191236,19666598
Armenia,201201,15374536,14092957
Armenia,201202,7892339,12843960
Armenia,201203,18668246,20510768
Armenia,201204,17170438,19060394
Armenia,201205,33969981,26316004
Armenia,201206,20350628,17983972
Armenia,201207,27296146,23760810
Armenia,201208,44512731,27728321
Armenia,201209,24747589,24077336
Armenia,201210,25425756,23498043
Armenia,201211,28181434,26830200
Armenia,201212,26130770,24278869
Armenia,201301,14857629,19722083
Armenia,201302,23753742,22391285
Armenia,201303,27306326,26368613
Armenia,201304,30019729,24821376
Armenia,201305,25343607,23964715
Armenia,201306,26417610,23791822
Armenia,201307,40526824,26730056
Armenia,201308,46578525,30858901
Armenia,201309,31431724,24678994
Armenia,201310,44176479,34003842
Armenia,201311,32445116,30853445
Australia,201001,67,10
Australia,201002,23788,26442
Australia,201003,46480,54981
Australia,201004,30002,197922
Australia,201005,24235,27702
Australia,201006,34631,35091
Australia,201007,72288,73616
Australia,201008,24248,28620
Australia,201009,34552,99572
Australia,201010,15001,81010
Australia,201011,88358,158819
Australia,201012,133632,208874
Australia,201101,137177,134695
Australia,201102,68591,72160
Australia,201103,70144,79030
Australia,201104,69123,69910
Australia,201105,421783,156459
Australia,201107,303210,196364
Australia,201108,107039,109570
Australia,201109,19201,25616
Australia,201110,182549,207455
Australia,201111,46155,54928
Australia,201112,63782,64517
Australia,201201,22000,22770
Australia,201202,93288,103176
Australia,201203,135147,138437
Australia,201204,22108,28120
Australia,201205,22108,28120
Australia,201206,66148,64986
Australia,201207,22108,28120
Australia,201208,47960,55608
Australia,201209,44608,55120
Australia,201210,1,7090
Australia,201211,40912,44964
Australia,201212,42853,47572
Australia,201301,55889,64817
Australia,201303,69545,93111
Australia,201305,60981,62261
Australia,201307,61398,64182
Australia,201308,25020,29226
Australia,201309,85073,99015
Australia,201310,19116,17295
Australia,201311,22500,27000
Austria,201001,12970,23346
Austria,201002,19379,10915
Austria,201003,12936,27822
Austria,201004,1416,28667
Austria,201005,14727,41464
Austria,201006,1164,32194
Austria,201007,17280,57658
Austria,201008,17,6783
Austria,201009,47447,544363
Austria,201010,35826,146647
Austria,201011,6597,76378
Austria,201012,955,29995
Austria,201101,19181,163194
Austria,201102,138,5749
Austria,201103,24,438
Austria,201104,22712,65142
Austria,201105,65,2156
Austria,201106,47305,81780
Austria,201107,19085,52265
Austria,201108,30183,90217
Austria,201109,81700,469647
Austria,201110,48274,238936
Austria,201111,4317,31882
Austria,201112,64112,231525
Austria,201201,23004,251211
Austria,201202,16041,31300
Austria,201203,42349,317807
Austria,201204,222,7783
Austria,201205,20432,44489
Austria,201206,868,13192
Austria,201207,220,8324
Austria,201208,7075,25165
Austria,201209,383,6884
Austria,201210,1,113
Austria,201211,368,5498
Austria,201212,18470,21751
Austria,201301,1000,64276
Austria,201302,429,38155
Austria,201303,14722,29791
Austria,201304,80,10523
Austria,201305,13,21560
Austria,201306,2682,3289
Austria,201308,122272,265322
Austria,201309,24726,139915
Austria,201310,5,3270
Azerbaijan,201001,27198161,14875607
Azerbaijan,201002,23159101,13630578
Azerbaijan,201003,21986414,17466957
Azerbaijan,201004,9909190,16794347
Azerbaijan,201005,13576086,21721812
Azerbaijan,201006,11952886,19921442
Azerbaijan,201007,10222522,33672942
Azerbaijan,201008,11087089,22997162
Azerbaijan,201009,17565652,23262593
Azerbaijan,201010,15221584,20989661
Azerbaijan,201011,18088743,24890419
Azerbaijan,201012,21880662,26018327
Azerbaijan,201101,10857558,19281055
Azerbaijan,201102,11594715,17221750
Azerbaijan,201103,23673269,27210798
Azerbaijan,201104,39674182,32662516
Azerbaijan,201105,41604696,29423642
Azerbaijan,201106,42862060,28673972
Azerbaijan,201107,43227655,34099682
Azerbaijan,201108,43719107,45323590
Azerbaijan,201109,41727723,36374329
Azerbaijan,201110,48680525,39781013
Azerbaijan,201111,38439297,49197971
Azerbaijan,201112,41277730,66656029
Azerbaijan,201201,31759995,40765615
Azerbaijan,201202,18576608,27395481
Azerbaijan,201203,42443675,52530748
Azerbaijan,201204,58957960,49782026
Azerbaijan,201205,66092147,60557735
Azerbaijan,201206,53239909,52194841
Azerbaijan,201207,60945224,62629925
Azerbaijan,201208,66036493,54274115
Azerbaijan,201209,63718043,68175082
Azerbaijan,201210,57159489,55568402
Azerbaijan,201211,46510638,54310229
Azerbaijan,201212,41112324,48670715
Azerbaijan,201301,36351163,46049009
Azerbaijan,201302,42732610,41093827
Azerbaijan,201303,50183910,56405340
Azerbaijan,201304,74112421,65444991
Azerbaijan,201305,67759077,59265207
Azerbaijan,201306,59592412,64546596
Azerbaijan,201307,55486630,63971451
Azerbaijan,201308,44222601,71263687
Azerbaijan,201309,57226932,60864617
Azerbaijan,201310,34316768,53474208
Azerbaijan,201311,49637690,64684372
