partner_country,period,net_weight,usd_value
Albania,201001,2684100,13812084
Albania,201002,2800600,16195681
Albania,201003,3628200,20658369
Albania,201004,3388000,16896182
Albania,201005,3945500,16380407
Albania,201006,3692100,18259402
Albania,201007,2998600,14966796
Albania,201008,3506500,14668771
Albania,201009,2965600,18235978
Albania,201010,3538000,21112078
Albania,201011,2972400,17454897
Albania,201012,4019200,14447567
Albania,201101,2583400,13304900
Albania,201102,4488800,16360535
Albania,201103,4665100,21404971
Albania,201104,3766900,18906486
Albania,201105,11515800,22023515
Albania,201106,4260500,17995145
Albania,201107,3049100,17194593
Albania,201108,2713300,14702624
Albania,201109,3722000,17976829
Albania,201110,3571700,18686880
Albania,201111,4750400,20533589
Albania,201112,4069900,19128629
Albania,201201,3321415,12250847
Albania,201202,3793936,15422030
Albania,201203,4302894,22571924
Albania,201204,3696594,16221869
Albania,201205,5116581,17348059
Albania,201206,4205489,19444278
Albania,201207,4688686,23400060
Albania,201208,4462236,19164362
Albania,201209,3653753,15089870
Albania,201210,4012903,18545072
Albania,201211,3830800,17030525
Albania,201212,3215800,12319469
Albania,201301,3484400,11774267
Albania,201302,2999600,14056669
Albania,201303,3236700,17374997
Albania,201304,3308800,13379517
Albania,201305,4236600,17036700
Albania,201306,5791100,15704461
Albania,201307,3897800,18486780
Albania,201308,4047700,14314209
Albania,201309,3651300,15205184
Albania,201310,3352000,17926390
Albania,201311,3092800,15380646
Algeria,201001,47742800,139050973
Algeria,201002,74701400,166325018
Algeria,201003,32227300,159894479
Algeria,201004,35001900,167849903
Algeria,201005,35612400,144749758
Algeria,201006,21307800,161867644
Algeria,201007,43063500,159484460
Algeria,201008,21393100,179322873
Algeria,201009,25329500,147784715
Algeria,201010,18052700,120439375
Algeria,201011,37364100,160208606
Algeria,201012,29454000,173128226
Algeria,201101,25581600,134173822
Algeria,201102,51039200,180633744
Algeria,201103,33378300,232108016
Algeria,201104,32046200,167313790
Algeria,201105,27092900,191760211
Algeria,201106,48990300,239136821
Algeria,201107,23764000,147309561
Algeria,201108,26404500,123954395
Algeria,201109,17064900,110920222
Algeria,201110,36893400,162863342
Algeria,201111,39400900,183071018
Algeria,201112,69941400,203656806
Algeria,201201,81610960,175517146
Algeria,201202,47805915,174676202
Algeria,201203,72795896,221739584
Algeria,201204,40117577,172695186
Algeria,201205,63650832,192826541
Algeria,201206,144644397,218300980
Algeria,201207,68069602,187097334
Algeria,201208,59952671,183056470
Algeria,201209,49445909,195499396
Algeria,201210,42362019,194002461
Algeria,201211,80237195,223770689
Algeria,201212,113905026,263217948
Algeria,201301,37173000,180912188
Algeria,201302,44465800,205129906
Algeria,201303,31970600,209940334
Algeria,201304,55323400,252995144
Algeria,201305,127405700,243583759
Algeria,201306,103947500,256412654
Algeria,201307,115298000,216646790
Algeria,201308,65999200,194629421
Algeria,201309,49455100,175564599
Algeria,201310,63689000,228081930
Algeria,201311,39547700,280586457
Antigua and Barbuda,201001,109500,8065205
Antigua and Barbuda,201002,71200,471396
Antigua and Barbuda,201003,159000,19955256
Antigua and Barbuda,201004,49900,13664968
Antigua and Barbuda,201005,134400,414541
Antigua and Barbuda,201006,228900,499940
Antigua and Barbuda,201007,141000,470405
Antigua and Barbuda,201008,106100,607740
Antigua and Barbuda,201009,176700,839079
Antigua and Barbuda,201010,120400,1683163
Antigua and Barbuda,201011,199300,739056
Antigua and Barbuda,201012,146300,735409
Antigua and Barbuda,201101,123400,338915
Antigua and Barbuda,201102,151100,467397
Antigua and Barbuda,201103,174400,834807
Antigua and Barbuda,201104,132400,418977
Antigua and Barbuda,201105,108900,516242
Antigua and Barbuda,201106,121300,387441
Antigua and Barbuda,201107,129100,529538
Antigua and Barbuda,201108,70400,273506
Antigua and Barbuda,201109,106600,827935
Antigua and Barbuda,201110,156900,365347
Antigua and Barbuda,201111,80100,126831
Antigua and Barbuda,201112,34400,277156
Antigua and Barbuda,201201,126561,307415
Antigua and Barbuda,201202,111650,212716
Antigua and Barbuda,201203,89314,144879
Antigua and Barbuda,201204,24510,59665
Antigua and Barbuda,201205,213927,2037204
Antigua and Barbuda,201206,5792789,3458418
Antigua and Barbuda,201207,102835,354456
Antigua and Barbuda,201208,43559,146217
Antigua and Barbuda,201209,63847,126046
Antigua and Barbuda,201210,121103,330948
Antigua and Barbuda,201211,102627,1067279
Antigua and Barbuda,201212,110152,1007804
Antigua and Barbuda,201301,117800,745963
Antigua and Barbuda,201302,14022900,19064348
Antigua and Barbuda,201303,250900,1290347
Antigua and Barbuda,201304,138800,730608
Antigua and Barbuda,201305,168600,561500
Antigua and Barbuda,201306,45300,1099767
Antigua and Barbuda,201307,638300,801856
Antigua and Barbuda,201308,176600,1039714
Antigua and Barbuda,201309,118600,527646
Antigua and Barbuda,201310,200200,1607207
Antigua and Barbuda,201311,247500,1908279
Argentina,201001,20999500,183290223
Argentina,201002,21758400,248695127
Argentina,201003,28886000,273962382
Argentina,201004,24443400,253686443
Argentina,201005,29077100,236524859
Argentina,201006,29225900,276184221
Argentina,201007,31904100,310712362
Argentina,201008,29232500,275909519
Argentina,201009,33665100,290617314
Argentina,201010,29073300,286579192
Argentina,201011,44405200,309674328
Argentina,201012,23501100,212713838
Argentina,201101,27682700,243564582
Argentina,201102,27778800,265255758
Argentina,201103,43581200,349768743
Argentina,201104,27032600,266638249
Argentina,201105,31427200,315323980
Argentina,201106,29746300,298212410
Argentina,201107,31105900,301670436
Argentina,201108,37070100,370222682
Argentina,201109,30194700,330191801
Argentina,201110,30539700,306443831
Argentina,201111,31961100,341052670
Argentina,201112,29828600,318583857
Argentina,201201,34499385,318289886
Argentina,201202,23302157,242385394
Argentina,201203,35262661,291185788
Argentina,201204,29468935,286763273
Argentina,201205,30180297,261036378
Argentina,201206,33204946,273890723
Argentina,201207,34678255,321733590
Argentina,201208,38684017,339624817
Argentina,201209,31096419,299348889
Argentina,201210,36160928,341781834
Argentina,201211,43058389,313239577
Argentina,201212,24054207,212491780
