partner_country,period,net_weight,usd_value
Albania,201001,83681100,38352379
Albania,201002,47301700,30590246
Albania,201003,92891400,50239429
Albania,201004,80961800,45412466
Albania,201005,75458400,36860947
Albania,201006,75104300,43180779
Albania,201007,90414700,48388206
Albania,201008,75044000,45066959
Albania,201009,81320400,45022192
Albania,201010,47885100,40957089
Albania,201011,57417500,42745061
Albania,201012,51123300,44158046
Albania,201101,64700500,41588270
Albania,201102,45764600,35864591
Albania,201103,80908900,48388819
Albania,201104,55770700,53230813
Albania,201105,55615400,44683897
Albania,201106,56066900,55317296
Albania,201107,60034800,58690269
Albania,201108,77790000,57419291
Albania,201109,53383700,48792610
Albania,201110,44401900,42442342
Albania,201111,44735800,48168901
Albania,201112,46381200,53345478
Albania,201201,53437200,51223435
Albania,201202,37393300,34518779
Albania,201203,60119400,55483006
Albania,201204,46386100,37613456
Albania,201205,60663500,43584213
Albania,201206,48117200,38573514
Albania,201207,55511000,36881771
Albania,201208,53936800,39908604
Albania,201209,45341200,35268498
Albania,201210,49621100,42816652
Albania,201211,52415900,47726301
Albania,201212,50318000,49892622
Albania,201301,26049707,31294876
Albania,201302,25882198,31748219
Albania,201303,27567075,30809718
Albania,201304,39263379,40529963
Albania,201305,49352649,46744110
Albania,201306,38170637,36427205
Albania,201307,48188760,47740721
Albania,201308,45818595,43338123
Albania,201309,37577500,35174364
Albania,201310,42200091000,37987506
Albania,201311,38439243000,38393195
Algeria,201001,9490200,11157785
Algeria,201002,8639500,11719222
Algeria,201003,24528300,19771240
Algeria,201004,16201200,12808951
Algeria,201005,62035100,31590742
Algeria,201006,45638500,22881161
Algeria,201007,57490200,40266115
Algeria,201008,71677000,26985996
Algeria,201009,22513400,14764350
Algeria,201010,29743600,25027875
Algeria,201011,36324900,30219677
Algeria,201012,38615800,35137338
Algeria,201101,42797800,28916598
Algeria,201102,16037100,10357721
Algeria,201103,38386700,25095053
Algeria,201104,75132500,55687542
Algeria,201105,83848900,57719752
Algeria,201106,100397900,55606066
Algeria,201107,87422900,51760036
Algeria,201108,28368700,22500871
Algeria,201109,46168200,37247795
Algeria,201110,39943800,27878564
Algeria,201111,90122700,59318656
Algeria,201112,93037700,50648018
Algeria,201201,96306500,41634060
Algeria,201202,74298900,41505573
Algeria,201203,74578500,40318336
Algeria,201204,72576200,40399177
Algeria,201205,66938400,26646202
Algeria,201206,156698800,43065790
Algeria,201207,131438300,26681475
Algeria,201208,84587400,16391273
Algeria,201209,143688700,45876292
Algeria,201210,86294300,51249611
Algeria,201211,148470300,24051768
Algeria,201212,138474400,40201854
Algeria,201301,183823578,67875020
Algeria,201302,144065900,64584184
Algeria,201303,116272683,54097451
Algeria,201304,96479979,33069324
Algeria,201305,151526089,58115419
Algeria,201306,87817994,25523193
Algeria,201307,98413353,51529292
Algeria,201308,69542454,14934459
Algeria,201309,103003000,22920452
Algeria,201310,60609805000,27338616
Algeria,201311,89797840000,27650177
Antigua and Barbuda,201001,564200,293587
Antigua and Barbuda,201002,528000,289012
Antigua and Barbuda,201003,1271900,829679
Antigua and Barbuda,201004,449300,326075
Antigua and Barbuda,201005,782300,543231
Antigua and Barbuda,201006,933200,458438
Antigua and Barbuda,201007,568200,431520
Antigua and Barbuda,201008,368500,282562
Antigua and Barbuda,201009,674300,473614
Antigua and Barbuda,201010,117600,85981
Antigua and Barbuda,201011,753100,573356
Antigua and Barbuda,201012,825200,735874
Antigua and Barbuda,201101,215700,183566
Antigua and Barbuda,201102,284700,223625
Antigua and Barbuda,201103,253200,239803
Antigua and Barbuda,201104,333400,273170
Antigua and Barbuda,201105,329500,227784
Antigua and Barbuda,201106,62600,97392
Antigua and Barbuda,201107,39400,29455
Antigua and Barbuda,201108,339900,336143
Antigua and Barbuda,201109,215300,187726
Antigua and Barbuda,201110,429700,438414
Antigua and Barbuda,201111,99600,96980
Antigua and Barbuda,201112,83300,77005
Antigua and Barbuda,201201,46600,48665
Antigua and Barbuda,201205,43747500,17010
Antigua and Barbuda,201206,13700,11975
Antigua and Barbuda,201210,31300,20265
Antigua and Barbuda,201211,2700,5016
Antigua and Barbuda,201302,850,334
Argentina,201001,178000,1181125
Argentina,201002,77800,432710
Argentina,201003,25000,91642
Argentina,201004,50700,121917
Argentina,201005,79900,248111
Argentina,201006,27200,213526
Argentina,201007,63500,182295
Argentina,201008,92300,334357
Argentina,201009,3300,60457
Argentina,201010,169700,699866
Argentina,201011,279100,886161
Argentina,201012,57500,473116
Argentina,201101,348100,1082361
Argentina,201102,69500,297752
Argentina,201103,5100,53085
Argentina,201104,143600,803857
Argentina,201105,2031500,815020
Argentina,201106,43100,276969
Argentina,201107,55400,480099
Argentina,201108,22500,120209
Argentina,201109,438100,1027532
Argentina,201110,201100,1074934
Argentina,201111,265400,1241081
Argentina,201112,30393700,28108316
Argentina,201201,48300,495732
Argentina,201202,5514800,691774
Argentina,201203,65700,151468
Argentina,201204,115500,485835
Argentina,201205,115600,395577
Argentina,201206,116700,164991
Argentina,201207,161200,351815
Argentina,201208,135600,439878
Argentina,201209,53200,265583
Argentina,201210,130700,408746
Argentina,201211,139700,431380
Argentina,201212,255500,1045282
Argentina,201301,171759,820682
Argentina,201302,72674,465224
Argentina,201303,243753,588784
Argentina,201304,2956551,2567007
Argentina,201305,101508,467193
Argentina,201306,93494,342363
Argentina,201307,37157476,2058204
Argentina,201308,8825708,840557
Argentina,201309,11200600,1103986
Argentina,201310,118272000,413274
Argentina,201311,83729000,268100
Armenia,201001,97000,254046
Armenia,201002,273500,1077063
Armenia,201003,121100,502327
Armenia,201004,348000,1444425
Armenia,201005,177800,839065
Armenia,201006,422000,1540399
Armenia,201007,119500,365161
Armenia,201008,307500,1051061
Armenia,201009,181000,650099
Armenia,201010,519100,1847524
Armenia,201011,439600,1085438
Armenia,201012,456800,1170337
Armenia,201101,144000,365035
Armenia,201102,314000,1064539
Armenia,201103,162000,668620
Armenia,201104,316300,1571896
Armenia,201105,339900,1505864
Armenia,201106,173800,700609
Armenia,201107,476300,1713663
Armenia,201108,202300,720679
Armenia,201109,102200,918859
Armenia,201110,259700,1438156
Armenia,201111,354600,1628459
Armenia,201112,146800,742559
Armenia,201201,88300,342281
Armenia,201202,185000,652748
Armenia,201203,217400,937562
Armenia,201204,111300,908876
Armenia,201205,338800,895167
Armenia,201206,439400,1800226
Armenia,201207,117300,583280
Armenia,201208,166400,1024204
Armenia,201209,110800,675806
