partner_country,period,net_weight,usd_value
Albania,201001,18806,25270
Albania,201002,21602,24145
Albania,201004,480,2444
Albania,201005,1032,26592
Albania,201006,77266,322023
Albania,201007,21600,56714
Albania,201008,20562,34371
Albania,201009,49,1499
Albania,201011,545,2518
Albania,201012,11,367
Albania,201104,402,3270
Albania,201105,195,868
Albania,201107,37,1350
Albania,201108,7,81
Albania,201110,301,3332
Albania,201112,21058,9569
Albania,201201,42068,18000
Albania,201206,14968,20799
Albania,201209,617253,226800
Albania,201210,561136,202500
Albania,201211,361152,129600
Albania,201302,339149,206180
Albania,201303,1823900,3000167
Albania,201304,2869726,1672166
Albania,201305,1513127,872256
Albania,201309,1106028,396900
Albania,201310,677160,243000
Albania,201311,902880,324000
Algeria,201008,43343,77616
Algeria,201105,103092,185824
Algeria,201107,24972,37673
Algeria,201204,46200000,21707713
Algeria,201205,19118,67093
Algeria,201302,19181,61875
Algeria,201303,70125,19164
Algeria,201305,8640,49883
Algeria,201309,26006,51853
Algeria,201310,19133,68420
Antigua and Barbuda,201002,108627,52935
Antigua and Barbuda,201003,14165,14647
Antigua and Barbuda,201004,66203,19800
Antigua and Barbuda,201005,78254,39936
Antigua and Barbuda,201006,64499,38819
Antigua and Barbuda,201007,106329,36824
Antigua and Barbuda,201008,79754,38922
Antigua and Barbuda,201009,20063,20268
Antigua and Barbuda,201010,126979,113116
Antigua and Barbuda,201012,79733,38259
Antigua and Barbuda,201101,124847,69697
Antigua and Barbuda,201104,103842,48571
Antigua and Barbuda,201105,79252,37790
Antigua and Barbuda,201106,92617,70513
Antigua and Barbuda,201108,3997,14266
Antigua and Barbuda,201110,25304,38291
Antigua and Barbuda,201111,152022,108706
Antigua and Barbuda,201112,126825,54422
Antigua and Barbuda,201201,157760,97549
Antigua and Barbuda,201202,52208,36869
Antigua and Barbuda,201203,71265,53465
Antigua and Barbuda,201205,19759,19829
Antigua and Barbuda,201206,17625,19222
Antigua and Barbuda,201208,143543,92541
Antigua and Barbuda,201210,106923,84861
Antigua and Barbuda,201211,201617,109271
Antigua and Barbuda,201212,512016,259418
Antigua and Barbuda,201301,102338,56782
Antigua and Barbuda,201302,18102,20372
Antigua and Barbuda,201303,16000,20155
Antigua and Barbuda,201308,20628,23569
Antigua and Barbuda,201309,165960,89377
Antigua and Barbuda,201310,79722,50284
Antigua and Barbuda,201311,75180,31634
Argentina,201001,250499,377342
Argentina,201002,81852,152608
Argentina,201003,165612,464815
Argentina,201004,44087,151410
Argentina,201005,186679,511939
Argentina,201006,38957,133480
Argentina,201007,125032,467289
Argentina,201008,196955,341597
Argentina,201009,102020,311482
Argentina,201010,215211,457670
Argentina,201011,146335,340450
Argentina,201012,430142,494278
Argentina,201101,2821675,1474296
Argentina,201104,49393,314413
Argentina,201105,135429,549833
Argentina,201106,56688,245108
Argentina,201107,95162,386994
Argentina,201108,147142,453909
Argentina,201109,242677,659148
Argentina,201110,110130,420227
Argentina,201111,195848,501724
Argentina,201112,139371,352056
Argentina,201201,129432,349721
Argentina,201202,30735,116506
Argentina,201203,126752,440038
Argentina,201204,243654,1061169
Argentina,201205,449937,682367
Argentina,201206,52163,144796
Argentina,201207,76925,216586
