partner_country,period,net_weight,usd_value
Albania,201001,3912,243673
Albania,201002,240,422507
Albania,201003,138,81256
Albania,201004,44663,352053
Albania,201005,16364,244733
Albania,201006,24066,273026
Albania,201007,43845,179909
Albania,201008,58989,298702
Albania,201009,4745,416440
Albania,201010,3362,194778
Albania,201011,2336,195721
Albania,201012,364,250370
Albania,201101,8476,232580
Albania,201102,331,129418
Albania,201103,4185,186635
Albania,201104,4517,360822
Albania,201105,58314,185213
Albania,201106,427,152748
Albania,201107,11321,389531
Albania,201108,25440,618011
Albania,201109,14114,661806
Albania,201110,5058,189621
Albania,201111,1093,238690
Albania,201112,219,187050
Albania,201201,10092,365145
Albania,201202,18880,689433
Albania,201203,1537,304976
Albania,201204,646,158513
Albania,201205,125392,918780
Albania,201206,47974,444380
Albania,201207,18469,487341
Albania,201208,45696,410212
Albania,201209,18636,639228
Albania,201210,48188,589911
Albania,201211,39001,678439
Albania,201212,4974,1367323
Albania,201301,279,306002
Albania,201302,355,762990
Albania,201303,22212,339599
Albania,201305,73415,768752
Albania,201306,5956,745660
Albania,201307,485,423697
Albania,201309,2701,98859
Algeria,201001,61695,1263259
Algeria,201002,13766,978468
Algeria,201003,27257,1627326
Algeria,201004,77774,2418210
Algeria,201005,151084,3187090
Algeria,201006,45509,1695047
Algeria,201007,62756,1044725
Algeria,201008,24521,741753
Algeria,201009,5221,2345659
Algeria,201010,34293,3328142
Algeria,201011,58445,2104604
Algeria,201012,20245,1663780
Algeria,201101,21542,4812497
Algeria,201102,10459,1543957
Algeria,201103,59420,763638
Algeria,201104,35891,2228810
Algeria,201105,41545,2994428
Algeria,201106,50750,3703870
Algeria,201107,125983,3699315
Algeria,201108,49705,1827579
Algeria,201109,9209,860326
Algeria,201110,85429,3177946
Algeria,201111,11938,7587991
Algeria,201112,41762,5478913
Algeria,201201,102238,3770666
Algeria,201202,103051,4236029
Algeria,201203,75033,2003499
Algeria,201204,129194,9418505
Algeria,201205,63662,5074564
Algeria,201206,26548,1821622
Algeria,201207,57815,1774431
Algeria,201208,28537,2085454
Algeria,201209,869,2787823
Algeria,201210,72312,1655573
Algeria,201211,84479,3382351
Algeria,201212,55835,9539249
Algeria,201301,33563,3164549
Algeria,201302,4691,5183430
Algeria,201303,22212,3041747
Algeria,201305,45284,3784857
Algeria,201306,8260,4317591
Algeria,201307,176271,4840753
Algeria,201309,36960,3591642
Argentina,201001,732588,28259507
Argentina,201002,601365,24472228
Argentina,201003,602022,18925098
Argentina,201004,642880,24163654
Argentina,201005,1055976,28307341
Argentina,201006,1005835,39146753
Argentina,201007,974611,34189984
Argentina,201008,1021918,39095602
Argentina,201009,945709,37636523
Argentina,201010,818275,32021632
Argentina,201011,650075,38616578
Argentina,201012,754022,36773976
Argentina,201101,678032,37743963
Argentina,201102,525374,31003565
Argentina,201103,681724,39505753
Argentina,201104,773224,33433095
Argentina,201105,1233923,39931552
Argentina,201106,935709,43484238
Argentina,201107,955609,41696064
Argentina,201108,1017194,52024027
Argentina,201109,964916,52365354
Argentina,201110,1062521,52597034
Argentina,201111,670800,41233704
Argentina,201112,734218,35247564
Argentina,201201,866908,47229212
Argentina,201202,231734,17117832
Argentina,201203,460994,22434885
Argentina,201204,672106,23684890
Argentina,201205,775138,31378569
Argentina,201206,670802,28581038
Argentina,201207,738342,33630494
Argentina,201208,749733,39422845
Argentina,201209,746106,47525125
Argentina,201210,698969,35628978
Argentina,201211,17322442,37053621
Argentina,201212,876567,40167845
Argentina,201301,616167,31213991
Argentina,201302,518369,24948122
Argentina,201303,22212,29055293
Argentina,201305,807083,33656408
Argentina,201306,550722,32213995
Argentina,201307,1221765,36743403
Argentina,201309,555915,34140249
Armenia,201001,4659,135601
Armenia,201002,13933,720206
Armenia,201003,837,402581
Armenia,201004,9024,304272
Armenia,201005,3225,142452
Armenia,201006,10086,286992
Armenia,201007,766,71509
Armenia,201008,17636,830414
Armenia,201009,7616,894598
Armenia,201010,1026,642976
Armenia,201011,614,1021861
Armenia,201012,630,1260881
Armenia,201101,2612,459282
Armenia,201102,2049,1160926
Armenia,201103,2558,1537814
Armenia,201104,6095,461377
Armenia,201105,7939,444517
Armenia,201106,1577,542057
Armenia,201107,11966,768833
Armenia,201108,1352,729884
Armenia,201109,5953,1288807
Armenia,201110,4910,661136
Armenia,201111,1387,430059
Armenia,201112,3098,1161577
Armenia,201201,303,206186
Armenia,201202,3916,665045
Armenia,201203,1095,1322792
Armenia,201204,4479,472980
Armenia,201205,1276,853457
Armenia,201206,5275,317988
Armenia,201207,11433,462300
Armenia,201208,1279,589859
Armenia,201209,5422,571045
Armenia,201210,11362,612217
Armenia,201211,78388,810826
Armenia,201212,22890,812224
Armenia,201301,1514,1493256
Armenia,201302,1266,373291
Armenia,201303,22212,881966
Armenia,201305,7805,1169026
Armenia,201306,1645,1664648
Armenia,201307,7302,390358
Armenia,201309,10563,988073
Aruba,201001,55477,221001
Aruba,201002,7928,196528
Aruba,201003,11191,103053
Aruba,201004,18296,105638
Aruba,201005,6701,56455
Aruba,201006,29009,43344
Aruba,201007,19314,61581
Aruba,201008,22,114959
Aruba,201009,9642,62198
Aruba,201010,11586,571648
Aruba,201011,581,362961
Aruba,201012,1765,456888
Aruba,201101,10490,351105
Aruba,201102,6774,78167
Aruba,201103,10817,90869
Aruba,201104,13910,113266
Aruba,201105,1912,143384
Aruba,201106,12460,529964
Aruba,201107,12053,158316
Aruba,201108,24994,144888
Aruba,201109,462,128412
Aruba,201110,10330,42146
Aruba,201111,15253,323689
Aruba,201112,10566,1018964
Aruba,201201,9523,220200
Aruba,201202,9477,551297
Aruba,201203,7872,129230
Aruba,201204,11838,54308
Aruba,201205,2898,739420
Aruba,201206,19855,150473
Aruba,201207,12645,95682
Aruba,201208,141,216187
Aruba,201209,1855,137615
Aruba,201210,1762,876373
Aruba,201211,39698,678938
Aruba,201212,2032,1352076
Aruba,201301,16499,451308
Aruba,201302,16042,141239
Aruba,201303,22212,551094
Aruba,201305,103,247950
Aruba,201306,25,22911
Aruba,201307,15,220254
Aruba,201309,9935,338042
Australia,201001,8670718,343458688
Australia,201002,6968876,303194539
Australia,201003,8882116,361895144
Australia,201004,8788072,312326811
Australia,201005,9985577,370333049
Australia,201006,10978664,426811771
Australia,201007,10060818,401603537
Australia,201008,13829736,501688652
Australia,201009,12001339,506316267
Australia,201010,10719645,454219544
Australia,201011,10859167,509812922
Australia,201012,6985435,411464118
Australia,201101,9146047,444642059
Australia,201102,5116569,324332577
Australia,201103,10062336,422670105
Australia,201104,7837530,371135282
Australia,201105,9464968,439742636
Australia,201106,9285835,477441131
Australia,201107,10480208,469445074
Australia,201108,12550378,480497637
Australia,201109,10047801,460121900
Australia,201110,9552420,566704136
Australia,201111,16643157,511217677
Australia,201112,6868836,371339505
Australia,201201,8099910,485835628
Australia,201202,5207597,357811046
Australia,201203,8760607,434211081
Australia,201204,7445777,364086324
Australia,201205,9651318,397766442
Australia,201206,8123121,396297169
Australia,201207,9036523,465137195
Australia,201208,10189152,424641554
Australia,201209,9895924,530029521
Australia,201210,8630238,477005457
Australia,201211,34697199,450085569
Australia,201212,7648362,424453083
Australia,201301,7750666,445447385
Australia,201302,5175851,318551631
Australia,201303,22212,413741498
Australia,201305,7683715,387207935
Australia,201306,7910029,411063776
Australia,201307,9073229,419388749
Australia,201309,9617879,434369955
Austria,201001,481283,40469440
Austria,201002,551689,32730341
Austria,201003,659012,33228958
Austria,201004,769572,43934491
Austria,201005,719816,55598459
Austria,201006,547843,54052094
Austria,201007,739618,51939742
Austria,201008,805702,57314909
Austria,201009,680254,52354197
Austria,201010,592340,54864201
Austria,201011,671045,57104913
Austria,201012,691604,49461477
Austria,201101,583751,53349211
Austria,201102,393944,38668577
Austria,201103,525995,47114174
Austria,201104,697173,52449122
Austria,201105,550383,58490584
Austria,201106,571169,61740299
Austria,201107,754369,68688399
Austria,201108,585746,62392627
Austria,201109,534703,57932236
Austria,201110,610890,57597849
Austria,201111,153649,60970226
Austria,201112,618414,58430840
Austria,201201,444020,54663336
Austria,201202,297288,33152995
Austria,201203,421689,41063247
Austria,201204,657465,45527125
Austria,201205,620814,51653717
Austria,201206,638851,51278037
Austria,201207,680303,57337860
Austria,201208,491652,58211740
Austria,201209,391410,45589187
Austria,201210,323289,41569712
Austria,201211,12795761,48441573
Austria,201212,517958,55131712
Austria,201301,509141,52844418
Austria,201302,457382,36433880
Austria,201303,22212,37847060
Austria,201305,366696,52104867
Austria,201306,447221,59951778
Austria,201307,522093,55546178
Austria,201309,430817,44961622
