partner_country,period,net_weight,usd_value
Albania,201001,1211300,4926559
Albania,201002,2928400,3926518
Albania,201003,2138400,6668755
Albania,201004,5531500,9658514
Albania,201005,4579400,5899973
Albania,201006,2362000,9145345
Albania,201007,1586100,7463152
Albania,201008,2607100,5074336
Albania,201009,3060400,6334060
Albania,201010,1855100,6063427
Albania,201011,4390000,10183314
Albania,201012,1802700,5958010
Albania,201101,2446500,6254148
Albania,201102,6022800,8467123
Albania,201103,2504600,8993190
Albania,201104,1150400,6189071
Albania,201105,2678600,6231152
Albania,201106,3304400,7105086
Albania,201107,2601300,6665383
Albania,201108,2909700,5873559
Albania,201109,2563000,4725348
Albania,201110,2433400,6848341
Albania,201111,1998700,7174452
Albania,201112,2758200,6517523
Albania,201201,1777900,5635121
Albania,201202,1259400,4997153
Albania,201203,1898400,5066887
Albania,201204,2005600,6800689
Albania,201205,1695000,5425122
Albania,201206,1443400,5974074
Albania,201207,2722900,6649112
Albania,201208,2354900,5663371
Albania,201209,1566500,4579935
Albania,201210,2282900,7004258
Albania,201211,874700,5328748
Albania,201212,1766500,5323526
Albania,201301,1556080,4175632
Albania,201302,2012640,5416433
Albania,201303,1691219,7150401
Albania,201304,744509,3805172
Albania,201305,1675242,4485184
Albania,201306,2037298,5237398
Albania,201307,2882103,7147420
Albania,201308,1747395,5664652
Albania,201309,2831300,5743636
Albania,201310,3546300,7011123
Albania,201311,4687200,8386393
Algeria,201001,445300,2194124
Algeria,201002,342400,1214646
Algeria,201003,1958400,3473890
Algeria,201004,393000,1248672
Algeria,201005,476000,4001134
Algeria,201006,2358200,7274065
Algeria,201007,276300,1140635
Algeria,201008,233500,3895062
Algeria,201009,213700,1524891
Algeria,201010,534200,5199894
Algeria,201011,239700,4949292
Algeria,201012,621600,5453582
Algeria,201101,454000,1453955
Algeria,201102,289700,1578875
Algeria,201103,466800,4214541
Algeria,201104,594400,3210053
Algeria,201105,923100,4087069
Algeria,201106,328400,9510799
Algeria,201107,246100,2370904
Algeria,201108,141000,2506268
Algeria,201109,411300,9297806
Algeria,201110,3642200,6058531
Algeria,201111,934100,7592336
Algeria,201112,959600,9527498
Algeria,201201,983200,3247076
Algeria,201202,539900,3058605
Algeria,201203,1441700,65334573
Algeria,201204,791000,21619662
Algeria,201205,2331400,5120166
Algeria,201206,3689100,9279912
Algeria,201207,2268400,2496760
Algeria,201208,5372900,6153152
Algeria,201209,604400,3284027
Algeria,201210,616000,3915672
Algeria,201211,8476800,26150340
Algeria,201212,2614300,7792124
Algeria,201301,1358843,28023644
Algeria,201302,1212835,36375283
Algeria,201303,1402882,26885079
Algeria,201304,1271098,25587364
Algeria,201305,1230989,23324572
Algeria,201306,486195,6147396
Algeria,201307,3555069,4333797
Algeria,201308,331798,4878461
Algeria,201309,3204800,17926163
Algeria,201310,901400,12383808
Algeria,201311,1170500,11067665
Antigua and Barbuda,201003,7400,51490
Antigua and Barbuda,201004,9300,67011
Antigua and Barbuda,201007,10100,104309
Antigua and Barbuda,201008,12100,66954
Antigua and Barbuda,201011,7800,50902
Antigua and Barbuda,201012,200,50798
Antigua and Barbuda,201104,877800,1646
Antigua and Barbuda,201106,9500,43998
Antigua and Barbuda,201107,742800,6333
Antigua and Barbuda,201108,10800,30307
Antigua and Barbuda,201109,461700,83
Antigua and Barbuda,201110,9600,29509
Antigua and Barbuda,201111,475400,2345
Antigua and Barbuda,201112,9100,22721
Antigua and Barbuda,201201,22100,96762
Antigua and Barbuda,201204,15000,17611
Antigua and Barbuda,201303,791809,110
Antigua and Barbuda,201304,4156,33407
Antigua and Barbuda,201310,4200,33065
Argentina,201001,55100,1136417
Argentina,201002,80400,3593520
Argentina,201003,310800,2005916
Argentina,201004,80700,1435231
Argentina,201005,308800,1527612
Argentina,201006,385000,3570917
Argentina,201007,110700,1559733
Argentina,201008,427800,2568938
Argentina,201009,211700,1961308
Argentina,201010,153000,2433507
Argentina,201011,277400,1619671
Argentina,201012,512700,4516934
Argentina,201101,160700,1551425
Argentina,201102,166100,1817597
Argentina,201103,127200,3009227
Argentina,201104,130200,1730775
Argentina,201105,155600,2415591
Argentina,201106,113900,2388411
Argentina,201107,139200,2107161
Argentina,201108,105200,1323526
Argentina,201109,121100,2758063
Argentina,201110,147100,2881203
Argentina,201111,63200,1289601
Argentina,201112,125000,3010952
Argentina,201201,82000,2382082
Argentina,201202,91400,948451
Argentina,201203,125900,2405911
Argentina,201204,122300,1457322
Argentina,201205,224200,3396644
Argentina,201206,108400,3221724
Argentina,201207,320200,9459036
Argentina,201208,186300,8134511
Argentina,201209,130000,3935661
Argentina,201210,199900,5398353
Argentina,201211,134400,2116212
Argentina,201212,78600,1760315
Argentina,201301,283848,3344940
Argentina,201302,277466,3513607
Argentina,201303,81126,1619214
Argentina,201304,222641,3406904
Argentina,201305,481683,3217688
Argentina,201306,290160,4934861
Argentina,201307,440524,6723082
Argentina,201308,468360,9579993
Argentina,201309,230200,2707508
Argentina,201310,231600,1992767
Argentina,201311,282900,2976695
Armenia,201001,259200,828190
Armenia,201002,210900,1454902
Armenia,201003,210800,1415344
Armenia,201004,188400,1117116
Armenia,201005,139900,1605388
Armenia,201006,62100,1321030
Armenia,201007,61800,1361302
Armenia,201008,163900,1695809
Armenia,201009,381800,2491521
Armenia,201010,440600,1672226
Armenia,201011,461900,1965690
Armenia,201012,87600,2209906
Armenia,201101,50600,1115012
Armenia,201102,247800,2046765
Armenia,201103,934700,2894678
Armenia,201104,176600,1621910
Armenia,201105,108500,1502548
Armenia,201106,330700,2159236
Armenia,201107,80600,1457012
Armenia,201108,203600,2734952
Armenia,201109,205100,2181973
Armenia,201110,554800,2692748
Armenia,201111,211900,2556618
Armenia,201112,305100,3210657
Armenia,201201,189100,1222089
Armenia,201202,180200,2009201
Armenia,201203,1680400,2281736
Armenia,201204,252400,1544758
Armenia,201205,182300,1953761
Armenia,201206,81500,1540074
Armenia,201207,765200,1791559
Armenia,201208,368200,1495798
Armenia,201209,270200,1941918
Armenia,201210,86800,1300451
Armenia,201211,210100,1567621
Armenia,201212,39700,1590433
Armenia,201301,102358,727472
Armenia,201302,143740,1498134
Armenia,201303,96290,1375045
Armenia,201304,110365,2244785
Armenia,201305,56548,1214178
Armenia,201306,213641,3718029
Armenia,201307,50989,1555537
Armenia,201308,128001,2596248
Armenia,201309,325100,2201895
Armenia,201310,299500,1312823
Armenia,201311,227000,1930629
Aruba,201002,8900,10208
Aruba,201009,3100,1109
Aruba,201012,9800,13760
Aruba,201103,9800,11577
Aruba,201106,300,4258
Aruba,201107,71200,100
Aruba,201108,9400,3815
Aruba,201109,42400,565
Aruba,201111,32700,9150
Aruba,201112,100,5074
Aruba,201203,100,964
Aruba,201204,7600,7107
Aruba,201205,200,5090
Aruba,201210,7600,7188
Aruba,201211,100,8263
Aruba,201212,100,2546
Aruba,201302,240,6219
Aruba,201303,7929,9192
Aruba,201307,612,5071
Aruba,201308,7324,139683
Aruba,201309,10500,80
Aruba,201310,7600,7677
Aruba,201311,200,108
Australia,201001,890200,23163525
Australia,201002,1006600,25062367
Australia,201003,798200,16689210
Australia,201004,766800,17964183
Australia,201005,667600,17666705
Australia,201006,949700,34577141
Australia,201007,932500,23481157
Australia,201008,674800,29219729
Australia,201009,640900,24828697
Australia,201010,690000,32080513
Australia,201011,681500,24569534
Australia,201012,737500,21652174
Australia,201101,974600,26729579
Australia,201102,659300,22318664
Australia,201103,890600,21758580
Australia,201104,938300,25320969
Australia,201105,993400,29435230
Australia,201106,1246400,36199102
Australia,201107,1436400,27023917
Australia,201108,991500,46914020
Australia,201109,907900,16006113
Australia,201110,943700,29201168
Australia,201111,748700,21620076
Australia,201112,836300,15581349
Australia,201201,763000,15280030
Australia,201202,579000,15478153
Australia,201203,806400,19833892
Australia,201204,758100,15237909
Australia,201205,1012500,20740430
Australia,201206,1031500,24383170
Australia,201207,1096900,17504173
Australia,201208,947900,17432421
Australia,201209,873900,12929120
Australia,201210,703100,14039148
Australia,201211,1085600,11255272
Australia,201212,922700,12594058
Australia,201301,935988,12237292
Australia,201302,1027662,14132885
Australia,201303,1073124,12568580
Australia,201304,1399794,17758845
Australia,201305,1399749,17442605
Australia,201306,1377995,18935002
Australia,201307,1326584,16143933
Australia,201308,1903049,45065453
Australia,201309,992100,15234615
Australia,201310,1597500,19328028
Australia,201311,1602600,20311740
Austria,201001,218499100,279794503
Austria,201002,325964400,326742348
Austria,201003,382625200,386295462
Austria,201004,328168700,356468128
Austria,201005,292923800,376861083
Austria,201006,304230500,360340009
Austria,201007,369523600,367833715
Austria,201008,361605600,365403546
Austria,201009,341919500,425898198
Austria,201010,322955400,418365610
Austria,201011,385955300,474152604
Austria,201012,316911400,382071285
Austria,201101,347779200,405117865
Austria,201102,370149100,436539713
Austria,201103,359676400,527497081
Austria,201104,320663800,507456110
Austria,201105,332205200,550545107
Austria,201106,357880300,543706756
Austria,201107,322579800,497551404
Austria,201108,402801000,490010727
Austria,201109,403310500,538039844
Austria,201110,386854400,478296601
Austria,201111,360374200,531374643
Austria,201112,332829500,434320545
Austria,201201,351897800,443318498
