partner_country,period,net_weight,usd_value
Albania,201002,1602,6188
Albania,201107,273,8703
Albania,201310,1,204
Antigua and Barbuda,201001,15380,16466
Antigua and Barbuda,201006,10380,7575
Antigua and Barbuda,201010,1872,7850
Antigua and Barbuda,201109,49387,37210
Antigua and Barbuda,201110,25585,30607
Antigua and Barbuda,201111,262723,214811
Antigua and Barbuda,201112,1428433,831597
Antigua and Barbuda,201202,2053607,1432184
Antigua and Barbuda,201203,2976929,2163529
Antigua and Barbuda,201204,200147,166531
Antigua and Barbuda,201206,2086235,1758125
Antigua and Barbuda,201207,420102,319982
Antigua and Barbuda,201208,2,1407
Antigua and Barbuda,201210,689892,548062
Antigua and Barbuda,201211,99959,83728
Antigua and Barbuda,201212,1168421,959961
Antigua and Barbuda,201301,1027059,768023
Antigua and Barbuda,201302,561064,408827
Antigua and Barbuda,201303,361812,278467
Antigua and Barbuda,201305,30354,22272
Antigua and Barbuda,201306,220156,160664
Antigua and Barbuda,201307,111089,80440
Antigua and Barbuda,201309,25617,24777
Antigua and Barbuda,201311,103860,99452
Argentina,201001,11,10368
Argentina,201002,21463,310459
Argentina,201003,48,16062
Argentina,201004,29,5804
Argentina,201005,50,41839
Argentina,201006,7249,425573
Argentina,201007,3,120
Argentina,201008,1528,5652
Argentina,201009,37,7814
Argentina,201010,115,35169
Argentina,201011,2,134
Argentina,201012,331,8571
Argentina,201101,5990,112870
Argentina,201103,40,9805
Argentina,201104,5,6832
Argentina,201105,119,42397
Argentina,201106,23,8796
Argentina,201107,72,32397
Argentina,201108,2831,51804
Argentina,201110,28,6350
Argentina,201111,194,49330
Argentina,201201,2,141
Argentina,201202,2,3061
Argentina,201203,63,6234
Argentina,201204,40,43955
Argentina,201205,13001,183089
Argentina,201206,3,134
Argentina,201208,1016,10704
Argentina,201209,7000,138377
Argentina,201211,1,39
Argentina,201301,1,31
Argentina,201303,683,19173
Argentina,201304,28,142
Argentina,201305,2,53
Argentina,201306,22,51411
Argentina,201308,11981,194646
Argentina,201309,8,25361
Argentina,201310,711,13009
Argentina,201311,14056,153724
Aruba,201012,16039,12932
Aruba,201101,2465,2001
Aruba,201104,5035,5154
Aruba,201105,2652,2840
Aruba,201201,5142,5543
Aruba,201202,4455,4605
Aruba,201205,15549,17604
Aruba,201207,12727,13288
Aruba,201301,8083,8591
Aruba,201302,4706,5000
Australia,201001,32367,413304
Australia,201002,17670,219136
Australia,201003,145470,557785
Australia,201004,129265,760708
Australia,201005,392351,1194457
Australia,201006,1294817,2272513
Australia,201007,568663,1323921
Australia,201008,113473,339302
Australia,201009,305650,943093
