partner_country,period,net_weight,usd_value
Albania,201101,209031,441308
Albania,201102,577447,1113885
Albania,201103,403283,3303510
Albania,201104,279474,737229
Albania,201105,768607,892981
Albania,201106,465068,1020692
Albania,201107,787844,1443856
Albania,201108,405777,840111
Albania,201109,440058,1071274
Albania,201110,468322,979005
Albania,201111,1072612,1148124
Albania,201112,602988,1028098
Albania,201201,419336,839626
Albania,201202,1021345,1125334
Albania,201203,797405,1504915
Albania,201204,1272997,2078574
Albania,201205,715758,1349007
Albania,201206,2239722,2319535
Albania,201207,722260,1195322
Albania,201208,1224153,1128799
Albania,201209,663445,1177001
Albania,201210,512883,527957
Albania,201211,1026773,1820591
Albania,201212,934338,1709938
Albania,201301,546196,1047261
Albania,201302,1287999,1353888
Albania,201303,1274635,1770545
Albania,201304,688207,868708
Albania,201305,401025,560891
Albania,201306,972757,1846037
Albania,201307,928065,1579910
Albania,201308,1164753,1888855
Albania,201309,1147537,2144333
Albania,201310,1396278,1712485
Albania,201311,1130699,1400927
Algeria,201101,16129337,66395768
Algeria,201102,10956953,38102146
Algeria,201103,18950714,72918142
Algeria,201104,16847465,53951060
Algeria,201105,37346565,88891819
Algeria,201106,29643132,74133237
Algeria,201107,30118659,97631387
Algeria,201108,16564541,60437479
Algeria,201109,9008693,65871437
Algeria,201110,11568792,51500461
Algeria,201111,11394464,60827254
Algeria,201112,18121887,71798256
Algeria,201201,16748567,61264412
Algeria,201202,16320466,61836700
Algeria,201203,18554939,87539568
Algeria,201204,19642327,73161601
Algeria,201205,25530573,93867582
Algeria,201206,26256875,118301399
Algeria,201207,25124632,99467193
Algeria,201208,22144266,70992440
Algeria,201209,20236324,83974034
Algeria,201210,16397113,71797979
Algeria,201211,16950749,79989978
Algeria,201212,22374321,109669217
Algeria,201301,22992515,92432607
Algeria,201302,20387480,80419498
Algeria,201303,32774807,114684796
Algeria,201304,22151355,84522321
Algeria,201305,39641419,115299010
Algeria,201306,27903258,102590092
Algeria,201307,31184424,102025196
Algeria,201308,30936486,99675020
Algeria,201309,30312516,102493876
Algeria,201310,26871002,70553265
Algeria,201311,18607961,63271138
Antigua and Barbuda,201101,18554,52576
Antigua and Barbuda,201102,942,108703
Antigua and Barbuda,201103,2175,250580
Antigua and Barbuda,201104,102270,84545
Antigua and Barbuda,201105,15826,46904
Antigua and Barbuda,201106,3107,183621
Antigua and Barbuda,201107,22,57153
Antigua and Barbuda,201108,188,32777
Antigua and Barbuda,201109,739,21702
Antigua and Barbuda,201110,348,20014
Antigua and Barbuda,201111,19625,70622
Antigua and Barbuda,201112,2636,43266
