partner_country,period,net_weight,usd_value
Albania,201212,233388,241239
Albania,201301,458484,428736
Albania,201302,91580,112905
Albania,201303,282106,284066
Albania,201304,404153,426410
Algeria,201212,10792066,16527272
Algeria,201301,5342910,11252706
Algeria,201302,18534252,22959458
Algeria,201303,28485543,33367624
Algeria,201304,13331039,18505733
Antigua and Barbuda,201212,222,1864
Antigua and Barbuda,201301,150,1594
Antigua and Barbuda,201302,505,8740
Antigua and Barbuda,201303,2571,23707
Antigua and Barbuda,201304,7660,48286
Argentina,201212,6798220,23107774
Argentina,201301,7120651,26370940
Argentina,201302,7749196,20493548
Argentina,201303,7140269,23955495
Argentina,201304,18696472,37342374
Armenia,201212,164910,299004
Armenia,201301,74400,159960
Armenia,201302,206781,438077
Armenia,201303,82179,237586
Armenia,201304,135117,350766
Aruba,201212,15100,67774
Aruba,201301,19689,28018
Aruba,201302,80732,160442
Aruba,201303,2199,28078
Aruba,201304,11000,18833
Australia,201212,420460164,414201263
Australia,201301,144182712,216486888
Australia,201302,207094417,288825899
Australia,201303,348657801,364407395
Australia,201304,449220674,382940350
Austria,201212,516726,3761883
Austria,201301,607867,6096885
Austria,201302,409361,4442371
Austria,201303,678431,3341264
Austria,201304,496800,3981170
Azerbaijan,201212,213891,683827
Azerbaijan,201301,191120,433867
Azerbaijan,201302,110192,237522
Azerbaijan,201303,119984,447851
Azerbaijan,201304,281076,786615
Bahrain,201212,1562554,2441667
Bahrain,201301,1134544,2099799
Bahrain,201302,1456882,2230322
Bahrain,201303,1491582,3849015
Bahrain,201304,1503984,4238024
Barbados,201212,97653,369728
Barbados,201301,38496,55611
Barbados,201302,65825,101006
Barbados,201303,89797,147327
Barbados,201304,158662,394548
Belarus,201212,21262,144822
Belarus,201301,12657,137318
Belarus,201302,60676,266055
Belarus,201303,43890,291857
Belarus,201304,35548,202967
Belgium,201212,23675583,102050161
Belgium,201301,22746816,108126411
Belgium,201302,32393730,112505408
Belgium,201303,28954799,107114803
Belgium,201304,23349228,104200379
Bolivia (Plurinational State of),201212,80457,541824
Bolivia (Plurinational State of),201301,53341,191756
Bolivia (Plurinational State of),201302,206774,496641
Bolivia (Plurinational State of),201303,127060,427642
Bolivia (Plurinational State of),201304,114098,321186
Bosnia Herzegovina,201212,185625,207631
Bosnia Herzegovina,201301,35488,164460
Bosnia Herzegovina,201302,29934,167972
Bosnia Herzegovina,201303,141670,158403
Bosnia Herzegovina,201304,176592,352308
Brazil,201212,50300442,106794753
Brazil,201301,59731153,126692512
Brazil,201302,25583917,89519895
Brazil,201303,46136318,106229621
Brazil,201304,37651281,115801079
Brunei Darussalam,201212,2817528,5730904
Brunei Darussalam,201301,5167690,4649402
Brunei Darussalam,201302,2866999,24070161
Brunei Darussalam,201303,4300065,27082033
Brunei Darussalam,201304,2928973,6779473
Bulgaria,201212,2698039,3818833
Bulgaria,201301,3541637,5095650
Bulgaria,201302,4289896,4808409
Bulgaria,201303,2775837,3507617
Bulgaria,201304,2717969,3499040
Burkina Faso,201212,128996,469942
Burkina Faso,201301,484475,1160565
Burkina Faso,201302,120384,495762
Burkina Faso,201303,453494,708746
Burkina Faso,201304,1106185,2277721
Burundi,201212,12192,45439
Burundi,201301,8678,27744
Burundi,201304,12785,73084
Cabo Verde,201212,47730,110613
Cabo Verde,201302,142764,177907
Cabo Verde,201303,29867,41318
Cabo Verde,201304,180955,181771
Cameroon,201212,1370267,2124153
Cameroon,201301,1130454,1233502
Cameroon,201302,940555,1202239
Cameroon,201303,2854571,3014418
Cameroon,201304,7925640,6310585
Canada,201212,15906278,61104795
Canada,201301,16598969,67408604
Canada,201302,25700593,66273176
Canada,201303,16200062,67311255
Canada,201304,15405258,67263112
Central African Rep.,201212,26928,45773
Central African Rep.,201301,2392,10333
Central African Rep.,201304,17000,15697
Chile,201212,4024813,11796370
Chile,201301,3106563,13799340
Chile,201302,2654677,8934089
Chile,201303,4784955,13897574
Chile,201304,4662676,17430119
China,201212,25211434378,2067312574
China,201301,20416741454,1634880157
China,201302,22530499068,1893687136
China,201303,25263459360,1855253202
China,201304,22291931907,1827081636
"China, Hong Kong SAR",201212,862918877,212099261
"China, Hong Kong SAR",201301,855313860,196832662
"China, Hong Kong SAR",201302,1350275358,199452289
"China, Hong Kong SAR",201303,1012734764,191207716
"China, Hong Kong SAR",201304,1318274399,198010899
Colombia,201212,9778216,17869046
Colombia,201301,2441673,9165636
Colombia,201302,8186445,12654346
Colombia,201303,3613226,10538882
Colombia,201304,3543105,10625400
Croatia,201212,551284,926246
Croatia,201301,554718,1218267
Croatia,201302,1245753,2320474
Croatia,201303,672622,1030744
Croatia,201304,765999,1734421
Cyprus,201212,1059799,1032790
Cyprus,201301,762505,938949
Cyprus,201302,308839,505838
Cyprus,201303,775452,1033763
Cyprus,201304,669765,889082
Czech Rep.,201212,681726,4540719
Czech Rep.,201301,741404,4981868
Czech Rep.,201302,823197,4009045
Czech Rep.,201303,870596,3789251
Czech Rep.,201304,625025,3997722
Denmark,201212,8579857,18464846
Denmark,201301,13431690,25715652
Denmark,201302,6169263,15001280
Denmark,201303,5663415,13630684
Denmark,201304,17186558,25505160
Dominica,201301,975,6030
Dominica,201302,90720,272992
Dominica,201303,136080,407803
Dominica,201304,107720,278222
Dominican Rep.,201212,955980,2045283
Dominican Rep.,201301,742706,2342789
Dominican Rep.,201302,880325,1656635
Dominican Rep.,201303,1248235,3043516
Dominican Rep.,201304,977720,3006186
Ecuador,201212,3522419,6442791
Ecuador,201301,1477750,2719349
Ecuador,201302,1569881,2915325
Ecuador,201303,2608849,4930986
Ecuador,201304,2317323,5780971
Egypt,201212,36864843,50389480
Egypt,201301,128089296,121509947
Egypt,201302,135485379,126146506
Egypt,201303,75788293,85479087
Egypt,201304,108753371,101511899
El Salvador,201212,568331,674768
El Salvador,201301,711663,773740
El Salvador,201302,632111,734225
El Salvador,201303,870590,1015350
El Salvador,201304,663069,692384
Estonia,201212,1265688,2871770
Estonia,201301,1333776,2891651
Estonia,201302,1772425,3272396
Estonia,201303,1509272,3091153
Estonia,201304,1979078,3901881
Ethiopia,201212,1103521,1416250
Ethiopia,201301,1817821,2865120
Ethiopia,201302,1622414,2973922
Ethiopia,201303,1506270,3232565
Ethiopia,201304,2499278,4220587
Finland,201212,1962554,8643990
Finland,201301,2853947,10779215
Finland,201302,3501428,14809028
Finland,201303,3924486,16176236
Finland,201304,3383282,11368499
France,201212,16519622,86706158
France,201301,16218429,98345060
France,201302,14746295,81439527
France,201303,17370855,83954299
France,201304,17176094,88571228
Georgia,201212,1839204,2249195
Georgia,201301,6513096,6211464
Georgia,201302,1177011,1805067
Georgia,201303,1849339,2751516
Georgia,201304,6130873,6414500
Germany,201212,66754352,218948235
Germany,201301,60186171,220832838
Germany,201302,61542313,209031758
Germany,201303,104586013,251486740
Germany,201304,91233302,268527718
Greece,201212,41023529,11238904
Greece,201301,83188583,17394022
Greece,201302,48579571,13715730
Greece,201303,42622070,11244864
Greece,201304,45842870,12432480
Guatemala,201212,1272051,1958934
Guatemala,201301,1445150,2109234
Guatemala,201302,1054278,2176995
Guatemala,201303,1794723,3055481
Guatemala,201304,1018379,2316380
Hungary,201212,690249,8041752
Hungary,201301,768457,7692440
Hungary,201302,814924,7736249
Hungary,201303,603969,8103116
Hungary,201304,713799,7488337
Iceland,201301,13622,18275
Iceland,201302,6764,57420
Iceland,201303,20751,16052
Iceland,201304,2422,14337
India,201212,11956222618,1192150935
India,201301,10949856035,1319192396
India,201302,8510652712,1015473949
India,201303,10824082930,910489233
India,201304,13118785510,1167715274
Ireland,201212,838085,3802031
Ireland,201301,1430631,5768193
Ireland,201302,1389906,4753925
Ireland,201303,1713199,4797577
Ireland,201304,1223943,5257910
Israel,201212,17544933,19509221
Israel,201301,5835798,14897415
Israel,201302,5498144,12202053
Israel,201303,4880221,12530464
Israel,201304,17730747,20927352
Italy,201212,661910876,177534321
Italy,201301,601827188,200370317
Italy,201302,449779297,171703228
Italy,201303,310913505,172406606
Italy,201304,356469520,202046354
Japan,201212,4700462242,2149205382
Japan,201301,4980115568,2302899771
Japan,201302,5047241564,2358625905
Japan,201303,4998120996,2250352385
Japan,201304,4571000967,2344856903
Jordan,201212,13721895,16469765
Jordan,201301,6449496,9467335
Jordan,201302,8630861,12217297
Jordan,201303,11591476,13362377
Jordan,201304,9015844,11968600
Kazakhstan,201212,136057,756834
Kazakhstan,201301,104053,686085
Kazakhstan,201302,71172,519134
Kazakhstan,201303,91740,466479
Kazakhstan,201304,74140,462346
Kenya,201212,16188954,14244777
Kenya,201301,35331667,30431481
Kenya,201302,37348198,30288425
Kenya,201303,13267365,13919282
Kenya,201304,14456850,15033640
Kyrgyzstan,201212,39115,144123
Kyrgyzstan,201301,64745,50293
Kyrgyzstan,201302,34144,101570
Kyrgyzstan,201303,68600,158541
Kyrgyzstan,201304,14429,59558
Latvia,201212,1256794,3599164
Latvia,201301,1488543,4370694
Latvia,201302,800054,2385873
Latvia,201303,1045429,3060378
Latvia,201304,1002437,2684911
Lithuania,201212,923209,2801164
Lithuania,201301,1004824,3031210
Lithuania,201302,1183159,4294010
Lithuania,201303,947547,2350165
Lithuania,201304,825608,2474436
Luxembourg,201212,798969,2424521
Luxembourg,201301,268562,1007457
Luxembourg,201302,558805,1848075
Luxembourg,201303,557929,1858414
Luxembourg,201304,477209,1517535
Madagascar,201212,9676999,8638844
Madagascar,201301,5033921,5591203
Madagascar,201302,6276281,5985645
Madagascar,201303,8521029,7593579
Madagascar,201304,3418988,3057293
Malaysia,201212,1904817385,927655166
Malaysia,201301,2576673614,949920027
Malaysia,201302,1944658465,877362868
Malaysia,201303,2182044813,847843456
Malaysia,201304,2005641142,813024169
Mali,201212,279249,350838
Mali,201301,282196,655986
Mali,201302,134256,353476
Mali,201303,314740,1329314
Mali,201304,275648,416088
Malta,201212,345026,377906
Malta,201301,423473,640628
Malta,201302,155544,295915
Malta,201303,102045,282012
Malta,201304,63953,136403
Mauritius,201212,3810614,5904753
Mauritius,201301,5045246,5326553
Mauritius,201302,4946584,4430960
Mauritius,201303,4689641,4683611
Mauritius,201304,6063862,6762727
Mexico,201212,29444299,45706082
Mexico,201301,43497131,61727574
Mexico,201302,27280354,50319618
Mexico,201303,76668664,52713107
Mexico,201304,76832541,58432059
Montenegro,201302,120000,133800
Montenegro,201303,277397,267968
Montenegro,201304,181811,236237
Morocco,201212,1653231,3979885
Morocco,201301,2359712,5458164
Morocco,201302,2082102,5055325
Morocco,201303,1540688,3965157
Morocco,201304,1409523,4084212
Mozambique,201212,14112100,10999441
Mozambique,201301,13072501,10302019
Mozambique,201302,5685610,4753624
Mozambique,201303,5620095,4399009
Mozambique,201304,10836940,8673352
Namibia,201212,363386,950614
Namibia,201301,63694,74774
Namibia,201302,39275,175361
Namibia,201303,167737,206422
Namibia,201304,92886,127622
Netherlands,201212,529199560,443794018
Netherlands,201301,460788945,401171235
Netherlands,201302,401017381,340731423
Netherlands,201303,434979772,306697494
Netherlands,201304,277476207,306861263
New Caledonia,201212,781687,1257868
New Caledonia,201301,589443,950291
New Caledonia,201302,763295,1349808
New Caledonia,201303,415894,672221
New Caledonia,201304,252794,716696
New Zealand,201212,160204113,60659984
New Zealand,201301,52254594,23691652
New Zealand,201302,97043463,30339623
New Zealand,201303,121257231,36191166
New Zealand,201304,118026798,32319316
Nicaragua,201212,421508,897193
Nicaragua,201301,5476603,5506608
Nicaragua,201302,613392,1071675
Nicaragua,201303,786695,2122796
Nicaragua,201304,526415,1336198
