partner_country,period,net_weight,usd_value
Albania,201001,4200,421329
Albania,201002,41600,775175
Albania,201003,67900,679847
Albania,201004,22900,618966
Albania,201005,23100,641217
Albania,201006,40300,1214851
Albania,201007,28000,570419
Albania,201008,23500,577757
Albania,201009,87200,389205
Albania,201010,8500,228786
Albania,201011,32800,635140
Albania,201012,29200,730878
Albania,201101,36600,315604
Albania,201102,47100,959592
Albania,201103,44500,601747
Albania,201104,21700,712554
Albania,201105,23400,656222
Albania,201106,18900,532832
Albania,201107,44400,1074721
Albania,201108,18800,651573
Albania,201109,30400,1323918
Albania,201110,3600,154550
Albania,201111,81200,736334
Albania,201201,13200,353404
Albania,201202,19300,498716
Albania,201203,31900,879372
Albania,201204,23300,831364
Albania,201205,21700,428687
Albania,201206,40100,917579
Albania,201207,20500,387131
Albania,201208,18800,503490
Albania,201209,51500,503318
Albania,201210,39500,535669
Albania,201211,48100,482781
Albania,201212,23000,105011
Albania,201301,37900,1871867
Albania,201302,19900,480722
Albania,201303,49600,466562
Albania,201304,18900,427705
Albania,201305,27600,537612
Albania,201306,44700,1072804
Albania,201307,28800,766527
Albania,201308,32300,680514
Albania,201309,37500,100589
Albania,201310,39000,933962
Albania,201311,68900,618556
Algeria,201001,1181200,5324463
Algeria,201002,552300,3906375
Algeria,201003,410800,2716306
Algeria,201004,1102000,5010792
Algeria,201005,1416600,6123997
Algeria,201006,2333000,10274252
Algeria,201007,1565300,10153457
Algeria,201008,1818000,6581709
Algeria,201009,1179300,5314265
Algeria,201010,1009500,5404739
Algeria,201011,1450800,7593846
Algeria,201012,1179800,6149470
Algeria,201101,1116700,5543999
Algeria,201102,279400,2237387
Algeria,201103,869100,6625965
Algeria,201104,2652200,15730875
Algeria,201105,1113300,6367120
Algeria,201106,881000,4740731
Algeria,201107,1497400,9898730
Algeria,201108,1162000,5851613
Algeria,201109,702100,5082466
Algeria,201110,723000,4347394
Algeria,201111,942100,5104133
Algeria,201201,363600,2547756
Algeria,201202,468700,2427768
Algeria,201203,1045400,7883890
Algeria,201204,835500,4529676
Algeria,201205,562600,3143804
Algeria,201206,1222100,6343819
Algeria,201207,928300,6293068
Algeria,201208,732800,4022165
Algeria,201209,1043500,5144867
Algeria,201210,564200,3705451
Algeria,201211,1656500,8353270
Algeria,201212,1472600,7352951
Algeria,201301,412900,3324856
Algeria,201302,440200,3836306
Algeria,201303,731100,6820090
Algeria,201304,502000,4620039
Algeria,201305,1040200,7192677
Algeria,201306,1072600,7017563
Algeria,201307,688000,4971027
Algeria,201308,713500,4785023
Algeria,201309,537600,3684047
Algeria,201310,277700,2270122
Algeria,201311,739800,5376969
Antigua and Barbuda,201002,400,4653
Antigua and Barbuda,201003,100,7204
Antigua and Barbuda,201005,3600,41545
Antigua and Barbuda,201007,14400,82381
Antigua and Barbuda,201101,3600,44195
Antigua and Barbuda,201103,200,7559
Antigua and Barbuda,201108,100,2295
Antigua and Barbuda,201109,1818400,275
Antigua and Barbuda,201201,1604000,916
Antigua and Barbuda,201204,100,5186
Antigua and Barbuda,201209,2034700,193
Antigua and Barbuda,201211,200,641
Antigua and Barbuda,201212,300,1319
Antigua and Barbuda,201302,100,668
Antigua and Barbuda,201303,100,6041
Antigua and Barbuda,201305,200,9633
Antigua and Barbuda,201306,1459900,13
Antigua and Barbuda,201310,2287200,341
