partner_country,period,net_weight,usd_value
Albania,201112,375000,1000
Argentina,201001,4600,6291000
Argentina,201002,5600,5685000
Argentina,201003,4700,6662000
Argentina,201004,5600,7947000
Argentina,201005,5200,9580000
Argentina,201006,7100,7812000
Argentina,201007,10600,11779000
Argentina,201008,10000,7385000
Argentina,201009,600,9350000
Argentina,201010,7100,13069000
Argentina,201011,200,36326000
Argentina,201012,200,9154000
Argentina,201101,3800,8484000
Argentina,201102,2000,5089000
Argentina,201103,5000,8962000
Argentina,201104,7700,7258000
Argentina,201105,5100,12132000
Argentina,201106,3800,11363000
Argentina,201107,400,15866000
Argentina,201108,1600,8179000
Argentina,201109,4400,14798000
Argentina,201110,16900,13438000
Argentina,201111,400,16911000
Argentina,201112,375000,11209000
Argentina,201201,4500,14819000
Argentina,201202,4800,4752000
Argentina,201203,13900,9875000
Argentina,201204,23300,9328000
Argentina,201205,200,14538000
Argentina,201206,40100,8229000
Argentina,201207,1200,11947000
Argentina,201208,12000,9597000
Argentina,201209,11000,8530000
Argentina,201210,900,14405000
Argentina,201211,6000,13873000
Argentina,201212,23000,7624000
Argentina,201301,300,8627000
Argentina,201302,1300,7926000
Argentina,201303,9800,11056000
Argentina,201304,18900,10137000
Argentina,201305,4900,13441000
Argentina,201306,100,11078000
Armenia,201001,4600,178000
Armenia,201002,5600,391000
Armenia,201003,4700,190000
Armenia,201004,5600,421000
Armenia,201005,5200,230000
Armenia,201006,7100,1301000
Armenia,201007,10600,157000
Armenia,201008,10000,310000
Armenia,201009,600,418000
Armenia,201010,7100,594000
Armenia,201011,200,240000
Armenia,201012,200,1150000
Armenia,201101,3800,1238000
Armenia,201102,2000,871000
Armenia,201103,5000,331000
Armenia,201104,7700,836000
Armenia,201105,5100,439000
Armenia,201106,3800,511000
Armenia,201107,400,1054000
Armenia,201108,1600,760000
Armenia,201109,4400,332000
Armenia,201110,16900,449000
Armenia,201111,400,1193000
Armenia,201112,375000,424000
Armenia,201201,4500,447000
Armenia,201202,4800,355000
Armenia,201203,13900,864000
Armenia,201204,23300,401000
Armenia,201205,200,550000
Armenia,201206,40100,438000
Armenia,201207,1200,361000
Armenia,201208,12000,401000
Armenia,201209,11000,215000
Armenia,201210,900,516000
Armenia,201211,6000,239000
Armenia,201212,23000,243000
Armenia,201301,300,116000
Armenia,201302,1300,321000
Armenia,201303,9800,354000
Armenia,201304,18900,270000
Armenia,201305,4900,298000
Armenia,201306,100,361000
Aruba,201206,40100,5000
Australia,201001,4600,41566000
Australia,201002,5600,34505000
Australia,201003,4700,41760000
Australia,201004,5600,41764000
Australia,201005,5200,40542000
Australia,201006,7100,49906000
Australia,201007,10600,45549000
Australia,201008,10000,43256000
Australia,201009,600,35698000
Australia,201010,7100,42098000
Australia,201011,200,51700000
Australia,201012,200,62918000
Australia,201101,3800,47069000
Australia,201102,2000,37225000
Australia,201103,5000,62550000
Australia,201104,7700,42949000
Australia,201105,5100,43593000
Australia,201106,3800,55258000
Australia,201107,400,56749000
Australia,201108,1600,48611000
Australia,201109,4400,47686000
Australia,201110,16900,41524000
Australia,201111,400,55893000
Australia,201112,375000,53885000
Australia,201201,4500,44545000
Australia,201202,4800,50738000
Australia,201203,13900,49188000
Australia,201204,23300,44442000
Australia,201205,200,48690000
Australia,201206,40100,50431000
Australia,201207,1200,60930000
Australia,201208,12000,61266000
Australia,201209,11000,55619000
Australia,201210,900,56698000
Australia,201211,6000,34571000
Australia,201212,23000,47842000
Australia,201301,300,47173000
Australia,201302,1300,46348000
Australia,201303,9800,43094000
Australia,201304,18900,37124000
Australia,201305,4900,55666000
Australia,201306,100,48606000
Austria,201001,4600,7806000
Austria,201002,5600,7835000
Austria,201003,4700,12518000
Austria,201004,5600,7396000
Austria,201005,5200,13229000
Austria,201006,7100,13652000
Austria,201007,10600,10909000
Austria,201008,10000,12330000
Austria,201009,600,14015000
Austria,201010,7100,14992000
Austria,201011,200,20387000
Austria,201012,200,20370000
Austria,201101,3800,12591000
Austria,201102,2000,20154000
