partner_country,period,net_weight,usd_value
Albania,201001,48947400,72883224
Albania,201002,66765900,97651177
Albania,201003,97507200,95344376
Albania,201004,100074400,102682819
Albania,201005,90518200,94575346
Albania,201006,97083900,109091710
Albania,201007,123822400,132017112
Albania,201008,109943600,79423476
Albania,201009,125752900,119038945
Albania,201010,128388900,135267544
Albania,201011,105972800,123840783
Albania,201012,83301500,116693189
Albania,201101,86415500,83848752
Albania,201102,87651200,103399222
Albania,201103,102301600,132241027
Albania,201104,87186500,109910808
Albania,201105,113063400,151666218
Albania,201106,110609700,153079214
Albania,201107,107213900,158518941
Albania,201108,121381600,127739679
Albania,201109,97741400,121465932
Albania,201110,146635100,158117654
Albania,201111,91830900,130157735
Albania,201112,128581600,161341006
Albania,201201,73917600,72505667
Albania,201202,78897500,120686697
Albania,201203,104204000,130187035
Albania,201204,100535400,114079747
Albania,201205,138258500,155035674
Albania,201206,100651600,120283282
Albania,201207,157991800,167962428
Albania,201208,151389800,160025395
Albania,201209,89131200,125186478
Albania,201210,116815000,157813846
Albania,201211,90653300,133693685
Albania,201212,119857500,169660635
Albania,201301,50841800,96451156
Albania,201302,76370400,121690885
Albania,201303,72827100,120751679
Albania,201304,91383500,123595002
Albania,201305,97593100,140747761
Albania,201306,110876500,145287096
Albania,201307,126506300,167142582
Albania,201308,114267400,120281752
Albania,201309,98444100,130718361
Albania,201310,110474500,146686554
Albania,201311,112696200,152580317
Algeria,201001,141680100,240324067
Algeria,201002,129389000,279926941
Algeria,201003,179627600,377149361
Algeria,201004,228118600,336518168
Algeria,201005,178483100,297260216
Algeria,201006,187713100,268716024
Algeria,201007,164960700,307511447
Algeria,201008,103553000,243606036
Algeria,201009,128351900,264447967
Algeria,201010,169640300,465823741
Algeria,201011,136777000,344003333
Algeria,201012,107787600,376531619
Algeria,201101,95623400,263065404
Algeria,201102,123664900,350278800
Algeria,201103,149524000,377997636
Algeria,201104,182864100,370420767
Algeria,201105,179917500,386123181
Algeria,201106,170925300,393617655
Algeria,201107,215032600,417601924
Algeria,201108,169185500,283311975
Algeria,201109,175766800,300806740
Algeria,201110,229226100,332009452
Algeria,201111,261854000,322392628
Algeria,201112,206498400,392309519
Algeria,201201,205054500,256089883
Algeria,201202,234877900,357489189
Algeria,201203,340696000,419712784
Algeria,201204,285729300,380831187
Algeria,201205,284237900,374803890
Algeria,201206,364328700,459259642
Algeria,201207,380639300,469984225
Algeria,201208,303194800,391901960
Algeria,201209,170568300,250726439
Algeria,201210,360333300,554518975
Algeria,201211,306342900,441207576
Algeria,201212,273737500,473301485
Algeria,201301,180300800,289558437
Algeria,201302,305172700,406256451
Algeria,201303,381631200,472344363
Algeria,201304,343711800,393630790
Algeria,201305,502642500,616135760
Algeria,201306,378106500,493669274
Algeria,201307,359706600,482684871
Algeria,201308,288170100,359381968
Algeria,201309,283671800,376868597
Algeria,201310,380958700,634070758
Algeria,201311,279950100,541840290
Antigua and Barbuda,201001,103200,748407
Antigua and Barbuda,201002,152700,231648
Antigua and Barbuda,201003,195100,565981
Antigua and Barbuda,201004,177700,511880
Antigua and Barbuda,201005,112500,266374
Antigua and Barbuda,201006,77900,112208
Antigua and Barbuda,201007,136700,430142
Antigua and Barbuda,201008,104000,368528
Antigua and Barbuda,201009,91500,145211
Antigua and Barbuda,201010,53700,291935
Antigua and Barbuda,201011,182600,497333
Antigua and Barbuda,201012,172500,666770
Antigua and Barbuda,201101,59400,646452
Antigua and Barbuda,201102,167100,431948
Antigua and Barbuda,201103,168300,399575
Antigua and Barbuda,201104,146600,371452
Antigua and Barbuda,201105,147500,566750
Antigua and Barbuda,201106,94800,531981
Antigua and Barbuda,201107,114400,347229
Antigua and Barbuda,201108,126300,378643
Antigua and Barbuda,201109,70500,174218
Antigua and Barbuda,201110,174100,342404
Antigua and Barbuda,201111,184900,1219256
Antigua and Barbuda,201112,84700,217453
Antigua and Barbuda,201201,37200,123862
Antigua and Barbuda,201202,185300,410588
Antigua and Barbuda,201203,169000,554072
Antigua and Barbuda,201204,99000,293961
Antigua and Barbuda,201205,53000,417058
Antigua and Barbuda,201206,88900,505515
Antigua and Barbuda,201207,88100,250974
Antigua and Barbuda,201208,78700,338013
Antigua and Barbuda,201209,78200,222025
Antigua and Barbuda,201210,167900,583092
Antigua and Barbuda,201211,119100,373395
Antigua and Barbuda,201212,107000,674306
Antigua and Barbuda,201301,112800,778132
Antigua and Barbuda,201302,53500,160828
Antigua and Barbuda,201303,166700,1956555
Antigua and Barbuda,201304,135800,278417
Antigua and Barbuda,201305,106300,551644
Antigua and Barbuda,201306,140300,272326
Antigua and Barbuda,201307,114400,222280
Antigua and Barbuda,201308,134300,647227
Antigua and Barbuda,201309,114900,434199
Antigua and Barbuda,201310,142000,650209
Antigua and Barbuda,201311,110900,341722
Argentina,201001,8906200,60626117
Argentina,201002,11320300,108670864
Argentina,201003,17587100,119615591
Argentina,201004,25271500,98865323
Argentina,201005,13726600,82696538
Argentina,201006,14520900,102731375
Argentina,201007,20341900,121584656
Argentina,201008,14547800,84096415
Argentina,201009,15371100,85105280
Argentina,201010,17202400,133091775
Argentina,201011,19885100,132482171
Argentina,201012,16602000,116960095
Argentina,201101,15116800,96010428
Argentina,201102,17183400,104859404
Argentina,201103,15466600,112650871
Argentina,201104,14689900,112392608
Argentina,201105,46766200,169922118
Argentina,201106,50444000,140109412
Argentina,201107,18194500,127844644
Argentina,201108,26523900,121626400
Argentina,201109,22622800,121324628
Argentina,201110,24639200,126917459
Argentina,201111,21265200,124046318
Argentina,201112,26141200,134970545
Argentina,201201,25184900,114910561
Argentina,201202,11623400,83306479
Argentina,201203,14353000,111001199
Argentina,201204,13941200,88652565
Argentina,201205,17157100,110676878
Argentina,201206,19246300,110887549
Argentina,201207,28889200,119929413
Argentina,201208,14151600,98879240
Argentina,201209,20471000,91401621
Argentina,201210,16149200,109641217
Argentina,201211,15266800,122394003
Argentina,201212,24922000,136430587
Argentina,201301,12550300,96470382
Argentina,201302,11340300,99211321
Argentina,201303,14632900,130929116
Argentina,201304,12322600,106755983
Argentina,201305,16708000,134852537
Argentina,201306,13015500,116062713
Argentina,201307,16339100,148887714
Argentina,201308,11689500,114528012
Argentina,201309,12939500,109493280
Argentina,201310,20753800,118761387
Argentina,201311,16078500,121961258
Armenia,201001,602700,4001435
Armenia,201002,1278300,8277730
Armenia,201003,1660800,10996145
Armenia,201004,1110900,8893121
Armenia,201005,1223300,7333877
Armenia,201006,1452800,7963704
Armenia,201007,1887100,12676382
