partner_country,period,net_weight,usd_value
Albania,201001,28501,151912
Albania,201002,32296,187166
Albania,201003,73867,353821
Albania,201004,19113,133352
Albania,201005,74121,294948
Albania,201006,47428,161293
Albania,201007,99271,350815
Albania,201008,4006,101142
Albania,201009,24707,108159
Albania,201010,75554,300182
Albania,201011,53273,215214
Albania,201012,72599,4185480
Albania,201101,21017,96912
Albania,201102,42804,197068
Albania,201103,28915,287948
Albania,201104,65461,244999
Albania,201105,39546,120179
Albania,201106,22900,78252
Albania,201107,40858,257883
Albania,201108,11414,40326
Albania,201109,33790,159822
Albania,201110,62845,338677
Albania,201111,20000,9384
Albania,201112,66203,379926
Albania,201202,100572,300414
Albania,201203,38495,124377
Albania,201204,45173,94652
Albania,201205,85904,292879
Albania,201206,44110,95156
Albania,201207,16817,74839
Albania,201208,15320,61654
Albania,201209,80820,110121
Albania,201210,13837,111020
Albania,201211,45172,178421
Albania,201212,25495,122964
Albania,201301,54810,185288
Albania,201302,2561,55806
Albania,201303,65162,240878
Albania,201304,28954,104284
Albania,201305,41971,141599
Albania,201306,47134,134589
Albania,201307,10392,85924
Albania,201308,57,23113
Albania,201309,55740,112415
Albania,201311,46569,242298
Albania,201312,51468,146007
Algeria,201001,714908,27012211
Algeria,201002,3206001,67802027
Algeria,201003,10720282,131128268
Algeria,201004,5493474,99367275
Algeria,201005,4667500,97298831
Algeria,201006,3103756,49194231
Algeria,201007,7913697,140856304
Algeria,201008,1617912,47336877
Algeria,201009,4154101,82517050
Algeria,201010,3605993,66582118
Algeria,201011,8094153,85448861
Algeria,201012,3189668,59483100
Algeria,201101,462610,22214480
Algeria,201102,3440536,81797486
Algeria,201103,1317097,60342941
Algeria,201104,1898246,21999734
Algeria,201105,2712354,66347482
Algeria,201106,2187391,59143279
Algeria,201107,3163598,68270270
Algeria,201108,2237056,41574282
Algeria,201109,1246924,34949304
Algeria,201110,714840,29723092
Algeria,201111,1358777,33658601
Algeria,201112,2972206,65578766
Algeria,201201,1577078,41356661
Algeria,201202,1634004,39741261
Algeria,201203,1926671,77588633
Algeria,201204,1111894,38292702
Algeria,201205,954650,47229994
Algeria,201206,2055402,62442824
Algeria,201207,1019973,42059866
Algeria,201208,1920855,47884396
Algeria,201209,1433522,56078705
Algeria,201210,1978930,51097199
Algeria,201211,842413,35938047
