partner_country,period,net_weight,usd_value
Albania,201004,11552,72458
Albania,201005,11650,59731
Albania,201006,12019,224275
Albania,201010,11087,52068
Albania,201011,796,39756
Albania,201012,1290,40693
Albania,201102,40828,57504
Albania,201104,24232,106281
Albania,201105,8810,62039
Albania,201107,11177,52845
Albania,201108,11200,19417
Albania,201109,520,20676
Albania,201110,24301,130083
Albania,201203,21539,80228
Albania,201207,11933,53210
Albania,201208,1550,30408
Albania,201209,10668,57628
Albania,201211,9738,65865
Albania,201302,11772,48918
Albania,201304,11257,44686
Albania,201306,9605,42262
Algeria,201001,2646557,10188267
Algeria,201002,570673,5695780
Algeria,201003,861134,7652170
Algeria,201004,890708,9868376
Algeria,201005,359239,11928392
Algeria,201006,466672,12450976
Algeria,201007,432656,5181379
Algeria,201008,572053,13298861
Algeria,201009,161470,8377329
Algeria,201010,425692,8431396
Algeria,201011,583328,10414754
Algeria,201012,552467,24286508
Algeria,201101,719936,6645716
Algeria,201102,247836,6688816
Algeria,201103,885293,14378663
Algeria,201104,350855,6312716
Algeria,201105,647727,13617774
Algeria,201106,783038,10796482
Algeria,201107,488414,7029633
Algeria,201108,367725,4237435
Algeria,201109,1138939,8533218
Algeria,201110,639307,23915099
Algeria,201111,941463,10154958
Algeria,201112,832899,14619330
Algeria,201201,694020,8627516
Algeria,201202,462302,10439557
Algeria,201203,899114,14213854
Algeria,201204,701882,8362419
Algeria,201205,827968,14655624
Algeria,201206,605139,11763593
Algeria,201207,346977,6858884
Algeria,201208,134095,7571614
Algeria,201209,260266,9080635
Algeria,201210,510189,11829268
Algeria,201211,1163315,11002416
Algeria,201212,495269,16988318
Algeria,201301,787698,6190497
Algeria,201302,888330,18194191
Algeria,201303,789172,10459099
Algeria,201304,888400,7452971
Algeria,201305,1349392,11686600
Algeria,201306,254596,11155437
Algeria,201307,464482,8662306
Argentina,201004,24000,20492
Argentina,201006,651,22254
Argentina,201007,21000,24818
Argentina,201012,152,5787
Argentina,201103,45000,48567
Argentina,201104,27301,71223
Argentina,201106,21000,27242
Argentina,201107,58510,95925
Argentina,201108,689,19611
Argentina,201110,27122,66197
Argentina,201111,610,26692
Argentina,201112,175,7456
Argentina,201203,75223,180204
Argentina,201205,21000,29003
Argentina,201207,18400,46487
Argentina,201208,18400,47896
Argentina,201209,925,48258
Argentina,201210,21600,29413
Argentina,201212,148,8313
Argentina,201301,21600,28734
Argentina,201303,151,10561
Argentina,201304,16916000,6012269
Argentina,201305,21618,29842
Armenia,201001,8,6120
Armenia,201003,16000,32332
Armenia,201005,52,34666
Armenia,201007,122,1945
Armenia,201009,3430,12800
Armenia,201010,700,1127
Armenia,201109,91,4245
Armenia,201110,28775,89177
Armenia,201111,3100,2817
Armenia,201112,44,3745
Armenia,201202,822,24715
Armenia,201204,152,23459
Armenia,201210,170,5770
Armenia,201301,290,11734
Armenia,201305,290,11734
Australia,201001,441597,355253
Australia,201002,385364,365677
Australia,201003,38581,48680
Australia,201004,669160,655651
Australia,201005,365199,220400
Australia,201006,430816,365902
Australia,201007,326028,347182
Australia,201008,88454,174702
Australia,201009,724594,575607
Australia,201010,209294,282433
Australia,201011,109621,249131
Australia,201012,289225,301561
Australia,201101,2249370,1844529
Australia,201102,407242,373712
Australia,201103,497975,415920
Australia,201104,674833,626617
Australia,201105,151136,360541
Australia,201106,600844,770680
Australia,201107,159692,297315
Australia,201108,698217,775396
Australia,201109,354213,427216
Australia,201110,349095,535861
Australia,201111,99330,159619
Australia,201112,170753,412771
Australia,201201,56712,152968
Australia,201202,63554,298928
Australia,201203,294550,575636
Australia,201204,148893,268827
Australia,201205,992220,1097425
Australia,201206,1649575,1819484
Australia,201207,2382594,2475974
Australia,201208,1054534,1131652
Australia,201209,1052095,1003610
Australia,201210,22229860,4084069
Australia,201211,608404,666875
Australia,201212,1143088,1281288
Australia,201301,51190,305820
Australia,201302,148272,248682
Australia,201303,301086,356602
Australia,201304,236871,327618
Australia,201305,274676,329315
Australia,201306,813750,849627
Australia,201307,664247,758366
Austria,201001,5569,786661
Austria,201002,5672,756732
Austria,201003,9291,980266
Austria,201004,3171,573160
Austria,201005,3397,717475
Austria,201006,2833,312541
Austria,201007,9137,248749
Austria,201008,5122,324322
Austria,201009,104479,923959
Austria,201010,7195,673645
Austria,201011,2530,630466
Austria,201012,2661,526381
Austria,201101,36315,603092
Austria,201102,31267,335620
Austria,201103,17862,354972
Austria,201104,1643,336497
Austria,201105,3193,653456
Austria,201106,5425,789967
Austria,201107,5285,643585
Austria,201108,18714,820811
Austria,201109,8957,623052
Austria,201110,5711,390794
Austria,201111,3276,339677
Austria,201112,1372,303769
Austria,201201,2522,489575
Austria,201202,1264,274194
Austria,201203,882,376451
Austria,201204,1253,433619
Austria,201205,3338,465846
Austria,201206,4289,283222
Austria,201207,3201,463427
Austria,201208,2572,254658
Austria,201209,6089,288367
Austria,201210,7515,548979
Austria,201211,693,326562
Austria,201212,165117,91861
Austria,201301,565,112989
Austria,201302,34,157242
Austria,201303,10,153907
Austria,201304,7025,129149
Austria,201305,495,90838
Austria,201306,35066,123906
Austria,201307,2541,224883
Azerbaijan,201002,173388,262083
Azerbaijan,201003,125524,193019
Azerbaijan,201004,13406,71739
Azerbaijan,201005,27019,113039
Azerbaijan,201006,1570,52278
Azerbaijan,201007,105,17428
Azerbaijan,201008,1082,24609
Azerbaijan,201009,1584,22369
Azerbaijan,201010,18375,140207
Azerbaijan,201011,25879,98921
Azerbaijan,201012,6398,366354
Azerbaijan,201101,3986,94194
Azerbaijan,201102,258734,364414
Azerbaijan,201103,285105,472344
Azerbaijan,201105,19818,118241
Azerbaijan,201106,13197,96501
Azerbaijan,201108,13678,96572
Azerbaijan,201109,21382,196097
Azerbaijan,201110,1221,40390
Azerbaijan,201111,3288,166262
Azerbaijan,201112,686,25957
Azerbaijan,201201,396,29476
