partner_country,period,net_weight,usd_value
Albania,201201,111800,89400
Albania,201203,2501700,1390800
Albania,201204,256300,146900
Albania,201205,6549100,1414600
Albania,201206,1968600,1371000
Albania,201207,1000000,569000
Albania,201208,1619800,854300
Albania,201209,1516600,922000
Albania,201210,1165300,444500
Albania,201211,373100,278200
Albania,201212,616200,387300
Algeria,201202,17200,528500
Algeria,201203,200,2500
Algeria,201205,322087100,900
Argentina,201206,2230500,4900
Argentina,201207,3492300,2000
Argentina,201208,1623600,3500
Argentina,201209,11900,176900
Armenia,201201,14000,1200
Armenia,201202,100,55000
Armenia,201203,43600,97300
Armenia,201204,9000,44100
Armenia,201205,43800,2100
Armenia,201206,20000,64500
Armenia,201208,34400,128000
Armenia,201209,138400,3600
Armenia,201210,300,15200
Armenia,201211,41400,118700
Armenia,201212,300,7900
Australia,201201,1461500,2479700
Australia,201202,676600,1058000
Australia,201203,1021800,1763500
Australia,201204,363500,756500
Australia,201205,1922900,3396500
Australia,201206,3633600,6527000
Australia,201207,880100,1260600
Australia,201208,2121600,3095600
Australia,201209,2894000,4428700
Australia,201210,941600,1760000
Australia,201211,2663300,3181700
Australia,201212,832500,1139400
Austria,201201,394846800,305808000
Austria,201202,494135000,374929300
Austria,201203,422518600,318564400
Austria,201204,347223800,282321200
Austria,201205,676542900,570033500
Austria,201206,520669200,432308700
Austria,201207,601432800,468624900
Austria,201208,333255200,242758100
Austria,201209,1020561600,706829500
Austria,201210,379586300,285378300
Austria,201211,712495900,571608300
Austria,201212,517533800,396775100
Azerbaijan,201201,172728800,33135000
Azerbaijan,201202,118126700,24688200
Azerbaijan,201203,161711500,32994500
Azerbaijan,201204,64645900,18593500
Azerbaijan,201205,36145200,13170300
Azerbaijan,201206,123675600,54638800
Azerbaijan,201207,143770700,41646300
Azerbaijan,201208,107170500,29928100
Azerbaijan,201209,74013000,23985400
Azerbaijan,201210,96338500,26415000
Azerbaijan,201211,99273200,30984600
Azerbaijan,201212,55030400,18899300
Belarus,201201,4456000,4153610
Belarus,201202,3874200,5246980
Belarus,201203,17960000,7305290
Belarus,201204,12277400,9989530
Belarus,201205,13739500,8673690
Belarus,201206,15886700,8772660
Belarus,201207,12700400,10908070
Belarus,201208,8335400,8827450
Belarus,201209,14172800,10194760
Belarus,201210,4572500,6423280
Belarus,201211,4525100,5685220
Belarus,201212,2518500,4176240
Belgium,201201,16555100,11223900
Belgium,201202,10909300,10119300
Belgium,201203,16107900,11249100
Belgium,201204,18080600,13333500
Belgium,201205,18737200,14944800
Belgium,201206,23303400,16690800
Belgium,201207,14177600,12326500
Belgium,201208,2594700,5561400
Belgium,201209,7579700,8571500
Belgium,201210,8721200,9572200
Belgium,201211,10031800,9436700
Belgium,201212,11719900,8979500
Bolivia (Plurinational State of),201205,300,20000
Bolivia (Plurinational State of),201206,1907800,1900
Bolivia (Plurinational State of),201208,400,1600
Bolivia (Plurinational State of),201209,800,31500
Bolivia (Plurinational State of),201210,14300,201500
Brazil,201201,33541500,7039200
Brazil,201202,8312800,1355500
Brazil,201203,27444800,4584900
Brazil,201205,52272400,8849700
Brazil,201206,35283500,6219400
Brazil,201207,34900,571500
Brazil,201208,47159100,8770800
Brazil,201209,57035100,9914500
Brazil,201210,38963200,6947800
Brazil,201211,55064500,7961700
Brazil,201212,51959600,8680200
Brunei Darussalam,201206,200,4900
Brunei Darussalam,201207,1000000,6600
Bulgaria,201201,5329100,6063700
Bulgaria,201202,76666000,66432900
Bulgaria,201203,2591100,1236500
Bulgaria,201204,6847200,4765000
Bulgaria,201205,169700,128100
Bulgaria,201206,81108200,66449600
Bulgaria,201207,3449800,2547800
Bulgaria,201208,12815900,4624900
Bulgaria,201209,4940000,2554400
Bulgaria,201210,251837100,187125300
Bulgaria,201211,14844000,11435800
Bulgaria,201212,7650200,5693900
Cameroon,201208,600,1400
Canada,201201,570117900,499608800
Canada,201202,161279400,154847200
Canada,201203,1383500,25100000
Canada,201204,253710700,258541300
Canada,201205,322087100,341478100
Canada,201206,197014600,190852700
Canada,201207,267260900,264986000
Canada,201208,535945800,454324700
Canada,201209,264600400,239343500
Canada,201210,396136100,356020300
Canada,201211,266352800,271211100
Canada,201212,277200,23742000
Central African Rep.,201208,2500,5800
China,201201,2159187000,1087893100
China,201202,2330642700,1200590100
China,201203,2370679200,1301133700
China,201204,2482286300,1448135000
China,201205,2164102100,1106225700
China,201206,2518882200,1545042900
China,201207,1999878900,892907400
China,201208,2336763800,1279367800
China,201209,2201349900,1528964200
China,201210,2544696800,1451216400
China,201211,2469066700,1445983300
China,201212,3063266800,2196949400
"China, Hong Kong SAR",201201,302000,1014100
"China, Hong Kong SAR",201202,200,22000
"China, Hong Kong SAR",201203,222000,1587500
"China, Hong Kong SAR",201204,250000,11071700
"China, Hong Kong SAR",201205,249600,11413300
"China, Hong Kong SAR",201206,251100,10813000
"China, Hong Kong SAR",201207,319500,19460100
"China, Hong Kong SAR",201208,439600,18038400
"China, Hong Kong SAR",201209,140400,459900
"China, Hong Kong SAR",201210,398800,2434900
"China, Hong Kong SAR",201211,180500,692400
"China, Hong Kong SAR",201212,3300,270700
Colombia,201203,42100,11900
Colombia,201206,1000,38500
Colombia,201207,100,21900
Colombia,201210,93500,500
Colombia,201211,100,23600
Colombia,201212,38400,3500
Croatia,201202,79890900,64894000
Croatia,201203,14000000,10808000
Croatia,201205,18200,162300
Croatia,201206,9013000,6351800
Croatia,201207,52052000,38203800
Croatia,201208,27019000,19974400
Croatia,201210,5600,229700
Croatia,201211,22600,100
Croatia,201212,1700,73300
Cyprus,201201,50743000,1446700
Cyprus,201202,135457000,116458700
Cyprus,201204,34968000,1227400
Cyprus,201205,7590000,266400
Cyprus,201207,25000000,467300
Cyprus,201208,27966000,522700
Cyprus,201209,183640000,102885800
Cyprus,201210,91817000,2468300
Cyprus,201211,69872000,1305900
Cyprus,201212,64887000,1232700
Czech Rep.,201201,1047600,2047300
Czech Rep.,201202,1685200,4014500
Czech Rep.,201203,2429000,6174000
Czech Rep.,201204,2474100,6244200
Czech Rep.,201205,12595000,17537200
Czech Rep.,201206,5327200,9933900
Czech Rep.,201207,2191000,5081500
Czech Rep.,201208,6515500,10280600
Czech Rep.,201209,5634800,9778100
Czech Rep.,201210,2502800,4878800
Czech Rep.,201211,8396700,11957700
Czech Rep.,201212,4384100,8158500
Denmark,201201,10634800,6000400
Denmark,201202,6140900,3354500
Denmark,201203,3605700,2671800
Denmark,201204,5638100,3276800
Denmark,201205,2258500,1342000
Denmark,201206,1202500,1951900
Denmark,201207,2899600,2299600
Denmark,201208,233100,1160000
Denmark,201209,4987400,3976200
Denmark,201210,5038700,3380200
Denmark,201211,2259500,2073800
Denmark,201212,1401600,1962800
Ecuador,201202,1961700,1500
Ecuador,201209,800,20600
Ecuador,201212,3073100,3100
Egypt,201201,62300200,11782300
Egypt,201202,5449000,2749200
Egypt,201203,261500,406300
Egypt,201204,9749000,2440400
Egypt,201205,73414400,18052000
Egypt,201206,20205300,3198500
Egypt,201207,17173600,2443200
Egypt,201208,8817600,1061800
Egypt,201209,1600,448200
Egypt,201210,27600,70100
Egypt,201212,6374300,2893900
Estonia,201201,77000,600
Estonia,201202,16200,138800
Estonia,201203,779700,4600
Estonia,201204,456100,691900
Estonia,201205,2445800,3333000
Estonia,201207,1329200,1163300
Estonia,201208,18800,30300
Estonia,201209,2506300,1701600
Estonia,201210,5529800,3916100
Estonia,201211,104000,128300
Estonia,201212,100,18000
Ethiopia,201203,100,200
Finland,201201,146566500,47881900
Finland,201202,94305600,34690600
Finland,201203,24059000,16860500
Finland,201204,74983100,47584600
Finland,201205,104120300,39883700
Finland,201206,35790300,32075800
Finland,201207,113730000,74237900
Finland,201208,37155800,23665400
Finland,201209,78431700,54231000
Finland,201210,153115500,36620300
Finland,201211,165615800,59711200
Finland,201212,195134000,59181600
France,201201,1139799400,987976100
France,201202,697308500,594468700
France,201203,314078400,281470800
France,201204,360194900,345682000
France,201205,493525200,574604900
France,201206,551388300,572882400
France,201207,633190100,588289500
France,201208,841193300,637040000
France,201209,307760200,287175800
France,201210,432468700,391464000
France,201211,198084600,182393600
France,201212,189199500,189525200
Georgia,201201,59963100,12339600
Georgia,201202,73087100,14857300
Georgia,201203,68127000,15037200
Georgia,201204,19647400,4421800
Georgia,201205,31839500,7782600
Georgia,201206,32302500,7704700
Georgia,201207,57767600,14843900
Georgia,201208,18684100,4947900
Georgia,201209,29244900,7483100
Georgia,201210,27219400,7698900
Georgia,201211,36239700,12021600
Georgia,201212,792400,553000
Germany,201201,75275300,82058900
Germany,201202,63456900,89705200
Germany,201203,94921800,142370800
Germany,201204,79228600,81767100
Germany,201205,273856700,296172000
Germany,201206,156982500,174661700
Germany,201207,121447100,142608000
Germany,201208,60746300,102701500
Germany,201209,41238700,74212800
Germany,201210,33515000,59856600
Germany,201211,66827000,534201000
Germany,201212,33306200,57768100
Greece,201201,76271900,10410900
Greece,201202,74304300,5365700
Greece,201203,33256200,1323500
Greece,201204,47102400,7048900
Greece,201205,99741500,74552600
Greece,201206,146522600,77576400
Greece,201207,143624200,78350900
Greece,201208,140141000,69285900
Greece,201209,38344700,15404200
Greece,201210,242771500,125061600
Greece,201211,235099900,125657900
Greece,201212,163992000,77212500
Hungary,201201,18840600,13207600
Hungary,201202,12193700,7939300
Hungary,201203,10473400,7292500
Hungary,201204,10645200,8563000
Hungary,201205,7919400,6051400
Hungary,201206,25438400,18111800
Hungary,201207,15545800,11506000
Hungary,201208,16306800,10114600
Hungary,201209,12400400,6314000
Hungary,201210,9031000,5797000
Hungary,201211,12540300,9816900
Hungary,201212,11831200,9791000
Iceland,201205,318900,3000
India,201201,8325700,38389000
India,201202,10188000,4687600
India,201203,8276300,3017800
India,201204,8616300,3277700
India,201205,11480600,9659800
India,201206,11341300,6856400
India,201207,14887600,6759800
India,201208,14929800,7802700
India,201209,11759400,68539800
India,201210,12940400,5907100
India,201211,43268900,30713000
India,201212,9900300,5123100
Indonesia,201201,2000,31000
Indonesia,201202,1127900,2900
Indonesia,201203,14564500,7513700
Indonesia,201204,12044800,6290900
Indonesia,201205,11294300,5970000
Indonesia,201206,62300,39900
Indonesia,201208,200,15500
Indonesia,201209,400,15400
Indonesia,201210,1600,43900
Indonesia,201211,776900,4100
Indonesia,201212,722700,800
Ireland,201202,113100,200
Ireland,201204,400,12000
Ireland,201205,81900,60043400
Ireland,201206,187800,12500
Ireland,201208,118900,200
Ireland,201211,365500,200
Israel,201201,372759600,312792400
Israel,201202,276191400,222190100
Israel,201203,59532200,34129500
Israel,201204,223929900,190766400
Israel,201205,207503500,197507400
Israel,201206,10239200,9130000
Israel,201207,228412700,205761300
Israel,201208,111329300,69107900
Israel,201209,106986300,68644300
Israel,201210,165787500,124277900
Israel,201211,119786500,97810000
Israel,201212,25642800,3625900
Italy,201201,1816745600,1506729300
Italy,201202,1985325200,1629495800
Italy,201203,1233851500,980557200
Italy,201204,1531751500,1296566100
Italy,201205,1256974100,1152597000
Italy,201206,1494810300,1373188800
Italy,201207,1378202700,1156640200
Italy,201208,1831129900,1357021800
Italy,201209,1308518700,957020400
Italy,201210,1927505800,1587970800
