partner_country,period,net_weight,usd_value
Algeria,201002,6569,23050
Antigua and Barbuda,201002,6569,82087
Armenia,201002,6569,29648
Armenia,201101,90,628
Armenia,201103,198000,400321
Armenia,201105,297000,580827
Australia,201001,21740,547607
Australia,201002,6569,670343
Australia,201003,550,383072
Australia,201101,80220,378280
Australia,201102,81341,464797
Australia,201103,89282,337854
Australia,201104,185413,1025627
Australia,201105,193334,731943
Australia,201106,158181,750210
Austria,201001,21740,1648226
Austria,201002,6569,1105110
Austria,201003,550,668655
Austria,201101,6097,1625358
Austria,201102,16669,1582172
Austria,201103,10386,1186973
Austria,201104,11679,286188
Austria,201105,13605,224469
Austria,201106,7804,116752
Azerbaijan,201001,21740,127908
Azerbaijan,201003,550,121237
Azerbaijan,201101,19830,120797
Azerbaijan,201103,39600,196098
Azerbaijan,201105,380,5584
Azerbaijan,201106,10,16
Bahrain,201001,21740,119886
Bahrain,201002,6569,118074
Bahrain,201003,550,97786
Bahrain,201101,50378,136805
Bahrain,201102,60657,162587
Bahrain,201103,57048,111210
Bahrain,201104,77284,135223
Bahrain,201105,46233,102418
Bahrain,201106,16475,62094
Belarus,201101,836,5286
Belarus,201102,20390,44477
Belarus,201103,81851,169172
Belarus,201104,40454,87368
Belarus,201105,200,1311
Belarus,201106,161,230
Belgium,201001,21740,6900997
Belgium,201002,6569,4840503
Belgium,201003,550,6210221
Belgium,201101,1393852,3479617
Belgium,201102,2245248,9386066
Belgium,201103,1535776,2864907
Belgium,201104,1537320,6015994
Belgium,201105,1283413,3509362
Belgium,201106,1419581,3079323
Bosnia Herzegovina,201001,21740,10109
Bosnia Herzegovina,201102,205,855
Bosnia Herzegovina,201106,130,1628
Brazil,201001,21740,67209
Brazil,201002,6569,5414
Brazil,201003,550,10424
Brazil,201101,24048,93186
Brazil,201102,208,856
Brazil,201103,800,1211
Brazil,201104,16258,95326
Brazil,201105,64249,115504
Bulgaria,201001,21740,67561
Bulgaria,201002,6569,26491
Bulgaria,201003,550,18912
Bulgaria,201101,1500,7585
Bulgaria,201102,39600,65768
Bulgaria,201103,79668,159505
Bulgaria,201104,19980,44444
Bulgaria,201105,4764,9156
Burkina Faso,201002,6569,41793
Burkina Faso,201003,550,13964
Burkina Faso,201102,8800,84776
Burkina Faso,201103,312,7923
Burkina Faso,201105,175000,86257
Burkina Faso,201106,2300,20073
Burundi,201001,21740,4104138
Burundi,201002,6569,3877669
Burundi,201003,550,7352594
Burundi,201101,4253849,5326544
Burundi,201102,3660442,5362188
Burundi,201103,5927478,6916556
Burundi,201104,4032439,4922265
Burundi,201105,3699696,4790183
Burundi,201106,3462628,5125616
Cameroon,201001,21740,4563
Cameroon,201002,6569,18163
Cameroon,201003,550,17415
Cameroon,201101,614,1624
Cameroon,201102,2004,3802
Cameroon,201103,10783,11665
Cameroon,201104,1226,25365
Cameroon,201105,7903,272981
Cameroon,201106,23565,33083
Canada,201001,21740,2024465
Canada,201002,6569,1405724
Canada,201003,550,934996
Canada,201101,222923,1420200
Canada,201102,125094,1343423
Canada,201103,204612,720578
Canada,201104,253893,1716615
Canada,201105,125363,1161605
Canada,201106,234100,1495612
Central African Rep.,201001,21740,138318
Central African Rep.,201002,6569,110729
Central African Rep.,201003,550,216465
Central African Rep.,201101,1370,21710
Central African Rep.,201102,55,2027
Central African Rep.,201103,92,93725
Central African Rep.,201104,48,400
Central African Rep.,201105,41,17503
Chile,201001,21740,136895
Chile,201002,6569,270310
Chile,201003,550,170556
Chile,201101,52684,189179
Chile,201102,53116,184887
Chile,201103,104799,340799
Chile,201104,52988,161909
Chile,201105,52720,155626
China,201001,21740,1617314
China,201002,6569,3280371
China,201003,550,4629977
China,201101,2942180,3863805
China,201102,2883165,4012930
China,201103,3056634,3791444
China,201104,1292843,1750174
China,201105,2251397,1184740
China,201106,1202112,1550337
"China, Hong Kong SAR",201001,21740,1396379
"China, Hong Kong SAR",201002,6569,2149284
"China, Hong Kong SAR",201003,550,2415643
"China, Hong Kong SAR",201101,17589940,3626076
"China, Hong Kong SAR",201102,25656041,3940238
"China, Hong Kong SAR",201103,783870,2192390
"China, Hong Kong SAR",201104,4301446,2354407
"China, Hong Kong SAR",201105,6514328,3056250
"China, Hong Kong SAR",201106,690728,2842334
Colombia,201001,21740,5458
Colombia,201002,6569,72377
Colombia,201003,550,25814
Colombia,201101,750023,35624
Colombia,201102,770615,32774
Colombia,201103,12446,49986
Colombia,201104,25906,84370
Colombia,201105,30817,100279
Colombia,201106,300,44623
Croatia,201103,2940,2006
Croatia,201105,32460,133260
Croatia,201106,138,9255
Cyprus,201001,21740,247089
Cyprus,201002,6569,149304
Cyprus,201003,550,226996
Cyprus,201101,284093,345216
Cyprus,201102,257581,412649
Cyprus,201103,324535,408432
Cyprus,201104,249145,305304
Cyprus,201105,209687,323648
Cyprus,201106,101399,216588
Czech Rep.,201001,21740,23330
Czech Rep.,201002,6569,29716
Czech Rep.,201003,550,14611
Czech Rep.,201101,3476,28527
Czech Rep.,201102,28097,56534
Czech Rep.,201103,27483,44397
Czech Rep.,201104,1186,11507
Czech Rep.,201105,4796,41624
Czech Rep.,201106,52303,70239
Denmark,201001,21740,362541
Denmark,201002,6569,26544
Denmark,201003,550,357998
Denmark,201101,57083,173193
Denmark,201102,60429,99811
Denmark,201103,173661,245015
Denmark,201104,84454,132977
Denmark,201105,164360,206787
Denmark,201106,50026,156497
Dominica,201003,550,633
Dominica,201102,21504,35720
Dominica,201103,16740,44818
Dominica,201105,43200,349454
Dominican Rep.,201003,550,106458
Dominican Rep.,201102,130,1221
Dominican Rep.,201104,250,1250
Dominican Rep.,201105,18000,98911
Ecuador,201001,21740,6002
Ecuador,201003,550,69619
Ecuador,201101,50,12200
Ecuador,201102,130,27019
Ecuador,201103,343,83596
Ecuador,201104,8100,146683
Ecuador,201105,800,58332
Ecuador,201106,21500,9876
Egypt,201001,21740,21798648
Egypt,201002,6569,22429083
Egypt,201003,550,21470649
Egypt,201101,4444492,11950036
Egypt,201102,5218473,17398339
Egypt,201103,6894412,21034566
Egypt,201104,9196654,27405804
Egypt,201105,5817148,17297942
Egypt,201106,7469134,27898531
El Salvador,201101,3245,5814
El Salvador,201102,1119,2149
Estonia,201105,10,301
Ethiopia,201001,21740,4020203
Ethiopia,201002,6569,4713808
Ethiopia,201003,550,5314310
Ethiopia,201101,3246901,4917169
Ethiopia,201102,1528218,2978156
Ethiopia,201103,947393,2805916
Ethiopia,201104,1728676,4189109
Ethiopia,201105,1620318,3889256
Ethiopia,201106,2900717,5968644
Finland,201001,21740,1413437
Finland,201002,6569,2709480
Finland,201003,550,2511591
Finland,201101,359872,616712
Finland,201102,540378,1345265
Finland,201103,245062,596069
Finland,201104,206989,801137
Finland,201105,442591,3001558
