partner_country,period,net_weight,usd_value
Albania,201201,44000,63340
Albania,201202,44000,63340
Albania,201206,88000,130300
Armenia,201109,39691,141656
Armenia,201110,24,639
Armenia,201202,22000,20600
Armenia,201206,22000,20600
Australia,201101,2,4598
Australia,201103,1369,6776
Australia,201109,185,5724
Australia,201110,277,7372
Australia,201201,2,4668
Australia,201202,75,10584
Australia,201206,194,12994
Austria,201102,12,2878
Austria,201103,2,324
Austria,201109,9,992
Austria,201110,247,20362
Austria,201206,1,237
Azerbaijan,201101,769664,246088
Azerbaijan,201102,1476320,238689
Azerbaijan,201103,358587,271666
Azerbaijan,201109,70084,69879
Azerbaijan,201110,92511,171025
Azerbaijan,201201,123050,120587
Azerbaijan,201202,220248,392626
Azerbaijan,201206,633415,1790387
Bahrain,201109,15504,14884
Belarus,201101,192072,156482
Belarus,201102,92775,498068
Belarus,201103,153724,1163321
Belarus,201109,76889,630632
Belarus,201110,97823,168386
Belarus,201201,157906,493352
Belarus,201202,306829,1075246
Belarus,201206,854551,5417032
Belgium,201101,5632,143586
Belgium,201102,145055,1507482
Belgium,201103,60928,722045
Belgium,201109,129472,1780590
Belgium,201110,86092,1213916
Belgium,201201,46068,475171
Belgium,201202,117943,1259827
Belgium,201206,403628,4796774
Bosnia Herzegovina,201110,1,115
Bosnia Herzegovina,201206,14091,21734
Bulgaria,201101,769000,441742
Bulgaria,201102,1070000,597100
Bulgaria,201103,1451753,831803
Bulgaria,201109,300158,126161
Bulgaria,201110,3326500,1953544
Bulgaria,201201,1153008,704348
Bulgaria,201202,2710508,1741258
Bulgaria,201206,4687157,3094512
Canada,201101,13653,102039
Canada,201102,356,7056
Canada,201103,543,52901
Canada,201109,56800,569126
Canada,201110,176,6607
Canada,201201,161,10691
Canada,201202,176,17143
Canada,201206,79109,1207374
China,201101,9300477,2354863
China,201102,7843195,1793556
China,201103,30801042,7579070
China,201109,6338378,3424319
China,201110,8018686,2281817
China,201201,4833041,2178445
China,201202,11327577,4455837
China,201206,39894538,23426723
"China, Hong Kong SAR",201103,10350,315000
"China, Hong Kong SAR",201110,1718,11327
"China, Hong Kong SAR",201202,672,3337
"China, Hong Kong SAR",201206,1176,15045
Croatia,201102,22000,14740
Croatia,201109,27,3285
Croatia,201202,32,3942
Croatia,201206,32,3942
Cyprus,201206,200000,238000
Czech Rep.,201101,501,7872
Czech Rep.,201102,11,1235
Czech Rep.,201103,486,284
Czech Rep.,201109,100,1508
Czech Rep.,201110,97554,107638
Czech Rep.,201201,1645,513
Czech Rep.,201202,1655,2259
Czech Rep.,201206,96125,118515
Denmark,201110,12,1582
Denmark,201202,57,5358
Denmark,201206,75,21485
Egypt,201103,49,373
Estonia,201103,20000,74000
Estonia,201206,20000,9146
Finland,201102,553,51125
Finland,201103,947,39136
Finland,201109,542,39909
Finland,201110,20664,674468
Finland,201201,143711,166705
Finland,201202,360890,429544
Finland,201206,472199,690576
France,201101,20348,31939
France,201102,90,9255
France,201103,64279,335758
France,201109,109,1696
France,201110,133274,234748
France,201201,35664,397750
France,201202,46180,411333
France,201206,280433,1125562
Georgia,201101,97800,69849
Georgia,201102,168650,112583
Georgia,201103,350946,327956
Georgia,201109,21000,12600
Georgia,201110,200000,124950
Georgia,201201,194950,130340
Georgia,201202,505210,418963
Georgia,201206,1509024,1283952
Germany,201101,447845,503926
Germany,201102,468079,542432
Germany,201103,1561806,2205951
Germany,201109,481065,761110
Germany,201110,451145,1034789
Germany,201201,707157,1210048
Germany,201202,1673913,2642405
Germany,201206,4275292,8179903
Greece,201206,4722,5525
Hungary,201102,109,17389
Hungary,201103,84,557
Hungary,201109,1122,12218
Hungary,201110,297,2320
Hungary,201202,2500,14094
Hungary,201206,2516,20589
India,201102,12,181
India,201103,42386,1220520
India,201109,46063,75478
India,201110,9691,66599
India,201201,51,88
India,201202,6423,110647
India,201206,48581,297722
Indonesia,201202,2,254
Indonesia,201206,3,875
Ireland,201102,3317,3483
Ireland,201103,4,68
Ireland,201202,37952,43645
Ireland,201206,37971,44101
Israel,201109,121,1508
Israel,201110,740,4745
Israel,201201,100,964
Israel,201202,22250,49495
Israel,201206,88507,207420
Italy,201101,186,4919
Italy,201103,12,9490
Italy,201109,1430,138393
Italy,201201,1242,402718
Italy,201202,1242,402718
Italy,201206,3069,412055
