partner_country,period,net_weight,usd_value
Albania,201001,35690,113704
Albania,201002,45589,40851
Albania,201004,255,48620
Albania,201005,23443,50916
Albania,201006,40530,40089
Albania,201008,166,46214
Albania,201009,46892,16172
Albania,201011,68263,41697
Albania,201012,44659,19447
Albania,201101,424,44965
Albania,201102,95772,83642
Albania,201103,61,5287
Albania,201104,51111,39749
Albania,201105,72153,61129
Albania,201106,120901,139779
Albania,201107,219,53676
Albania,201108,25453,10328
Albania,201109,50730,43908
Albania,201110,548,52100
Albania,201111,119164,62071
Albania,201112,72380,70139
Albania,201201,39,13674
Albania,201202,48226,41051
Albania,201203,198,18777
Albania,201204,346,66988
Albania,201205,48923,26542
Albania,201206,91,12030
Albania,201207,1088,89490
Albania,201208,48665,7819
Albania,201209,274,22313
Albania,201210,73651,40207
Albania,201211,48842,16356
Albania,201212,253,37208
Albania,201301,25230,46061
Albania,201302,1,904
Albania,201303,90,9752
Albania,201304,23928,88559
Albania,201305,72386,36454
Albania,201306,294,41622
Albania,201307,14581,43898
Albania,201308,49500,57071
Albania,201309,228,43486
Albania,201310,21811,46315
Albania,201311,50788,205199
Algeria,201001,23060469,11420186
Algeria,201002,53754764,24843902
Algeria,201003,34290602,17282126
Algeria,201004,45883535,22438973
Algeria,201005,23392248,12009703
Algeria,201006,1510125,682501
Algeria,201007,18517399,10424494
Algeria,201008,26968321,16004654
Algeria,201009,47339049,27464419
Algeria,201010,14479361,9453625
Algeria,201011,1166031,592404
Algeria,201012,32898834,20342110
Algeria,201101,39412804,23778456
Algeria,201102,28112733,19175914
Algeria,201103,23909119,16706528
Algeria,201104,5027718,3662846
Algeria,201105,3126178,1545341
Algeria,201106,21870,2982
Algeria,201107,10650,48980
Algeria,201108,4007572,1984843
Algeria,201110,74615,14135
Algeria,201111,1229421,550958
Algeria,201201,30542897,20591629
Algeria,201202,20000,3190
Algeria,201203,25101481,17944574
Algeria,201204,119075,187653
Algeria,201205,19763118,13049805
Algeria,201206,33437931,20800573
Algeria,201207,12011137,9274884
Algeria,201208,32072579,19491796
Algeria,201209,121993439,53207895
Algeria,201210,42129678,18414400
Algeria,201211,106456336,39871545
Algeria,201212,116210476,50111659
Algeria,201301,41971212,28087919
Algeria,201302,29265184,20521821
Algeria,201303,41210334,27315169
Algeria,201304,21239536,13841598
Algeria,201305,2278300,984301
Algeria,201306,82600000,26799244
Algeria,201307,1072130,427321
Algeria,201308,1442307,628936
Algeria,201309,81829,81308
Algeria,201310,29468866,7333962
Algeria,201311,44223,8157
Antigua and Barbuda,201001,11678,65549
Antigua and Barbuda,201002,9727,27010
Antigua and Barbuda,201003,6367,16737
Antigua and Barbuda,201004,8719,39790
Antigua and Barbuda,201005,7954,29600
Antigua and Barbuda,201006,17603,56489
Antigua and Barbuda,201007,22083,94042
Antigua and Barbuda,201008,21137,71677
Antigua and Barbuda,201009,7784,29618
Antigua and Barbuda,201010,29256,37681
Antigua and Barbuda,201011,16981,84683
Antigua and Barbuda,201012,5405,27866
Antigua and Barbuda,201101,7243,28971
Antigua and Barbuda,201102,63302,78834
Antigua and Barbuda,201103,43138,84060
Antigua and Barbuda,201104,8425,38501
Antigua and Barbuda,201105,112525,128040
Antigua and Barbuda,201106,37110,133752
Antigua and Barbuda,201107,42204,141187
Antigua and Barbuda,201108,52420,130452
Antigua and Barbuda,201109,43558,101295
Antigua and Barbuda,201110,13147,51420
Antigua and Barbuda,201111,9448,34659
Antigua and Barbuda,201112,11935,55450
Antigua and Barbuda,201201,7460,31393
Antigua and Barbuda,201202,11130,41231
Antigua and Barbuda,201203,11904,50864
Antigua and Barbuda,201204,9489,39164
Antigua and Barbuda,201205,13065,58540
Antigua and Barbuda,201206,4568,27700
Antigua and Barbuda,201207,13089,49184
Antigua and Barbuda,201208,8929,26520
Antigua and Barbuda,201209,11499,45357
Antigua and Barbuda,201210,14805,47218
Antigua and Barbuda,201211,8477,26526
Antigua and Barbuda,201212,278535,263838
Antigua and Barbuda,201301,161693,154687
Antigua and Barbuda,201302,84240,76170
Antigua and Barbuda,201303,172531,152990
Antigua and Barbuda,201304,81552,124549
Antigua and Barbuda,201305,119224,139942
Antigua and Barbuda,201306,35791,62313
Antigua and Barbuda,201307,41071,79661
Antigua and Barbuda,201308,135914,114247
Antigua and Barbuda,201309,60189,49099
Antigua and Barbuda,201310,62566,70981
Antigua and Barbuda,201311,74833,89603
Argentina,201001,1710,282124
Argentina,201002,347,125991
Argentina,201003,4988,57399
Argentina,201004,188,51567
Argentina,201005,3279,437703
Argentina,201006,463,101358
Argentina,201007,118,9787
Argentina,201008,1642,197769
Argentina,201009,151,63811
Argentina,201010,1150,163724
Argentina,201011,106,32275
Argentina,201012,491,84447
Argentina,201101,2495,464318
Argentina,201102,793,135759
Argentina,201103,796,206380
Argentina,201104,940,242451
Argentina,201105,1023,168592
Argentina,201106,1749,261700
Argentina,201107,2597,373479
Argentina,201108,7288,137324
Argentina,201109,1072,205710
Argentina,201110,1420,145106
Argentina,201111,624,110270
Argentina,201112,5172,145018
Argentina,201201,2507,443080
Argentina,201202,259,90116
Argentina,201204,234,132635
Argentina,201205,5766,143483
Argentina,201206,1846,255335
Argentina,201207,377,134663
Argentina,201208,534,236373
Argentina,201209,1422,213888
Argentina,201210,3130,228547
Argentina,201211,1133,174421
Argentina,201212,1,869
Argentina,201301,2424,235117
Argentina,201302,5904,131614
Argentina,201303,738,132793
Argentina,201304,1290,273678
Argentina,201305,1798,270826
Argentina,201306,3293,411103
Argentina,201307,1813,279474
Argentina,201308,279,31937
Argentina,201309,4698,636672
Argentina,201310,4248,549850
Argentina,201311,52,15601
Armenia,201001,80077,230851
Armenia,201002,77698,220191
Armenia,201003,63518,230983
Armenia,201004,60110,205362
Armenia,201005,18779,320930
Armenia,201006,129407,208947
Armenia,201007,83348,317101
Armenia,201008,81659,163876
Armenia,201009,78305,262760
Armenia,201010,40882,309254
Armenia,201011,11344,112653
Armenia,201012,133720,272793
Armenia,201101,18548,60304
Armenia,201102,50666,273998
Armenia,201103,64982,133741
Armenia,201104,129432,353687
Armenia,201105,111639,259174
Armenia,201106,81284,209687
Armenia,201107,149512,636756
Armenia,201108,29883,331026
Armenia,201109,38052,142898
Armenia,201110,175221,396433
Armenia,201111,4880,168077
Armenia,201112,39046,152605
Armenia,201201,93311,296087
Armenia,201202,38785,160301
Armenia,201203,68808,316244
Armenia,201204,43035,205263
Armenia,201205,25805,93840
Armenia,201206,107704,365613
Armenia,201207,36525,223167
Armenia,201208,23276,193008
Armenia,201209,44854,197360
Armenia,201210,47710,236275
Armenia,201211,81483,270265
Armenia,201212,36592,272926
Armenia,201301,1229,91554
Armenia,201302,61551,497477
Armenia,201303,57366,224042
Armenia,201304,28050,185097
Armenia,201305,25970,221098
Armenia,201306,51793,182266
Armenia,201307,20778,162714
Armenia,201308,16871,162488
Armenia,201309,73654,234854
Armenia,201310,95416,404212
Armenia,201311,63340,428415
Aruba,201204,4,523
Aruba,201208,2,349
Aruba,201211,2,345
Australia,201001,128422,238352
Australia,201002,70158,420796
Australia,201003,71746,290593
Australia,201004,93452,220581
Australia,201005,96582,210265
Australia,201006,70545,224287
Australia,201007,97271,186675
Australia,201008,193619,356691
Australia,201009,100304,290048
Australia,201010,103924,354873
Australia,201011,133582,412167
Australia,201012,150300,285487
Australia,201101,135902,467096
Australia,201102,72124,393162
Australia,201103,135475,414725
Australia,201104,81497,201930
Australia,201105,151588,384376
Australia,201106,175137,458310
Australia,201107,220278,671303
Australia,201108,209506,315356
Australia,201109,400633,812790
Australia,201110,299367,629464
Australia,201111,189839,408046
Australia,201112,321642,439715
Australia,201201,312429,366996
Australia,201202,327083,480059
Australia,201203,543064,480645
Australia,201204,553690,357327
Australia,201205,452866,501535
Australia,201206,202286,804285
Australia,201207,604281,1146126
Australia,201208,728402,519234
Australia,201209,659032,503670
Australia,201210,560862,533339
Australia,201211,712774,781126
Australia,201212,677107,573126
Australia,201301,280655,623141
Australia,201302,353774,451313
Australia,201303,305768,660689
Australia,201304,891750,728801
Australia,201305,640700,648394
Australia,201306,1071022,1085174
Australia,201307,940842,808856
Australia,201308,593408,984546
Australia,201309,457831,791003
Australia,201310,660940,1556950
