partner_country,period,net_weight,usd_value
Albania,201001,50,138
Albania,201002,66649,59170
Albania,201004,18,3939
Albania,201005,23084,21367
Albania,201006,23548,39553
Albania,201007,22069,59584
Albania,201008,25038,19380
Albania,201009,61245,72763
Albania,201010,155,8173
Albania,201011,39452,84606
Albania,201012,21512,49266
Albania,201101,20193,68737
Albania,201102,13758,35002
Albania,201103,47005,118257
Albania,201104,20794,103631
Albania,201105,107,34092
Albania,201106,10,3975
Albania,201107,15807,45379
Albania,201108,22882,82649
Albania,201109,13312,68618
Albania,201110,83251,200346
Albania,201111,31,13885
Albania,201112,22074,68370
Albania,201201,38916,73478
Albania,201202,43118,137212
Albania,201203,24179,112494
Albania,201204,42734,159842
Albania,201205,22086,63944
Albania,201206,59919,168720
Albania,201207,24584,90967
Albania,201208,22,6632
Albania,201209,41512,123088
Albania,201210,23236,109590
Albania,201211,42720,107186
Albania,201212,41655,112362
Albania,201301,20192,53047
Albania,201302,66542,212628
Albania,201303,45766,103014
Albania,201304,44367,126559
Albania,201305,40890,134320
Albania,201306,64094,160743
Albania,201307,44125,112476
Albania,201308,105581,259821
Albania,201309,62474,162725
Albania,201310,66804,314663
Albania,201311,83775,286817
Algeria,201001,8,12208
Algeria,201002,297554,144133
Algeria,201003,213092,52865
Algeria,201004,5645,76859
Algeria,201006,50000,124742
Algeria,201007,2,8475
Algeria,201008,19850,3023
Algeria,201009,197612,100182
Algeria,201010,4820,16733
Algeria,201011,92,8198
Algeria,201012,32,32682
Algeria,201101,355,74365
Algeria,201102,107665,21533
Algeria,201103,121059,508439
Algeria,201105,16853,60443
Algeria,201106,200650,825834
Algeria,201107,111390,368761
Algeria,201108,18000,149723
Algeria,201109,179,27767
Algeria,201110,562,40890
Algeria,201112,22547,60739
Algeria,201201,207575,102405
Algeria,201202,116735,50796
Algeria,201203,5677,43760
Algeria,201204,256,15745
Algeria,201205,131000,36960
Algeria,201206,181280,206751
Algeria,201209,20,3329
Algeria,201210,100105,342722
Algeria,201211,432746,163703
Algeria,201301,37000539,34430098
Algeria,201302,78017685,76339713
Algeria,201303,1673,58885
Algeria,201304,80676,441813
Algeria,201305,26250000,9334567
Algeria,201306,203,165694
Algeria,201307,57,4874
Algeria,201308,2570,26549
Algeria,201309,12972,81116
Algeria,201310,845566,292669
Algeria,201311,11361,84729
Antigua and Barbuda,201001,4199,10252
Antigua and Barbuda,201003,125,760
Antigua and Barbuda,201004,4350,7187
Antigua and Barbuda,201005,3806,8494
Antigua and Barbuda,201006,456,3458
Antigua and Barbuda,201007,588,2369
Antigua and Barbuda,201009,7188,13447
Antigua and Barbuda,201011,3596,7263
Antigua and Barbuda,201012,3596,6740
Antigua and Barbuda,201101,3130,7404
Antigua and Barbuda,201103,83,266
Antigua and Barbuda,201106,6,217
Antigua and Barbuda,201203,60,264
Antigua and Barbuda,201205,682,4726
Antigua and Barbuda,201208,6657,30785
Antigua and Barbuda,201209,6071,19788
Antigua and Barbuda,201210,1990,6213
Antigua and Barbuda,201211,4998,14170
Antigua and Barbuda,201212,1358,13464
Antigua and Barbuda,201301,5198,14457
Antigua and Barbuda,201302,448,3671
Antigua and Barbuda,201303,371,5006
Antigua and Barbuda,201304,7365,38475
Antigua and Barbuda,201305,11043,33922
Antigua and Barbuda,201306,168,2249
Antigua and Barbuda,201308,847,6440
Antigua and Barbuda,201309,148,1993
Antigua and Barbuda,201310,14379,27970
Antigua and Barbuda,201311,5967,15327
Argentina,201001,15444854,4253375
Argentina,201002,2140584,692568
Argentina,201003,408020,82387
Argentina,201004,3696,110736
Argentina,201005,301518,52715
Argentina,201006,114664,93311
Argentina,201007,258092,94385
Argentina,201008,10564553,4372510
Argentina,201009,215294,76619
