partner_country,period,net_weight,usd_value
Albania,201001,187600,244627
Albania,201002,600,6267
Albania,201005,200,24189
Albania,201006,2800,61
Albania,201007,100,217
Albania,201009,200,3017
Albania,201010,4000,389
Albania,201011,5800,84979
Albania,201012,800,334125
Albania,201101,100,178289
Albania,201102,100,93250
Albania,201103,100,127531
Albania,201105,100,95412
Albania,201106,12400,5180
Albania,201107,2800,233074
Albania,201108,6000,99756
Albania,201110,300,182783
Albania,201111,1600,235970
Albania,201112,18700,9462
Albania,201202,700,92939
Albania,201204,5000,78841
Albania,201205,4100,13
Albania,201206,4800,84651
Albania,201207,900,184
Albania,201208,300,89999
Albania,201209,100,80098
Albania,201211,1900,119877
Albania,201212,300,294767
Albania,201301,2,221
Albania,201302,180,5108
Albania,201303,307,10221
Albania,201304,122,4959
Albania,201307,20,512
Albania,201308,34,934
Albania,201309,1000,67
Albania,201310,24000,717
Albania,201311,77000,2497
Algeria,201001,144400,256202
Algeria,201002,9630400,5411700
Algeria,201003,2670000,1779761
Algeria,201004,4212500,2906494
Algeria,201005,506800,731613
Algeria,201006,305900,761174
Algeria,201007,13496000,8215528
Algeria,201008,953600,2372269
Algeria,201009,210300,2584938
Algeria,201010,111900,610717
Algeria,201011,5744100,7030105
Algeria,201012,91400,571633
Algeria,201101,67100,173812
Algeria,201102,1026200,1230088
Algeria,201103,459300,1156893
Algeria,201104,982600,4358075
Algeria,201105,876600,1279747
Algeria,201106,812500,2030881
Algeria,201107,1418600,3675535
Algeria,201108,23000,331136
Algeria,201109,313500,4509449
Algeria,201110,166300,643264
Algeria,201111,1605400,6033843
Algeria,201112,709900,2598740
Algeria,201201,506500,1272717
Algeria,201202,435300,923236
Algeria,201203,743800,1760087
Algeria,201204,1012500,4769908
Algeria,201205,46700,901444
Algeria,201206,230700,3148814
Algeria,201207,360500,1307217
Algeria,201208,303300,5564627
Algeria,201209,240900,3170256
Algeria,201210,76800,2210353
Algeria,201211,41600,1071407
Algeria,201212,82300,4417692
Algeria,201301,918824,1165177
Algeria,201302,1016801,2278049
Algeria,201303,2202024,3251981
Algeria,201304,1795411,3508243
Algeria,201305,2399079,4147693
Algeria,201306,1755342,4436085
Algeria,201307,174903,1996932
Algeria,201308,34891,982774
Algeria,201309,1439053982,2409503
Algeria,201310,1262183231,2108273
Algeria,201311,117576504,789296
Antigua and Barbuda,201006,400,10986
Antigua and Barbuda,201102,617000,1201
Argentina,201001,30000,128357
Argentina,201002,106100,538381
Argentina,201003,66500,416205
Argentina,201004,73600,140701
Argentina,201005,45100,82612
Argentina,201006,151700,346337
Argentina,201007,109200,177273
Argentina,201008,59300,181436
Argentina,201009,23700,68862
Argentina,201010,143900,412378
Argentina,201011,92800,305664
Argentina,201012,294300,456289
Argentina,201101,1016600,1224672
Argentina,201102,1336500,1971951
Argentina,201103,19800,256307
Argentina,201104,973700,1163202
Argentina,201105,752500,851752
Argentina,201106,582500,1188605
Argentina,201107,213800,378452
Argentina,201108,710300,998329
Argentina,201109,351200,605917
Argentina,201110,646600,1185019
Argentina,201111,1009900,1249551
Argentina,201112,678700,1060778
Argentina,201201,139000,372863
