partner_country,period,net_weight,usd_value
Albania,201001,8697338,4020278
Albania,201002,11483118,5183769
Albania,201003,15908189,7368529
Albania,201004,13057572,5938050
Albania,201005,11356851,5413069
Albania,201006,9567459,4790988
Albania,201007,13089686,6345531
Albania,201008,12273913,5601756
Albania,201009,13394391,6595414
Albania,201010,13051295,7067103
Albania,201011,10325845,7125034
Albania,201012,8809826,6934971
Albania,201101,9860682,6049032
Albania,201102,8499473,4789481
Albania,201103,12771480,7282279
Albania,201104,12293261,7242884
Albania,201105,13410543,7228087
Albania,201106,11468751,7850124
Albania,201107,10620852,7800636
Albania,201108,13907029,8431010
Albania,201109,17919054,8758130
Albania,201110,16021400,8162464
Albania,201111,13169128,6509707
Albania,201112,9961073,6892763
Albania,201201,7214006,5152363
Albania,201202,5226013,4253820
Albania,201203,6904842,5285822
Albania,201204,7822145,5888992
Albania,201205,10609154,7083959
Albania,201206,12644229,6412622
Albania,201207,17693381,7775177
Albania,201208,16486882,7292926
Albania,201209,21261672,8580067
Albania,201210,16419579,7382610
Albania,201211,9162203,4805091
Albania,201212,9668433,5532806
Albania,201301,9116402,4532913
Albania,201302,12707745,5864685
Albania,201303,11295805,5419547
Albania,201304,15320801,6448089
Albania,201305,18144797,8029100
Albania,201306,10736393,5958544
Albania,201307,16259510,7549787
Albania,201308,14720257,6556127
Albania,201309,17320044,7054008
Albania,201310,17919440,7244868
Albania,201311,14745221,6764930
Albania,201312,12870549,6765517
Algeria,201002,3112,15640
Algeria,201004,43764,64849
Algeria,201006,19480,27036
Algeria,201008,35553,53866
Algeria,201010,33261,62627
Algeria,201101,28480,47256
Algeria,201102,38342,77286
Algeria,201103,13111,43121
Algeria,201106,27000,51903
Algeria,201108,371,19343
Algeria,201110,35149,95413
Algeria,201111,6933,54360
Algeria,201112,1082,51167
Algeria,201201,19362,42150
Algeria,201202,13065,19105
Algeria,201205,12405,189706
Algeria,201207,2710,11621
Algeria,201209,2800,39
Algeria,201211,3490,14877
Algeria,201303,16400,48290
Algeria,201309,272048,866573
Algeria,201311,10541,19359
Algeria,201312,22146,53894
Argentina,201005,15021,27467
Argentina,201006,46,17
Argentina,201007,22,2789
Argentina,201009,10,529
Argentina,201011,17,140
Argentina,201012,19,918
Argentina,201102,188160,1086716
Argentina,201103,154560,973747
Argentina,201104,120960,1067762
Argentina,201107,21,2886
Argentina,201109,40320,235398
Argentina,201110,60480,336117
Argentina,201111,80661,423987
Argentina,201112,108091,596205
Argentina,201201,120960,619861
Argentina,201202,67200,428249
Argentina,201203,2392,356
Argentina,201205,38,131
Argentina,201207,67254,442114
Argentina,201208,81010,552861
Argentina,201209,295680,1720489
Argentina,201303,204,429
Argentina,201305,1,75
Argentina,201307,390,11784
Argentina,201308,202,5225
Argentina,201309,19,558
Argentina,201311,134,3439
Armenia,201003,1435,67499
Armenia,201005,732,20806
Armenia,201007,10238,17662
Armenia,201012,1533,40321
Armenia,201103,1676,4246
Armenia,201104,582,22907
Armenia,201105,720,39258
Armenia,201110,434,32452
Armenia,201112,1390,59201
Armenia,201203,1635,79785
Armenia,201205,1165,64293
Armenia,201206,575,41522
Armenia,201208,742,21902
Armenia,201212,1012,30015
Armenia,201302,26,2166
Armenia,201303,1734,17918
Armenia,201305,504,8135
Armenia,201306,617,18062
Armenia,201308,823,36099
Armenia,201310,441,53220
Australia,201001,107330,250768
Australia,201002,161010,375367
Australia,201003,149778,248036
Australia,201004,83918,193806
Australia,201005,66915,163245
Australia,201006,192193,399557
Australia,201007,80908,195374
Australia,201008,109385,267396
Australia,201009,85005,245805
Australia,201010,236284,553517
Australia,201011,177234,360292
Australia,201012,195315,440556
Australia,201101,87899,200781
Australia,201102,190959,382729
Australia,201103,114833,473703
Australia,201104,120922,209948
Australia,201105,78565,139242
Australia,201106,198664,558241
Australia,201107,117412,277213
Australia,201108,57063,171671
Australia,201109,214317,690325
Australia,201110,369774,992631
Australia,201111,189727,240771
Australia,201112,197047,570908
Australia,201201,194020,343893
Australia,201202,138562,159652
Australia,201203,142377,279526
Australia,201204,122935,376861
Australia,201205,163568,339778
Australia,201206,205125,451769
Australia,201207,30280,57509
Australia,201208,115445,265276
Australia,201209,155549,572469
Australia,201210,483934,1185196
Australia,201211,192857,353411
Australia,201212,289342,675470
Australia,201301,128359,294501
Australia,201302,238398,556416
Australia,201303,130439,216923
Australia,201304,189742,581618
Australia,201305,136319,354124
Australia,201306,187215,488694
Australia,201307,139589,353568
Australia,201308,74328,253952
Australia,201309,176648,567266
Australia,201310,276972,597048
Australia,201311,218815,611500
Australia,201312,325909,912537
Austria,201001,347427,1210343
Austria,201002,436106,2181148
