partner_country,period,net_weight,usd_value
Algeria,201001,29015,95257
Algeria,201003,100671,288230
Algeria,201004,545024,86650
Algeria,201005,50442,81697
Algeria,201009,5000,13926
Algeria,201011,75906,201012
Algeria,201012,25352,69965
Algeria,201101,1170,994
Algeria,201103,322895,2759433
Algeria,201104,25694,130844
Algeria,201105,75408,234881
Algeria,201106,75711,349916
Algeria,201107,1158,1210
Algeria,201109,25661,78495
Algeria,201110,76932,221734
Algeria,201112,234022,921451
Algeria,201201,202294,409117
Algeria,201202,76126,159174
Algeria,201203,81029,171987
Algeria,201205,126683,272466
Algeria,201206,336312,695819
Antigua and Barbuda,201003,20280,19234
Antigua and Barbuda,201012,7920,5276
Antigua and Barbuda,201103,14365,15795
Antigua and Barbuda,201204,14365,18252
Argentina,201003,36000,107058
Argentina,201004,50490,112181
Argentina,201006,7500,4450
Argentina,201008,6000,7960
Argentina,201009,36000,78500
Argentina,201010,7660,4444
Argentina,201012,7799,10165
Argentina,201101,42800,97986
Argentina,201102,6800,3968
Argentina,201104,7560,10861
Argentina,201105,36572,95989
Argentina,201106,14897,10751
Argentina,201108,20060,12128
Argentina,201110,36000,92460
Argentina,201111,531,3850
Argentina,201112,5590,3070
Argentina,201201,10479,74973
Argentina,201202,7560,7028
Argentina,201203,6010,3401
Australia,201001,37410,15734
Australia,201002,122902,15344
Australia,201003,279184,70576
Australia,201004,1356,6330
Australia,201005,19760,5080
Australia,201006,18159,78851
Australia,201007,87579,540380
Australia,201008,12861,6739
Australia,201009,14595,41300
Australia,201010,10109,16596
Australia,201011,567,61155
Australia,201012,27651,183571
Australia,201101,4602,32532
Australia,201102,6065,278936
Australia,201103,386,4343
Australia,201104,36,293
Australia,201105,27251,198136
Australia,201106,120550,617268
Australia,201107,24475,49679
Australia,201108,24326,37377
Australia,201109,7886,118218
Australia,201110,5813,94394
Australia,201111,1001,5513
Australia,201112,85120,941781
Australia,201201,5244,144310
Australia,201202,19061,194631
Australia,201203,30458,274061
Australia,201204,308,13460
Australia,201205,1147,75761
Australia,201206,6420,466
Austria,201001,320753,81830
Austria,201002,183835,53899
Austria,201003,240514,73233
Austria,201004,246720,80310
Austria,201005,299405,73481
Austria,201006,302660,86838
Austria,201007,414842,255829
Austria,201008,319973,102043
Austria,201009,594240,240489
Austria,201010,221497,136432
Austria,201011,604147,382700
Austria,201012,602671,136799
Austria,201101,3401,98308
Austria,201102,2912,81927
Austria,201103,1145,25651
Austria,201104,10772,285178
Austria,201105,7326,215311
Austria,201106,44907,641255
Austria,201107,5054,402835
Austria,201108,21756,356314
Austria,201109,7110,284605
Austria,201110,3754,336649
Austria,201111,6347,330067
Austria,201112,2850,125955
Austria,201201,8125,56539
Austria,201202,21777,105098
Austria,201203,1587,58085
Austria,201204,6402,177216
Austria,201205,1130,59331
Austria,201206,2969,133352
Azerbaijan,201203,3000,6746
Bahrain,201111,23490,7272
Bahrain,201112,11000,17689
Belgium,201001,2206640,404206
Belgium,201002,3898241,614550
Belgium,201003,1229852,597595
Belgium,201004,15961085,653270
Belgium,201005,31789468,1318974
Belgium,201006,26572875,1759432
Belgium,201007,9455194,962811
Belgium,201008,7192392,2415339
Belgium,201009,6213946,1488846
Belgium,201010,5219958,1917813
Belgium,201011,4467760,1866084
Belgium,201012,6213685,2291988
Belgium,201101,704309,1575062
Belgium,201102,690569,1280853
Belgium,201103,1532060,3771104
Belgium,201104,385031,1766040
Belgium,201105,789762,2656791
Belgium,201106,246470,1150639
Belgium,201107,1035385,5600067
Belgium,201108,492949,5123527
Belgium,201109,255170,2591270
Belgium,201110,475096,1968574
Belgium,201111,1535959,1894471
Belgium,201112,1115185,3158664
Belgium,201201,350260,1032948
Belgium,201202,238788,637850
Belgium,201203,551057,1521596
Belgium,201204,198985,588191
Belgium,201205,574691,1780597
Belgium,201206,484636,616398
Bosnia Herzegovina,201103,1089,7333
Bosnia Herzegovina,201107,2108,26707
Bosnia Herzegovina,201108,2654,17384
Brazil,201001,3278,12485
Brazil,201007,2800,2520
Brazil,201008,6310,18852
Brazil,201010,24594,44359
Brazil,201011,8522,29783
Brazil,201012,1501706,42775
Brazil,201101,78000,25807
Brazil,201102,33,17767
Brazil,201105,2,10
Brazil,201107,50049,64310
Brazil,201108,125013,185738
Brazil,201109,174006,228643
Brazil,201110,50024,83213
Brazil,201111,225024,400477
Brazil,201112,4,14182
Brazil,201201,28284,154923
Brazil,201202,131000,278983
Brazil,201203,250011,418628
Brazil,201204,1399,56907
Brazil,201205,31030,140343
Brazil,201206,75121,123420
Brunei Darussalam,201006,6619,32676
Bulgaria,201009,753430,291591
Bulgaria,201010,25,1609
Bulgaria,201011,592675,360885
Bulgaria,201104,25,1761
Bulgaria,201109,25,1796
Bulgaria,201205,25,457
Burkina Faso,201007,1800,12785
Burkina Faso,201008,3000,1217
Burkina Faso,201012,238,193
Burkina Faso,201101,5254,98731
Burkina Faso,201102,1000,27573
Burkina Faso,201108,174,3965
Burkina Faso,201205,0,65
Burundi,201008,2000,9319
Burundi,201107,250,880
Burundi,201110,3200,3163
Cameroon,201001,3772,15762
Cameroon,201002,1574,2809
Cameroon,201006,120,430
Cameroon,201109,34,1385
Cameroon,201201,512,1522
Canada,201001,3169060,349975
Canada,201002,26275576,3456832
Canada,201003,24625426,4407579
Canada,201004,38763669,4981279
Canada,201005,145484,481033
Canada,201006,70319518,8614960
Canada,201007,71224,835942
Canada,201008,36178766,5063037
Canada,201009,3554887881,4827396
Canada,201010,2356301215,3129298
Canada,201011,215510,568074
Canada,201012,38967922,4916135
Canada,201101,95543,5500140
Canada,201102,54937,130181
Canada,201103,57326753,8381346
Canada,201104,10122363,1391333
Canada,201105,40069939,6493219
Canada,201106,24289222,3973177
Canada,201107,40868670,5741195
Canada,201108,93823618,12836496
Canada,201109,41836857,5836022
Canada,201110,40028874,5527976
Canada,201111,72222144,9737209
Canada,201112,49842304,7341768
Canada,201201,35018891,4994296
Canada,201202,35054572,5213438
Canada,201203,10125119,2705482
Canada,201204,52026396,7646068
Canada,201205,53106179,7413941
Canada,201206,40009016,5569783
Central African Rep.,201004,555,75
Central African Rep.,201106,500,14997
Chile,201001,2497655,753297
Chile,201005,1225,35673
Chile,201103,9000,18769
China,201001,5316375,981284
China,201002,5896457,1071908
China,201003,54388725,4690818
China,201004,7110087,2059456
China,201005,11317908,3908151
China,201006,2353546,1667008
China,201007,67898704,3644782
China,201008,92579778,6834705
China,201009,26066109,7360741
China,201010,10178219,4217886
China,201011,42789806,9322236
China,201012,185674205,10864532
China,201101,2057931,2765179
China,201102,8830886,4500091
China,201103,25814227,8146602
China,201104,10332171,5156872
China,201105,10131455,5445506
China,201106,14825962,6113030
China,201107,17093628,6513395
China,201108,22085043,8009754
China,201109,19655037,8239489
China,201110,18403633,22441467
China,201111,70136956,7037022
China,201112,31789199,7172241
China,201201,33246652,8272573
China,201202,13152133,4858611
China,201203,13397404,6017663
China,201204,11470338,5609228
China,201205,18387560,9683212
China,201206,6207043,5670722
"China, Hong Kong SAR",201001,578175,462981
"China, Hong Kong SAR",201002,11103098,332865
"China, Hong Kong SAR",201003,2435284,363585
"China, Hong Kong SAR",201004,30915613,691287
"China, Hong Kong SAR",201005,423230,756679
"China, Hong Kong SAR",201006,16802882,1958418
"China, Hong Kong SAR",201007,1808364,1024604
"China, Hong Kong SAR",201008,33595833,887352
"China, Hong Kong SAR",201009,35849595,621076
"China, Hong Kong SAR",201010,25166593,805488
"China, Hong Kong SAR",201011,40676196,779636
"China, Hong Kong SAR",201012,453167,703268
"China, Hong Kong SAR",201101,338513,664703
"China, Hong Kong SAR",201102,281099,733319
"China, Hong Kong SAR",201103,261414,717816
"China, Hong Kong SAR",201104,384030,1515309
"China, Hong Kong SAR",201105,277386,828596
"China, Hong Kong SAR",201106,268765,846505
"China, Hong Kong SAR",201107,126006,891448
"China, Hong Kong SAR",201108,280803,1111875
"China, Hong Kong SAR",201109,251403,2621292
"China, Hong Kong SAR",201110,177510,1100062
"China, Hong Kong SAR",201111,187283,2077925
"China, Hong Kong SAR",201112,219924,1830000
"China, Hong Kong SAR",201201,247952,1005736
"China, Hong Kong SAR",201202,293499,1460071
"China, Hong Kong SAR",201203,404166,1802774
"China, Hong Kong SAR",201204,123334,1191153
"China, Hong Kong SAR",201205,224904,1852895
"China, Hong Kong SAR",201206,545854,978756
Colombia,201006,1250,19712
Colombia,201010,4470,2662
Colombia,201011,450254,187426
Colombia,201012,6056,3344
Colombia,201104,2980,97699
Colombia,201105,3560,82830
Colombia,201106,1097,36290
Colombia,201109,4694,120089
Colombia,201110,17,1335
Colombia,201111,6235,112530
Colombia,201201,5159,132564
Colombia,201204,6889,355770
Colombia,201205,8627,282589
