partner_country,period,net_weight,usd_value
Albania,201001,1128315,195083
Albania,201002,2517633,162686
Albania,201003,786123,212552
Albania,201004,4715559,102513
Albania,201005,6830631,195802
Albania,201006,2200,107534
Albania,201007,35982,186014
Albania,201008,50346,81042
Albania,201009,208860,511683
Albania,201010,171608,317311
Albania,201011,38524,97955
Albania,201101,99622,164161
Albania,201102,43,48453
Albania,201103,52479,437739
Albania,201104,42375,158577
Albania,201105,66400,874475
Albania,201106,338597,396714
Albania,201107,408476,361786
Albania,201108,72132,146034
Albania,201109,63415,139951
Albania,201110,128254,270223
Albania,201111,150894,236536
Albania,201112,59264,135400
Albania,201201,49883,159138
Albania,201202,72764,214898
Albania,201203,84990,99010
Albania,201204,168406,347762
Albania,201205,26388,234778
Albania,201206,71148,246802
Albania,201207,44067,100137
Albania,201208,63686,113510
Albania,201209,16798,72448
Albania,201210,128956,324612
Albania,201211,103361,242979
Albania,201212,41171,40127
Albania,201301,126930,113884
Albania,201302,21000,154203
Albania,201303,109029,172796
Albania,201304,144124,162334
Albania,201305,23471,106825
Albania,201306,126803,252708
Albania,201307,86834,143774
Albania,201308,162697,357676
Albania,201309,85160,77340
Albania,201310,121476,213704
Albania,201311,209819,395369
Algeria,201001,1128315,9944464
Algeria,201002,2517633,9618219
Algeria,201003,786123,12950559
Algeria,201004,4715559,14817084
Algeria,201005,6830631,11770762
Algeria,201006,2200,10672940
Algeria,201007,5445307,11603242
Algeria,201008,8356944,13607592
Algeria,201009,5351697,15947099
Algeria,201010,11090466,20951063
Algeria,201011,4614628,9038831
Algeria,201012,12020363,16849459
Algeria,201101,99622,12855119
Algeria,201102,43,11064788
Algeria,201103,52479,22911827
Algeria,201104,7002604,16118908
Algeria,201105,16980958,23700045
Algeria,201106,4304386,11485759
Algeria,201107,12009927,21783388
Algeria,201108,4070367,10472007
Algeria,201109,4743879,9388190
Algeria,201110,9567354,18676480
Algeria,201111,7544198,14807712
Algeria,201112,5649634,11376823
Algeria,201201,5592390,10558350
Algeria,201202,7769496,13388108
Algeria,201203,5446691,14806854
Algeria,201204,5462597,12029194
Algeria,201205,5058870,13485778
Algeria,201206,2142127,8191755
Algeria,201207,4862892,11433486
Algeria,201208,3286710,7838639
Algeria,201209,3882589,9502195
Algeria,201210,6658293,11211872
Algeria,201211,4559555,10077322
Algeria,201212,6444963,11231419
Algeria,201301,6878842,13418307
Algeria,201302,12263724,15630421
Algeria,201303,7497754,13112306
Algeria,201304,11408250,14171018
Algeria,201305,4693811,10396087
Algeria,201306,3019295,9595063
Algeria,201307,3355803,9044151
Algeria,201308,3595099,7006002
Algeria,201309,3664820,12357484
Algeria,201310,5132198,14542986
Algeria,201311,3908104,9634080
Antigua and Barbuda,201001,1128315,15282
Antigua and Barbuda,201002,2517633,33744
Antigua and Barbuda,201003,786123,40590
Antigua and Barbuda,201004,4715559,41874
Antigua and Barbuda,201005,6830631,36031
Antigua and Barbuda,201006,2200,150875
Antigua and Barbuda,201007,10,57761
Antigua and Barbuda,201008,936,46224
Antigua and Barbuda,201009,20515,130975
Antigua and Barbuda,201010,1202,20728
Antigua and Barbuda,201011,14838560,6623
Antigua and Barbuda,201012,10146,202222
Antigua and Barbuda,201101,99622,135838
Antigua and Barbuda,201102,43,123030
Antigua and Barbuda,201103,52479,23545
Antigua and Barbuda,201104,43043,90150
Antigua and Barbuda,201105,36657,163492
