partner_country,period,net_weight,usd_value
Albania,201108,2500,54073
Algeria,201101,1202,156608
Algeria,201103,854,4857
Algeria,201104,1819032,2745303
Algeria,201105,1691320,1948545
Algeria,201106,225280,387520
Algeria,201107,345380,1613566
Algeria,201108,70295,3806906
Algeria,201109,45760,76199
Algeria,201110,230666,378463
Algeria,201111,243021,385999
Algeria,201112,230666,363970
Algeria,201201,243720,402609
Algeria,201205,233000,143120
Algeria,201206,255000,145437
Algeria,201209,500000,1165739
Argentina,201211,2083,16151
Armenia,201101,3000,548
Armenia,201110,6,244
Armenia,201111,6,241
Armenia,201112,6,234
Australia,201103,15,210
Australia,201104,6,6293
Australia,201105,10155,28706
Australia,201106,10943,64977
Australia,201107,30,52
Australia,201108,527,23019
Australia,201109,37,3493
Australia,201110,1585,21424
Australia,201111,510,2628
Australia,201201,9140,31586
Australia,201202,500,40682
Australia,201203,15,2342
Australia,201204,1300,5017
Australia,201206,17226,86480
Australia,201209,20710,30523
Australia,201210,380976,486155
Australia,201211,5227,33124
Australia,201212,7486,23842
Austria,201202,30,138
Austria,201206,12100,57190
Bahrain,201102,240,4994
Bahrain,201103,4222,90097
Bahrain,201201,225000,515042
Bahrain,201204,450000,1116670
Belgium,201101,68703,596385
Belgium,201102,72909,4929638
Belgium,201103,28078,478208
Belgium,201104,376526,2271275
Belgium,201105,291229,1069166
Belgium,201106,287067,863517
Belgium,201107,14349,276495
Belgium,201108,66333,934608
Belgium,201109,61291,282174
Belgium,201110,1349,23493
Belgium,201111,76440,156182
Belgium,201112,96668,1272724
Belgium,201201,118176,936117
Belgium,201202,238004,808727
Belgium,201203,7554,57456
Belgium,201204,14548,212481
Belgium,201205,610996,644800
Belgium,201206,350500,885689
Belgium,201207,55193,250204
Belgium,201208,197865,756877
Belgium,201209,54561,176383
Belgium,201210,392440,858888
Belgium,201211,321008,631496
Belgium,201212,39361,335914
Brazil,201102,11240,9181
Brazil,201103,11340,9230
Brazil,201105,11340,9448
Brazil,201106,250000,231656
Brazil,201108,17209,31514
Brazil,201205,36786,52843
Brazil,201210,70762,258268
Brunei Darussalam,201105,40000,8748
Brunei Darussalam,201106,80000,13158
Bulgaria,201109,15680,2899
Bulgaria,201205,34000,6630
Burkina Faso,201101,11382217,9810512
Burkina Faso,201102,8297819,7040646
Burkina Faso,201103,9525364,6583931
Burkina Faso,201104,12143609,9649127
Burkina Faso,201105,22549500,17094639
Burkina Faso,201106,12878623,9569295
Burkina Faso,201107,6680181,5301274
Burkina Faso,201108,6553182,5454470
Burkina Faso,201109,4794191,4522190
Burkina Faso,201110,4062648,3220555
Burkina Faso,201111,6286680,5259523
Burkina Faso,201112,18835983,15811605
Burkina Faso,201201,13941302,11874379
Burkina Faso,201202,12429228,10035504
Burkina Faso,201203,8066849,5637734
Burkina Faso,201204,4301171,3077423
Burkina Faso,201205,23332281,16186796
Burkina Faso,201206,16014316,9495547
Burkina Faso,201207,14765141,8973673
Burkina Faso,201208,1280283,1224245
Burkina Faso,201209,535293,1517329
Burkina Faso,201210,8746494,5746433
Burkina Faso,201211,10469503,6582201
Burkina Faso,201212,14629912,13051551
Burundi,201202,140,1124
Cameroon,201105,1,219
Cameroon,201108,5000,10037
Cameroon,201111,87375,1276
