partner_country,period,net_weight,usd_value
Albania,201001,400,107252
Albania,201002,4700,12288
Albania,201003,700,255663
Albania,201004,400,670
Albania,201008,200,773
Albania,201211,2403800,1295346
Albania,201301,15800,25354
Albania,201302,36700,59167
Albania,201306,108600,172789
Albania,201307,3900,9156
Albania,201308,30000,1197900
Albania,201309,10500,14629
Albania,201310,31400,1132
Albania,201311,400,2024
Algeria,201001,7500,10745
Algeria,201003,20000,6796
Algeria,201004,54000,42771
Algeria,201005,4000,81255
Algeria,201008,200,503
Algeria,201101,400,7817
Algeria,201102,400,6060
Algeria,201110,300,4674
Algeria,201111,19400,63266
Algeria,201112,40400,224781
Algeria,201201,7100,21332
Algeria,201202,15700,20973
Algeria,201203,2700,11511
Algeria,201205,55700,4579
Algeria,201206,8700,65085
Algeria,201207,600,9999
Algeria,201210,5000,56788
Algeria,201211,14227000,7178138
Algeria,201212,1792300,1246187
Algeria,201301,59400,199
Algeria,201302,100,2471
Algeria,201303,900,39527
Algeria,201306,289500,171919
Algeria,201307,17000,69770
Algeria,201309,200,3284
Algeria,201310,18900,92079
Algeria,201311,17100,11577
Antigua and Barbuda,201010,300,4169
Antigua and Barbuda,201011,2100,35078
Antigua and Barbuda,201112,100,2636
Antigua and Barbuda,201211,2500,345625
Antigua and Barbuda,201305,18000,12982
Antigua and Barbuda,201306,16500,3759
Argentina,201001,600,53298
Argentina,201002,900,73868
Argentina,201003,300,28612
Argentina,201004,400,31199
Argentina,201005,100,8590
Argentina,201006,300,29224
Argentina,201007,700,63329
Argentina,201008,500,44562
Argentina,201009,500,39716
Argentina,201010,400,34617
Argentina,201011,600,57482
Argentina,201012,400,23793
Argentina,201101,400,32706
Argentina,201102,400,32922
Argentina,201103,1000,77037
Argentina,201104,700,69264
Argentina,201105,700,75784
Argentina,201106,700,62588
Argentina,201107,21200,1655
Argentina,201108,500,47232
Argentina,201109,500,55462
Argentina,201110,500,69846
Argentina,201111,300,25607
Argentina,201112,400,29297
Argentina,201201,300,24558
Argentina,201202,500,44380
Argentina,201203,400,36950
Argentina,201204,300,24033
Argentina,201205,400,45401
Argentina,201206,700,60124
Argentina,201207,500,47895
Argentina,201208,900,66378
Argentina,201209,900,59231
Argentina,201210,300,32876
Argentina,201211,496100,302536
